"spot","parameter","id","experiment","type","condition","value"
"yeast","NumberOfSips","sips_n","57C10","normal","virgin_10dS",5875
"yeast","NumberOfSips","sips_n","57C10","normal","virgin_10dS",1556
"yeast","NumberOfSips","sips_n","57C10","normal","virgin_10dS",2162
"yeast","NumberOfSips","sips_n","57C10","normal","virgin_10dS",1797
"yeast","NumberOfSips","sips_n","57C10","normal","virgin_10dS",3624
"yeast","NumberOfSips","sips_n","57C10","normal","virgin_10dS",2060
"yeast","NumberOfSips","sips_n","57C10","normal","virgin_10dS",1376
"yeast","NumberOfSips","sips_n","57C10","normal","virgin_10dS",907
"yeast","NumberOfSips","sips_n","57C10","normal","virgin_10dS",2060
"yeast","NumberOfSips","sips_n","57C10","normal","virgin_10dS",4143
"yeast","NumberOfSips","sips_n","57C10","normal","virgin_10dS",2324
"yeast","NumberOfSips","sips_n","57C10","normal","virgin_10dS",1034
"yeast","NumberOfSips","sips_n","57C10","normal","virgin_10dS",2328
"yeast","NumberOfSips","sips_n","57C10","normal","virgin_10dS",2315
"yeast","NumberOfSips","sips_n","57C10","normal","virgin_10dS",2842
"yeast","NumberOfSips","sips_n","57C10","normal","virgin_10dS",2785
"yeast","NumberOfSips","sips_n","57C10","normal","virgin_10dS",4257
"yeast","NumberOfSips","sips_n","57C10","normal","virgin_10dS",1913
"yeast","NumberOfSips","sips_n","57C10","normal","virgin_10dS",1264
"yeast","NumberOfSips","sips_n","57C10","normal","virgin_10dS",5567
"yeast","NumberOfSips","sips_n","57C10","normal","virgin_10dS",4864
"yeast","NumberOfSips","sips_n","57C10","normal","virgin_10dS",5447
"yeast","NumberOfSips","sips_n","57C10","normal","virgin_10dS",661
"yeast","NumberOfSips","sips_n","57C10","normal","virgin_10dS",3831
"yeast","NumberOfSips","sips_n","57C10","normal","virgin_10dS",3007
"sucrose","NumberOfSips","sips_n","57C10","normal","virgin_10dS",364
"sucrose","NumberOfSips","sips_n","57C10","normal","virgin_10dS",1461
"sucrose","NumberOfSips","sips_n","57C10","normal","virgin_10dS",952
"sucrose","NumberOfSips","sips_n","57C10","normal","virgin_10dS",282
"sucrose","NumberOfSips","sips_n","57C10","normal","virgin_10dS",473
"sucrose","NumberOfSips","sips_n","57C10","normal","virgin_10dS",252
"sucrose","NumberOfSips","sips_n","57C10","normal","virgin_10dS",354
"sucrose","NumberOfSips","sips_n","57C10","normal","virgin_10dS",45
"sucrose","NumberOfSips","sips_n","57C10","normal","virgin_10dS",43
"sucrose","NumberOfSips","sips_n","57C10","normal","virgin_10dS",61
"sucrose","NumberOfSips","sips_n","57C10","normal","virgin_10dS",332
"sucrose","NumberOfSips","sips_n","57C10","normal","virgin_10dS",283
"sucrose","NumberOfSips","sips_n","57C10","normal","virgin_10dS",29
"sucrose","NumberOfSips","sips_n","57C10","normal","virgin_10dS",6
"sucrose","NumberOfSips","sips_n","57C10","normal","virgin_10dS",4
"sucrose","NumberOfSips","sips_n","57C10","normal","virgin_10dS",177
"sucrose","NumberOfSips","sips_n","57C10","normal","virgin_10dS",260
"sucrose","NumberOfSips","sips_n","57C10","normal","virgin_10dS",99
"sucrose","NumberOfSips","sips_n","57C10","normal","virgin_10dS",214
"sucrose","NumberOfSips","sips_n","57C10","normal","virgin_10dS",494
"sucrose","NumberOfSips","sips_n","57C10","normal","virgin_10dS",390
"sucrose","NumberOfSips","sips_n","57C10","normal","virgin_10dS",16
"sucrose","NumberOfSips","sips_n","57C10","normal","virgin_10dS",4
"sucrose","NumberOfSips","sips_n","57C10","normal","virgin_10dS",99
"sucrose","NumberOfSips","sips_n","57C10","normal","virgin_10dS",265
"yeast","FeedingBurst.nSips","sips_per_burst","57C10","normal","virgin_10dS",7.83931947069943
"yeast","FeedingBurst.nSips","sips_per_burst","57C10","normal","virgin_10dS",7.1056338028169
"yeast","FeedingBurst.nSips","sips_per_burst","57C10","normal","virgin_10dS",9
"yeast","FeedingBurst.nSips","sips_per_burst","57C10","normal","virgin_10dS",4.425
"yeast","FeedingBurst.nSips","sips_per_burst","57C10","normal","virgin_10dS",6.77611940298507
"yeast","FeedingBurst.nSips","sips_per_burst","57C10","normal","virgin_10dS",6.72631578947368
"yeast","FeedingBurst.nSips","sips_per_burst","57C10","normal","virgin_10dS",8.859375
"yeast","FeedingBurst.nSips","sips_per_burst","57C10","normal","virgin_10dS",6.97087378640777
"yeast","FeedingBurst.nSips","sips_per_burst","57C10","normal","virgin_10dS",5.11173184357542
"yeast","FeedingBurst.nSips","sips_per_burst","57C10","normal","virgin_10dS",11.2746913580247
"yeast","FeedingBurst.nSips","sips_per_burst","57C10","normal","virgin_10dS",3.95
"yeast","FeedingBurst.nSips","sips_per_burst","57C10","normal","virgin_10dS",7
"yeast","FeedingBurst.nSips","sips_per_burst","57C10","normal","virgin_10dS",12.4411764705882
"yeast","FeedingBurst.nSips","sips_per_burst","57C10","normal","virgin_10dS",7.47368421052632
"yeast","FeedingBurst.nSips","sips_per_burst","57C10","normal","virgin_10dS",7.49609375
"yeast","FeedingBurst.nSips","sips_per_burst","57C10","normal","virgin_10dS",12.1188118811881
"yeast","FeedingBurst.nSips","sips_per_burst","57C10","normal","virgin_10dS",9.08816120906801
"yeast","FeedingBurst.nSips","sips_per_burst","57C10","normal","virgin_10dS",5.70056497175141
"yeast","FeedingBurst.nSips","sips_per_burst","57C10","normal","virgin_10dS",8.38518518518518
"yeast","FeedingBurst.nSips","sips_per_burst","57C10","normal","virgin_10dS",16.0126582278481
"yeast","FeedingBurst.nSips","sips_per_burst","57C10","normal","virgin_10dS",5.7732181425486
"yeast","FeedingBurst.nSips","sips_per_burst","57C10","normal","virgin_10dS",5.27484143763214
"yeast","FeedingBurst.nSips","sips_per_burst","57C10","normal","virgin_10dS",8.26760563380282
"yeast","FeedingBurst.nSips","sips_per_burst","57C10","normal","virgin_10dS",8.56287425149701
"yeast","FeedingBurst.nSips","sips_per_burst","57C10","normal","virgin_10dS",5.6038961038961
"sucrose","FeedingBurst.nSips","sips_per_burst","57C10","normal","virgin_10dS",6.82978723404255
"sucrose","FeedingBurst.nSips","sips_per_burst","57C10","normal","virgin_10dS",7.44370860927152
"sucrose","FeedingBurst.nSips","sips_per_burst","57C10","normal","virgin_10dS",9.9078947368421
"sucrose","FeedingBurst.nSips","sips_per_burst","57C10","normal","virgin_10dS",7.5
"sucrose","FeedingBurst.nSips","sips_per_burst","57C10","normal","virgin_10dS",11.6388888888889
"sucrose","FeedingBurst.nSips","sips_per_burst","57C10","normal","virgin_10dS",4.96969696969697
"sucrose","FeedingBurst.nSips","sips_per_burst","57C10","normal","virgin_10dS",4.79545454545455
"sucrose","FeedingBurst.nSips","sips_per_burst","57C10","normal","virgin_10dS",5.6
"sucrose","FeedingBurst.nSips","sips_per_burst","57C10","normal","virgin_10dS",4.5
"sucrose","FeedingBurst.nSips","sips_per_burst","57C10","normal","virgin_10dS",4
"sucrose","FeedingBurst.nSips","sips_per_burst","57C10","normal","virgin_10dS",5.2962962962963
"sucrose","FeedingBurst.nSips","sips_per_burst","57C10","normal","virgin_10dS",6
"sucrose","FeedingBurst.nSips","sips_per_burst","57C10","normal","virgin_10dS",4
"sucrose","FeedingBurst.nSips","sips_per_burst","57C10","normal","virgin_10dS",7.10526315789474
"sucrose","FeedingBurst.nSips","sips_per_burst","57C10","normal","virgin_10dS",3.44444444444444
"sucrose","FeedingBurst.nSips","sips_per_burst","57C10","normal","virgin_10dS",4.58333333333333
"sucrose","FeedingBurst.nSips","sips_per_burst","57C10","normal","virgin_10dS",8.42857142857143
"sucrose","FeedingBurst.nSips","sips_per_burst","57C10","normal","virgin_10dS",7.29310344827586
"sucrose","FeedingBurst.nSips","sips_per_burst","57C10","normal","virgin_10dS",6.69387755102041
"sucrose","FeedingBurst.nSips","sips_per_burst","57C10","normal","virgin_10dS",9.77777777777778
"sucrose","FeedingBurst.nSips","sips_per_burst","57C10","normal","virgin_10dS",4.6551724137931
"yeast","ActivityBoutNumber","AB_n","57C10","normal","virgin_10dS",280
"yeast","ActivityBoutNumber","AB_n","57C10","normal","virgin_10dS",72
"yeast","ActivityBoutNumber","AB_n","57C10","normal","virgin_10dS",153
"yeast","ActivityBoutNumber","AB_n","57C10","normal","virgin_10dS",178
"yeast","ActivityBoutNumber","AB_n","57C10","normal","virgin_10dS",73
"yeast","ActivityBoutNumber","AB_n","57C10","normal","virgin_10dS",117
"yeast","ActivityBoutNumber","AB_n","57C10","normal","virgin_10dS",37
"yeast","ActivityBoutNumber","AB_n","57C10","normal","virgin_10dS",12
"yeast","ActivityBoutNumber","AB_n","57C10","normal","virgin_10dS",89
"yeast","ActivityBoutNumber","AB_n","57C10","normal","virgin_10dS",85
"yeast","ActivityBoutNumber","AB_n","57C10","normal","virgin_10dS",42
"yeast","ActivityBoutNumber","AB_n","57C10","normal","virgin_10dS",68
"yeast","ActivityBoutNumber","AB_n","57C10","normal","virgin_10dS",66
"yeast","ActivityBoutNumber","AB_n","57C10","normal","virgin_10dS",131
"yeast","ActivityBoutNumber","AB_n","57C10","normal","virgin_10dS",160
"yeast","ActivityBoutNumber","AB_n","57C10","normal","virgin_10dS",107
"yeast","ActivityBoutNumber","AB_n","57C10","normal","virgin_10dS",70
"yeast","ActivityBoutNumber","AB_n","57C10","normal","virgin_10dS",122
"yeast","ActivityBoutNumber","AB_n","57C10","normal","virgin_10dS",58
"yeast","ActivityBoutNumber","AB_n","57C10","normal","virgin_10dS",146
"yeast","ActivityBoutNumber","AB_n","57C10","normal","virgin_10dS",142
"yeast","ActivityBoutNumber","AB_n","57C10","normal","virgin_10dS",175
"yeast","ActivityBoutNumber","AB_n","57C10","normal","virgin_10dS",27
"yeast","ActivityBoutNumber","AB_n","57C10","normal","virgin_10dS",110
"yeast","ActivityBoutNumber","AB_n","57C10","normal","virgin_10dS",96
"sucrose","ActivityBoutNumber","AB_n","57C10","normal","virgin_10dS",22
"sucrose","ActivityBoutNumber","AB_n","57C10","normal","virgin_10dS",101
"sucrose","ActivityBoutNumber","AB_n","57C10","normal","virgin_10dS",34
"sucrose","ActivityBoutNumber","AB_n","57C10","normal","virgin_10dS",17
"sucrose","ActivityBoutNumber","AB_n","57C10","normal","virgin_10dS",11
"sucrose","ActivityBoutNumber","AB_n","57C10","normal","virgin_10dS",29
"sucrose","ActivityBoutNumber","AB_n","57C10","normal","virgin_10dS",40
"sucrose","ActivityBoutNumber","AB_n","57C10","normal","virgin_10dS",8
"sucrose","ActivityBoutNumber","AB_n","57C10","normal","virgin_10dS",2
"sucrose","ActivityBoutNumber","AB_n","57C10","normal","virgin_10dS",7
"sucrose","ActivityBoutNumber","AB_n","57C10","normal","virgin_10dS",41
"sucrose","ActivityBoutNumber","AB_n","57C10","normal","virgin_10dS",31
"sucrose","ActivityBoutNumber","AB_n","57C10","normal","virgin_10dS",5
"sucrose","ActivityBoutNumber","AB_n","57C10","normal","virgin_10dS",1
"sucrose","ActivityBoutNumber","AB_n","57C10","normal","virgin_10dS",0
"sucrose","ActivityBoutNumber","AB_n","57C10","normal","virgin_10dS",21
"sucrose","ActivityBoutNumber","AB_n","57C10","normal","virgin_10dS",37
"sucrose","ActivityBoutNumber","AB_n","57C10","normal","virgin_10dS",9
"sucrose","ActivityBoutNumber","AB_n","57C10","normal","virgin_10dS",22
"sucrose","ActivityBoutNumber","AB_n","57C10","normal","virgin_10dS",23
"sucrose","ActivityBoutNumber","AB_n","57C10","normal","virgin_10dS",38
"sucrose","ActivityBoutNumber","AB_n","57C10","normal","virgin_10dS",2
"sucrose","ActivityBoutNumber","AB_n","57C10","normal","virgin_10dS",2
"sucrose","ActivityBoutNumber","AB_n","57C10","normal","virgin_10dS",4
"sucrose","ActivityBoutNumber","AB_n","57C10","normal","virgin_10dS",38
"yeast","ActivityBoutDurarion","AB_duration_mean","57C10","normal","virgin_10dS",6.98721428571428
"yeast","ActivityBoutDurarion","AB_duration_mean","57C10","normal","virgin_10dS",7.82736111111111
"yeast","ActivityBoutDurarion","AB_duration_mean","57C10","normal","virgin_10dS",5.94346405228758
"yeast","ActivityBoutDurarion","AB_duration_mean","57C10","normal","virgin_10dS",3.77449438202247
"yeast","ActivityBoutDurarion","AB_duration_mean","57C10","normal","virgin_10dS",15.3476712328767
"yeast","ActivityBoutDurarion","AB_duration_mean","57C10","normal","virgin_10dS",5.64538461538462
"yeast","ActivityBoutDurarion","AB_duration_mean","57C10","normal","virgin_10dS",8.40378378378378
"yeast","ActivityBoutDurarion","AB_duration_mean","57C10","normal","virgin_10dS",21.0441666666667
"yeast","ActivityBoutDurarion","AB_duration_mean","57C10","normal","virgin_10dS",7.03483146067416
"yeast","ActivityBoutDurarion","AB_duration_mean","57C10","normal","virgin_10dS",13.2171764705882
"yeast","ActivityBoutDurarion","AB_duration_mean","57C10","normal","virgin_10dS",9.97404761904762
"yeast","ActivityBoutDurarion","AB_duration_mean","57C10","normal","virgin_10dS",5.10735294117647
"yeast","ActivityBoutDurarion","AB_duration_mean","57C10","normal","virgin_10dS",11.1227272727273
"yeast","ActivityBoutDurarion","AB_duration_mean","57C10","normal","virgin_10dS",5.08290076335878
"yeast","ActivityBoutDurarion","AB_duration_mean","57C10","normal","virgin_10dS",5.076
"yeast","ActivityBoutDurarion","AB_duration_mean","57C10","normal","virgin_10dS",9.40028037383177
"yeast","ActivityBoutDurarion","AB_duration_mean","57C10","normal","virgin_10dS",17.1684285714286
"yeast","ActivityBoutDurarion","AB_duration_mean","57C10","normal","virgin_10dS",4.71237704918033
"yeast","ActivityBoutDurarion","AB_duration_mean","57C10","normal","virgin_10dS",13.236724137931
"yeast","ActivityBoutDurarion","AB_duration_mean","57C10","normal","virgin_10dS",13.7497945205479
"yeast","ActivityBoutDurarion","AB_duration_mean","57C10","normal","virgin_10dS",11.7564084507042
"yeast","ActivityBoutDurarion","AB_duration_mean","57C10","normal","virgin_10dS",8.81177142857143
"yeast","ActivityBoutDurarion","AB_duration_mean","57C10","normal","virgin_10dS",10.8462962962963
"yeast","ActivityBoutDurarion","AB_duration_mean","57C10","normal","virgin_10dS",11.3592727272727
"yeast","ActivityBoutDurarion","AB_duration_mean","57C10","normal","virgin_10dS",11.3833333333333
"sucrose","ActivityBoutDurarion","AB_duration_mean","57C10","normal","virgin_10dS",5.90272727272727
"sucrose","ActivityBoutDurarion","AB_duration_mean","57C10","normal","virgin_10dS",7.58504950495049
"sucrose","ActivityBoutDurarion","AB_duration_mean","57C10","normal","virgin_10dS",12.2620588235294
"sucrose","ActivityBoutDurarion","AB_duration_mean","57C10","normal","virgin_10dS",5.31411764705882
"sucrose","ActivityBoutDurarion","AB_duration_mean","57C10","normal","virgin_10dS",11.6463636363636
"sucrose","ActivityBoutDurarion","AB_duration_mean","57C10","normal","virgin_10dS",3.42379310344828
"sucrose","ActivityBoutDurarion","AB_duration_mean","57C10","normal","virgin_10dS",3.20625
"sucrose","ActivityBoutDurarion","AB_duration_mean","57C10","normal","virgin_10dS",2.22
"sucrose","ActivityBoutDurarion","AB_duration_mean","57C10","normal","virgin_10dS",6.49
"sucrose","ActivityBoutDurarion","AB_duration_mean","57C10","normal","virgin_10dS",2.29142857142857
"sucrose","ActivityBoutDurarion","AB_duration_mean","57C10","normal","virgin_10dS",2.89317073170732
"sucrose","ActivityBoutDurarion","AB_duration_mean","57C10","normal","virgin_10dS",3.61838709677419
"sucrose","ActivityBoutDurarion","AB_duration_mean","57C10","normal","virgin_10dS",3.182
"sucrose","ActivityBoutDurarion","AB_duration_mean","57C10","normal","virgin_10dS",1.77
"sucrose","ActivityBoutDurarion","AB_duration_mean","57C10","normal","virgin_10dS",3.96285714285714
"sucrose","ActivityBoutDurarion","AB_duration_mean","57C10","normal","virgin_10dS",2.66837837837838
"sucrose","ActivityBoutDurarion","AB_duration_mean","57C10","normal","virgin_10dS",4.05888888888889
"sucrose","ActivityBoutDurarion","AB_duration_mean","57C10","normal","virgin_10dS",3.85363636363636
"sucrose","ActivityBoutDurarion","AB_duration_mean","57C10","normal","virgin_10dS",7.12782608695652
"sucrose","ActivityBoutDurarion","AB_duration_mean","57C10","normal","virgin_10dS",4.38526315789474
"sucrose","ActivityBoutDurarion","AB_duration_mean","57C10","normal","virgin_10dS",2.665
"sucrose","ActivityBoutDurarion","AB_duration_mean","57C10","normal","virgin_10dS",1.285
"sucrose","ActivityBoutDurarion","AB_duration_mean","57C10","normal","virgin_10dS",6.965
"sucrose","ActivityBoutDurarion","AB_duration_mean","57C10","normal","virgin_10dS",3.04631578947368
"yeast","ActivityBoutTotalDuration","AB_duration_total","57C10","normal","virgin_10dS",1956.42
"yeast","ActivityBoutTotalDuration","AB_duration_total","57C10","normal","virgin_10dS",563.57
"yeast","ActivityBoutTotalDuration","AB_duration_total","57C10","normal","virgin_10dS",909.35
"yeast","ActivityBoutTotalDuration","AB_duration_total","57C10","normal","virgin_10dS",671.86
"yeast","ActivityBoutTotalDuration","AB_duration_total","57C10","normal","virgin_10dS",1120.38
"yeast","ActivityBoutTotalDuration","AB_duration_total","57C10","normal","virgin_10dS",660.51
"yeast","ActivityBoutTotalDuration","AB_duration_total","57C10","normal","virgin_10dS",310.94
"yeast","ActivityBoutTotalDuration","AB_duration_total","57C10","normal","virgin_10dS",252.53
"yeast","ActivityBoutTotalDuration","AB_duration_total","57C10","normal","virgin_10dS",626.1
"yeast","ActivityBoutTotalDuration","AB_duration_total","57C10","normal","virgin_10dS",1123.46
"yeast","ActivityBoutTotalDuration","AB_duration_total","57C10","normal","virgin_10dS",418.91
"yeast","ActivityBoutTotalDuration","AB_duration_total","57C10","normal","virgin_10dS",347.3
"yeast","ActivityBoutTotalDuration","AB_duration_total","57C10","normal","virgin_10dS",734.1
"yeast","ActivityBoutTotalDuration","AB_duration_total","57C10","normal","virgin_10dS",665.86
"yeast","ActivityBoutTotalDuration","AB_duration_total","57C10","normal","virgin_10dS",812.16
"yeast","ActivityBoutTotalDuration","AB_duration_total","57C10","normal","virgin_10dS",1005.83
"yeast","ActivityBoutTotalDuration","AB_duration_total","57C10","normal","virgin_10dS",1201.79
"yeast","ActivityBoutTotalDuration","AB_duration_total","57C10","normal","virgin_10dS",574.91
"yeast","ActivityBoutTotalDuration","AB_duration_total","57C10","normal","virgin_10dS",767.73
"yeast","ActivityBoutTotalDuration","AB_duration_total","57C10","normal","virgin_10dS",2007.47
"yeast","ActivityBoutTotalDuration","AB_duration_total","57C10","normal","virgin_10dS",1669.41
"yeast","ActivityBoutTotalDuration","AB_duration_total","57C10","normal","virgin_10dS",1542.06
"yeast","ActivityBoutTotalDuration","AB_duration_total","57C10","normal","virgin_10dS",292.85
"yeast","ActivityBoutTotalDuration","AB_duration_total","57C10","normal","virgin_10dS",1249.52
"yeast","ActivityBoutTotalDuration","AB_duration_total","57C10","normal","virgin_10dS",1092.8
"sucrose","ActivityBoutTotalDuration","AB_duration_total","57C10","normal","virgin_10dS",129.86
