"spot","parameter","id","experiment","type","condition","value"
"yeast","NumberOfSips","sips_n","2021-01_set2_TrpA1_2","TrpA1","78G03",885
"yeast","NumberOfSips","sips_n","2021-01_set2_TrpA1_2","TrpA1","78G03",781
"yeast","NumberOfSips","sips_n","2021-01_set2_TrpA1_2","TrpA1","78G03",702
"yeast","NumberOfSips","sips_n","2021-01_set2_TrpA1_2","TrpA1","78G03",3324
"yeast","NumberOfSips","sips_n","2021-01_set2_TrpA1_2","TrpA1","78G03",281
"yeast","NumberOfSips","sips_n","2021-01_set2_TrpA1_2","TrpA1","78G03",1296
"yeast","NumberOfSips","sips_n","2021-01_set2_TrpA1_2","TrpA1","78G03",1976
"yeast","NumberOfSips","sips_n","2021-01_set2_TrpA1_2","TrpA1","78G03",1268
"yeast","NumberOfSips","sips_n","2021-01_set2_TrpA1_2","TrpA1","78G03",2320
"yeast","NumberOfSips","sips_n","2021-01_set2_TrpA1_2","TrpA1","78G03",1256
"yeast","NumberOfSips","sips_n","2021-01_set2_TrpA1_2","TrpA1","78G03",2629
"yeast","NumberOfSips","sips_n","2021-01_set2_TrpA1_2","TrpA1","78G03",3330
"yeast","NumberOfSips","sips_n","2021-01_set2_TrpA1_2","TrpA1","78G03",1367
"yeast","NumberOfSips","sips_n","2021-01_set2_TrpA1_2","TrpA1","78G03",4476
"yeast","NumberOfSips","sips_n","2021-01_set2_TrpA1_2","TrpA1","78G03",671
"yeast","NumberOfSips","sips_n","2021-01_set2_TrpA1_2","TrpA1","78G03",164
"yeast","NumberOfSips","sips_n","2021-01_set2_TrpA1_2","TrpA1","78G03",1052
"yeast","NumberOfSips","sips_n","2021-01_set2_TrpA1_2","TrpA1","78G03",1400
"yeast","NumberOfSips","sips_n","2021-01_set2_TrpA1_2","TrpA1","78G03",1352
"yeast","NumberOfSips","sips_n","2021-01_set2_TrpA1_2","TrpA1","78G03",3045
"yeast","NumberOfSips","sips_n","2021-01_set2_TrpA1_2","TrpA1","78G03",1324
"yeast","NumberOfSips","sips_n","2021-01_set2_TrpA1_2","TrpA1","78G03",3536
"yeast","NumberOfSips","sips_n","2021-01_set2_TrpA1_2","TrpA1","78G03",2036
"yeast","NumberOfSips","sips_n","2021-01_set2_TrpA1_2","TrpA1","78G03",3403
"sucrose","NumberOfSips","sips_n","2021-01_set2_TrpA1_2","TrpA1","78G03",1055
"sucrose","NumberOfSips","sips_n","2021-01_set2_TrpA1_2","TrpA1","78G03",126
"sucrose","NumberOfSips","sips_n","2021-01_set2_TrpA1_2","TrpA1","78G03",96
"sucrose","NumberOfSips","sips_n","2021-01_set2_TrpA1_2","TrpA1","78G03",76
"sucrose","NumberOfSips","sips_n","2021-01_set2_TrpA1_2","TrpA1","78G03",38
"sucrose","NumberOfSips","sips_n","2021-01_set2_TrpA1_2","TrpA1","78G03",44
"sucrose","NumberOfSips","sips_n","2021-01_set2_TrpA1_2","TrpA1","78G03",110
"sucrose","NumberOfSips","sips_n","2021-01_set2_TrpA1_2","TrpA1","78G03",40
"sucrose","NumberOfSips","sips_n","2021-01_set2_TrpA1_2","TrpA1","78G03",17
"sucrose","NumberOfSips","sips_n","2021-01_set2_TrpA1_2","TrpA1","78G03",10
"sucrose","NumberOfSips","sips_n","2021-01_set2_TrpA1_2","TrpA1","78G03",55
"sucrose","NumberOfSips","sips_n","2021-01_set2_TrpA1_2","TrpA1","78G03",382
"sucrose","NumberOfSips","sips_n","2021-01_set2_TrpA1_2","TrpA1","78G03",242
"sucrose","NumberOfSips","sips_n","2021-01_set2_TrpA1_2","TrpA1","78G03",107
"sucrose","NumberOfSips","sips_n","2021-01_set2_TrpA1_2","TrpA1","78G03",320
"sucrose","NumberOfSips","sips_n","2021-01_set2_TrpA1_2","TrpA1","78G03",129
"sucrose","NumberOfSips","sips_n","2021-01_set2_TrpA1_2","TrpA1","78G03",134
"sucrose","NumberOfSips","sips_n","2021-01_set2_TrpA1_2","TrpA1","78G03",255
"sucrose","NumberOfSips","sips_n","2021-01_set2_TrpA1_2","TrpA1","78G03",140
"sucrose","NumberOfSips","sips_n","2021-01_set2_TrpA1_2","TrpA1","78G03",34
"sucrose","NumberOfSips","sips_n","2021-01_set2_TrpA1_2","TrpA1","78G03",65
"sucrose","NumberOfSips","sips_n","2021-01_set2_TrpA1_2","TrpA1","78G03",1
"sucrose","NumberOfSips","sips_n","2021-01_set2_TrpA1_2","TrpA1","78G03",23
"sucrose","NumberOfSips","sips_n","2021-01_set2_TrpA1_2","TrpA1","78G03",92
"yeast","FeedingBurst.nSips","sips_per_burst","2021-01_set2_TrpA1_2","TrpA1","78G03",8.33720930232558
"yeast","FeedingBurst.nSips","sips_per_burst","2021-01_set2_TrpA1_2","TrpA1","78G03",3.37931034482759
"yeast","FeedingBurst.nSips","sips_per_burst","2021-01_set2_TrpA1_2","TrpA1","78G03",4.88405797101449
"yeast","FeedingBurst.nSips","sips_per_burst","2021-01_set2_TrpA1_2","TrpA1","78G03",5.95736434108527
"yeast","FeedingBurst.nSips","sips_per_burst","2021-01_set2_TrpA1_2","TrpA1","78G03",4.07692307692308
"yeast","FeedingBurst.nSips","sips_per_burst","2021-01_set2_TrpA1_2","TrpA1","78G03",3.41379310344828
"yeast","FeedingBurst.nSips","sips_per_burst","2021-01_set2_TrpA1_2","TrpA1","78G03",3.616
