"X","fly","condition","runlength","position","starttime","duration"
0,"cam02_2021-03-19T09_59_15_topleft","78E06",145,4643,154.7848704,4.8345984
1,"cam02_2021-03-19T09_59_15_topleft","78E06",8,4799,159.9855232,0.264563199999998
2,"cam02_2021-03-19T09_59_15_topleft","78E06",78,9556,318.5358592,2.60014080000002
3,"cam02_2021-03-19T09_59_15_topleft","78E06",54,13309,443.6216704,1.8024704
4,"cam02_2021-03-19T09_59_15_topleft","78E06",86,13699,456.6208512,2.86705919999997
5,"cam02_2021-03-19T09_59_15_topleft","78E06",12,13845,461.4867584,0.399871999999959
6,"cam02_2021-03-19T09_59_15_topleft","78E06",25,14075,469.1520768,0.834905599999956
7,"cam02_2021-03-19T09_59_15_topleft","78E06",50,14213,473.7517184,1.66603520000001
8,"cam02_2021-03-19T09_59_15_topleft","78E06",39,14558,485.2503552,1.30050559999995
9,"cam02_2021-03-19T09_59_15_topleft","78E06",87,18321,610.6713984,2.89867519999996
10,"cam02_2021-03-19T09_59_15_topleft","78E06",6,18446,614.8381312,0.199167999999986
11,"cam02_2021-03-19T09_59_15_topleft","78E06",96,22908,763.5560832,3.19743999999991
12,"cam02_2021-03-19T09_59_15_topleft","78E06",68,25213,840.3821312,2.26643200000001
13,"cam02_2021-03-19T09_59_15_topleft","78E06",15,25361,845.3135488,0.498892800000021
14,"cam02_2021-03-19T09_59_15_topleft","78E06",34,25531,850.979648,1.13369599999999
15,"cam02_2021-03-19T09_59_15_topleft","78E06",85,46379,1545.841152,2.83432960000005
16,"cam02_2021-03-19T09_59_15_topleft","78E06",106,47916,1597.069632,3.53452799999991
17,"cam02_2021-03-19T09_59_15_topleft","78E06",7,51251,1708.2252416,0.233894400000054
18,"cam02_2021-03-19T09_59_15_topleft","78E06",53,51336,1711.0573184,1.76645119999989
19,"cam02_2021-03-19T09_59_15_topleft","78E06",31,51877,1729.0897792,1.03256320000014
20,"cam02_2021-03-19T09_59_15_topleft","78E06",26,51928,1730.7886208,0.866713599999912
21,"cam02_2021-03-19T09_59_15_topleft","78E06",2,83427,2780.6468992,0.0664320000000771
22,"cam02_2021-03-19T09_59_15_topleft","78E06",8,91987,3065.9513088,0.267033600000104
23,"cam02_2021-03-19T09_59_15_topleft","78E06",9,93808,3126.6450048,0.299404800000047
24,"cam02_2021-03-19T09_59_15_topleft","78E06",18,93851,3128.0780544,0.599756799999796
25,"cam02_2021-03-19T09_59_15_topleft","78E06",499,107328,3577.2653312,16.6314240000002
26,"cam02_2021-03-19T09_59_15_topleft","78E06",91,107833,3594.0968704,3.03348480000022
0,"cam02_2021-03-19T09_59_15_topright","78E06",192,31519,1050.559616,6.39906559999986
0,"cam02_2021-03-19T09_59_15_bottomleft","78E06",42,11267,375.561664,1.39962880000002
1,"cam02_2021-03-19T09_59_15_bottomleft","78E06",82,12043,401.4274688,2.73122560000002
2,"cam02_2021-03-19T09_59_15_bottomleft","78E06",38,12132,404.3939072,1.26613759999998
3,"cam02_2021-03-19T09_59_15_bottomleft","78E06",113,16042,534.711744,3.76564480000002
4,"cam02_2021-03-19T09_59_15_bottomleft","78E06",105,17325,577.475392,3.4997376
5,"cam02_2021-03-19T09_59_15_bottomleft","78E06",41,18823,627.4029824,1.3666432
6,"cam02_2021-03-19T09_59_15_bottomleft","78E06",1,18879,629.2695296,0.0331648000000087
7,"cam02_2021-03-19T09_59_15_bottomleft","78E06",136,19903,663.3984512,4.53271040000004
8,"cam02_2021-03-19T09_59_15_bottomleft","78E06",17,20044,668.0984832,0.56704000000002
9,"cam02_2021-03-19T09_59_15_bottomleft","78E06",13,21519,717.2610688,0.433459200000016
10,"cam02_2021-03-19T09_59_15_bottomleft","78E06",24,21560,718.6261632,0.797990400000003
11,"cam02_2021-03-19T09_59_15_bottomleft","78E06",162,22170,738.9595648,5.40087039999992
12,"cam02_2021-03-19T09_59_15_bottomleft","78E06",25,24118,803.8840832,0.833062399999903
13,"cam02_2021-03-19T09_59_15_bottomleft","78E06",4,25153,838.3812992,0.134105599999998
14,"cam02_2021-03-19T09_59_15_bottomleft","78E06",190,28399,946.5714432,6.33327359999998
15,"cam02_2021-03-19T09_59_15_bottomleft","78E06",176,29484,982.7344384,5.86558720000016
16,"cam02_2021-03-19T09_59_15_bottomleft","78E06",246,32920,1097.2544512,8.19959040000003
17,"cam02_2021-03-19T09_59_15_bottomleft","78E06",258,35053,1168.34656,8.59921919999988
18,"cam02_2021-03-19T09_59_15_bottomleft","78E06",298,38768,1292.1676928,9.9329408000001
19,"cam02_2021-03-19T09_59_15_bottomleft","78E06",176,41754,1391.6904192,5.86561280000001
20,"cam02_2021-03-19T09_59_15_bottomleft","78E06",60,46814,1560.3394304,2.00008959999991
21,"cam02_2021-03-19T09_59_15_bottomleft","78E06",63,46877,1562.4391424,2.0997248000001
22,"cam02_2021-03-19T09_59_15_bottomleft","78E06",155,65440,2181.1419648,5.16670720000002
23,"cam02_2021-03-19T09_59_15_bottomleft","78E06",90,66250,2208.1396096,2.99956479999992
24,"cam02_2021-03-19T09_59_15_bottomleft","78E06",114,70247,2341.3598976,3.79966719999993
