region_mp,region_bc,size_mp,size_bc,overlap,overlap mp,overlab bc
"(21, 9)",11,4122,1462,890,0.215914604560893,0.60875512995896
"(21, 9)",51,4122,1405,721,0.174915089762251,0.513167259786477
"(21, 9)",0,4122,1744899,436,0.105773896166909,0.000249871195983263
"(21, 9)",27,4122,1521,330,0.0800582241630277,0.216962524654832
"(21, 9)",31,4122,616,308,0.0747210092188258,0.5
"(21, 9)",2,4122,2872,197,0.0477923338185347,0.0685933147632312
"(21, 9)",6,4122,866,194,0.047064531780689,0.224018475750577
"(21, 9)",56,4122,535,135,0.0327510917030568,0.252336448598131
"(21, 9)",15,4122,1725,125,0.0303250849102377,0.072463768115942
"(21, 9)",16,4122,1620,118,0.0286268801552644,0.0728395061728395
"(21, 9)",54,4122,411,95,0.0230470645317807,0.231143552311435
"(21, 9)",35,4122,419,94,0.0228044638524988,0.224343675417661
"(21, 9)",44,4122,460,60,0.0145560407569141,0.130434782608696
"(21, 9)",14,4122,404,58,0.0140708393983503,0.143564356435644
"(21, 9)",36,4122,856,53,0.0128578360019408,0.0619158878504673
"(21, 9)",7,4122,691,40,0.00970402717127608,0.0578871201157742
"(21, 9)",39,4122,641,38,0.00921882581271228,0.0592823712948518
"(21, 9)",52,4122,409,36,0.00873362445414847,0.0880195599022005
"(21, 9)",9,4122,490,31,0.00752062105773896,0.063265306122449
"(21, 9)",46,4122,606,24,0.00582241630276565,0.0396039603960396
"(21, 9)",20,4122,1167,22,0.00533721494420184,0.0188517566409597
"(21, 9)",53,4122,998,20,0.00485201358563804,0.0200400801603206
"(21, 9)",12,4122,984,19,0.00460941290635614,0.0193089430894309
"(21, 9)",13,4122,1333,19,0.00460941290635614,0.0142535633908477
"(21, 9)",32,4122,1681,14,0.00339640950994663,0.0083283759666865
"(21, 9)",37,4122,617,8,0.00194080543425522,0.0129659643435981
"(21, 9)",59,4122,463,8,0.00194080543425522,0.0172786177105832
"(21, 9)",34,4122,924,6,0.00145560407569141,0.00649350649350649
"(21, 9)",8,4122,1290,5,0.00121300339640951,0.00387596899224806
"(21, 9)",24,4122,460,5,0.00121300339640951,0.0108695652173913
"(21, 9)",5,4122,448,4,0.000970402717127608,0.00892857142857143
"(21, 9)",26,4122,1071,3,0.000727802037845706,0.00280112044817927
"(21, 9)",28,4122,951,3,0.000727802037845706,0.00315457413249211
"(21, 9)",49,4122,482,2,0.000485201358563804,0.004149377593361
"(21, 9)",58,4122,609,1,0.000242600679281902,0.00164203612479475
"(21, 9)",1,4122,1368,0,0,0
"(21, 9)",3,4122,548,0,0,0
"(21, 9)",4,4122,1648,0,0,0
"(21, 9)",10,4122,1232,0,0,0
"(21, 9)",17,4122,569,0,0,0
"(21, 9)",18,4122,986,0,0,0
"(21, 9)",19,4122,891,0,0,0
"(21, 9)",21,4122,904,0,0,0
"(21, 9)",22,4122,604,0,0,0
"(21, 9)",23,4122,1180,0,0,0
"(21, 9)",25,4122,469,0,0,0
"(21, 9)",29,4122,816,0,0,0
"(21, 9)",30,4122,421,0,0,0
"(21, 9)",33,4122,1023,0,0,0
"(21, 9)",38,4122,1097,0,0,0
"(21, 9)",40,4122,186,0,0,0
"(21, 9)",41,4122,713,0,0,0
"(21, 9)",42,4122,2345,0,0,0
"(21, 9)",43,4122,1109,0,0,0
"(21, 9)",45,4122,878,0,0,0
"(21, 9)",47,4122,772,0,0,0
"(21, 9)",48,4122,1651,0,0,0
"(21, 9)",50,4122,831,0,0,0
"(21, 9)",55,4122,1113,0,0,0
"(21, 9)",57,4122,1313,0,0,0
"(21, 9)",60,4122,1187,0,0,0
"(57, 60)",36,2079,856,549,0.264069264069264,0.641355140186916
"(57, 60)",38,2079,1097,384,0.184704184704185,0.350045578851413
"(57, 60)",20,2079,1167,351,0.168831168831169,0.300771208226221
"(57, 60)",26,2079,1071,312,0.15007215007215,0.291316526610644
"(57, 60)",30,2079,421,103,0.0495430495430495,0.244655581947743
"(57, 60)",35,2079,419,65,0.0312650312650313,0.155131264916468
"(57, 60)",34,2079,924,56,0.0269360269360269,0.0606060606060606
"(57, 60)",2,2079,2872,52,0.025012025012025,0.0181058495821727
"(57, 60)",24,2079,460,52,0.025012025012025,0.11304347826087
"(57, 60)",40,2079,186,51,0.0245310245310245,0.274193548387097
"(57, 60)",27,2079,1521,44,0.0211640211640212,0.0289283366206443
"(57, 60)",37,2079,617,31,0.0149110149110149,0.0502431118314425
"(57, 60)",59,2079,463,16,0.0076960076960077,0.0345572354211663
"(57, 60)",45,2079,878,11,0.00529100529100529,0.0125284738041002
"(57, 60)",4,2079,1648,1,0.000481000481000481,0.000606796116504854
"(57, 60)",39,2079,641,1,0.000481000481000481,0.0015600624024961
"(57, 60)",0,2079,1744899,0,0,0
"(57, 60)",1,2079,1368,0,0,0
"(57, 60)",3,2079,548,0,0,0
"(57, 60)",5,2079,448,0,0,0
"(57, 60)",6,2079,866,0,0,0
