region,state,fly,stimulus,concentration,stimulus_nr,recording,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1,dilution_mated_10d_sucrose,dm_R57C10xGC6s_10dS_20210719a,sucrose,1M,10,dm_R57C10xGC6s_10dS_20210719a_10_sucrose_1M_transformed_gauss.nii,2598.7385,2649.2617,2623.0552,2655.0632,2630.5005,2606.0315,2643.5715,2643.3179,2569.7888,2608.257,2589.5708,2607.3403,2638.1528,2598.3025,2599.5537,2562.275,2603.8958,2583.6077,2533.8406,2577.7522,2577.961,2669.5554,2590.1804,2703.8274,2712.1265,2686.959,2704.1328,2735.837,2642.9358,2753.721,2644.4712,2682.5898,2699.048,2678.0508,2713.2075,2685.8005,2755.3193,2647.232,2675.597,2682.51,2666.6743,2695.2664,2693.5315,2716.1714,2716.8533,2768.5854,2759.1013,2741.1782,2775.115,2774.2458,2791.4026,2722.526,2716.8909,2673.422,2633.8364,2665.2507,2662.432,2687.2207,2707.4736,2710.773
2,dilution_mated_10d_sucrose,dm_R57C10xGC6s_10dS_20210719a,sucrose,1M,10,dm_R57C10xGC6s_10dS_20210719a_10_sucrose_1M_transformed_gauss.nii,1970.8912,1977.4131,1982.2854,1982.774,1972.6697,1992.3279,1985.7534,1981.2017,1988.4283,1978.5516,1966.6252,1992.9775,1974.1552,1975.8613,1988.7344,1973.1404,1995.7974,2004.4739,1964.7654,1987.9325,1984.8104,1982.6605,1983.713,1987.6827,1976.9202,1986.3821,1980.0479,1997.126,1991.3962,1984.9646,1984.8188,1983.9711,1976.64,1983.4717,1987.3309,1971.1528,1984.7076,1995.6497,1982.765,1985.5259,1979.0944,1977.6643,1986.993,1985.357,1984.736,1982.7958,1967.4241,1979.9624,2002.2037,1985.0933,1998.0017,1970.3235,1980.5587,1976.7633,1982.2255,1977.1072,1984.1766,1979.4492,1995.0406,1975.7126
3,dilution_mated_10d_sucrose,dm_R57C10xGC6s_10dS_20210719a,sucrose,1M,10,dm_R57C10xGC6s_10dS_20210719a_10_sucrose_1M_transformed_gauss.nii,3620.654,3408.8806,3460.6375,3473.7795,3190.2947,3040.8992,3084.0447,3284.9111,3103.361,3048.6226,3238.0833,3227.7207,3008.937,3068.6604,3258.726,2926.045,3305.1907,3046.9124,3331.294,3184.747,3072.3745,3232.8794,3132.373,3120.5498,3259.2493,3255.589,3301.3726,3111.5178,3231.3242,3291.3237,3062.321,3230.3413,3028.9866,3287.8135,3105.7234,3079.7783,3220.678,3095.2861,3234.4192,3419.039,3289.6196,3227.666,3345.6506,3398.3557,3154.2766,3229.3005,3402.4722,3339.3853,3413.5227,3348.5466,3379.2437,3057.69,3216.4539,3273.9062,3281.6277,3330.0754,3058.0588,3230.267,3341.8027,3209.4028
4,dilution_mated_10d_sucrose,dm_R57C10xGC6s_10dS_20210719a,sucrose,1M,10,dm_R57C10xGC6s_10dS_20210719a_10_sucrose_1M_transformed_gauss.nii,3728.679,3828.9077,3588.4592,3553.7285,3514.3586,3508.1228,3517.334,3488.196,3478.3623,3421.5198,3546.0457,3575.592,3679.2324,3641.4631,3712.8936,3542.287,3678.8464,3549.6372,3563.7012,3486.485,3607.039,3732.008,3874.2126,3821.202,3894.7373,3823.745,3661.8064,3692.7334,3654.3877,3586.4578,3554.68,3605.7566,3587.7354,3653.6423,3293.672,3600.8013,3520.2898,3545.012,3557.7407,3645.9453,3533.7566,3577.6736,3558.3677,3610.8975,3618.5232,3554.571,3522.0703,3590.2878,3704.4783,3687.7124,3780.2656,3630.7341,3780.708,3685.6914,3656.7205,3590.2673,3704.4158,3666.1282,3723.1692,3620.808
5,dilution_mated_10d_sucrose,dm_R57C10xGC6s_10dS_20210719a,sucrose,1M,10,dm_R57C10xGC6s_10dS_20210719a_10_sucrose_1M_transformed_gauss.nii,2775.433,2825.5405,2750.8057,2766.105,2746.76,2769.072,2768.2898,2776.2754,2747.842,2713.9302,2783.7512,2817.1724,2885.088,2835.2432,2874.4055,2840.4744,2856.0903,2764.841,2736.0605,2736.1812,2785.8372,2856.1973,2841.2837,2886.4768,2847.5889,2858.7576,2877.8909,2874.2795,2859.3523,2897.4114,2838.593,2869.816,2819.501,2831.0652,2795.8955,2806.2505,2823.401,2807.29,2833.4048,2817.4248,2800.7134,2831.0146,2806.1787,2823.5808,2792.2524,2814.6406,2758.4614,2818.4429,2841.0068,2827.598,2848.535,2793.2517,2796.966,2832.5293,2791.9756,2762.106,2788.2463,2758.1287,2810.8599,2804.9497
6,dilution_mated_10d_sucrose,dm_R57C10xGC6s_10dS_20210719a,sucrose,1M,10,dm_R57C10xGC6s_10dS_20210719a_10_sucrose_1M_transformed_gauss.nii,2448.039,2479.2134,2418.1956,2492.5393,2477.9795,2461.8276,2516.7734,2435.335,2509.8503,2525.9492,2505.9272,2523.5015,2620.9783,2583.2183,2603.728,2579.8516,2585.2258,2492.1194,2472.4104,2454.1746,2512.2053,2626.586,2612.0193,2527.274,2509.2537,2465.722,2568.2886,2564.2393,2522.387,2556.5159,2550.1968,2511.6772,2528.95,2516.034,2329.2952,2449.327,2494.89,2462.0752,2511.9963,2483.4407,2500.8147,2466.5757,2474.5537,2497.1587,2508.5842,2484.3857,2350.574,2478.9192,2464.3171,2478.6418,2536.5977,2438.0461,2536.864,2493.3325,2472.1643,2499.45,2497.455,2477.3562,2550.0466,2517.3606
7,dilution_mated_10d_sucrose,dm_R57C10xGC6s_10dS_20210719a,sucrose,1M,10,dm_R57C10xGC6s_10dS_20210719a_10_sucrose_1M_transformed_gauss.nii,1955.5905,2000.4729,1953.8364,1978.8226,1984.2587,1993.9589,1987.2104,2000.2007,1982.583,2008.2778,1985.5752,2002.2535,2046.6958,1998.4801,1993.4008,1987.2882,2017.2374,1987.4398,1966.5304,1970.8821,1994.1471,1989.3069,1997.4125,2057.018,2011.2292,2060.164,2021.7761,2044.8794,2017.4131,2006.1013,2011.9036,2008.5065,2019.8104,2007.4945,2021.3406,2071.068,2037.064,2008.3921,2041.6803,1983.579,1982.0583,1979.3165,1990.6617,2015.6353,1994.501,1992.2246,2004.6508,2065.3555,2043.6993,2049.3164,2044.8809,2023.4537,2009.0797,2009.9469,2041.4783,2003.9581,2014.288,2018.6013,2041.792,2006.4376
8,dilution_mated_10d_sucrose,dm_R57C10xGC6s_10dS_20210719a,sucrose,1M,10,dm_R57C10xGC6s_10dS_20210719a_10_sucrose_1M_transformed_gauss.nii,1889.3193,1925.732,1913.0254,1917.553,1900.1674,1936.1176,1913.9526,1923.0621,1920.0789,1942.8223,1917.8022,1932.2031,1941.645,1933.1528,1927.0453,1930.4945,1945.6118,1947.9554,1922.9291,1933.8259,1950.9211,1949.0905,1917.3594,1920.8677,1940.6155,1950.1196,1939.0112,1962.623,1940.0328,1932.4342,1941.1752,1914.7948,1945.043,1948.9751,1894.4631,1915.9877,1954.9174,1948.7006,1936.0284,1952.0621,1924.5095,1947.4171,1921.5815,1939.9865,1921.209,1949.4578,1912.9515,1952.7388,1943.7192,1975.1454,1953.6072,1937.6989,1953.1638,1929.5203,1949.2198,1945.9227,1945.4015,1942.2529,1956.6901,1916.3293
9,dilution_mated_10d_sucrose,dm_R57C10xGC6s_10dS_20210719a,sucrose,1M,10,dm_R57C10xGC6s_10dS_20210719a_10_sucrose_1M_transformed_gauss.nii,2084.1755,2098.9075,2097.4153,2100.344,2090.0796,2096.296,2106.7542,2093.7483,2099.5085,2087.9858,2120.6133,2176.6008,2238.308,2220.079,2236.4773,2215.765,2184.0735,2164.01,2128.1462,2123.8867,2143.2344,2195.884,2189.4163,2198.2297,2147.8772,2163.3054,2151.8054,2157.0713,2145.645,2151.723,2135.2651,2135.9058,2121.9004,2108.1428,2102.6326,2113.9465,2120.8882,2116.4275,2114.2356,2102.9453,2103.1814,2112.8662,2098.624,2098.5898,2104.7417,2106.0679,2073.028,2096.9697,2091.2327,2076.5835,2105.4792,2101.0615,2088.8877,2093.947,2090.287,2094.3318,2084.1802,2076.95,2102.0737,2088.8525
10,dilution_mated_10d_sucrose,dm_R57C10xGC6s_10dS_20210719a,sucrose,1M,10,dm_R57C10xGC6s_10dS_20210719a_10_sucrose_1M_transformed_gauss.nii,2031.9049,2055.0146,2035.2905,2035.595,2033.462,2058.9236,2029.2037,2064.6885,2048.0947,2037.5914,2046.4503,2047.5237,2083.5723,2072.0344,2072.3274,2070.4983,2074.8972,2062.8535,2057.8936,2035.7808,2049.221,2047.0986,2044.0327,2028.2328,2024.733,2012.8297,2016.7251,2034.2717,2036.9031,2026.4335,2010.8871,2023.7825,2027.4354,2015.3174,1985.536,1984.7377,2023.3931,1999.9879,2015.1031,2003.4637,1999.9624,2012.1931,2012.492,2019.2417,1991.8304,2005.4308,1966.1841,1996.0762,2001.8182,2035.1934,2015.1042,2010.6157,2008.4652,2011.8215,2014.0946,1992.6678,2042.6056,2027.1536,2016.8997,2021.2734
