region,state,fly,stimulus,concentration,stimulus_nr,recording,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1,dilution_mated_10d_sucrose,dm_R57C10xGC6s_10dS_20210719c,sucrose,1M,10,dm_R57C10xGC6s_10dS_20210719c_10_sucrose_1M_transformed_gauss.nii,3723.0881,3946.1875,3916.9746,4000.9924,3835.1514,3910.4941,3999.8896,4035.475,4014.0166,3929.355,4060.0684,4206.7915,4203.55,4199.883,4191.5728,4149.707,4244.726,4152.26,4100.1914,4007.5266,4107.4995,4197.0615,4135.669,4057.0374,3959.6116,4134.9634,4235.5205,4072.7087,4195.859,4216.962,4157.686,4194.1846,4112.0894,4108.8276,4094.1282,4015.741,4097.348,4118.2095,4102.6606,4141.402,4159.596,4183.019,4145.048,4089.2822,4083.6921,4131.63,4158.3213,4168.082,4099.59,4103.2505,3962.574,4024.6543,4121.339,3976.0024,4098.9883,4045.7732,4140.9478,4144.9087,4081.355,4076.7346
2,dilution_mated_10d_sucrose,dm_R57C10xGC6s_10dS_20210719c,sucrose,1M,10,dm_R57C10xGC6s_10dS_20210719c_10_sucrose_1M_transformed_gauss.nii,2606.6772,2796.7585,2753.8176,2860.098,2861.9514,2745.5842,2886.0305,2863.6382,2833.5933,2801.5762,2886.2727,2978.9866,2996.6204,3009.579,2991.385,3003.163,2978.3152,2949.207,2903.6868,2948.2322,2901.6611,3001.9949,3054.8193,3004.0457,3011.5415,3004.0422,3058.77,3005.0032,3067.2544,2953.3416,2952.3608,3029.894,2990.8403,3019.286,3038.6338,2998.5876,3021.654,3012.267,2966.3901,3008.0142,2970.7383,2968.1968,3001.0024,3039.1292,3051.0928,2926.9993,3062.2258,2974.5444,3027.8555,3052.714,2970.58,3072.558,2976.843,3091.48,3013.8345,3044.1108,3072.3489,2994.6716,2967.9868,2986.7666
3,dilution_mated_10d_sucrose,dm_R57C10xGC6s_10dS_20210719c,sucrose,1M,10,dm_R57C10xGC6s_10dS_20210719c_10_sucrose_1M_transformed_gauss.nii,5013.238,4798.218,4699.9424,4581.7944,4661.2407,4741.2354,4799.236,4571.1797,4796.4326,4809.9185,4718.4014,4732.194,4679.8677,4582.171,5180.9375,4927.849,4906.908,4863.764,4819.32,4494.325,4903.314,5072.7905,4783.6895,4892.5654,4714.1826,5164.2466,5384.215,5389.4575,5096.8237,5149.3105,5042.408,5293.719,5094.519,4983.6562,5205.7485,5038.1553,5232.724,4908.7603,5126.4854,5114.298,5044.865,5072.3687,4986.319,5168.8037,5112.7427,4882.6646,5004.5073,5042.267,4792.3286,5295.114,5054.5,5090.5522,5297.1885,5175.628,4831.175,5109.086,5049.148,5505.748,5104.7397,5465.541
4,dilution_mated_10d_sucrose,dm_R57C10xGC6s_10dS_20210719c,sucrose,1M,10,dm_R57C10xGC6s_10dS_20210719c_10_sucrose_1M_transformed_gauss.nii,3851.0276,4003.0212,3816.5344,3870.0095,3894.069,3803.2444,3785.512,3883.377,3946.9387,3753.7158,3949.7827,4133.3623,4148.1597,4116.269,4074.886,4092.4695,4002.1077,3892.5215,3828.6782,3946.2102,3987.0405,4086.6409,4105.192,4035.4006,3991.8408,4105.6245,4103.439,4066.9905,3918.4463,3981.1294,4136.4185,3960.8672,3894.5356,3877.8242,3938.5674,3910.3467,3879.9858,3973.029,3879.7068,4002.3499,3899.7402,3882.0342,3936.0825,3960.4814,3918.3103,3859.7522,3966.4026,3972.751,4033.3716,4025.129,4005.804,4014.855,4007.604,3863.7397,3917.9858,3964.3972,3926.6162,3959.9443,3990.1118,3949.7488
5,dilution_mated_10d_sucrose,dm_R57C10xGC6s_10dS_20210719c,sucrose,1M,10,dm_R57C10xGC6s_10dS_20210719c_10_sucrose_1M_transformed_gauss.nii,3791.7737,4043.8096,4068.9578,4171.066,4224.304,4243.43,4208.284,4292.047,4288.2515,4132.8047,4292.045,4468.3667,4475.915,4412.548,4437.5522,4384.613,4291.693,4306.7485,4206.029,4211.8213,4318.4727,4401.481,4385.0576,4309.2944,4221.4575,4375.6846,4288.594,4235.426,4168.9043,4298.1636,4325.636,4326.7393,4237.3916,4145.336,4097.911,4075.7908,4128.179,4146.2593,4180.435,4208.522,4242.4736,4306.0186,4164.3633,4199.6226,4093.3452,4054.4995,4142.2227,4172.187,4278.4536,4220.353,4256.7837,4222.6313,4219.2695,4220.2,4177.289,4250.1196,4117.685,4065.1418,4155.7715,4141.0747
6,dilution_mated_10d_sucrose,dm_R57C10xGC6s_10dS_20210719c,sucrose,1M,10,dm_R57C10xGC6s_10dS_20210719c_10_sucrose_1M_transformed_gauss.nii,4062.3525,4295.262,4392.637,4400.309,4492.415,4288.327,4374.754,4420.0024,4399.4707,4388.9204,4535.228,4651.136,4762.488,4758.3936,4720.4673,4636.346,4595.803,4538.9067,4349.966,4471.6714,4554.222,4694.312,4762.858,4696.5195,4497.1445,4608.989,4469.6074,4561.8677,4332.3354,4414.457,4653.6553,4490.032,4492.2983,4378.644,4318.686,4539.534,4453.6924,4526.541,4539.046,4497.9736,4459.6895,4541.2637,4455.867,4483.888,4467.761,4229.536,4487.6973,4434.759,4429.5254,4526.198,4506.4185,4596.712,4544.7124,4447.772,4521.14,4596.6924,4373.285,4391.605,4421.444,4468.6797
7,dilution_mated_10d_sucrose,dm_R57C10xGC6s_10dS_20210719c,sucrose,1M,10,dm_R57C10xGC6s_10dS_20210719c_10_sucrose_1M_transformed_gauss.nii,4008.2227,4260.2383,4264.1763,4400.0366,4426.464,4463.046,4414.3896,4446.6973,4501.77,4465.151,4548.412,4629.2188,4506.6514,4471.6494,4618.312,4509.5923,4575.5103,4547.24,4404.891,4681.771,4552.9463,4482.8877,4474.483,4484.0264,4479.9463,4495.039,4472.88,4520.041,4510.3237,4532.5674,4560.326,4424.6177,4447.9727,4445.6475,4425.1323,4484.348,4496.483,4513.4863,4428.8647,4572.9766,4335.8755,4420.011,4461.449,4404.4087,4448.323,4430.2856,4536.33,4508.8315,4543.779,4612.2476,4456.1074,4475.4795,4504.0347,4427.1055,4474.606,4594.6963,4488.5874,4492.088,4453.7725,4439.801
8,dilution_mated_10d_sucrose,dm_R57C10xGC6s_10dS_20210719c,sucrose,1M,10,dm_R57C10xGC6s_10dS_20210719c_10_sucrose_1M_transformed_gauss.nii,2365.5725,2577.416,2571.6565,2613.41,2526.5054,2613.923,2615.2627,2653.8162,2630.548,2539.4114,2582.4224,2691.829,2683.3728,2660.5188,2634.9636,2676.7607,2703.9292,2700.4023,2683.9763,2662.8496,2684.1458,2690.116,2655.5754,2622.2742,2655.0322,2703.131,2709.3987,2703.5664,2731.8545,2690.5764,2687.3672,2646.8796,2677.4458,2589.5745,2664.089,2641.7573,2659.9365,2678.0999,2691.1487,2661.9941,2608.756,2572.4802,2649.4985,2663.2124,2641.3445,2686.2026,2700.9968,2667.8018,2701.856,2700.7903,2654.2058,2682.7754,2693.97,2637.4456,2661.1694,2654.322,2726.4534,2732.228,2715.5706,2694.077
9,dilution_mated_10d_sucrose,dm_R57C10xGC6s_10dS_20210719c,sucrose,1M,10,dm_R57C10xGC6s_10dS_20210719c_10_sucrose_1M_transformed_gauss.nii,2772.827,2960.524,2960.5645,3064.4817,3052.0457,3023.024,3034.5967,3079.0288,3132.8972,3010.5833,3139.3635,3243.0762,3264.1738,3218.3955,3190.0854,3176.9263,3112.9714,3105.057,3063.2764,3105.031,3106.54,3230.7876,3272.5488,3234.2932,3143.2024,3164.1572,3176.355,3194.0583,3116.143,3078.4211,3082.692,3088.021,3087.9353,3114.4077,3152.0073,3119.5657,3103.8157,3123.116,3020.461,3086.4468,3110.4973,3067.1338,3140.7568,3197.713,3128.6162,3066.6707,3109.9978,3101.9414,3172.5,3126.5522,3143.6265,3245.0334,3173.899,3180.554,3183.2874,3204.6377,3148.8582,3128.0212,3129.6372,3107.5957
10,dilution_mated_10d_sucrose,dm_R57C10xGC6s_10dS_20210719c,sucrose,1M,10,dm_R57C10xGC6s_10dS_20210719c_10_sucrose_1M_transformed_gauss.nii,2454.892,2603.2915,2642.5542,2667.6611,2580.874,2653.8318,2662.5923,2690.175,2758.3508,2637.771,2759.6365,2877.839,2912.9502,2916.209,2846.1023,2844.842,2840.6443,2788.5117,2830.1394,2810.0854,2941.1633,2936.3665,2972.879,2981.4277,2829.6604,3008.105,2871.6875,2857.5493,2884.1018,2867.1155,2936.157,2858.521,2794.8171,2717.6956,2697.0845,2689.6152,2708.648,2666.2295,2620.1418,2640.9446,2830.7576,2798.1055,2697.5635,2669.887,2669.4038,2648.033,2635.221,2627.4895,2615.622,2603.0657,2595.1492,2599.1643,2633.1553,2674.1055,2657.586,2646.5742,2628.3254,2665.821,2622.7385,2599.11
