region,state,fly,stimulus,concentration,stimulus_nr,recording,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1,dilution_mated_10d_sucrose,dm_R57C10xGC6s_10dS_20210720d,sucrose,1M,10,dm_R57C10xGC6s_10dS_20210720d_10_sucrose_1M_transformed_gauss.nii,4210.6333,4073.9314,4139.734,4091.067,4212.7295,4224.4814,4156.3486,4197.5015,4176.3525,4074.4229,4187.8916,4505.1196,4442.959,4277.9897,4359.04,4278.1494,4223.161,4243.2085,4227.673,4184.698,4229.3306,4137.077,4345.5,4305.1753,4291.3965,4270.3135,4249.8857,4304.626,4263.5225,4216.455,4220.6216,4282.154,4200.694,4145.153,4144.371,4262.993,4207.3516,4258.3,4071.0469,4376.4155,4382.059,4400.1626,4399.8394,4409.522,4319.2666,4283.632,4302.1094,4252.8857,4283.042,4319.517,4269.975,4287.364,4357.039,4289.8433,4254.153,4201.8657,4284.5815,4277.059,4250.2065,4174.826
2,dilution_mated_10d_sucrose,dm_R57C10xGC6s_10dS_20210720d,sucrose,1M,10,dm_R57C10xGC6s_10dS_20210720d_10_sucrose_1M_transformed_gauss.nii,2281.2031,2276.5715,2297.3728,2262.869,2319.8865,2295.4333,2253.261,2261.8372,2234.9277,2211.0383,2294.7612,2293.6467,2276.2734,2270.3086,2309.4412,2297.1455,2277.0671,2271.5261,2269.2668,2244.392,2269.3574,2237.287,2252.863,2242.1753,2242.4902,2261.4133,2299.2778,2275.885,2249.6775,2252.4053,2268.115,2258.7295,2238.3088,2212.9644,2228.9136,2228.9368,2254.9553,2266.5564,2228.9868,2240.754,2248.0654,2237.2402,2282.1309,2215.123,2230.9766,2253.9263,2224.6936,2231.8887,2233.5789,2215.147,2229.1497,2224.3894,2251.703,2214.834,2256.258,2243.6814,2182.3938,2235.0442,2230.0654,2221.4878
3,dilution_mated_10d_sucrose,dm_R57C10xGC6s_10dS_20210720d,sucrose,1M,10,dm_R57C10xGC6s_10dS_20210720d_10_sucrose_1M_transformed_gauss.nii,4594.79,4276.34,3865.5315,4055.7805,3886.3518,4221.843,4608.5503,4191.9116,4324.5127,4828.519,4398.3335,5474.811,4725.306,4482.92,4776.296,4525.4126,5290.027,4176.9204,4667.5957,4236.525,4364.0723,4257.9517,4657.3867,4202.692,4790.5347,4877.6807,4655.187,4216.402,4735.9824,4899.678,4539.0796,4894.626,3941.7212,4268.523,3979.3428,4258.677,4149.2163,3992.7546,4601.265,4547.515,5172.9663,4591.297,4589.0913,4548.341,4618.9487,4807.497,4533.103,4452.5703,4372.803,5213.469,4566.5884,4584.152,4365.8604,4794.783,4207.7896,4359.603,4256.1187,4290.48,4281.4595,4265.2773
4,dilution_mated_10d_sucrose,dm_R57C10xGC6s_10dS_20210720d,sucrose,1M,10,dm_R57C10xGC6s_10dS_20210720d_10_sucrose_1M_transformed_gauss.nii,4407.8413,4174.141,4089.345,4028.357,4120.42,4305.9507,4141.449,4410.4062,4212.0845,4512.6562,4161.65,5026.9736,4813.3364,4750.0312,4807.1094,4735.1426,5173.0337,4378.847,4337.042,4153.5664,4458.0093,4188.904,4465.9893,4731.0586,4828.284,5017.2935,4798.304,4592.7075,4747.334,4923.0786,4661.72,5135.7188,4328.9224,4231.5493,4256.446,4347.1934,4377.7617,4323.417,3995.3623,4257.478,5058.834,4657.4937,4471.5723,4642.388,4746.5605,5012.262,4849.297,4465.288,4545.365,4983.5225,4865.9575,4447.4155,4714.8506,4702.881,4599.5845,4448.437,4354.727,4414.7925,4344.891,4536.002
5,dilution_mated_10d_sucrose,dm_R57C10xGC6s_10dS_20210720d,sucrose,1M,10,dm_R57C10xGC6s_10dS_20210720d_10_sucrose_1M_transformed_gauss.nii,5056.7593,4926.64,5041.3154,4957.0796,5046.477,5001.9673,4961.5244,5044.248,4982.1377,4890.527,4954.0674,5973.0312,5603.9805,5501.1973,5315.216,5271.4756,5105.1885,5074.6772,4938.521,4985.151,5033.5884,4939.8535,5735.008,5454.695,5280.573,5271.041,5174.463,5113.8584,5129.128,5011.3027,5066.4897,4996.4175,4921.4766,4964.168,4945.069,5001.1753,5020.4736,5046.3276,5001.4863,5115.5317,5242.342,5242.583,5125.9253,5158.0493,5102.2793,5102.806,5018.9644,4955.479,5017.8457,5040.428,5004.0786,4969.719,5013.93,5042.443,5022.4673,4920.839,4950.6978,5002.1836,4916.5093,4991.346
6,dilution_mated_10d_sucrose,dm_R57C10xGC6s_10dS_20210720d,sucrose,1M,10,dm_R57C10xGC6s_10dS_20210720d_10_sucrose_1M_transformed_gauss.nii,3814.5361,3684.1052,3708.0872,3742.4058,3829.8118,3716.3357,3782.8638,3689.3232,3653.884,3868.1125,3801.5315,4360.183,4233.876,4203.988,3854.8477,3941.5388,3770.6821,3789.85,3589.7415,3778.1895,3762.8364,3519.532,4130.779,3940.2432,3779.2893,3844.941,3817.439,3778.542,3759.0579,3754.8987,3764.557,3663.9236,3640.174,3618.5337,3708.3845,3705.5083,3685.015,3691.9822,3888.0732,3683.0945,3831.5728,3688.4663,3832.7656,3777.6702,3701.2197,3795.1235,3675.3684,3679.321,3820.286,3792.0688,3689.6833,3705.1042,3761.3293,3713.0083,3694.2893,3832.734,3758.519,3702.8967,3691.8262,3609.2776
7,dilution_mated_10d_sucrose,dm_R57C10xGC6s_10dS_20210720d,sucrose,1M,10,dm_R57C10xGC6s_10dS_20210720d_10_sucrose_1M_transformed_gauss.nii,3169.184,3092.3276,3207.0815,3132.701,3184.491,3233.7468,3176.3997,3166.5452,3176.3784,3218.2517,3114.223,3245.8625,3219.748,3215.0288,3209.318,3156.925,3194.4402,3189.8313,3155.4326,3191.148,3182.2544,3087.9285,3150.959,3193.017,3151.9736,3139.6719,3153.6277,3177.8318,3163.3306,3187.5747,3157.701,3183.1326,3184.703,3221.6326,3199.3591,3183.7466,3243.3347,3176.217,3135.3167,3150.9941,3280.2605,3288.6196,3225.4421,3249.3042,3207.622,3219.084,3221.973,3178.6436,3163.5508,3185.5007,3259.8547,3210.5928,3226.4072,3214.7913,3192.4204,3209.0496,3206.761,3202.4304,3214.604,3213.204
8,dilution_mated_10d_sucrose,dm_R57C10xGC6s_10dS_20210720d,sucrose,1M,10,dm_R57C10xGC6s_10dS_20210720d_10_sucrose_1M_transformed_gauss.nii,3301.9792,3275.4412,3279.9812,3283.2974,3277.608,3367.3276,3356.0632,3375.4307,3259.6138,3364.751,3366.8274,3429.353,3376.174,3381.3303,3397.7559,3312.7485,3348.976,3321.4475,3321.374,3338.4346,3380.5598,3301.487,3287.8657,3344.0261,3301.2483,3376.8506,3358.097,3371.6401,3337.168,3359.8213,3399.7944,3312.453,3363.4133,3320.5842,3362.0547,3334.9377,3375.022,3363.428,3338.2188,3453.7197,3428.164,3467.5454,3376.9233,3379.711,3384.2617,3393.638,3334.305,3311.045,3352.6338,3324.607,3372.8801,3313.658,3327.0825,3354.7324,3345.001,3373.9104,3325.0188,3292.6484,3325.8516,3302.3132
9,dilution_mated_10d_sucrose,dm_R57C10xGC6s_10dS_20210720d,sucrose,1M,10,dm_R57C10xGC6s_10dS_20210720d_10_sucrose_1M_transformed_gauss.nii,3034.0256,3035.6233,3108.8555,3051.7607,3074.548,3036.568,3029.2732,3153.295,3094.3167,2975.6157,3101.5024,3745.4136,3473.2676,3343.1094,3245.7085,3218.1228,3047.0344,3042.5112,2980.0378,2961.65,2997.7625,3043.1477,3454.939,3291.491,3210.988,3186.2375,3114.1858,3075.2903,3070.8171,3082.6401,3057.4517,3045.9429,2986.171,2945.0854,2926.3018,2933.8254,2943.9053,2998.633,2921.0117,3053.1965,3030.024,3044.3433,2999.4438,3020.5486,3002.6443,2995.877,2999.3586,2978.612,3012.8909,3000.8652,2988.4753,2982.4685,2970.0647,2990.462,2979.1553,2969.6785,2964.9495,2960.562,2954.3586,2963.2427
10,dilution_mated_10d_sucrose,dm_R57C10xGC6s_10dS_20210720d,sucrose,1M,10,dm_R57C10xGC6s_10dS_20210720d_10_sucrose_1M_transformed_gauss.nii,2929.5022,2776.077,2868.8816,2839.3667,2806.947,2907.7236,2775.912,2897.8008,2802.2625,2756.2737,2752.566,2911.171,2847.7249,2857.04,2844.282,2813.3875,2696.5352,2712.515,2750.2014,2743.986,2849.0762,2755.6633,2805.7327,2797.2517,2816.005,2790.096,2768.5142,2803.7097,2721.8662,2718.2058,2762.0164,2704.837,2695.6543,2707.2493,2708.6167,2739.617,2758.1553,2777.6497,2882.129,2820.6096,2813.1272,2857.8074,2731.3586,2779.4958,2731.8586,2736.9414,2710.8599,2678.4875,2677.9568,2656.1516,2687.3713,2691.7625,2708.2554,2663.9739,2673.122,2662.0693,2670.297,2681.4563,2627.2175,2682.7544
