region,state,fly,stimulus,concentration,stimulus_nr,recording,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1,dilution_mated_10d_sucrose,dm_R57C10xGC6s_10dS_20211008a,sucrose,1M,12,dm_R57C10xGC6s_10dS_20211008a_12_sucrose_1M_transformed.ni_gauss.nii,3505.522,4027.01,3948.5366,3931.2534,3932.0786,3941.4236,3777.5808,3910.1016,3977.5474,3887.0593,3927.746,3968.653,4272.1055,4121.0093,4206.642,4298.6777,4106.331,4194.5347,4176.4087,3896.2498,4218.9414,4301.4453,4038.6155,3971.7366,4127.8945,4083.2893,4139.973,4036.18,4031.4873,4014.2466,4098.8423,4091.4604,4201.93,4302.2666,4233.4395,4225.9995,4178.643,4391.256,4185.596,4115.5835,4265.9263,4055.733,4103.097,4042.903,4067.0405,4202.001,4369.86,4366.147,4292.253,4314.7744,4122.5674,4079.2852,4378.2744,4384.136,4115.695,4090.4312,4205.971,3992.8542,4266.7944,4292.483
2,dilution_mated_10d_sucrose,dm_R57C10xGC6s_10dS_20211008a,sucrose,1M,12,dm_R57C10xGC6s_10dS_20211008a_12_sucrose_1M_transformed.ni_gauss.nii,2687.128,2903.4648,2927.7185,2851.1672,2879.0752,2965.1106,2799.2898,2826.0117,2898.2283,2932.5706,2867.8503,3010.191,2938.9893,2812.572,2901.6917,3053.3567,2908.8208,2971.715,2848.5789,2967.852,2942.6802,2908.8545,2823.5242,2782.7505,2748.5034,2858.493,2653.8167,2684.3215,2633.539,2750.1145,2951.7021,2851.662,2930.7986,2820.352,2930.1118,2918.008,2998.977,2980.9458,2844.4492,2886.4746,2964.1125,2941.917,2842.064,2826.475,2854.3982,2970.658,2908.2163,2940.8438,2992.833,2867.4756,2901.434,2838.6162,2922.7625,2941.511,2854.2495,2852.891,2857.1794,2770.5837,2986.216,2983.1892
3,dilution_mated_10d_sucrose,dm_R57C10xGC6s_10dS_20211008a,sucrose,1M,12,dm_R57C10xGC6s_10dS_20211008a_12_sucrose_1M_transformed.ni_gauss.nii,3813.6143,3990.6272,4672.3994,4613.977,4582.5063,4517.285,4374.1553,4051.6353,4339.833,3962.15,4366.947,4195.6147,4699.6816,4218.7334,4670.0854,4547.5825,3996.6091,4420.973,4835.7554,4423.91,4712.5635,4257.05,4648.0425,4393.605,4597.9746,4530.953,4663.8564,4604.525,4790.9194,4040.7693,4508.591,4427.393,4321.219,4696.0796,4266.6914,4277.6426,4033.6633,4441.048,4362.5293,4108.2046,4579.7188,4554.4375,4730.9272,4062.22,4367.2236,4328.8696,4668.447,4727.0405,4212.105,4383.07,4270.17,4569.9375,4623.8027,4467.0215,4086.4468,4321.528,4304.3794,4129.7095,4679.3477,4633.081
4,dilution_mated_10d_sucrose,dm_R57C10xGC6s_10dS_20211008a,sucrose,1M,12,dm_R57C10xGC6s_10dS_20211008a_12_sucrose_1M_transformed.ni_gauss.nii,5766.3906,5946.2974,5966.899,6063.3154,6069.261,5797.798,5478.8184,5499.8535,5800.592,5597.543,5856.099,6088.624,6213.3936,6222.548,6103.684,6090.6206,6191.001,6211.3154,6133.061,5912.5,6092.243,6138.4253,5886.6445,5790.5356,5833.4014,5887.266,5692.5723,5698.6187,5563.4507,5653.7363,5674.5654,5908.7993,6095.2666,6069.1143,6070.7305,5949.9077,5903.7773,6160.339,5838.4014,5854.2925,5966.089,5883.366,5793.735,5886.0215,5943.8896,6017.346,6223.728,6202.314,6137.1465,6179.4263,6108.043,6007.6147,6112.754,6199.8667,6130.2876,5956.3823,6076.465,5874.953,6311.9883,6476.5483
5,dilution_mated_10d_sucrose,dm_R57C10xGC6s_10dS_20211008a,sucrose,1M,12,dm_R57C10xGC6s_10dS_20211008a_12_sucrose_1M_transformed.ni_gauss.nii,5270.8096,5810.549,6086.958,6080.206,5977.0757,6022.673,5823.028,5902.4873,6026.488,5820.346,5870.2627,6105.8325,6335.584,6271.3496,6377.1216,6428.9395,6268.2275,6212.1807,6145.1455,5828.6064,6201.8447,6168.9673,5987.6436,5950.812,6194.6694,6151.242,5989.8745,6048.9688,6005.466,6137.873,6201.858,6152.2305,6044.8936,6299.1104,6042.088,6042.108,5993.568,6298.0874,6027.108,5955.455,6120.027,5887.0684,5894.446,5864.5596,5949.6406,6103.589,6281.665,6169.4946,6133.817,6015.46,6052.9224,5929.596,6195.8853,6195.288,6069.1924,5885.9043,6004.08,5676.6553,6088.36,6316.189
6,dilution_mated_10d_sucrose,dm_R57C10xGC6s_10dS_20211008a,sucrose,1M,12,dm_R57C10xGC6s_10dS_20211008a_12_sucrose_1M_transformed.ni_gauss.nii,3900.9558,4385.4927,4371.1763,4429.5903,4322.358,4362.097,4201.0386,4351.5327,4493.6133,4475.6455,4404.408,4605.3896,4615.0107,4819.1206,4722.256,4790.317,4674.4727,4618.2593,4635.418,4596.099,4519.983,4676.683,4330.231,4248.6226,4603.887,4604.843,4360.4937,4402.997,4364.9077,4545.93,4673.0776,4344.6094,4560.912,4549.685,4489.3633,4510.0063,4528.445,4499.037,4299.6357,4320.108,4334.2886,4374.8516,4398.004,4372.0005,4205.1147,4499.9355,4529.453,4572.768,4640.8228,4626.9937,4426.465,4542.5703,4733.629,4541.6646,4277.947,4264.9565,4452.769,4142.338,4471.043,4776.646
7,dilution_mated_10d_sucrose,dm_R57C10xGC6s_10dS_20211008a,sucrose,1M,12,dm_R57C10xGC6s_10dS_20211008a_12_sucrose_1M_transformed.ni_gauss.nii,3315.3606,3725.0022,3729.968,3733.325,3658.9949,3707.5225,3530.1602,3691.042,3697.716,3556.9746,3660.7563,3880.0896,3919.2612,3930.5823,3806.9805,3825.5369,3869.557,3977.96,3829.5327,3730.197,3729.3594,3782.269,3651.892,3618.6882,3764.7095,3790.517,3578.3684,3631.6738,3593.698,3631.8638,3855.5725,3743.929,3767.2273,3841.008,3863.2778,3867.8088,3801.297,3930.9807,3846.3235,3738.3423,3824.1118,3645.805,3645.7795,3694.2498,3723.4521,3888.4644,3911.5347,3909.2217,3921.5881,3952.2874,3784.4348,3722.0293,3946.1423,3942.6792,3874.1943,3648.231,3767.605,3590.991,3934.3486,3851.2107
8,dilution_mated_10d_sucrose,dm_R57C10xGC6s_10dS_20211008a,sucrose,1M,12,dm_R57C10xGC6s_10dS_20211008a_12_sucrose_1M_transformed.ni_gauss.nii,4520.2427,5063.8384,5028.9277,5035.451,4843.4707,4966.5444,4779.4434,4830.7085,4890.3413,4821.7734,4670.4683,5047.043,5090.581,5050.374,4985.7144,5058.858,4961.1353,5115.16,5102.7236,4952.505,5144.043,5144.7437,5100.9136,4786.9663,5040.462,4917.2715,4927.649,4877.1367,4757.08,4778.132,5145.7314,5118.5195,5122.1904,5001.4473,5081.0913,5142.059,5025.6895,4996.35,4971.4043,4973.174,5031.2056,4964.2925,5033.6973,4987.935,4931.8057,4959.4727,5031.364,5150.9473,4985.432,4946.3325,4893.7583,4854.079,5149.6895,5040.2993,4943.8394,4859.186,4789.5156,4921.8096,4954.527,5114.627
9,dilution_mated_10d_sucrose,dm_R57C10xGC6s_10dS_20211008a,sucrose,1M,12,dm_R57C10xGC6s_10dS_20211008a_12_sucrose_1M_transformed.ni_gauss.nii,3378.2002,3736.5286,3863.4294,3754.6106,3738.4968,3804.4126,3574.5908,3666.787,3774.2153,3583.1316,3776.634,3918.017,3991.518,3937.825,3965.6426,4079.7634,3950.7168,3930.3813,3833.7598,3744.2266,3923.5386,3856.2986,3693.24,3650.5405,3755.9873,3783.7214,3603.942,3588.9268,3612.6821,3654.846,3875.364,3725.8674,3768.1685,3857.041,3798.4846,3683.2263,3726.3608,3847.063,3636.9468,3643.002,3689.1533,3656.8286,3577.9792,3632.1436,3632.5862,3766.0654,3793.7764,3806.904,3764.3787,3739.5095,3715.878,3703.5896,3819.6987,3828.1484,3730.4556,3653.9995,3722.8298,3553.0217,3858.1929,3850.0364
10,dilution_mated_10d_sucrose,dm_R57C10xGC6s_10dS_20211008a,sucrose,1M,12,dm_R57C10xGC6s_10dS_20211008a_12_sucrose_1M_transformed.ni_gauss.nii,3245.3137,3304.1829,3548.0664,3453.8816,3468.9536,3476.8035,3423.1753,3461.8633,3499.9253,3338.2537,3509.5415,3451.5857,3698.1016,3665.3489,3758.5923,3819.2175,3724.3528,3772.1895,3732.141,3522.052,3838.9915,3782.0884,3717.1597,3661.0442,3735.238,3801.8708,3723.7761,3653.2202,3632.9067,3675.7852,3423.4612,3649.0227,3565.1177,3604.1965,3454.4126,3406.308,3449.512,3484.1843,3405.9954,3397.0095,3406.329,3379.687,3462.2708,3410.15,3433.2427,3422.2656,3507.3828,3537.6975,3475.2844,3362.7632,3394.9453,3336.9092,3521.4685,3505.5083,3399.783,3461.5063,3346.511,3310.7214,3437.08,3463.28
