region,state,fly,stimulus,concentration,stimulus_nr,recording,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1,dilution_mated_10d_sucrose,dm_R57C10xGC6s_10dS_20211012c,sucrose,1M,12,dm_R57C10xGC6s_10dS_20211012c_12_sucrose_1M_transformed.ni_gauss.nii,4590.534,4837.3457,5191.276,5274.347,5572.2065,5838.1157,5876.37,5906.5107,5954.9253,5698.846,5701.6597,6161.7383,6178.3696,6198.2603,6048.771,6230.645,5964.5015,5706.5664,5858.253,5851.505,5897.512,5829.215,5927.195,5730.4395,5645.7495,5569.445,5483.3765,5644.733,5656.439,5574.7925,5602.808,5655.5273,5729.9,5897.19,5871.8784,5628.5684,5799.9565,6045.7505,5856.9,5900.55,5847.7993,5691.773,5891.245,5973.518,6048.4355,5924.751,5778.399,5599.936,6051.5806,5900.3945,5745.3765,5779.451,5953.137,5918.404,5840.661,5666.804,5478.5254,5663.498,5720.5386,5876.6953
2,dilution_mated_10d_sucrose,dm_R57C10xGC6s_10dS_20211012c,sucrose,1M,12,dm_R57C10xGC6s_10dS_20211012c_12_sucrose_1M_transformed.ni_gauss.nii,5050.8584,5478.1772,5759.012,5789.162,5979.176,6548.5547,6147.462,6275.497,6361.0566,6438.988,6664.0605,6930.2876,7029.1997,6879.041,6920.8994,6893.0386,6647.143,6676.0596,6469.098,6326.034,6425.6724,6356.4326,6220.68,5935.4473,6121.179,6258.6904,6110.8936,6064.0938,5861.1587,5997.4917,6304.1147,6231.458,6335.8013,6458.2935,6478.5576,6298.2573,6356.4067,6484.4844,6217.985,6526.4805,6279.556,5870.312,5998.7744,6143.6123,6256.103,6099.2026,5836.2256,5783.8633,6069.0244,5967.919,5691.9336,5778.3623,6057.298,5883.8535,5516.772,5622.297,5678.154,5966.2437,5678.583,5743.122
3,dilution_mated_10d_sucrose,dm_R57C10xGC6s_10dS_20211012c,sucrose,1M,12,dm_R57C10xGC6s_10dS_20211012c_12_sucrose_1M_transformed.ni_gauss.nii,5783.075,6217.4443,5890.9,6741.892,6553.666,7530.4766,8305.104,8478.988,8394.6455,7696.837,7042.671,6880.729,6516.02,7182.36,6555.334,6501.983,6599.6045,6186.125,6786.6016,6286.7817,6235.822,6552.3477,6713.414,6465.726,6729.1704,6065.4204,6315.8257,6687.397,6563.2075,6166.5874,5988.063,5991.9985,6312.887,6191.7515,7033.236,6062.233,6523.402,7280.203,6380.606,6919.9653,7188.4478,7149.985,7451.627,7348.722,7371.725,6528.6343,7134.223,6935.8843,7129.4346,7088.445,7197.7627,6575.708,6735.2217,6633.4937,6612.61,6758.123,7057.704,7069.072,7136.952,7314.3384
4,dilution_mated_10d_sucrose,dm_R57C10xGC6s_10dS_20211012c,sucrose,1M,12,dm_R57C10xGC6s_10dS_20211012c_12_sucrose_1M_transformed.ni_gauss.nii,8443.262,8280.051,8081.085,7797.6523,7904.261,8454.74,9588.957,10034.152,9647.005,9351.012,9386.365,9161.604,9451.718,9372.92,9163.932,9024.601,8657.106,8621.431,8261.783,8231.746,7862.577,8302.462,8311.223,8110.7666,8393.109,8540.793,8304.318,8220.888,8243.75,8055.781,8256.501,8651.1,8730.086,8715.097,8614.572,8595.904,8556.173,8928.548,8955.3955,8887.3545,8692.356,8700.172,8606.864,8713.783,8596.013,8926.237,8432.026,8615.347,8685.3545,8675.598,8501.668,8280.593,8551.358,8560.234,8232.698,8119.5435,8050.989,8485.802,8372.274,8362.272
5,dilution_mated_10d_sucrose,dm_R57C10xGC6s_10dS_20211012c,sucrose,1M,12,dm_R57C10xGC6s_10dS_20211012c_12_sucrose_1M_transformed.ni_gauss.nii,6856.7095,7267.555,7812.7764,7687.857,8459.194,8987.755,8812.409,8868.761,8873.856,8754.236,8809.459,9062.638,9246.302,9309.522,9171.218,9415.6875,8952.454,8707.563,8492.6875,8427.11,8473.341,8604.661,8350.597,8491.65,8439.246,8781.996,8346.332,8416.927,8215.138,8259.085,8581.555,8773.61,8836.39,8674.376,8883.052,8734.266,8615.501,9096.6455,8831.348,8793.771,8549.83,8417.772,8467.593,8452.431,8691.509,8517.394,8205.077,8221.369,8608.836,8396.159,8230.004,8126.01,8588.59,8433.98,8212.998,7964.8823,7908.9263,8361.357,8226.672,8376.359
6,dilution_mated_10d_sucrose,dm_R57C10xGC6s_10dS_20211012c,sucrose,1M,12,dm_R57C10xGC6s_10dS_20211012c_12_sucrose_1M_transformed.ni_gauss.nii,8196.767,8476.685,9031.235,8639.16,9026.47,9695.5,9486.357,10118.087,9740.757,9674.958,9918.321,9769.893,10076.001,10296.285,9966.623,9974.169,9941.063,9596.914,9470.535,9196.273,9178.252,9260.228,9050.247,8959.176,9418.694,9557.85,9370.062,9431.742,9116.994,9076.932,9322.925,9498.442,9496.328,9427.028,9686.647,9923.852,9683.065,9672.705,9332.805,9635.916,9623.161,9282.012,9367.113,9661.108,9350.332,9398.854,9256.172,9236.836,9254.064,9327.587,8999.909,9040.72,9359.964,9382.096,8838.31,8980.96,8812.059,9166.798,8960.97,9117.216
7,dilution_mated_10d_sucrose,dm_R57C10xGC6s_10dS_20211012c,sucrose,1M,12,dm_R57C10xGC6s_10dS_20211012c_12_sucrose_1M_transformed.ni_gauss.nii,4677.531,4867.3745,5218.041,4929.6553,5505.947,5855.041,5779.304,5744.585,5867.1323,5918.6865,6063.345,5857.922,6148.0264,5996.076,6087.75,6078.5986,6104.8174,6027.6665,5694.2334,5838.9507,5509.6978,5379.833,5395.319,5374.2305,5433.2036,5786.4165,5670.5405,5753.358,5656.168,5222.436,5588.8545,5698.8433,5671.2876,5559.9385,5821.1367,5672.85,5491.4595,5990.841,5713.911,5941.156,5761.203,5645.039,5673.757,5733.1694,5770.863,5728.003,5629.2637,5582.1787,5874.2407,5769.0273,5589.2256,5510.83,5636.8354,5821.761,5655.207,5528.459,5291.6943,5525.8755,5455.6675,5653.85
8,dilution_mated_10d_sucrose,dm_R57C10xGC6s_10dS_20211012c,sucrose,1M,12,dm_R57C10xGC6s_10dS_20211012c_12_sucrose_1M_transformed.ni_gauss.nii,3467.4094,3598.1333,3892.9446,3913.4993,4171.75,4244.1704,4111.709,4052.3992,4165.506,4110.337,4254.1963,4527.2173,4377.9365,4490.553,4434.0547,4536.6147,4343.8535,4271.701,4205.0034,4036.2922,4156.466,4409.9404,4390.809,4178.7227,4052.5889,4027.0625,3797.854,3902.511,3962.2866,3788.1072,3872.058,4183.8706,4203.853,4258.3564,4323.106,4222.1025,4204.913,4335.2554,4217.046,3998.575,3934.9258,3998.8147,4114.789,4071.0232,4092.1157,4096.5474,4042.9841,4014.608,4114.357,4102.769,4071.111,4090.0725,4055.5618,4166.356,4017.9841,4041.6016,4057.3357,3900.1702,4018.2683,4123.023
9,dilution_mated_10d_sucrose,dm_R57C10xGC6s_10dS_20211012c,sucrose,1M,12,dm_R57C10xGC6s_10dS_20211012c_12_sucrose_1M_transformed.ni_gauss.nii,5355.2725,5978.7065,6566.6074,6458.8716,7017.1924,7315.595,7190.9053,7219.0903,7250.379,7306.0796,7670.5815,8713.055,8796.516,8537.178,8289.048,8646.849,7995.008,7738.56,7469.13,7563.463,7830.4985,7698.8545,7333.749,7112.225,7088.678,7063.483,6844.273,6818.423,6698.417,6782.153,7344.3115,7188.465,7251.767,7488.084,7509.567,7281.686,7380.0557,7464.7256,7247.4004,7349.249,6936.7534,6598.39,6622.3394,6981.455,6965.1187,6719.239,6425.9565,6337.637,6626.1455,6441.395,6253.204,6194.398,6602.169,6618.566,6262.9443,6116.5884,6157.195,6363.6455,6277.151,6394.1074
10,dilution_mated_10d_sucrose,dm_R57C10xGC6s_10dS_20211012c,sucrose,1M,12,dm_R57C10xGC6s_10dS_20211012c_12_sucrose_1M_transformed.ni_gauss.nii,4699.6387,4894.015,5014.663,5329.2046,5737.885,5994.122,5877.9585,6055.7065,6104.149,5938.242,5962.8267,6187.075,6409.951,6444.492,6250.2173,6328.7637,6176.0825,6101.5166,5958.36,5987.6387,5834.658,6162.03,6035.785,6056.483,6056.792,6080.702,5984.9165,5890.7065,5885.2207,5853.0728,6044.892,6235.205,6155.1997,6108.878,6250.1035,6121.89,6100.9614,6133.6343,5988.416,6056.3447,5967.431,5705.096,5695.37,5757.7544,5686.438,5688.6704,5656.024,5397.407,5633.691,5467.4067,5386.6245,5367.694,5530.588,5535.6816,5391.073,5294.566,5342.3003,5325.8,5421.0605,5463.0415
