region,state,fly,stimulus,concentration,stimulus_nr,recording,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1,dilution_mated_ff,dm_R57C10xGC6s_FF_20210721a,sucrose,1M,11,dm_R57C10xGC6s_FF_20210721a_11_sucrose_1M_transformed_gauss.nii,2471.4353,2537.9622,2523.986,2532.2883,2529.0122,2540.2712,2526.1907,2435.3347,2429.9524,2419.5635,2463.9146,2497.0193,2576.5872,2543.4263,2566.2944,2567.285,2470.0415,2532.5317,2574.8423,2482.5103,2484.0098,2562.4106,2559.443,2535.8557,2603.9824,2477.5261,2476.9792,2537.378,2516.2878,2577.4712,2627.0398,2601.5447,2475.5076,2524.6504,2557.7305,2721.9736,2523.7852,2600.7546,2467.142,2526.1912,2562.7014,2457.2368,2588.9219,2623.6846,2535.1665,2602.0083,2470.0813,2578.1243,2519.18,2527.2202,2590.3367,2587.2422,2511.1133,2605.0588,2520.048,2613.471,2634.0654,2654.9368,2499.4568,2552.435
2,dilution_mated_ff,dm_R57C10xGC6s_FF_20210721a,sucrose,1M,11,dm_R57C10xGC6s_FF_20210721a_11_sucrose_1M_transformed_gauss.nii,2068.9714,2066.6082,2156.6099,2087.9392,2062.7478,2131.6245,2122.5525,2119.7253,2126.4905,2113.1636,2112.1772,2140.0166,2097.6887,2089.4717,2105.9458,2086.3857,2105.5823,2129.7927,2134.5776,2126.353,2114.1672,2128.4563,2120.0457,2063.2144,2122.5422,2149.664,2103.414,2101.4473,2098.089,2126.8496,2142.5007,2096.4993,2062.8079,2085.5178,2136.9382,2104.4568,2083.879,2152.0186,2132.6267,2097.635,2077.404,2114.2178,2117.391,2147.2058,2131.112,2105.1296,2069.7478,2122.6626,2105.13,2100.0847,2088.8782,2069.6975,2101.715,2109.2537,2116.5493,2110.1323,2093.388,2099.708,2081.0574,2077.4177
3,dilution_mated_ff,dm_R57C10xGC6s_FF_20210721a,sucrose,1M,11,dm_R57C10xGC6s_FF_20210721a_11_sucrose_1M_transformed_gauss.nii,2388.803,2412.4648,2361.8943,2301.8682,2352.4167,2484.972,2333.1985,2598.454,2336.1846,2330.9575,2560.9458,2544.205,2707.6191,2598.3381,2798.4585,2694.9805,2555.0723,2438.1174,2596.973,2396.9504,2494.832,2606.2783,2822.442,2427.1506,2591.7126,2488.99,2652.0967,2442.4524,2557.7688,2685.6055,2623.8865,2544.8425,2503.9558,2693.5825,2700.8362,2620.082,2437.298,2540.137,2504.9668,2504.2234,2557.3484,2510.8562,2651.268,2593.397,2565.4165,2627.828,2683.5686,2601.7214,2589.6582,2590.3972,2515.4746,2634.4446,2477.1736,2753.8445,2551.7832,2660.5884,2691.087,2688.944,2564.064,2547.0522
4,dilution_mated_ff,dm_R57C10xGC6s_FF_20210721a,sucrose,1M,11,dm_R57C10xGC6s_FF_20210721a_11_sucrose_1M_transformed_gauss.nii,2648.024,2625.2356,2583.0168,2523.4294,2490.0127,2469.6694,2449.1917,2436.9282,2534.157,2527.7896,2627.4236,733.0333,2821.0916,2745.3667,2729.1858,2729.408,2442.1748,2493.566,2548.4163,2270.2234,2517.815,2502.5898,2774.934,2621.2185,2753.8223,2424.965,2524.5837,2543.2524,2408.2883,2638.2837,2651.5654,2565.6978,2834.4016,2907.854,2885.5693,2827.494,2597.0562,2679.2761,2445.5906,2606.0076,2725.6562,2603.216,2706.0962,2982.2485,2936.9211,2856.7056,2891.8127,2661.8508,2617.2644,2618.4177,2676.8135,2684.3562,2586.9106,2578.9663,2612.4385,2680.1736,2783.3052,2804.734,2833.9785,2802.3145
5,dilution_mated_ff,dm_R57C10xGC6s_FF_20210721a,sucrose,1M,11,dm_R57C10xGC6s_FF_20210721a_11_sucrose_1M_transformed_gauss.nii,2823.899,2837.4617,2877.5151,2938.6719,2902.5725,2882.2737,2881.3838,2889.44,2922.7622,2931.2705,3028.679,2989.8853,3088.4895,2951.3733,2988.8462,2937.7668,2844.3115,2909.5024,2912.277,2898.6953,2857.4707,3003.186,3000.5854,2823.8123,2912.3264,2807.7512,2860.4827,2971.4465,2798.3352,3008.7446,2959.9795,2964.2312,2859.0366,2839.3372,2928.6926,3047.3064,2882.9683,3004.2563,2750.2722,2815.5503,3002.9407,2774.618,3014.1682,3039.4365,2976.3132,2915.3286,2844.2825,2883.248,2881.6797,2930.6558,2860.5603,2851.9731,2784.7156,2803.09,2940.2573,2908.524,2930.775,2918.054,2883.5989,2898.699
6,dilution_mated_ff,dm_R57C10xGC6s_FF_20210721a,sucrose,1M,11,dm_R57C10xGC6s_FF_20210721a_11_sucrose_1M_transformed_gauss.nii,2655.1584,2686.2666,2754.653,2744.5952,2706.4128,2791.3428,2718.174,2706.204,2756.8667,2736.7664,2838.663,2548.762,2849.9014,2797.4185,2820.9941,2871.7239,2654.6936,2789.9783,2691.1096,2575.8235,2857.9104,2764.1646,2829.6665,2631.3438,2813.6191,2702.4624,2728.509,2806.3782,2584.564,2815.5657,2847.9973,2750.748,2744.1055,2761.7422,2863.0806,2808.2666,2706.4263,2730.0828,2651.9604,2583.596,2737.1272,2643.7297,2807.665,2953.0903,2799.393,2845.2654,2636.793,2728.7422,2626.1072,2757.4873,2617.2805,2638.5117,2621.7715,2589.8533,2679.4602,2691.63,2730.481,2695.0374,2737.5469,2720.401
7,dilution_mated_ff,dm_R57C10xGC6s_FF_20210721a,sucrose,1M,11,dm_R57C10xGC6s_FF_20210721a_11_sucrose_1M_transformed_gauss.nii,2580.868,2591.458,2692.8423,2721.226,2646.346,2639.6606,2639.9243,2627.675,2591.3743,2557.8054,2649.7249,2549.2358,2711.9744,2701.7034,2682.5474,2749.468,2643.2976,2732.4465,2641.2927,2565.8918,2652.76,2700.1309,2741.5715,2577.8108,2696.273,2645.5244,2580.8523,2623.786,2601.0496,2679.5735,2683.0635,2547.053,2560.8298,2675.3506,2765.5173,2785.2754,2609.0264,2760.3213,2669.673,2555.478,2746.0784,2594.3992,2626.8923,2811.9128,2661.7175,2711.5718,2637.0127,2595.7444,2637.571,2621.8857,2594.97,2619.716,2587.515,2500.2876,2604.805,2580.9978,2618.0303,2727.6978,2632.094,2617.5889
8,dilution_mated_ff,dm_R57C10xGC6s_FF_20210721a,sucrose,1M,11,dm_R57C10xGC6s_FF_20210721a_11_sucrose_1M_transformed_gauss.nii,3376.2646,3558.9402,3643.3318,3593.8074,3525.2444,3582.5376,3558.2993,3597.7148,3624.862,3564.4658,3567.3472,4152.888,3731.2466,3802.068,3686.1108,3654.3699,3651.558,3638.7598,3804.0627,3562.6577,3502.2593,3686.9048,3662.6602,3651.0583,3682.7827,3649.6348,3611.5615,3563.5625,3667.0894,3730.654,3742.6672,3760.0344,3679.0227,3735.4404,3592.128,3882.3804,3610.185,3704.0706,3700.9932,3715.5527,3775.2856,3517.26,3679.3862,3696.3342,3541.0076,3819.0754,3677.069,3643.5242,3688.2192,3561.238,3681.4746,3622.017,3628.073,3670.3704,3725.5823,3766.551,3724.9783,3734.6262,3462.3308,3700.9849
9,dilution_mated_ff,dm_R57C10xGC6s_FF_20210721a,sucrose,1M,11,dm_R57C10xGC6s_FF_20210721a_11_sucrose_1M_transformed_gauss.nii,2238.3037,2247.7756,2336.7527,2340.955,2315.6125,2342.285,2309.2913,2339.9404,2292.545,2321.8499,2384.6013,2383.7908,2360.4426,2320.8203,2289.1582,2350.8809,2245.6343,2337.0837,2333.633,2332.346,2325.762,2349.792,2336.6965,2229.745,2338.4028,2377.8823,2332.4697,2319.9478,2249.958,2326.5984,2360.0532,2327.536,2337.1917,2331.451,2370.4026,2354.4167,2287.1685,2376.0215,2352.552,2288.668,2366.4038,2249.0864,2352.5508,2350.657,2320.3604,2302.257,2256.337,2338.222,2314.8774,2339.9275,2293.3245,2276.0703,2280.5728,2291.5051,2336.0083,2302.7036,2316.0444,2321.946,2304.096,2270.3452
10,dilution_mated_ff,dm_R57C10xGC6s_FF_20210721a,sucrose,1M,11,dm_R57C10xGC6s_FF_20210721a_11_sucrose_1M_transformed_gauss.nii,1973.3992,2000.3936,1949.3475,1932.9537,1954.0547,1942.1194,1962.969,1929.4757,1933.2748,1927.0222,1968.6062,1997.761,1977.6351,1975.7255,2001.7144,1975.4385,1933.9885,1910.5555,1953.2343,1947.2053,1938.424,1988.2316,1987.1217,1966.697,1994.3406,1956.3787,1937.8289,1956.774,1955.4763,1954.23,1990.594,1971.08,1965.882,1984.9386,1974.1174,1990.1191,1935.3269,1954.5575,1920.2234,1965.7043,1952.615,1942.1617,1979.8097,1996.9816,1993.0859,1984.5555,2004.5116,1954.8885,1948.4792,1973.9749,1935.0092,1973.4491,1928.9062,1968.7598,1954.817,2008.5609,1983.0532,1983.003,1970.5074,1981.4554
