region,state,fly,stimulus,concentration,stimulus_nr,recording,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1,dilution_mated_ff,dm_R57C10xGC6s_FF_20210722b,sucrose,1M,10,dm_R57C10xGC6s_FF_20210722b_10_sucrose_1M_transformed_gauss.nii,2519.8972,2462.7773,2342.251,2404.107,2444.8962,2406.6057,2470.9167,2421.4775,2430.5317,2394.2678,2512.96,2553.2505,2574.62,2546.3538,2496.8782,2494.9907,2453.9941,2396.1077,2415.3115,2347.2903,2438.0134,2462.7188,2488.6404,2522.3752,2513.6606,2523.125,2545.6377,2493.5652,2372.1462,2478.653,2479.3406,2532.8105,2486.4893,2491.0928,2426.6,2493.3315,2543.702,2550.3489,2502.9663,2506.4731,2472.481,2460.4854,2468.4785,2457.6091,2432.8196,2480.4404,2478.8325,2538.6694,2508.4866,2521.0364,2495.269,2502.1074,2520.449,2548.8936,2488.3337,2444.4888,2507.4539,2490.3616,2530.0828,2507.3528
2,dilution_mated_ff,dm_R57C10xGC6s_FF_20210722b,sucrose,1M,10,dm_R57C10xGC6s_FF_20210722b_10_sucrose_1M_transformed_gauss.nii,2027.0201,2029.8925,2011.345,2015.1506,2024.5795,2006.6122,2003.7133,2004.973,2028.0339,2002.6691,2057.1821,2083.4988,2023.6565,2042.7817,2056.3923,2025.5636,2060.8003,2033.1215,2016.2507,1992.9817,2007.6318,2003.2335,2016.6498,2034.5754,2035.8701,2017.733,2029.5947,2003.8531,2047.0803,2025.792,1989.0892,2022.9092,2002.0803,2053.0898,2033.6881,2030.1606,2028.0103,2056.0972,1993.5131,2072.1558,2082.2065,2047.2233,2051.7346,2036.2322,2019.1626,2011.3184,1999.726,2029.1191,2024.3358,2036.4199,2032.8177,2029.5131,2027.8086,2024.4889,2084.54,2038.987,2065.265,2033.9642,2038.0339,2051.9858
3,dilution_mated_ff,dm_R57C10xGC6s_FF_20210722b,sucrose,1M,10,dm_R57C10xGC6s_FF_20210722b_10_sucrose_1M_transformed_gauss.nii,2430.3538,2529.5056,2730.923,2860.9817,2786.6357,2753.1897,2638.062,2329.1047,2782.571,2607.682,2718.923,2577.9915,2730.533,2799.4165,2624.3257,2659.7498,2626.6846,2811.541,2368.9585,2500.3875,2411.0886,2595.2178,2624.9878,2906.9214,3183.743,2638.4006,2819.547,2775.4497,2524.701,2547.8745,2684.5671,2997.602,2634.9927,3016.2712,3186.9194,3026.823,3130.836,3584.845,3223.9915,3388.8164,3039.976,3270.7952,3317.8337,3155.639,3205.003,3060.7917,2974.107,3137.8643,3034.6675,2807.4275,2826.69,3134.1807,3022.138,3086.5212,2662.9822,2728.3171,2913.634,2780.0107,2953.2515,2541.9763
4,dilution_mated_ff,dm_R57C10xGC6s_FF_20210722b,sucrose,1M,10,dm_R57C10xGC6s_FF_20210722b_10_sucrose_1M_transformed_gauss.nii,2994.6296,2881.9136,2741.8066,2604.7632,2663.0483,2717.5464,2731.624,2739.3652,2685.1326,2747.1643,2856.967,2867.3337,2979.9263,2883.711,2843.951,2809.6562,2688.2188,2670.3923,2673.3547,2671.6921,2646.5579,2817.8147,2859.9697,2799.8794,2731.9978,2842.2803,2794.6218,2863.8826,2776.7756,2838.581,2882.4944,2888.3174,2855.0554,2818.463,2764.8516,2898.6926,2847.4993,2827.2224,2807.6382,2887.3826,2832.5518,2818.207,2828.6113,2924.9365,2858.3547,2796.1162,2899.3677,2835.2463,2792.3271,2823.279,2826.8044,2832.4348,2796.3591,2816.587,2809.1587,2742.374,2747.364,2776.0405,2794.585,2825.2117
5,dilution_mated_ff,dm_R57C10xGC6s_FF_20210722b,sucrose,1M,10,dm_R57C10xGC6s_FF_20210722b_10_sucrose_1M_transformed_gauss.nii,2997.2249,2895.7864,2746.827,2777.7993,2821.102,2897.4392,2913.2566,2893.6584,2849.86,2882.2195,3267.6873,3536.734,3406.028,3241.299,3191.509,3170.7786,3003.7126,2846.1497,2807.0715,2739.6257,3032.5444,3190.3223,3098.7368,3032.9397,3058.2683,3025.6143,3011.8892,2935.0093,2895.3765,2881.069,2967.8726,2936.2185,2885.464,2851.607,2843.1477,2929.3508,2917.1133,2953.2827,2902.1875,2970.7217,2953.1743,2894.6104,2927.0112,2854.2559,2856.277,2917.6897,2934.125,2936.067,2967.75,2890.193,2985.5947,2953.9211,2982.524,2975.0178,2995.4224,2877.8591,2905.98,2936.2168,2963.1685,2962.66
6,dilution_mated_ff,dm_R57C10xGC6s_FF_20210722b,sucrose,1M,10,dm_R57C10xGC6s_FF_20210722b_10_sucrose_1M_transformed_gauss.nii,2482.8247,2558.3857,2413.924,2456.1997,2415.512,2443.163,2454.2844,2412.5327,2397.6177,2389.7175,2554.5757,2872.135,2674.4033,2563.9644,2520.6047,2470.5881,2478.3171,2343.8967,2348.761,2379.829,2506.292,2552.4563,2577.8599,2595.7656,2553.6465,2504.1199,2475.1226,2452.3887,2511.5847,2403.903,2431.6216,2570.004,2516.2349,2335.904,2493.9988,2352.845,2469.402,2533.8345,2472.0146,2498.1863,2503.8108,2442.0173,2504.0552,2596.435,2405.2085,2516.4272,2499.0083,2552.7556,2613.208,2469.5217,2533.895,2526.534,2543.1372,2578.6633,2523.4834,2467.8574,2407.565,2425.5083,2550.256,2532.0457
7,dilution_mated_ff,dm_R57C10xGC6s_FF_20210722b,sucrose,1M,10,dm_R57C10xGC6s_FF_20210722b_10_sucrose_1M_transformed_gauss.nii,2483.6643,2494.9807,2311.3826,2428.1216,2490.8147,2495.781,2478.6113,2471.1143,2447.282,2465.88,2482.2036,2456.6191,2504.9287,2560.6702,2473.123,2502.257,2497.7876,2378.4812,2404.2566,2364.3635,2308.5522,2429.4956,2471.258,2556.0652,2459.2078,2543.9954,2520.4197,2486.5874,2373.7297,2408.9812,2464.0042,2511.3955,2411.8794,2411.3098,2416.6597,2472.5688,2458.9216,2509.0625,2576.3354,2584.935,2561.0688,2485.7268,2550.1008,2447.282,2488.8508,2477.8,2567.877,2523.8098,2546.5786,2581.971,2581.652,2583.0632,2546.6323,2573.9768,2508.4922,2454.8606,2532.8196,2524.0005,2566.289,2588.6099
8,dilution_mated_ff,dm_R57C10xGC6s_FF_20210722b,sucrose,1M,10,dm_R57C10xGC6s_FF_20210722b_10_sucrose_1M_transformed_gauss.nii,2238.5564,2232.8335,2238.1235,2272.6887,2250.2812,2231.7888,2278.4822,2266.4956,2272.1494,2277.2842,2264.7996,2315.1338,2300.4983,2309.2039,2328.6348,2299.0447,2266.3108,2267.7856,2283.625,2286.7598,2284.0085,2297.472,2321.358,2283.8118,2278.7947,2259.5203,2299.6382,2281.5688,2298.271,2302.9521,2319.0854,2296.1868,2280.5876,2259.1997,2291.0247,2282.1443,2304.5007,2278.5088,2296.2905,2278.934,2264.2812,2295.4204,2268.0376,2293.2563,2274.1753,2278.7485,2265.0266,2313.3748,2283.4473,2297.5125,2313.984,2280.7732,2292.7437,2274.9917,2277.999,2286.0002,2287.5574,2268.8142,2287.912,2298.4587
9,dilution_mated_ff,dm_R57C10xGC6s_FF_20210722b,sucrose,1M,10,dm_R57C10xGC6s_FF_20210722b_10_sucrose_1M_transformed_gauss.nii,2185.6738,2153.6042,2134.3594,2134.2717,2162.4075,2162.0483,2179.418,2167.5537,2167.3218,2144.8816,2344.0374,2461.899,2337.2437,2222.2922,2209.449,2257.6274,2197.169,2148.7683,2151.7266,2129.3157,2251.1614,2304.8394,2237.8564,2214.7375,2190.5813,2182.784,2210.8076,2213.8374,2173.681,2199.2197,2211.0095,2209.7234,2175.794,2210.4941,2176.6365,2187.4258,2211.893,2196.0361,2199.8555,2211.1797,2210.1772,2207.5457,2179.1252,2183.6067,2186.2468,2196.2754,2206.5527,2219.318,2219.6167,2191.803,2200.5833,2182.801,2212.3745,2203.131,2179.5945,2183.9976,2199.4854,2209.8298,2202.8032,2198.3623
10,dilution_mated_ff,dm_R57C10xGC6s_FF_20210722b,sucrose,1M,10,dm_R57C10xGC6s_FF_20210722b_10_sucrose_1M_transformed_gauss.nii,2407.6858,2383.6548,2366.7354,2361.3738,2366.0913,2323.2156,2361.7646,2301.1567,2344.5393,2365.3977,2410.2878,2494.9795,2465.1577,2429.0957,2427.73,2422.2627,2450.327,2385.3406,2303.0466,2358.7397,2350.8625,2368.492,2409.0916,2401.0137,2432.6846,2474.2378,2440.4192,2391.0745,2409.7324,2353.4158,2384.9302,2368.5547,2406.4053,2421.2693,2449.4578,2391.4873,2431.3547,2465.2676,2454.3083,2453.9119,2451.8223,2458.9119,2416.6042,2436.378,2402.62,2393.0896,2388.202,2370.5295,2451.235,2442.8147,2483.3638,2463.639,2493.9785,2464.5483,2409.1343,2399.7869,2422.029,2401.4043,2418.4668,2439.3367
