region,state,fly,stimulus,concentration,stimulus_nr,recording,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1,dilution_mated_ff,dm_R57C10xGC6s_FF_20210722c,sucrose,1M,11,dm_R57C10xGC6s_FF_20210722c_11_sucrose_1M_transformed_gauss.nii,3098.5137,3118.6453,3170.92,3161.9832,3175.901,3126.967,3077.302,3076.9165,2964.0579,2980.2744,2994.472,3117.8127,3330.3635,3288.081,3202.769,3229.4211,3178.7986,3100.7195,3151.555,3087.0598,3073.996,3079.9993,3138.5718,3113.4595,3206.2322,3191.0605,3206.213,3132.6045,3113.2058,3029.5125,3033.6096,3083.6443,3109.4246,3091.57,3062.2773,3071.4531,3119.4067,3076.9922,3100.9924,3157.8147,3158.4536,3149.6965,3141.1182,3077.6978,3077.0212,3091.4033,3034.751,3001.3813,3094.8184,3066.2773,3058.2388,3097.4487,3138.8474,3110.296,3212.0164,3125.5496,3102.0793,3130.0059,3113.2144,3064.86
2,dilution_mated_ff,dm_R57C10xGC6s_FF_20210722c,sucrose,1M,11,dm_R57C10xGC6s_FF_20210722c_11_sucrose_1M_transformed_gauss.nii,2499.731,2535.356,2496.0903,2550.4656,2515.74,2514.165,2514.115,2569.283,2525.989,2578.7334,2514.5627,2533.9395,2534.33,2570.0212,2521.4048,2488.935,2505.634,2600.8335,2536.7205,2515.8896,2566.305,2537.9956,2507.262,2512.8923,2507.7158,2474.7556,2538.5757,2541.35,2516.677,2511.5437,2515.4426,2524.7942,2570.7263,2537.1265,2533.0933,2503.48,2539.4133,2589.0425,2514.9585,2507.0894,2553.3054,2512.569,2482.4421,2536.3674,2524.936,2489.8823,2574.2126,2531.3733,2556.8384,2534.4482,2517.737,2535.7505,2568.7727,2567.3037,2564.598,2539.4275,2549.2942,2530.746,2525.6196,2547.9578
3,dilution_mated_ff,dm_R57C10xGC6s_FF_20210722c,sucrose,1M,11,dm_R57C10xGC6s_FF_20210722c_11_sucrose_1M_transformed_gauss.nii,3636.858,3489.4736,3353.7246,3148.792,3542.9204,3653.4016,3498.1936,3520.4353,3661.073,3826.0051,3494.265,4160.5254,4460.412,4291.559,4479.866,4419.3706,4750.15,4067.203,4217.388,4027.6907,4610.7944,3976.8953,4220.908,3733.0273,4136.54,4472.742,4313.412,4675.012,4448.999,5114.9927,4607.414,4700.744,4441.934,4647.875,4332.3086,4376.393,4376.7876,4574.591,4490.0117,4139.567,4217.1445,4685.4634,5043.7583,4620.6045,3809.4058,3741.5872,3758.7998,3517.6377,3770.2603,4122.0586,3887.5664,4042.465,4166.258,4690.842,4254.512,4462.153,4065.981,4473.1724,4837.992,4314.6396
4,dilution_mated_ff,dm_R57C10xGC6s_FF_20210722c,sucrose,1M,11,dm_R57C10xGC6s_FF_20210722c_11_sucrose_1M_transformed_gauss.nii,4271.2515,4025.15,4030.6587,4051.986,4053.8665,4106.4365,4078.559,4336.096,4190.484,4532.6406,4237.6816,4583.834,5135.6196,5079.7056,4917.9272,4773.4277,4788.3457,4587.454,4854.7124,4587.105,4718.275,4433.674,4462.4097,4380.4717,4705.702,4626.5703,4578.382,4552.265,4681.8164,5037.0806,4724.529,4583.723,4630.978,4611.484,4701.0454,4623.6465,4640.7114,4756.0244,4635.193,4680.212,4435.5747,4835.776,4930.2993,4512.371,4256.7627,4326.5596,4298.3374,4274.0537,4265.648,4312.879,4324.302,4405.2227,4661.8633,4978.186,5021.4814,4631.523,4447.9844,4758.242,4910.1743,4607.4116
5,dilution_mated_ff,dm_R57C10xGC6s_FF_20210722c,sucrose,1M,11,dm_R57C10xGC6s_FF_20210722c_11_sucrose_1M_transformed_gauss.nii,4628.4473,4596.007,4551.829,4516.7285,4566.092,4436.9473,4401.279,4465.132,4423.8994,4483.9106,4455.0728,5034.4424,5356.8384,5113.255,4864.0815,4745.579,4646.7,4580.5977,4651.0225,4576.3955,4532.4727,4491.9233,4466.555,4568.586,4835.2705,4729.357,4655.7417,4577.3257,4497.151,4595.7256,4642.892,4672.913,4660.1445,4555.8364,4557.0723,4442.463,4459.6733,4509.141,4475.1167,4539.844,4487.713,4505.5654,4407.742,4445.927,4429.2227,4407.7925,4440.5864,4365.537,4412.7524,4418.207,4352.039,4404.6245,4641.7993,4603.8735,4564.3154,4467.8057,4514.2607,4421.115,4611.8286,4424.969
6,dilution_mated_ff,dm_R57C10xGC6s_FF_20210722c,sucrose,1M,11,dm_R57C10xGC6s_FF_20210722c_11_sucrose_1M_transformed_gauss.nii,4839.0625,4797.2993,4881.825,4761.065,4826.6484,4729.9927,4760.026,4632.611,4599.0557,4792.9404,4661.8716,5429.0005,5967.442,5554.552,5199.632,4912.978,4791.4043,4809.9116,4720.8745,4607.181,4673.1855,4766.3145,4780.564,4712.18,5041.4673,4785.1167,4698.6655,4723.2505,4764.669,4612.1255,4712.283,4655.824,4555.0186,4517.0547,4585.541,4554.334,4640.711,4543.405,4505.4316,4638.088,4673.4136,4572.7197,4552.008,4615.483,4526.1934,4623.6255,4488.9814,4728.7954,4555.5894,4669.182,4562.2896,4577.244,4621.1504,4682.133,4631.964,4676.2227,4642.1533,4727.101,4722.764,4525.347
7,dilution_mated_ff,dm_R57C10xGC6s_FF_20210722c,sucrose,1M,11,dm_R57C10xGC6s_FF_20210722c_11_sucrose_1M_transformed_gauss.nii,3821.939,3984.4688,4022.1475,4057.8918,4040.2993,3946.6785,3839.1467,3917.0479,3783.093,3775.9485,3756.9338,3900.1384,3959.1206,3890.5322,3897.9072,3922.1475,3821.7534,3798.755,3810.9934,3819.3247,3785.2495,3770.776,3761.8904,3790.6113,3846.978,3853.7468,3825.9377,3775.7864,3767.1853,3751.1052,3813.7974,3817.5708,3789.37,3799.7249,3794.0425,3753.5925,3809.2393,3741.022,3743.7432,3808.3835,3721.7124,3788.577,3770.5454,3756.9749,3767.9092,3785.485,3753.142,3702.7017,3669.0518,3696.677,3619.6328,3680.8162,3765.004,3810.2773,3853.1704,3747.8079,3771.3896,3696.7166,3756.596,3730.6614
8,dilution_mated_ff,dm_R57C10xGC6s_FF_20210722c,sucrose,1M,11,dm_R57C10xGC6s_FF_20210722c_11_sucrose_1M_transformed_gauss.nii,2891.1274,3005.7395,3073.1921,3064.633,3081.7207,3091.6006,3092.384,3142.2837,2999.9968,3053.2876,3028.1836,3143.671,3257.5593,3225.4749,3181.6855,3247.8267,3214.1455,3086.7566,3155.449,3036.9333,3091.838,3074.8955,3060.6143,3107.9897,3167.99,3189.8462,3211.6204,3129.0034,3082.5085,3095.441,3048.5388,3041.957,2976.9905,3048.0754,3073.174,3064.2322,3092.52,3143.6096,3128.2026,3044.537,2994.7502,3058.844,3001.8955,2985.5508,2958.46,2980.6887,2980.6555,3052.044,3030.5115,2987.8596,3064.324,3107.3994,3123.0715,3131.642,3106.8164,3057.7144,3056.8623,3130.5728,3216.6562,3147.424
9,dilution_mated_ff,dm_R57C10xGC6s_FF_20210722c,sucrose,1M,11,dm_R57C10xGC6s_FF_20210722c_11_sucrose_1M_transformed_gauss.nii,3093.259,3245.4734,3248.1592,3284.7969,3283.3997,3084.341,3065.511,3063.89,3051.7239,3061.661,3011.9114,3406.9705,3528.4575,3441.2324,3298.434,3273.2625,3188.5942,3322.0266,3152.9487,3142.688,3110.8223,3106.569,3093.2012,3113.4126,3309.8281,3242.63,3170.0261,3167.6985,3096.7964,3173.755,3134.4763,3117.2363,3120.5261,3093.7805,3078.2134,3065.1523,3068.5403,3102.9692,3058.3293,3062.9197,3041.2876,3053.8198,3029.9497,3035.6936,3000.5442,3010.1306,3038.5278,3054.2344,3070.3623,3053.969,3061.9766,3108.3806,3093.3003,3090.4365,3057.3794,3045.907,3063.3506,3087.8462,3093.721,3084.18
10,dilution_mated_ff,dm_R57C10xGC6s_FF_20210722c,sucrose,1M,11,dm_R57C10xGC6s_FF_20210722c_11_sucrose_1M_transformed_gauss.nii,2252.3396,2255.5872,2260.009,2258.641,2234.147,2219.1199,2220.066,2199.8894,2225.5857,2172.3945,2216.485,2269.0327,2335.1697,2330.1335,2316.862,2298.3032,2282.5642,2281.9282,2280.5015,2251.4556,2201.388,2232.6294,2212.8071,2227.0242,2268.117,2256.7117,2270.166,2282.093,2230.436,2225.4392,2220.0715,2235.2717,2230.6626,2178.2183,2172.6594,2205.0933,2199.8643,2232.8499,2184.4216,2191.6165,2180.6802,2220.6501,2180.6357,2173.8118,2209.3906,2188.8916,2190.1016,2221.3389,2300.586,2253.6426,2265.983,2251.2422,2203.0679,2230.1985,2223.334,2212.2476,2245.8335,2191.311,2209.3555,2222.212
