region,state,fly,stimulus,concentration,stimulus_nr,recording,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1,dilution_mated_ff,dm_R57C10xGC6s_FF_20210722d,sucrose,1M,10,dm_R57C10xGC6s_FF_20210722d_10_sucrose_1M_transformed_gauss.nii,2430.2617,2433.442,2416.6616,2408.2336,2435.5842,2447.7134,2432.8965,2431.1812,2446.2996,2436.883,2437.552,2490.7314,2494.5762,2531.1145,2543.196,2561.9353,2476.3665,2521.0173,2446.7563,2497.3115,2444.3372,2525.2898,2528.9072,2549.6929,2614.1548,2517.7837,2551.3242,2528.6226,2567.1895,2541.4688,2548.6018,2507.088,2604.3123,2563.7927,2511.514,2502.355,2507.3047,2498.6406,2488.37,2447.5085,2451.443,2497.7642,2473.5474,2503.0366,2453.0752,2471.0264,2505.9485,2440.431,2425.9707,2454.0593,2439.8328,2458.546,2492.7815,2472.9424,2421.9744,2448.7712,2443.3376,2424.1147,2451.7693,2420.1177
2,dilution_mated_ff,dm_R57C10xGC6s_FF_20210722d,sucrose,1M,10,dm_R57C10xGC6s_FF_20210722d_10_sucrose_1M_transformed_gauss.nii,2217.8086,2196.8633,2183.2578,2200.7634,2213.5952,2194.4597,2194.7854,2194.8413,2234.6992,2235.434,2216.0112,2222.5276,2191.509,2229.5037,2232.4995,2244.0315,2238.5818,2255.6133,2230.513,2209.9426,2204.1746,2277.5889,2220.667,2227.8613,2209.3533,2240.5725,2262.235,2209.6396,2249.6392,2229.9236,2211.835,2219.7764,2260.3623,2292.3003,2256.4036,2230.992,2240.9854,2241.9004,2177.5498,2210.6265,2231.3633,2216.5547,2211.0671,2212.612,2213.9233,2197.214,2220.259,2208.2515,2202.727,2191.1023,2227.3398,2257.5002,2263.819,2159.528,2233.8103,2221.112,2212.2341,2206.1475,2167.1206,2201.6963
3,dilution_mated_ff,dm_R57C10xGC6s_FF_20210722d,sucrose,1M,10,dm_R57C10xGC6s_FF_20210722d_10_sucrose_1M_transformed_gauss.nii,2566.188,2501.4136,2460.221,2551.6133,2803.8113,2422.8567,2627.8555,2453.5232,2596.5728,2470.856,2427.2563,2560.8296,2702.08,2693.1228,2633.7532,2599.7598,2434.5496,2533.2573,2568.5317,2550.2405,2518.163,2594.7378,2555.4656,2784.8599,2746.4119,2963.6475,2815.8455,2672.1711,2742.5588,2582.0195,2721.052,2678.628,2556.6567,2885.8774,2679.1292,2750.3938,2694.4287,2549.8557,2789.1843,2599.2454,2663.9744,2552.6707,2521.6262,2507.3828,2605.9255,2591.487,2692.0127,2563.6538,2485.4275,2361.0063,2345.2349,2753.024,2575.6338,2612.896,2492.898,2398.123,2678.8064,2480.0876,2650.2878,2330.2595
4,dilution_mated_ff,dm_R57C10xGC6s_FF_20210722d,sucrose,1M,10,dm_R57C10xGC6s_FF_20210722d_10_sucrose_1M_transformed_gauss.nii,3020.8684,2956.324,2987.4019,2894.3777,3340.0723,3030.3042,3010.3018,2950.644,3006.2017,3003.3828,3004.3264,3117.541,3494.8677,3787.6353,4085.4731,3782.5952,3921.8838,3867.4346,3398.9397,3783.6926,3612.4094,3734.4517,3986.3828,4034.1572,4137.6323,4084.7285,4092.108,4005.6667,4001.5066,4052.1123,4159.808,3962.1125,3918.3674,3511.432,3564.871,3437.2415,3578.1138,3390.4185,3246.2532,3414.8828,3433.9294,3431.7664,3379.2974,3400.8374,3320.402,3195.5479,3616.2148,3161.1782,3371.796,3159.4993,3039.8682,3057.5637,3053.8005,3003.235,3020.4507,2929.635,2976.5132,3074.932,3003.7522,2984.268
5,dilution_mated_ff,dm_R57C10xGC6s_FF_20210722d,sucrose,1M,10,dm_R57C10xGC6s_FF_20210722d_10_sucrose_1M_transformed_gauss.nii,2690.4224,2651.2537,2663.1104,2642.4246,2659.1743,2720.5576,2712.5154,2663.9907,2719.9949,2707.2144,2628.5718,2739.4023,2759.251,2817.5742,2791.6526,2807.0022,2767.3767,2777.1365,2705.4482,2702.995,2731.5303,2774.2026,2819.6833,2741.834,2773.0542,2763.6355,2782.1938,2769.994,2784.303,2741.8567,2741.2078,2808.614,2864.9722,2823.8962,2696.138,2702.0217,2727.8574,2687.7163,2667.1863,2682.4165,2679.3882,2661.3462,2662.1345,2714.3088,2729.8196,2699.938,2702.628,2721.0625,2706.095,2682.1492,2661.4827,2727.655,2716.9531,2662.3823,2682.874,2679.3726,2680.2566,2695.8015,2673.2466,2675.9868
6,dilution_mated_ff,dm_R57C10xGC6s_FF_20210722d,sucrose,1M,10,dm_R57C10xGC6s_FF_20210722d_10_sucrose_1M_transformed_gauss.nii,2519.3416,2558.6223,2600.5986,2491.184,2611.0332,2582.5723,2544.5264,2559.4744,2566.1033,2645.7974,2526.5757,2736.371,2750.5813,2725.5833,2700.0247,2637.5435,2617.182,2744.5525,2632.4,2578.0977,2624.7615,2712.3909,2638.2087,2687.8135,2681.169,2709.6033,2623.7537,2587.1917,2670.1433,2611.6484,2637.2966,2692.8162,2695.3984,2734.7148,2616.7302,2564.892,2634.2961,2623.9067,2578.9888,2572.9026,2586.0845,2448.1577,2568.4792,2535.6497,2602.5017,2593.9526,2573.9685,2560.8035,2622.681,2616.8843,2676.801,2619.6519,2560.2896,2532.9187,2612.819,2583.0542,2630.7275,2570.9631,2573.9417,2519.6816
7,dilution_mated_ff,dm_R57C10xGC6s_FF_20210722d,sucrose,1M,10,dm_R57C10xGC6s_FF_20210722d_10_sucrose_1M_transformed_gauss.nii,2827.106,2857.3389,2820.033,2817.2627,2876.8633,2894.3386,2868.2944,2865.958,2858.478,2877.55,2883.8638,2892.9175,2943.5867,2981.4233,2939.205,2942.02,2965.427,3009.4028,2903.9316,2980.8677,2877.9612,3019.3433,2964.6384,2991.5515,2998.086,2988.6318,2990.5615,2963.2559,2993.3384,3026.2915,2962.05,2985.5017,3015.6038,2990.4465,2961.8682,2863.757,2917.6287,2872.9353,2903.3127,2859.178,2877.8296,2864.9846,2882.3713,2927.5605,2957.5266,2929.8438,2982.0562,2925.2415,2954.0754,2910.5486,2914.5723,2880.1218,2929.401,2855.457,2904.4856,2931.2761,2873.1165,2878.8965,2853.6638,2867.943
8,dilution_mated_ff,dm_R57C10xGC6s_FF_20210722d,sucrose,1M,10,dm_R57C10xGC6s_FF_20210722d_10_sucrose_1M_transformed_gauss.nii,2459.789,2483.3816,2457.0627,2482.3757,2461.7297,2454.572,2431.453,2452.8772,2496.1052,2467.24,2453.8005,2527.0044,2527.794,2566.9219,2579.9368,2581.9563,2528.056,2544.5898,2475.2598,2479.7097,2503.581,2595.532,2624.0493,2584.5098,2636.4377,2569.5928,2537.4868,2518.7173,2528.2283,2559.1147,2545.1975,2544.5918,2572.8384,2518.9136,2509.8926,2492.1787,2494.5952,2476.6658,2466.0803,2466.617,2510.621,2505.8047,2509.978,2501.9155,2474.2866,2464.3647,2482.989,2489.0068,2507.954,2453.1836,2454.6653,2476.4993,2477.3103,2466.1318,2470.3264,2458.3901,2447.454,2440.9495,2452.2559,2467.3213
9,dilution_mated_ff,dm_R57C10xGC6s_FF_20210722d,sucrose,1M,10,dm_R57C10xGC6s_FF_20210722d_10_sucrose_1M_transformed_gauss.nii,2344.3477,2331.7239,2332.48,2344.3813,2340.4666,2344.5583,2346.3162,2330.7173,2353.3564,2336.263,2346.6052,2454.058,2514.1516,2579.9673,2522.399,2529.6794,2476.0664,2427.869,2384.6113,2356.582,2370.6177,2505.0125,2513.0422,2495.0293,2459.5657,2466.4275,2478.3003,2481.0095,2449.4,2501.8215,2464.1912,2455.3735,2593.1116,2521.383,2407.3076,2374.7795,2374.79,2365.2676,2358.7876,2349.5696,2344.4512,2346.7231,2336.3657,2358.2998,2338.594,2341.527,2365.4521,2354.363,2336.568,2339.4307,2348.8499,2404.2048,2392.5723,2336.8342,2338.892,2342.741,2345.585,2340.5188,2328.0686,2343.0872
10,dilution_mated_ff,dm_R57C10xGC6s_FF_20210722d,sucrose,1M,10,dm_R57C10xGC6s_FF_20210722d_10_sucrose_1M_transformed_gauss.nii,2253.9216,2221.8762,2213.9604,2214.562,2232.107,2221.0098,2284.068,2260.6338,2309.951,2270.1228,2286.5608,2325.6606,2310.109,2410.3218,2342.3662,2316.3372,2358.2273,2380.284,2315.2239,2322.961,2290.146,2385.699,2400.255,2334.9167,2337.2588,2399.6335,2392.15,2369.6265,2369.134,2441.8303,2397.645,2367.4656,2333.8755,2312.3718,2427.6406,2268.544,2325.838,2290.23,2292.3142,2278.701,2210.9753,2184.325,2210.8708,2285.441,2299.0623,2286.7065,2369.8057,2302.3623,2279.5098,2255.6511,2265.0837,2241.209,2250.485,2186.7622,2274.3704,2223.4692,2277.8022,2271.3977,2265.1267,2300.6543
11,dilution_mated_ff,dm_R57C10xGC6s_FF_20210722d,sucrose,1M,10,dm_R57C10xGC6s_FF_20210722d_10_sucrose_1M_transformed_gauss.nii,2331.781,2323.599,2320.9824,2345.465,2379.5806,2362.331,2337.1853,2342.094,2358.6604,2345.214,2335.2764,2348.7903,2393.3818,2423.4497,2450.4543,2451.3965,2440.1575,2438.6624,2394.4546,2381.009,2379.5847,2398.012,2466.156,2442.9246,2465.846,2438.7761,2468.9539,2469.2505,2448.7903,2456.7292,2467.7402,2472.4739,2453.6511,2428.2534,2459.6233,2417.7422,2424.0269,2411.3518,2395.2166,2419.2263,2395.437,2378.1262,2377.2708,2388.3833,2393.1045,2364.939,2392.045,2368.3757,2364.1792,2354.8145,2371.0146,2400.6763,2406.554,2376.1707,2365.3123,2371.065,2351.2551,2355.98,2360.6804,2355.5195
12,dilution_mated_ff,dm_R57C10xGC6s_FF_20210722d,sucrose,1M,10,dm_R57C10xGC6s_FF_20210722d_10_sucrose_1M_transformed_gauss.nii,2024.5848,2024.8766,2025.764,2015.4288,2028.4753,2021.4431,2030.3083,2018.0729,2034.6238,2017.1451,1999.6797,2023.3916,2020.4137,2014.9868,2021.2115,2023.9014,2036.9888,2033.0411,2030.1022,2028.6866,2010.5444,2032.4502,2026.2318,2018.5168,2036.9099,2030.9631,2037.9413,2030.7552,2030.9277,2034.8694,2025.3916,2035.7634,2121.6235,2098.6292,2052.7158,2039.2255,2039.0503,2030.3663,2021.8219,2016.7334,2010.4132,2012.174,2004.4651,2033.9374,2041.1915,2027.7637,2031.9081,2033.566,2035.8809,2043.6146,2007.5664,2094.5781,2069.8508,2008.7119,2024.7915,2019.1615,2035.6611,2026.3932,2011.7439,2011.6165
13,dilution_mated_ff,dm_R57C10xGC6s_FF_20210722d,sucrose,1M,10,dm_R57C10xGC6s_FF_20210722d_10_sucrose_1M_transformed_gauss.nii,2096.0637,2163.3013,2146.2095,2112.1956,2080.6384,2128.9243,2075.7402,2120.8281,2086.1472,2086.6477,2115.8628,2122.4355,2028.5581,1977.8735,1906.3417,2021.2623,2075.1406,2053.1938,2151.0483,2048.9583,2025.908,2052.3848,2107.527,1936.2242,1905.0713,1940.9854,2079.5015,2067.769,2061.3108,2103.5552,2091.339,2017.86,1974.2075,2127.4595,2086.9607,2076.9087,2034.0895,2102.9026,2150.3179,2055.5034,2086.975,1985.1494,2074.8042,2175.098,2072.7207,2134.8254,2182.317,2095.3926,2012.948,2121.329,2101.9956,2067.3147,2089.178,2107.3716,2090.0857,2121.0708,2131.6743,2090.9602,2177.8372,2084.104
14,dilution_mated_ff,dm_R57C10xGC6s_FF_20210722d,sucrose,1M,10,dm_R57C10xGC6s_FF_20210722d_10_sucrose_1M_transformed_gauss.nii,3267.7512,3217.565,3202.0098,3246.1538,3290.3777,3242.539,3201.2273,3141.1226,3225.6514,3253.74,3244.218,3476.6448,3654.3708,3964.1584,3967.9917,3896.6182,3791.1611,3923.7505,3588.6191,3661.4067,3652.3325,3923.086,4059.2166,4084.6228,4101.7676,4050.8457,4094.7424,4110.3887,4123.4287,4147.963,4160.4966,4014.612,4135.3394,3807.1616,3872.183,3709.6062,3898.4119,3589.4287,3697.2449,3576.6958,3685.6355,3635.0342,3694.4194,3985.4265,3658.748,3537.1895,3779.564,3411.0156,3483.9958,3408.8464,3388.1042,3414.8657,3330.2773,3235.375,3268.2986,3379.7734,3229.3765,3253.6875,3303.0464,3238.713
15,dilution_mated_ff,dm_R57C10xGC6s_FF_20210722d,sucrose,1M,10,dm_R57C10xGC6s_FF_20210722d_10_sucrose_1M_transformed_gauss.nii,2709.9944,2817.6348,2812.5962,2641.3882,2820.6528,2702.6943,2708.2283,2773.1238,2797.957,2728.1653,2770.7947,2867.7322,2869.7405,2929.2944,2935.5388,3107.8037,2819.7244,2927.5676,2831.5486,2909.539,2825.6042,2967.597,2850.8108,3038.0352,3072.0698,2972.5076,2976.188,2933.1018,2973.821,2860.8667,2952.348,2907.57,3000.5332,2895.672,2843.1753,2881.8276,2885.9995,2825.9277,2823.458,2841.7734,2828.7698,2735.2688,2822.2114,2861.761,2988.0957,2768.5312,3023.5117,2812.0986,2832.8552,2763.2498,2892.2498,2851.259,2877.465,2727.433,2824.683,2765.8572,2807.7727,2781.283,2890.077,2702.6401
16,dilution_mated_ff,dm_R57C10xGC6s_FF_20210722d,sucrose,1M,10,dm_R57C10xGC6s_FF_20210722d_10_sucrose_1M_transformed_gauss.nii,2787.7466,2730.9175,2718.9756,2690.8794,2765.6274,2750.1497,2726.9233,2728.17,2694.8386,2726.9243,2724.1013,2922.1,2967.1592,3131.5598,3162.9307,3091.091,3026.316,2987.699,2874.1113,2899.181,2867.669,3163.916,3137.8726,3133.7996,3179.932,3091.8064,3114.5183,3061.0898,3085.784,3061.603,3119.4006,3071.9402,3085.245,3026.6443,3035.939,3002.4458,3061.8623,2947.0781,2962.8843,2901.3672,2908.632,2917.0059,2927.7551,2997.8306,2903.9607,2846.131,2910.3396,2801.4097,2790.521,2768.3499,2760.8193,2804.0552,2776.0186,2738.3606,2777.7922,2732.6233,2762.1675,2718.4983,2750.758,2727.9963
17,dilution_mated_ff,dm_R57C10xGC6s_FF_20210722d,sucrose,1M,10,dm_R57C10xGC6s_FF_20210722d_10_sucrose_1M_transformed_gauss.nii,1919.8292,1882.3599,1873.6263,1895.8645,1924.1005,1882.0529,1885.5099,1896.7296,1919.4446,1900.4977,1893.6151,1930.9763,1946.557,1957.932,2007.1766,2015.665,1976.8331,1959.022,1941.7384,1945.4088,1931.7783,1963.3981,2030.1897,1964.9674,2014.6027,1967.4832,1991.5903,1967.2374,1988.218,1983.7142,1967.8043,1967.465,1974.9131,1916.5957,1916.5101,1913.5281,1924.5272,1932.4662,1916.5448,1941.6176,1896.1316,1905.4518,1918.6306,1931.1921,1912.9232,1934.5244,1936.1395,1915.5702,1911.888,1919.8274,1894.9084,1915.7496,1904.1174,1906.8687,1904.4717,1886.6111,1917.6324,1905.6454,1886.8564,1884.9196
18,dilution_mated_ff,dm_R57C10xGC6s_FF_20210722d,sucrose,1M,10,dm_R57C10xGC6s_FF_20210722d_10_sucrose_1M_transformed_gauss.nii,2476.043,2478.1975,2450.1763,2456.853,2479.0107,2448.7515,2457.2625,2467.2583,2473.83,2460.3599,2469.0823,2506.7488,2549.6235,2558.4338,2541.2942,2565.26,2542.8188,2544.8906,2520.0557,2496.4211,2471.9016,2538.705,2553.936,2548.8337,2592.2834,2547.2454,2533.3499,2527.829,2537.4148,2545.4246,2528.4475,2548.0679,2630.0085,2577.7207,2533.537,2510.101,2522.1692,2499.2131,2484.4792,2481.586,2485.356,2458.172,2487.4756,2513.8384,2514.3086,2522.7012,2492.7537,2495.1338,2499.4185,2495.3,2457.0823,2569.8882,2536.615,2443.8796,2481.3635,2449.5278,2498.9783,2473.7178,2452.6116,2452.857
19,dilution_mated_ff,dm_R57C10xGC6s_FF_20210722d,sucrose,1M,10,dm_R57C10xGC6s_FF_20210722d_10_sucrose_1M_transformed_gauss.nii,3012.862,3021.2488,3035.993,3003.8413,3699.9575,3063.3992,2980.8857,3046.699,3097.748,2991.9336,2961.4001,3386.2097,3998.6316,4151.703,4441.349,3953.2476,4529.908,3931.1477,3318.2822,4251.553,3708.1694,4078.9902,4117.0015,4260.228,4405.958,4390.0547,4464.9277,4262.828,4478.3247,4483.838,4660.3916,4233.0083,4008.1604,3797.1885,4425.073,3925.5188,4542.9097,3964.0413,3684.9128,4231.4277,4042.5635,4084.8215,4178.472,3661.8018,4274.2163,3521.6995,4433.7563,3497.542,3985.9692,3251.476,3177.1338,3225.1113,3236.754,3192.0747,3221.9995,3181.6018,3245.727,3402.6958,3242.2349,3167.911
20,dilution_mated_ff,dm_R57C10xGC6s_FF_20210722d,sucrose,1M,10,dm_R57C10xGC6s_FF_20210722d_10_sucrose_1M_transformed_gauss.nii,1916.5153,1920.2206,1915.6082,1916.6373,1904.4169,1915.2675,1917.6699,1871.8268,1921.8425,1903.2789,1888.6489,1913.8671,1939.8373,1919.9994,1946.3136,1938.2039,1938.3728,1921.786,1925.6208,1909.8734,1924.1866,1927.8439,1913.1881,1958.2045,1934.1038,1943.4636,1919.043,1983.1307,1934.362,1919.8138,1960.2124,1914.2445,2042.2307,1980.4347,1919.8278,1937.2233,1911.074,1889.2692,1898.7683,1890.1577,1873.8406,1878.3435,1910.5094,1911.0459,1923.9025,1896.0939,1898.3064,1894.4888,1905.7998,1913.196,1861.7014,2001.5455,1944.0847,1892.8047,1921.3044,1906.5967,1926.9099,1901.0953,1895.1625,1896.294
21,dilution_mated_ff,dm_R57C10xGC6s_FF_20210722d,sucrose,1M,10,dm_R57C10xGC6s_FF_20210722d_10_sucrose_1M_transformed_gauss.nii,2020.5321,2017.9464,2029.2957,2008.1228,2021.9971,2034.4056,2009.7142,2002.3046,2011.2247,2006.9021,2019.3418,2113.4163,2125.019,2177.5803,2120.3171,2114.5916,2072.5276,2061.6946,2043.9153,2029.5394,2038.2875,2143.3464,2099.0757,2088.6892,2124.7266,2103.0947,2094.5122,2092.7832,2087.6313,2112.2554,2105.238,2090.677,2196.12,2137.7415,2076.1218,2047.7875,2033.9635,2043.7906,2020.7379,2015.2472,2013.9163,2018.1396,2012.5199,2032.3428,2025.9825,2035.2511,2028.337,2018.9171,2019.0132,2019.6454,2005.8959,2085.4546,2066.8484,2011.9326,2017.2903,2001.4791,2012.3695,2009.7876,2007.9558,1998.6638
22,dilution_mated_ff,dm_R57C10xGC6s_FF_20210722d,sucrose,1M,10,dm_R57C10xGC6s_FF_20210722d_10_sucrose_1M_transformed_gauss.nii,1623.4929,1639.6132,1633.3844,1644.943,1629.9873,1639.9652,1637.8389,1620.1913,1632.8873,1623.3746,1653.571,1688.9059,1704.2361,1734.3859,1715.5544,1709.2174,1692.8286,1665.4564,1665.4287,1652.1592,1663.0762,1721.7607,1720.0093,1725.2365,1702.9136,1693.6083,1705.643,1695.0094,1702.0604,1712.6501,1710.5665,1685.0059,1680.2385,1666.0746,1677.2385,1657.2948,1660.2725,1653.7749,1640.3829,1633.7587,1631.5865,1623.5675,1629.7805,1646.1453,1655.6228,1651.8308,1666.8812,1642.2229,1648.2042,1621.7991,1640.8425,1645.993,1638.5597,1633.299,1648.503,1648.5175,1649.1254,1644.1989,1617.8467,1640.9128
23,dilution_mated_ff,dm_R57C10xGC6s_FF_20210722d,sucrose,1M,10,dm_R57C10xGC6s_FF_20210722d_10_sucrose_1M_transformed_gauss.nii,3283.7722,3147.9001,3103.8538,3093.2197,3227.0815,3148.1362,3164.0962,3194.8174,3197.7004,3231.2615,3177.8264,3214.4604,3196.5566,3256.2993,3175.8828,3196.5925,3306.977,3272.1873,3193.2034,3220.9238,3197.1235,3223.2146,3192.1196,3190.3303,3201.8171,3259.307,3266.3755,3240.7766,3236.1982,3245.8062,3263.4226,3211.4485,3232.1843,3228.5337,3185.6426,3159.7146,3193.6565,3175.3047,3160.1243,3163.4004,3166.5955,3147.7449,3141.5854,3164.1182,3203.7898,3170.722,3201.6353,3155.495,3176.8408,3154.9136,3168.4583,3162.4905,3128.4927,3138.964,3114.2573,3127.9993,3150.9263,3144.2283,3148.2886,3135.9177
24,dilution_mated_ff,dm_R57C10xGC6s_FF_20210722d,sucrose,1M,10,dm_R57C10xGC6s_FF_20210722d_10_sucrose_1M_transformed_gauss.nii,4082.2139,3971.756,3838.0664,3856.2449,4118.393,3905.265,3939.6577,3770.8074,3785.562,3803.735,3830.489,4006.2095,4186.4897,4546.1445,4828.4224,4748.212,4641.8774,4788.453,4728.0996,4692.3135,4603.817,4695.5273,4727.226,4876.0415,5092.261,4946.216,5011.8965,5296.1553,5123.877,5134.4204,5267.945,5068.3154,5104.7354,4980.581,4653.5215,4449.97,4400.9736,4380.245,4921.4263,4224.263,4338.5537,4418.7383,4636.3774,6732.3115,4337.964,4580.9023,5194.032,4200.583,4097.053,4730.7593,4244.616,4235.362,4248.597,3900.1729,4244.3584,3954.1587,4102.2583,3944.6123,4012.2131,3826.5833
25,dilution_mated_ff,dm_R57C10xGC6s_FF_20210722d,sucrose,1M,10,dm_R57C10xGC6s_FF_20210722d_10_sucrose_1M_transformed_gauss.nii,3294.058,2920.0525,2845.6577,2903.4153,2927.3545,2920.0713,2902.8264,2931.816,3025.1196,2971.4263,2976.2898,3713.4277,3517.9543,3638.5361,3463.1292,3544.9778,3424.351,3329.606,3018.5613,3169.4883,3195.4915,3563.7136,3518.6873,3445.3298,3463.112,3500.3293,3586.6184,3476.0342,3491.6216,3494.6235,3541.2383,3282.8489,3208.3076,3018.692,3182.904,3111.9194,3211.6624,3114.082,3151.0964,3295.2466,3194.4673,3211.217,3238.6648,3251.4902,3283.3562,3189.4058,3458.7798,3237.3481,3211.1938,3282.091,3177.9658,3155.2673,3037.385,3141.4092,3151.8694,3075.193,3104.237,3073.9824,3130.7673,3113.655
26,dilution_mated_ff,dm_R57C10xGC6s_FF_20210722d,sucrose,1M,10,dm_R57C10xGC6s_FF_20210722d_10_sucrose_1M_transformed_gauss.nii,4556.028,3718.4277,3557.0242,3664.2878,3638.0464,3576.2278,3727.834,3941.8914,4009.4578,3989.7395,4157.029,5022.521,4425.0576,4566.4434,4471.601,4661.6,4599.3237,4100.3184,3869.7432,3995.992,4134.521,4608.598,4715.1353,4598.5303,4507.239,4412.22,4602.37,4382.4053,4506.7427,4416.865,4251.538,3874.2039,3694.065,3547.4878,3797.5535,3650.2124,3936.6567,3961.2534,3905.8528,4091.2974,4289.376,4134.754,4410.901,4158.4272,4366.4434,4198.5635,4515.3657,4162.735,4283.663,4385.4116,4398.1978,4045.1035,3694.3604,3978.345,4049.8372,3954.5276,4016.9531,4067.2217,4087.7336,4137.6143
