region,state,fly,stimulus,concentration,stimulus_nr,recording,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1,dilution_mated_ff,dm_R57C10xGC6s_ff_20211007a,sucrose,1M,12,dm_R57C10xGC6s_ff_20211007a_12_sucrose_1M_transformed.ni_gauss.nii,8463.427,9552.617,9798.903,9848.534,10003.287,10085.787,10134.1875,10013.074,10033.985,10025.494,9910.567,10052.386,10057.219,10052.077,10042.946,10071.579,10102.825,10173.403,10107.827,10142.735,10005.598,9712.09,9578.9,9684.144,9641.3545,9850.068,9827.196,9486.395,9832.628,9615.146,9612.418,9768.749,9779.093,9815.543,9730.849,9961.386,9892.064,9969.575,9771.877,10045.346,9984.408,10156.588,10055.29,9916.384,9875.787,9823.121,9886.352,9920.943,9859.089,9837.142,9942.264,9793.123,9551.166,9768.526,9431.046,9458.672,9399.617,9207.969,9170.102,9286.523
2,dilution_mated_ff,dm_R57C10xGC6s_ff_20211007a,sucrose,1M,12,dm_R57C10xGC6s_ff_20211007a_12_sucrose_1M_transformed.ni_gauss.nii,3412.983,3800.5095,3781.7725,3657.046,3887.6372,3854.0503,3870.1917,3789.6897,3939.7842,3835.636,3765.1238,3817.0693,3838.8154,3852.687,3792.677,3984.8071,3985.6277,3767.1675,3808.053,3839.3772,3671.2463,3775.1216,3781.8867,3815.6575,3863.2124,3651.2893,3765.135,3656.535,3827.4053,3777.1218,3748.9575,3846.4343,3762.5486,3675.6824,3583.9133,3647.1428,3711.123,3551.0867,3567.759,3611.9126,3504.0498,3560.5173,3581.5,3698.6821,3699.3281,3613.3337,3716.7664,3483.1213,3691.453,3594.1523,3557.462,3602.812,3708.7585,3722.3384,3507.6057,3641.2065,3800.617,3536.1113,3645.8203,3631.184
3,dilution_mated_ff,dm_R57C10xGC6s_ff_20211007a,sucrose,1M,12,dm_R57C10xGC6s_ff_20211007a_12_sucrose_1M_transformed.ni_gauss.nii,10171.974,9484.648,10347.853,9825.525,9786.609,10038.478,10379.824,10022.6455,10513.152,10406.152,10075.237,10731.667,11834.49,11527.292,11806.708,10951.692,11118.925,10758.316,11148.316,11201.992,11255.698,10470.073,9286.04,10435.357,11130.507,10818.332,10497.798,10706.149,11357.311,11024.899,10874.877,11415.046,10984.419,10881.839,11196.398,11080.116,10314.706,11924.394,10496.0,11562.165,12004.501,11725.381,12129.216,10996.554,11739.332,11431.261,11537.113,10688.588,11576.444,11146.579,11658.195,11440.301,10753.22,11477.331,11385.223,10462.777,10743.319,10299.785,10081.512,10482.376
4,dilution_mated_ff,dm_R57C10xGC6s_ff_20211007a,sucrose,1M,12,dm_R57C10xGC6s_ff_20211007a_12_sucrose_1M_transformed.ni_gauss.nii,9476.675,9501.861,9171.195,8945.5,9096.482,9092.467,9009.94,8993.355,8987.904,8743.033,9087.422,11405.899,12888.539,13179.74,12298.956,11716.961,10748.786,10282.016,10156.672,9997.006,9573.004,9898.033,10395.838,10315.489,10378.655,10324.011,10020.534,9943.164,10068.845,9851.411,9933.287,9696.495,9265.709,9383.337,9187.919,9314.166,9506.06,9695.664,9641.261,9506.878,9577.085,9397.626,9492.719,9795.21,9600.788,9595.277,9521.142,9336.967,9226.3,9328.755,9234.18,9014.575,9315.557,9229.715,9054.834,8719.834,9029.115,8633.761,9034.821,8905.965
5,dilution_mated_ff,dm_R57C10xGC6s_ff_20211007a,sucrose,1M,12,dm_R57C10xGC6s_ff_20211007a_12_sucrose_1M_transformed.ni_gauss.nii,7240.874,7843.511,7918.7437,7738.7188,7887.7036,7932.8154,7879.833,7800.7534,7814.7944,7808.5156,7874.1284,8148.5293,8339.189,8380.441,8271.74,8054.717,7984.664,7694.9844,7911.706,7969.294,7768.3276,8053.87,8073.308,7849.2495,7923.64,8216.293,7768.5635,7981.0317,7870.2695,8157.0703,7907.3794,8084.5977,7624.0376,7604.2812,7711.669,7683.2285,7499.649,7848.405,7949.264,7762.437,7931.8306,7782.274,7879.077,7829.2793,7953.4727,7831.9863,7916.2544,7927.5444,7770.396,7814.8203,7805.846,7697.456,7718.191,7633.936,7614.2896,7435.081,7648.846,7231.071,7566.2217,7584.745
6,dilution_mated_ff,dm_R57C10xGC6s_ff_20211007a,sucrose,1M,12,dm_R57C10xGC6s_ff_20211007a_12_sucrose_1M_transformed.ni_gauss.nii,6300.7314,7061.1465,7262.819,7209.0044,7204.1284,7287.264,7350.4746,7322.14,7125.865,7146.045,7398.6064,7243.6123,8069.9756,8285.305,7883.1953,7889.4194,7220.5864,7424.562,7444.1465,7821.6235,7055.9946,7590.877,7599.799,7153.2075,6960.3906,7570.979,7362.351,7616.3364,7529.2,7556.15,7243.4927,7494.3325,6945.784,6731.9077,6896.8677,6768.271,6823.69,7151.2656,7138.178,7034.7495,7100.449,7264.6147,7273.593,7355.9146,7138.8315,7298.0737,7084.486,7237.3984,7058.2236,7093.3887,7178.025,7349.9937,7234.813,7246.119,7156.5366,6922.6943,7160.7295,6855.217,6836.6855,7034.1533
7,dilution_mated_ff,dm_R57C10xGC6s_ff_20211007a,sucrose,1M,12,dm_R57C10xGC6s_ff_20211007a_12_sucrose_1M_transformed.ni_gauss.nii,6992.5815,7893.2686,8256.522,8246.943,8457.982,8519.104,8459.832,8362.039,8351.563,8316.212,8294.024,8069.851,8077.7295,8017.5186,7919.436,7982.981,8023.8423,8321.864,8377.094,8388.93,8200.622,8122.4556,8059.182,7868.617,7926.2124,8010.4775,7903.2188,7947.5713,8126.7446,8066.4175,8094.7993,8169.6006,8010.2285,7848.0215,7850.8857,8078.7334,7879.6445,7940.669,7974.172,8016.1055,7971.0522,8158.289,8066.5737,8085.8496,8264.797,8233.773,8280.808,8061.726,8105.4985,8189.9756,8329.143,8165.4946,8250.333,8124.9077,8087.6694,8030.159,8249.0,8028.962,8096.4565,8002.9434
8,dilution_mated_ff,dm_R57C10xGC6s_ff_20211007a,sucrose,1M,12,dm_R57C10xGC6s_ff_20211007a_12_sucrose_1M_transformed.ni_gauss.nii,4885.997,5537.063,5744.6206,5683.5146,5724.1406,5790.0986,5809.0864,5747.368,5771.442,5648.8716,5534.272,5565.9487,5462.6826,5445.724,5513.606,5525.017,5596.4175,5762.621,5584.29,5643.141,5771.174,5466.3657,5540.63,5490.148,5481.5513,5515.9062,5673.365,5639.0938,5710.852,5581.5054,5474.621,5567.064,5668.161,5555.083,5515.4316,5636.21,5559.8457,5402.6973,5502.17,5636.8496,5440.988,5658.9775,5584.899,5655.2114,5624.791,5355.178,5634.644,5566.2656,5727.597,5398.9854,5566.3706,5523.5684,5469.8564,5535.983,5363.325,5592.2114,5438.1646,5441.1245,5285.4375,5432.089
9,dilution_mated_ff,dm_R57C10xGC6s_ff_20211007a,sucrose,1M,12,dm_R57C10xGC6s_ff_20211007a_12_sucrose_1M_transformed.ni_gauss.nii,4076.6636,4622.641,4723.2,4603.828,4801.7437,4793.9316,4815.376,4712.372,4680.1133,4733.707,4815.684,5024.9087,5280.921,5476.1475,5182.079,5398.6274,5088.576,4952.8735,4949.457,4804.3037,4500.179,4962.4277,5058.7866,5032.1455,4872.05,4864.182,4932.1123,4971.8887,4840.161,4827.414,4778.536,4802.718,4492.5527,4325.304,4346.6187,4318.039,4394.007,4440.921,4437.134,4305.6187,4488.1807,4299.5996,4404.274,4499.812,4544.357,4509.5737,4467.348,4368.9985,4312.2783,4408.677,4370.1304,4320.428,4427.734,4438.2417,4304.0312,4274.197,4545.4634,4138.2974,4501.136,4402.1763
10,dilution_mated_ff,dm_R57C10xGC6s_ff_20211007a,sucrose,1M,12,dm_R57C10xGC6s_ff_20211007a_12_sucrose_1M_transformed.ni_gauss.nii,3224.1921,3428.9524,3359.9744,3233.235,3178.2666,3238.9373,3305.9263,3277.5251,3249.8503,3278.9321,3557.42,4131.256,4195.6763,4129.958,4157.03,4202.603,3937.1028,3665.0635,3514.674,3417.6423,3381.7483,3741.829,4070.0664,3902.7334,3935.0618,3923.6057,3790.889,3611.635,3484.8428,3415.9917,3315.4695,3409.0952,3440.2263,3327.4727,3366.8232,3255.53,3200.6182,3510.3308,3279.0364,3189.86,3372.0532,3219.9243,3286.9138,3258.9167,3225.096,3268.371,3221.658,3180.2156,3106.5415,3188.0176,3223.841,3202.2175,3113.7651,3224.7124,3155.2905,3152.8608,3166.8374,3005.3845,3083.9773,3226.714
