region,state,fly,stimulus,concentration,stimulus_nr,recording,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1,dilution_mated_ff,dm_R57C10xGC6s_ff_20211012b,sucrose,1M,12,dm_R57C10xGC6s_ff_20211012b_12_sucrose_1M_transformed.ni_gauss.nii,3786.5479,4245.0776,4826.987,4766.9214,4926.9546,4938.615,4828.8154,4461.6426,4660.3076,4789.144,4756.0317,4628.901,4885.476,5229.604,4910.069,5109.943,4991.2114,4915.109,4813.1733,5194.345,5352.241,5008.877,5060.1943,5014.2,5111.5645,5285.1587,5111.8755,4940.6543,5028.122,4933.6,5019.3354,4845.041,5146.1797,4754.369,4662.603,4640.044,4509.8125,4880.996,5037.4736,4877.7534,5135.7295,4882.153,4834.64,4837.446,4799.9575,4851.3438,4761.5386,4871.423,4748.401,5014.5854,4867.7925,4917.087,5112.888,4988.9136,4850.1035,4748.1504,4522.654,4592.7944,4181.238,4170.528
2,dilution_mated_ff,dm_R57C10xGC6s_ff_20211012b,sucrose,1M,12,dm_R57C10xGC6s_ff_20211012b_12_sucrose_1M_transformed.ni_gauss.nii,2726.4343,3035.181,2881.504,3074.6711,3193.7812,3057.6646,3267.842,3156.958,3179.075,3068.666,3209.4675,3270.1194,3333.3914,3227.989,3048.8413,3191.13,3021.5452,3208.1956,3329.2651,3306.7383,3288.6895,3167.0542,3340.4187,3344.1975,3243.066,3328.4011,3248.1616,3206.8462,3273.0066,3194.1802,3371.8372,3125.1636,3307.4668,3258.9966,3199.8005,3112.8506,3153.2722,3198.0422,3311.5479,3064.3872,3252.6838,3248.0115,3243.3403,3233.428,3209.2668,3013.6477,3151.0752,3196.0818,3127.2026,3251.9497,3171.4614,3039.822,3209.645,3215.7852,3168.7205,3136.559,3023.0818,3006.1248,2901.7134,2803.996
3,dilution_mated_ff,dm_R57C10xGC6s_ff_20211012b,sucrose,1M,12,dm_R57C10xGC6s_ff_20211012b_12_sucrose_1M_transformed.ni_gauss.nii,5123.162,5121.72,5048.3877,4937.734,5034.4287,5575.656,4924.142,5022.6006,5226.8247,5097.1455,5782.0747,5667.321,5324.3276,5575.8,5013.9023,5572.6523,5260.403,5299.4473,5399.1855,5248.309,5835.8154,5564.3354,5883.9106,5343.645,5278.3486,5758.514,6098.513,5443.806,5753.568,5475.2954,5377.578,5271.727,5485.363,5667.8057,5303.37,5410.5903,5453.182,5039.0967,5657.963,5201.988,5518.2153,5305.6436,5540.1597,5604.127,5596.2964,5508.3394,5396.012,6035.9453,5916.585,5420.78,5880.638,5078.9214,5274.03,5169.5894,5373.595,5371.0024,5346.4033,5370.4795,5195.2446,5231.5938
4,dilution_mated_ff,dm_R57C10xGC6s_ff_20211012b,sucrose,1M,12,dm_R57C10xGC6s_ff_20211012b_12_sucrose_1M_transformed.ni_gauss.nii,4008.4275,4100.125,3917.503,3982.314,4324.2266,4040.3027,4279.9478,4187.23,4260.4478,4190.132,4530.828,4689.839,4649.2163,4538.64,4364.504,4517.875,4300.8135,4464.0703,4527.0703,4493.403,4490.9795,4608.692,4796.14,4810.4756,4668.4526,4591.3647,4602.453,4564.976,4649.056,4641.7964,4698.6797,4354.823,4616.089,4479.7925,4442.954,4464.971,4316.34,4346.7324,4487.6577,4383.5093,4533.8413,4616.4053,4461.299,4390.168,4438.2935,4196.405,4348.773,4418.554,4487.8354,4529.4136,4427.418,4270.5938,4460.447,4460.1006,4462.017,4454.2905,4293.6577,4242.637,4130.3423,4122.265
5,dilution_mated_ff,dm_R57C10xGC6s_ff_20211012b,sucrose,1M,12,dm_R57C10xGC6s_ff_20211012b_12_sucrose_1M_transformed.ni_gauss.nii,4846.2144,5345.262,5464.0923,5877.5195,6010.6733,5860.3438,5903.9272,5670.695,5794.113,5839.8384,6103.4326,6281.698,6423.367,6538.1055,6113.6997,6266.5728,5962.606,6054.7134,6182.6846,6524.875,6636.7827,6359.49,6627.306,6505.9966,6402.634,6520.7573,6440.306,6145.189,6391.0884,6095.813,6484.968,6134.3047,6492.3813,6201.085,6043.7134,5834.755,5784.022,6212.2764,6406.3057,6172.7266,6406.524,6242.7954,5953.795,5902.293,6037.8794,5801.9067,5819.8384,5968.472,6054.0234,6215.2715,5995.3745,6031.0254,6147.6733,6091.254,5931.4663,5916.9106,5734.374,5657.8594,5392.2397,5274.281
6,dilution_mated_ff,dm_R57C10xGC6s_ff_20211012b,sucrose,1M,12,dm_R57C10xGC6s_ff_20211012b_12_sucrose_1M_transformed.ni_gauss.nii,4004.62,4503.355,4356.965,4687.9175,5224.4434,5016.8857,4961.612,4739.8667,4878.324,4844.34,5099.7227,5021.9683,4982.3774,5314.4224,4851.8545,4965.808,4938.4946,4911.3364,4985.9136,5354.5864,5292.5884,4768.919,5327.8496,5384.2603,5126.0415,5036.9717,5067.419,4728.5786,5002.238,5028.616,5132.1084,4950.555,4993.822,4935.7437,4925.0073,4840.7607,4588.8633,4956.848,5120.2793,4791.878,5179.7593,5055.088,4932.25,5009.476,4851.56,4589.4814,4932.734,4997.4785,4896.131,4997.633,4807.791,4864.43,5186.7734,5145.9062,4950.7817,5029.3213,4706.7534,4606.724,4370.968,4215.093
7,dilution_mated_ff,dm_R57C10xGC6s_ff_20211012b,sucrose,1M,12,dm_R57C10xGC6s_ff_20211012b_12_sucrose_1M_transformed.ni_gauss.nii,3492.5923,3862.7163,4116.1187,4400.213,4473.1743,4372.3535,4285.0894,4064.298,4221.9478,4392.9937,4253.062,4199.4526,4372.5464,4535.2573,4269.111,4397.8633,4297.71,4361.3066,4408.2866,4562.401,4560.8564,4315.89,4474.973,4417.555,4359.1196,4454.2925,4302.783,4420.2446,4397.243,4204.037,4399.3726,4143.4736,4316.906,4191.9697,4088.9023,4133.088,4046.783,4310.7915,4440.5117,4274.3022,4387.7246,4288.538,4138.216,4133.8184,4202.517,4118.076,4274.108,4293.1733,4020.269,4265.669,4282.418,4111.4683,4233.2344,4259.122,4046.6492,4261.587,4082.107,4081.9832,3758.7415,3721.145
8,dilution_mated_ff,dm_R57C10xGC6s_ff_20211012b,sucrose,1M,12,dm_R57C10xGC6s_ff_20211012b_12_sucrose_1M_transformed.ni_gauss.nii,3171.2998,3386.6638,3785.3997,3435.718,3676.9294,3769.3567,3703.7324,3545.8076,3697.2078,3688.5176,3757.1995,3696.1174,3776.2617,3865.9563,3654.7126,3815.5771,3808.7654,3800.5024,3611.08,3884.988,3961.1082,3849.651,3774.3733,3787.879,3827.3435,3912.3506,3821.237,3889.927,3818.3706,3747.891,3761.2476,3805.9373,3893.7866,3638.2405,3659.8564,3748.8962,3688.0474,3789.046,3897.7844,3757.6848,3910.813,3734.648,3714.284,3699.2905,3644.4058,3749.3381,3775.2957,3848.9614,3649.8396,3886.6038,3778.5688,3729.0227,3887.2764,3829.671,3802.488,3744.2297,3596.1047,3623.4136,3448.4426,3420.5623
9,dilution_mated_ff,dm_R57C10xGC6s_ff_20211012b,sucrose,1M,12,dm_R57C10xGC6s_ff_20211012b_12_sucrose_1M_transformed.ni_gauss.nii,3149.055,3584.4219,3556.962,3780.8225,3830.6145,3782.0608,3741.7012,3496.4683,3610.278,3665.2874,3834.25,3843.9736,3915.7515,3990.626,3786.7615,3880.6995,3644.1475,3758.4143,4073.5315,4081.5151,4059.4832,3907.4465,4280.991,4230.217,4046.46,3988.8704,3949.7783,3772.9204,3928.461,3777.8206,4120.979,3618.0535,3829.3381,3698.3396,3642.9373,3546.6501,3598.0376,3738.388,3853.7007,3735.095,3850.272,3753.43,3674.2424,3679.9907,3798.2695,3524.5378,3545.288,3761.8384,3868.2917,3772.6838,3673.7112,3687.716,3755.2454,3752.3835,3709.5725,3600.6826,3516.0493,3470.7947,3285.3547,3208.8062
10,dilution_mated_ff,dm_R57C10xGC6s_ff_20211012b,sucrose,1M,12,dm_R57C10xGC6s_ff_20211012b_12_sucrose_1M_transformed.ni_gauss.nii,2643.262,2694.65,2752.0212,2790.311,2858.3943,2861.341,2853.3896,2716.5186,2798.4512,2769.6724,2897.2344,2899.5586,2910.5034,2982.7092,2862.0427,2989.7036,2892.4302,3057.422,2886.7083,2975.2866,3042.541,3053.5652,3082.7703,2988.0593,2948.948,3121.7507,3016.0315,2952.4062,2988.9624,2898.4712,3006.6006,2935.5886,3043.7188,2957.796,2867.4802,2838.265,2856.2024,2908.8503,2932.7227,2818.509,2912.7014,2875.5,2841.6174,2868.0151,2913.4102,2824.3677,2816.124,2929.5781,2883.446,2988.3894,2840.314,2938.8267,2974.4182,2906.013,2967.129,2857.4392,2836.3206,2801.989,2772.5632,2787.4165
