region,state,fly,stimulus,concentration,stimulus_nr,recording,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1,mated_10d_sucrose,dm_R57C10xGC6s_10dS_20211110a,yeast,2%,03,dm_R57C10xGC6s_10dS_20211110a_03_yeast_2%_transformed.ni_gauss.nii,4326.0596,4879.5723,4777.2075,4976.7295,4904.4536,5210.9673,4935.444,5045.019,5020.741,4819.513,4812.31,4907.34,5121.289,4866.9165,4930.476,4876.473,4899.7217,4984.0547,4884.782,4874.7437,4744.9136,4734.2905,4871.8057,4433.691,4855.5986,4563.762,4391.1753,4903.7456,4808.311,4891.8486,4974.2666,5287.604,5238.332,5035.0464,4889.177,5013.8164,4924.295,4969.4795,4691.0254,4912.1523,4912.307,4817.111,4805.3877,4834.653,4754.56,4478.1567,4744.9995,4792.784,4628.5957,4616.892,4778.258,5021.5503,4995.1943,4930.202,4812.188,4893.0234,4872.979,4646.7734,4882.1655,4871.1953
2,mated_10d_sucrose,dm_R57C10xGC6s_10dS_20211110a,yeast,2%,03,dm_R57C10xGC6s_10dS_20211110a_03_yeast_2%_transformed.ni_gauss.nii,2486.0667,2575.8093,2705.733,2536.7092,2534.9907,2622.458,2542.306,2627.4258,2646.3865,2621.4082,2758.6282,2712.093,2848.9636,2637.7976,2653.0217,2728.597,2794.4521,2808.859,2658.3704,2652.2222,2706.5862,2801.2092,2658.0435,2683.5977,2661.4968,2714.2283,2601.1357,2691.5146,2679.9917,2494.484,2592.3435,2716.0007,2623.6426,2652.412,2644.227,2766.7183,2660.8105,2693.0713,2679.8047,2665.1868,2529.665,2573.349,2743.5742,2714.8853,2770.9368,2510.6572,2646.8728,2728.9814,2690.044,2695.5835,2799.663,2613.755,2620.6946,2771.0579,2653.9316,2701.5676,2708.1824,2809.3564,2656.7195,2631.9739
3,mated_10d_sucrose,dm_R57C10xGC6s_10dS_20211110a,yeast,2%,03,dm_R57C10xGC6s_10dS_20211110a_03_yeast_2%_transformed.ni_gauss.nii,5801.2627,6304.8276,6379.3936,6038.8247,6204.4336,6111.956,5571.679,6425.1494,6039.6006,6046.551,5748.89,6544.341,7190.135,6608.7754,5977.574,6639.2773,6453.718,6499.091,5904.4355,6384.434,6072.889,6431.7173,6485.919,6712.9463,5926.049,6232.3325,6519.768,6297.497,6545.159,6035.6357,6563.0356,6580.2607,6410.697,6092.381,6019.862,6133.662,6196.055,6247.4473,5900.988,6097.14,6116.9214,6146.8525,6429.909,6163.0,6516.647,5985.832,6606.8784,6782.524,6123.991,7021.6577,6777.2705,6416.4775,6468.9863,6747.83,6320.3467,7207.5425,6611.028,6407.934,6494.3853,6419.243
4,mated_10d_sucrose,dm_R57C10xGC6s_10dS_20211110a,yeast,2%,03,dm_R57C10xGC6s_10dS_20211110a_03_yeast_2%_transformed.ni_gauss.nii,5143.566,5018.146,4807.789,4584.7456,4550.558,4618.473,4540.0273,4696.5693,4836.159,4683.551,4863.034,5163.9033,5459.3296,5021.3306,5146.002,4970.5317,5099.6416,5193.3184,5031.1396,4888.059,4933.7446,5319.1206,5063.836,4456.2505,5119.845,5133.823,4916.1675,5082.266,5011.2993,4772.6997,4914.355,5091.2017,5210.8667,4927.4453,5021.0537,5380.769,5285.75,5496.0947,5204.3555,5342.637,5003.67,4796.329,5046.3003,5043.4287,5015.687,4531.5034,4731.9766,5081.363,5219.079,5041.616,4968.5493,4872.994,4884.039,5122.8677,5276.307,5125.7383,4973.724,4976.4233,5082.9346,5106.2305
5,mated_10d_sucrose,dm_R57C10xGC6s_10dS_20211110a,yeast,2%,03,dm_R57C10xGC6s_10dS_20211110a_03_yeast_2%_transformed.ni_gauss.nii,6043.5674,5934.681,6049.8096,5961.612,5747.0894,5814.832,5788.34,5946.698,6110.551,5544.02,5845.213,6123.24,6335.5874,5992.814,6140.3135,6046.209,6265.3604,6322.3447,5632.7314,5832.404,5932.1836,6059.8735,5973.419,5547.8496,6103.1724,5943.303,5756.88,6112.0405,5922.041,5690.136,5955.0576,6419.534,6238.462,5824.086,6032.317,6133.1978,5792.09,6163.921,5925.5767,5826.9307,5686.549,5567.0464,5841.5264,5925.18,5776.711,5500.977,5869.983,6157.469,6113.732,5933.4287,6020.0576,6022.392,5997.9424,6145.357,6263.235,6075.0825,5714.101,5990.894,6122.3447,6184.0874
6,mated_10d_sucrose,dm_R57C10xGC6s_10dS_20211110a,yeast,2%,03,dm_R57C10xGC6s_10dS_20211110a_03_yeast_2%_transformed.ni_gauss.nii,3845.8564,3921.242,4102.4097,4018.3235,4109.8955,4143.093,3976.8145,4231.9106,4188.999,3952.0579,4227.798,4299.3003,4333.3916,4179.704,4280.828,4176.6343,4191.763,4281.3574,4140.0796,4132.434,4055.8174,4344.8706,4348.6294,3769.8643,4421.4434,3978.7053,4114.259,4460.4585,4040.6924,4000.0588,4356.159,4212.938,4322.6704,4010.543,4367.5093,4000.0771,3960.944,4248.6714,4166.8604,3991.2932,3893.502,3907.8203,4415.1426,4221.548,4370.8335,3744.1663,3860.935,4194.9663,4273.866,4089.39,4170.974,4048.4666,4267.2144,4164.761,4303.441,4069.9966,4006.5432,4103.107,4238.2515,4319.441
7,mated_10d_sucrose,dm_R57C10xGC6s_10dS_20211110a,yeast,2%,03,dm_R57C10xGC6s_10dS_20211110a_03_yeast_2%_transformed.ni_gauss.nii,3705.9534,4070.3093,4000.1077,4254.738,4019.8884,4070.0564,4103.2485,4176.887,4236.0093,4055.5527,3938.5078,4097.3687,4276.786,4171.526,4217.6187,4055.118,4123.7915,4300.5815,4116.453,3953.5405,3917.9043,4142.9883,4233.5884,3670.9502,4214.1816,4095.4304,3824.9216,3951.679,3997.2085,3915.8616,4118.318,4029.448,4280.0376,4127.749,4164.6704,4125.417,3960.7336,4139.264,4005.113,3991.1152,3833.701,3862.514,4171.2056,4069.2678,3877.3472,3577.2285,3826.969,4109.3076,4174.42,3993.9111,4032.1816,3904.5657,4026.7827,4159.6494,4123.8174,4196.74,3915.4417,4021.1333,4072.3452,4202.7246
8,mated_10d_sucrose,dm_R57C10xGC6s_10dS_20211110a,yeast,2%,03,dm_R57C10xGC6s_10dS_20211110a_03_yeast_2%_transformed.ni_gauss.nii,1721.1621,1889.2794,1812.6469,1972.227,1881.324,1917.2584,1788.083,1890.0378,1817.8008,1840.2537,2005.1267,1953.2435,2061.6235,1973.1986,2003.5266,1993.7384,1999.3274,2066.1956,1976.3547,1958.7147,1960.2804,1962.1967,2083.4343,1929.9169,2073.584,1899.9026,1824.3562,1989.6488,1913.1124,1839.3572,1860.3016,1847.6713,1978.5599,1926.1405,1929.298,1950.6099,1867.5795,1861.2102,1879.7225,1941.3917,2004.4291,1923.6543,1958.6512,2012.582,1953.0629,1829.9835,1899.2227,1832.7668,1745.3662,1842.8394,1980.2153,1913.9447,1986.2893,1896.4128,1774.4363,2004.946,1958.2484,1958.1948,1885.0958,1859.3395
9,mated_10d_sucrose,dm_R57C10xGC6s_10dS_20211110a,yeast,2%,03,dm_R57C10xGC6s_10dS_20211110a_03_yeast_2%_transformed.ni_gauss.nii,3204.1282,3352.3604,3447.811,3388.186,3320.2097,3384.5564,3352.8896,3472.4077,3595.2979,3367.1926,3539.0723,3675.209,3731.8484,3535.0176,3548.1116,3585.9546,3694.225,3787.2896,3443.7275,3470.9426,3499.2273,3680.3682,3403.934,3292.412,3487.4526,3448.1992,3414.7827,3496.9792,3487.9038,3383.9207,3455.5059,3618.6055,3520.9482,3412.618,3481.8708,3550.5662,3451.9534,3542.025,3561.459,3512.4343,3320.968,3280.909,3484.979,3423.5466,3535.598,3183.0251,3298.4158,3467.7715,3539.6133,3427.7732,3559.411,3362.926,3413.859,3543.7595,3643.227,3485.7812,3413.4175,3514.917,3563.031,3624.7744
10,mated_10d_sucrose,dm_R57C10xGC6s_10dS_20211110a,yeast,2%,03,dm_R57C10xGC6s_10dS_20211110a_03_yeast_2%_transformed.ni_gauss.nii,2343.8926,2475.0876,2306.506,2312.5745,2402.5347,2434.1375,2360.565,2465.2192,2611.3503,2247.0493,2359.9417,2519.84,2619.8306,2551.0034,2580.7432,2679.8748,2754.9683,2805.3877,2499.3254,2520.5974,2559.4136,2667.5842,2392.9126,2254.1777,2421.6797,2415.2651,2490.9075,2631.2131,2567.9285,2418.7324,2199.7092,2670.7908,2613.1438,2469.2715,2635.5396,2654.7522,2483.972,2584.499,2614.2053,2516.4785,2596.5483,2485.1194,2493.1035,2533.0042,2473.1858,2279.7456,2283.139,2425.002,2501.0972,2412.0625,2474.5366,2502.9402,2465.9534,2360.012,2524.977,2415.587,2363.8032,2400.404,2465.7048,2457.4229
