region,state,fly,stimulus,concentration,stimulus_nr,recording,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1,mated_10d_sucrose,dm_R57C10xGC6s_10dS_20211110c,yeast,2%,03,dm_R57C10xGC6s_10dS_20211110c_03_yeast_2%_transformed.ni_gauss.nii,6580.446,6548.0244,6342.033,6503.088,6447.1978,6283.7837,6227.467,6354.2188,6495.3174,6440.384,6221.411,6385.7207,6456.745,6446.7783,6447.7656,6267.749,6251.3936,6520.761,5904.608,6287.108,6291.8857,6302.2383,5833.3203,6271.3394,6278.5747,6069.7344,6318.193,6233.728,6466.064,6249.9775,6425.8325,6539.3135,6478.285,6624.7256,6613.384,6465.9443,6393.979,6588.165,6665.777,6261.8906,6329.385,6438.1216,6453.09,6469.1416,6642.356,6507.9307,6477.4634,6594.0938,6763.677,6431.6855,6627.7734,6690.5884,6634.4526,6755.9443,6223.174,6747.6226,6371.2646,6555.6636,6694.7896,6581.156
2,mated_10d_sucrose,dm_R57C10xGC6s_10dS_20211110c,yeast,2%,03,dm_R57C10xGC6s_10dS_20211110c_03_yeast_2%_transformed.ni_gauss.nii,3207.2468,3464.0508,3590.9812,3683.931,3506.672,3386.9507,3394.5144,3513.334,3507.3599,3703.6602,3669.2385,3487.5205,3660.311,3516.4387,3512.005,3433.0989,3545.8176,3620.5671,3439.3635,3467.3748,3328.2305,3557.2285,3332.415,3486.466,3645.0967,3617.1973,3550.3928,3634.3333,3593.2314,3412.4265,3570.4731,3594.2993,3656.135,3673.98,3514.2979,3523.5085,3481.0232,3442.6965,3598.777,3524.6562,3598.5576,3401.418,3538.9336,3515.8179,3720.9727,3647.9656,3522.4758,3636.8005,3539.316,3474.4197,3275.814,3494.4963,3479.6924,3480.7073,3261.2432,3454.9382,3554.9226,3394.3086,3464.6694,3316.1604
3,mated_10d_sucrose,dm_R57C10xGC6s_10dS_20211110c,yeast,2%,03,dm_R57C10xGC6s_10dS_20211110c_03_yeast_2%_transformed.ni_gauss.nii,10662.295,9709.588,9266.479,9079.945,8356.341,9308.076,7902.2866,7096.018,8288.194,7819.1587,7355.5967,5575.5845,6304.816,6911.279,6597.841,6094.9263,5901.387,5952.545,6601.506,6198.899,6137.387,5836.3955,6923.458,6440.8613,6999.085,7158.408,6999.8633,6977.466,7712.118,7449.2715,7960.4717,7197.664,8249.663,8764.965,8216.776,9800.124,10001.215,9062.044,8132.3257,10757.424,9673.105,8824.67,8065.757,10281.043,8931.811,8066.9824,7799.0493,8853.967,8688.614,8906.326,9697.162,9293.139,8573.233,9036.427,8719.316,8490.16,7348.45,8770.062,10672.055,8898.41
4,mated_10d_sucrose,dm_R57C10xGC6s_10dS_20211110c,yeast,2%,03,dm_R57C10xGC6s_10dS_20211110c_03_yeast_2%_transformed.ni_gauss.nii,5679.2515,5215.033,5229.557,5075.219,4947.8706,4894.4897,4723.0396,4609.9263,4535.266,4554.1406,4160.8784,3927.466,4123.951,4031.4648,4056.535,3839.9934,3761.5566,4043.758,4001.4138,3692.276,3692.9573,4088.0686,4345.001,4422.8354,4548.265,4724.6997,4688.973,4833.2275,4918.2466,4725.0435,4707.715,4644.877,4798.8423,4866.427,4494.971,5009.8076,5127.0415,5281.622,5270.196,5337.6865,5288.6826,5050.219,4707.9297,5309.8213,5099.3003,4889.3057,4723.534,4924.765,4845.283,4949.289,4809.825,4980.047,4667.1143,4803.473,4300.211,4518.8936,4713.5674,4668.175,5421.3755,5058.24
5,mated_10d_sucrose,dm_R57C10xGC6s_10dS_20211110c,yeast,2%,03,dm_R57C10xGC6s_10dS_20211110c_03_yeast_2%_transformed.ni_gauss.nii,5741.751,6037.2295,6067.4453,6045.739,6009.3574,5867.1284,5663.8335,5932.3164,5951.326,5856.778,6054.2207,6073.6455,6312.5405,6214.671,6223.784,6077.2183,6005.7773,6096.579,5859.902,5584.0215,5763.3325,6443.958,6255.0757,6548.5957,6512.294,6474.7183,6666.1685,6591.798,6544.1304,6413.3823,6439.5386,6387.4883,6173.003,6219.678,5785.1343,6160.1055,5949.1357,5966.458,6032.105,5938.594,5964.744,5897.376,5922.535,6046.291,6141.3726,6027.6016,6102.1016,6225.5566,6044.4565,5901.4404,6007.0713,6122.987,5961.3706,6157.2993,5834.3843,6233.2236,6043.27,6020.2153,6144.3984,5996.3105
6,mated_10d_sucrose,dm_R57C10xGC6s_10dS_20211110c,yeast,2%,03,dm_R57C10xGC6s_10dS_20211110c_03_yeast_2%_transformed.ni_gauss.nii,4549.255,4639.0,4971.123,5042.89,4860.602,4720.5884,4676.3696,5013.1187,4883.6787,4909.2686,4855.3623,4677.797,5129.2085,4698.7896,5070.008,4788.388,4625.469,4853.507,4907.446,4267.8335,4379.1504,5137.5435,4892.98,5322.123,5320.41,5293.0806,5482.4727,5410.8022,5475.12,5259.6494,5550.848,5305.8154,5169.218,5200.5615,4822.5737,5070.566,4938.1055,4916.5034,5120.8716,4727.857,4962.1523,5031.2593,4762.9453,4878.299,5122.4414,5159.389,4860.046,5158.1953,4986.2593,4958.417,5012.035,4774.8354,4884.6797,4967.905,4647.2354,5097.675,4879.734,4808.0073,4945.2847,4767.929
7,mated_10d_sucrose,dm_R57C10xGC6s_10dS_20211110c,yeast,2%,03,dm_R57C10xGC6s_10dS_20211110c_03_yeast_2%_transformed.ni_gauss.nii,4795.686,5010.5254,5312.173,5308.626,5077.672,5154.881,5163.166,5323.839,5337.461,5392.649,5175.27,5291.525,5407.394,5454.34,5522.807,5373.022,5393.2734,5561.8022,4945.1367,4984.5215,5160.2144,5548.1724,5117.624,5477.316,5270.5625,5244.6265,5385.1626,5467.0225,5500.697,5181.4443,5456.2607,5619.4463,5536.4194,5598.775,5319.8257,5383.3413,5452.4326,5323.126,5495.3765,5261.2085,5303.129,5243.5864,5066.549,5148.7617,5336.8394,5175.998,5343.218,5317.9644,5318.5815,4994.011,5195.979,5325.8223,5237.165,5129.6963,4915.594,5191.595,5077.6133,5151.8296,5207.1104,4850.2593
8,mated_10d_sucrose,dm_R57C10xGC6s_10dS_20211110c,yeast,2%,03,dm_R57C10xGC6s_10dS_20211110c_03_yeast_2%_transformed.ni_gauss.nii,2559.2983,2584.1738,2633.0823,2815.4602,2652.2832,2773.1611,2658.0273,2769.1187,2812.378,2862.5066,2732.9312,3048.479,2984.359,3075.418,2953.298,2902.5642,2952.8916,2957.896,2866.8372,2883.1746,2875.8413,3040.097,3067.3035,2984.5774,3025.4949,2908.9104,3012.7502,3066.8848,3049.5862,2957.699,3054.7678,3083.583,3079.0334,3101.4983,3101.2668,3009.3752,2951.7107,3105.9983,3046.6907,2907.8218,3070.9243,2893.144,2983.2778,2813.215,2875.3577,2814.1675,2935.2354,2854.4949,2941.8857,2775.6587,2858.0261,2944.886,2800.0266,2917.8997,2651.7595,2881.8875,2649.7542,2783.6172,2977.065,2829.9897
9,mated_10d_sucrose,dm_R57C10xGC6s_10dS_20211110c,yeast,2%,03,dm_R57C10xGC6s_10dS_20211110c_03_yeast_2%_transformed.ni_gauss.nii,3690.0767,3984.0134,4235.9478,4283.297,4087.9229,4013.683,3826.7615,4046.4263,4112.6265,4171.8047,4200.6743,4088.2195,4122.53,4060.1575,4166.129,4038.952,4037.4417,4125.643,3944.3489,3927.1445,3914.4426,4310.1074,4143.1064,4322.675,4230.772,4248.0127,4127.7217,4157.064,4179.948,4036.9465,4091.2256,4230.7886,4140.242,4151.6313,3780.4521,3980.7874,3912.6223,3898.6072,3937.6694,3889.7722,3952.0955,3823.94,3867.4578,3941.3162,4124.817,4010.027,4001.4407,4111.473,4004.0,3890.9314,3895.2222,4047.8455,3942.0945,4091.2954,3928.023,4177.9106,4039.0686,3961.4758,4046.2334,3857.302
10,mated_10d_sucrose,dm_R57C10xGC6s_10dS_20211110c,yeast,2%,03,dm_R57C10xGC6s_10dS_20211110c_03_yeast_2%_transformed.ni_gauss.nii,3883.366,4170.5635,4114.6914,4185.6353,4051.767,4025.2717,4008.049,4410.4067,4468.001,4247.114,4385.535,4320.808,4354.2197,4329.144,4361.4795,4385.7637,4343.094,4321.516,4007.0564,4168.9995,4339.0957,4562.162,4186.92,4383.6006,4224.8936,4388.2954,4485.743,4418.415,4398.319,4270.0576,4577.8066,4818.2285,4395.329,4588.3013,4409.0166,4322.4775,4081.679,4448.0205,4279.0103,3916.5374,3941.4092,4158.925,4107.3574,4130.5776,4427.412,4348.3325,4444.5566,4509.202,4534.675,4258.4565,4375.753,4468.8965,4412.07,4326.0645,4233.4375,4497.9478,4375.61,4315.9985,4210.947,4273.3745
