region,state,fly,stimulus,concentration,stimulus_nr,recording,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1,mated_10d_sucrose,dm_R57C10xGC6s_10dS_20211110e,yeast,2%,03,dm_R57C10xGC6s_10dS_20211110e_03_yeast_2%_transformed.ni_gauss.nii,6776.2715,7162.263,7952.908,7862.7026,8186.1064,7899.475,7613.557,7533.63,7504.3,7402.887,7110.284,7667.271,7823.86,7942.979,7609.76,7935.573,7431.8,7863.665,7818.886,7820.6934,7810.755,7675.1953,7738.06,7412.5493,7553.3076,7654.417,8107.8345,7944.698,7767.2476,7283.0312,7544.681,7937.652,7932.251,7890.199,7689.8906,7338.5093,7428.512,7431.911,7538.484,7512.6123,7115.376,7497.6836,7612.016,7263.467,7248.614,7494.326,6924.15,7098.0815,7421.014,7875.8677,7707.867,7414.3276,7650.0933,7225.8174,7346.902,7586.018,7368.207,6996.7065,6961.3804,6876.7744
2,mated_10d_sucrose,dm_R57C10xGC6s_10dS_20211110e,yeast,2%,03,dm_R57C10xGC6s_10dS_20211110e_03_yeast_2%_transformed.ni_gauss.nii,3961.1697,4192.5786,4923.719,4144.7007,4706.8145,4731.9473,4445.9844,4848.7812,4838.08,4729.9805,4410.6187,4735.1895,4650.81,4710.908,4516.535,4832.1523,4479.0728,4639.439,4687.6987,4633.788,4852.995,4838.7114,4740.372,4511.556,4723.547,4463.3457,4758.402,4618.0806,4668.4746,4288.3667,4789.6616,4624.68,4692.8374,4844.2954,4515.3433,4657.4404,4843.8433,4737.9214,4773.9707,4506.48,4697.163,4738.8477,4643.656,4347.3525,4463.931,4223.5376,4332.062,4731.713,4395.1147,4705.882,4602.3374,4804.169,4790.8145,4540.5913,4708.8853,4715.852,4637.8535,4477.8745,4443.8467,4599.384
3,mated_10d_sucrose,dm_R57C10xGC6s_10dS_20211110e,yeast,2%,03,dm_R57C10xGC6s_10dS_20211110e_03_yeast_2%_transformed.ni_gauss.nii,9677.546,8706.268,9771.083,9640.006,9602.4,9795.313,8767.67,9498.214,9586.349,9544.652,10102.592,9520.7705,10254.457,10473.833,10546.541,10329.824,10597.232,9467.89,10795.027,10274.734,11094.063,11209.914,12099.18,10611.437,10463.086,10594.602,11454.392,10534.264,10955.529,10947.314,11841.579,11204.007,11874.176,10872.925,11066.363,11789.849,10797.172,10360.305,10618.711,11263.985,10179.293,10106.745,11402.873,10579.343,10445.564,11102.776,9637.473,8962.708,10772.6,11142.483,11562.474,11102.165,11133.051,11324.239,11752.667,11243.268,10263.987,10562.036,11059.66,9656.639
4,mated_10d_sucrose,dm_R57C10xGC6s_10dS_20211110e,yeast,2%,03,dm_R57C10xGC6s_10dS_20211110e_03_yeast_2%_transformed.ni_gauss.nii,7005.2847,7304.127,7265.2427,6944.721,6995.4414,7353.1064,7186.815,7098.7603,7130.9634,7088.8345,7320.358,7315.439,7544.785,7400.844,7382.3696,7316.183,7435.5923,7651.521,7725.0376,7660.58,7552.282,7615.7544,7783.494,7211.364,7433.3955,7692.231,7536.2217,7688.1357,7769.8765,7492.1733,7591.9316,7765.2456,7769.825,7486.03,7893.4585,7599.78,7640.7676,7543.0654,7675.264,7631.7676,7803.4785,7351.92,7451.6113,7422.016,7710.054,7330.8687,7405.2314,7117.027,7422.522,7143.7144,7202.343,7365.4243,7653.1357,7407.6963,7367.6963,7443.799,7314.23,7240.6177,7102.781,7004.279
5,mated_10d_sucrose,dm_R57C10xGC6s_10dS_20211110e,yeast,2%,03,dm_R57C10xGC6s_10dS_20211110e_03_yeast_2%_transformed.ni_gauss.nii,7944.566,8687.675,8977.068,8846.61,8463.659,8639.308,8366.052,8087.3115,8598.389,8205.334,8598.861,9161.355,8935.003,8892.709,8620.011,8841.505,9020.757,9256.336,9398.05,9086.214,8934.253,9220.605,9154.442,8547.421,8718.469,9099.74,9240.071,9287.23,9175.427,8811.556,8910.545,9465.164,9472.967,9141.057,9251.435,8443.613,8077.84,8174.0225,8759.433,8655.673,8612.823,8882.322,8587.668,8792.861,8708.205,8365.357,8370.994,8299.016,8794.66,8758.479,8676.841,8621.132,8994.647,8635.432,8452.107,8673.124,8726.222,8181.5986,8203.695,8411.457
6,mated_10d_sucrose,dm_R57C10xGC6s_10dS_20211110e,yeast,2%,03,dm_R57C10xGC6s_10dS_20211110e_03_yeast_2%_transformed.ni_gauss.nii,5642.896,6011.579,6610.3315,6338.7554,6209.469,6325.658,6123.5996,6166.9194,6703.0967,6519.2534,6497.5493,6859.1533,6706.307,6609.3325,6233.206,6529.0063,6873.909,6908.1514,6899.263,6700.011,6696.198,6748.0776,6744.908,6076.124,6613.1294,6264.2407,6679.9644,6705.178,6630.241,6215.321,6487.527,6950.014,6834.286,6448.539,6610.2896,6390.878,5945.7534,5994.4683,6302.173,6200.506,6296.7812,6560.3994,6465.4937,6516.8545,6446.719,6146.8696,5939.0156,5903.2446,6558.092,6233.6855,6352.2573,6421.387,6449.916,6181.0654,6243.246,6683.3887,6385.3696,6064.3364,5599.2676,5563.548
7,mated_10d_sucrose,dm_R57C10xGC6s_10dS_20211110e,yeast,2%,03,dm_R57C10xGC6s_10dS_20211110e_03_yeast_2%_transformed.ni_gauss.nii,4735.8057,5570.4946,5986.321,5726.4966,5840.503,5677.9976,6170.6084,5850.0347,5989.0977,6069.724,5876.636,6339.9595,6316.387,6259.24,6171.9126,6354.419,6243.3433,6178.755,6382.147,6299.2593,6331.478,6340.839,6427.522,6079.933,6110.1504,6427.486,6043.1885,6061.927,6179.4375,6115.6987,6191.489,6450.188,6471.8037,6155.4976,6199.102,5468.0176,5888.883,6538.022,6186.0566,5892.8203,6252.766,6274.311,5886.2217,5799.328,5752.9927,5466.068,5719.1,5627.7754,5921.5923,5680.715,5874.678,5885.657,6131.711,5931.8657,5973.223,6105.9146,5922.494,5608.452,5768.726,5590.0054
8,mated_10d_sucrose,dm_R57C10xGC6s_10dS_20211110e,yeast,2%,03,dm_R57C10xGC6s_10dS_20211110e_03_yeast_2%_transformed.ni_gauss.nii,8376.878,8934.755,9157.408,8553.615,8998.988,9015.87,9297.077,8842.566,9224.636,9060.9,8839.531,9155.73,9036.837,9271.711,9154.01,9245.542,9138.268,9166.202,9257.821,9319.318,9328.854,9181.407,9371.902,9158.179,9066.044,9136.741,9003.03,8914.494,8922.443,8930.161,9147.1,9273.856,9404.291,9370.054,9363.349,8890.449,9070.746,9193.646,8922.307,9168.759,8551.417,9292.873,8986.015,8844.274,8885.244,8505.5625,8204.612,8474.196,8772.649,8636.305,8830.948,8885.887,8990.362,8754.923,8716.956,9055.245,8572.179,8541.442,8720.35,8990.824
9,mated_10d_sucrose,dm_R57C10xGC6s_10dS_20211110e,yeast,2%,03,dm_R57C10xGC6s_10dS_20211110e_03_yeast_2%_transformed.ni_gauss.nii,5118.607,5492.4487,6025.5264,5444.38,5604.3804,5719.537,5398.7534,5501.244,5782.1357,5610.905,5451.242,5880.89,5707.1,5740.859,5402.864,5679.3223,5483.866,5739.388,5898.3486,5620.999,5632.786,5736.909,5684.602,5449.5737,5656.259,5324.3477,5579.6416,5449.3364,5712.5635,5558.883,5787.9087,6066.0347,6000.9087,5831.0693,5655.4614,5608.9473,5473.682,5411.579,5407.1504,5413.502,5834.0547,5695.358,5769.4146,5459.3643,5459.8267,5209.8784,5424.8433,5623.6426,5662.0986,5723.906,5852.805,5912.481,5762.374,5450.322,5452.8984,5391.7856,5217.054,5352.6104,5049.812,5483.55
10,mated_10d_sucrose,dm_R57C10xGC6s_10dS_20211110e,yeast,2%,03,dm_R57C10xGC6s_10dS_20211110e_03_yeast_2%_transformed.ni_gauss.nii,4261.683,4585.461,4859.696,5278.6895,5115.189,4970.5894,4384.657,4610.3364,4978.3765,5188.882,5474.1025,5643.6753,5344.1724,5120.0435,4844.5845,5442.4927,5667.6714,6143.0674,6290.4575,6174.231,6023.49,6077.2607,5652.5376,4477.9795,4859.357,4858.054,5107.169,5207.4,5061.2295,4511.491,4530.183,5377.738,5709.5547,5831.9673,5852.377,5399.329,4808.415,5322.4746,5503.565,5597.998,5077.153,5470.9834,5416.9814,5542.8843,5425.82,5299.0527,4679.8906,5126.1587,5314.169,5395.596,5369.644,5050.0503,5015.2886,5140.4263,5209.9785,5024.7104,5365.3306,4718.1787,4594.491,4715.092
