region,state,fly,stimulus,concentration,stimulus_nr,recording,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1,mated_10d_sucrose,dm_R57C10xGC6s_10dS_20211118b,yeast,2%,03,dm_R57C10xGC6s_10dS_20211118b_03_yeast_2%_transformed.ni_gauss.nii,8191.7095,8715.154,9404.9375,8847.137,10277.022,10396.983,9950.658,9606.541,8930.109,8684.409,8429.492,9302.479,9743.188,9489.016,9163.449,9268.966,8395.483,9278.947,8754.694,8683.426,8615.501,9311.892,9403.49,9485.178,9095.047,8921.192,8501.792,8119.874,8191.695,8180.4478,8755.835,8657.09,9630.827,9846.382,9806.335,9209.987,9185.585,9118.565,9063.706,8447.535,8385.575,8776.114,8714.795,8476.885,8862.811,8471.334,8237.47,7922.461,7816.2397,8021.13,8185.8164,7961.183,7904.348,8284.368,8400.616,8034.933,8037.298,7560.2227,7504.061,7404.6445
2,mated_10d_sucrose,dm_R57C10xGC6s_10dS_20211118b,yeast,2%,03,dm_R57C10xGC6s_10dS_20211118b_03_yeast_2%_transformed.ni_gauss.nii,6126.6265,6112.8267,6592.6035,5922.4463,6888.056,7059.0186,6825.517,6799.191,6151.776,6301.7876,6426.8945,6727.963,7018.5967,7031.5176,6972.9297,6728.734,6187.757,6538.6787,6527.2686,6512.2905,6528.442,6754.7437,6883.2144,6869.702,7016.9536,6682.5415,6471.998,6173.466,6424.2803,6125.1675,6723.543,6528.1006,6648.2983,6984.07,6863.5635,6912.1533,6283.3706,6733.784,6586.187,6602.7656,6361.933,6526.7827,6656.956,6660.035,6809.241,6432.6914,6065.164,6051.3403,6248.919,6328.6924,6350.519,6491.9224,6578.444,6549.4854,6591.051,6637.845,6124.881,5955.4707,6094.892,6108.3555
3,mated_10d_sucrose,dm_R57C10xGC6s_10dS_20211118b,yeast,2%,03,dm_R57C10xGC6s_10dS_20211118b_03_yeast_2%_transformed.ni_gauss.nii,7758.588,7667.8633,7155.01,6369.629,7250.631,6953.543,7624.268,7478.4155,7187.2124,7133.0386,6477.9883,7804.2534,7864.3794,8088.9126,6998.2393,7446.2617,6092.023,7439.4097,6858.9727,6820.269,7206.0107,7944.1924,8143.8374,8030.129,7426.572,6819.099,6996.799,7083.1875,7455.984,6431.107,6412.644,7260.6245,7191.7856,8242.853,7466.8228,7229.4497,7351.8833,7505.597,7384.642,6964.6816,6484.1426,6385.3984,6926.0405,6930.014,6904.7705,6853.48,6592.2646,7149.2314,6266.561,6325.2534,7445.8706,6631.6904,7357.336,6845.2554,7120.7095,7107.946,7133.24,6081.8975,6048.932,5582.077
4,mated_10d_sucrose,dm_R57C10xGC6s_10dS_20211118b,yeast,2%,03,dm_R57C10xGC6s_10dS_20211118b_03_yeast_2%_transformed.ni_gauss.nii,9502.912,8950.57,8676.688,7554.272,9409.358,9537.944,9740.685,9846.408,9256.861,9019.953,8697.485,9411.842,10168.238,10061.014,10155.281,9658.092,8867.06,9581.72,9813.886,9663.9375,9718.601,9983.315,10595.719,10487.498,9707.615,10015.112,9890.714,9516.626,9403.871,9844.175,9645.828,9484.096,10029.374,10014.923,10150.144,10250.1455,9376.872,9612.295,9761.297,9483.2705,9293.081,9510.726,9866.317,9828.049,9679.124,9934.308,8968.016,9063.901,9092.716,9527.901,9289.651,9506.251,9833.599,9763.173,9626.238,9582.514,9671.342,8844.931,8820.482,8512.501
5,mated_10d_sucrose,dm_R57C10xGC6s_10dS_20211118b,yeast,2%,03,dm_R57C10xGC6s_10dS_20211118b_03_yeast_2%_transformed.ni_gauss.nii,10895.084,10732.988,11244.425,10853.457,12475.969,12346.994,11968.035,11297.381,10680.4375,10705.409,10949.745,12756.026,12965.326,12910.539,12794.167,12136.547,11390.139,12393.518,11676.362,11325.089,11378.986,12598.906,13144.839,12849.334,12534.136,12510.858,11336.725,11333.565,11967.153,10984.504,12064.626,12645.683,13098.441,13076.02,13051.222,12284.773,12860.882,12471.324,12246.275,11935.332,11301.662,11736.064,11942.217,11983.764,11649.844,11288.691,10995.718,10603.898,10836.387,10811.385,11078.59,11342.483,11508.212,11293.641,11417.763,11410.107,10643.135,10382.898,10201.798,9923.254
6,mated_10d_sucrose,dm_R57C10xGC6s_10dS_20211118b,yeast,2%,03,dm_R57C10xGC6s_10dS_20211118b_03_yeast_2%_transformed.ni_gauss.nii,9134.631,9415.431,9880.686,9311.5205,10949.29,10417.467,10404.067,10255.602,9322.231,9629.797,9686.61,10310.3545,10681.882,10594.051,10931.793,10368.879,9491.143,10729.995,10069.136,9730.019,9565.5205,10839.71,11039.025,10984.311,11072.116,10784.867,9880.757,9828.326,10175.022,9911.328,10556.824,11345.176,11979.1045,11973.314,11777.239,11131.336,11386.954,11285.3125,10967.719,10659.673,9894.373,10261.448,10555.489,10240.203,10288.453,9801.906,9723.043,9230.387,9467.889,9230.788,9893.451,9917.64,10167.144,9619.507,9950.183,9966.98,9605.692,9009.518,8977.11,8882.697
7,mated_10d_sucrose,dm_R57C10xGC6s_10dS_20211118b,yeast,2%,03,dm_R57C10xGC6s_10dS_20211118b_03_yeast_2%_transformed.ni_gauss.nii,7651.7847,8055.3555,8719.187,7999.458,9664.357,9659.367,9834.932,9386.669,8759.46,8344.314,8349.613,9224.653,9572.744,9501.104,9394.786,9489.649,8245.824,9174.152,8835.109,8375.556,8835.255,9383.2705,9879.197,9705.966,9426.9375,9429.15,8719.446,8421.909,8559.842,8640.456,8898.665,9243.37,10024.475,10182.489,10500.685,10220.031,9824.585,9844.192,9726.577,9233.692,8921.987,9048.694,9136.233,9019.454,8944.796,8612.624,8354.783,8175.7163,7929.391,8021.048,8269.624,8505.589,8505.592,8405.823,8456.442,8662.636,8078.4824,7834.6924,7628.0596,7329.6313
8,mated_10d_sucrose,dm_R57C10xGC6s_10dS_20211118b,yeast,2%,03,dm_R57C10xGC6s_10dS_20211118b_03_yeast_2%_transformed.ni_gauss.nii,5993.36,6356.104,6923.197,7021.8413,7805.9556,7619.078,7904.343,7811.7666,7321.1562,7112.4883,7235.721,7244.6094,7723.1675,7812.5317,7819.6235,7975.712,7428.4873,7631.8447,7370.8706,7648.681,7595.5977,7793.5845,8136.43,7867.8433,7962.4556,7709.8857,7366.5903,7074.393,7528.2046,7536.9194,7321.4165,7539.5244,8115.395,7953.1816,8036.1294,8049.1343,8038.563,7816.8833,8046.582,7838.9062,8012.7964,7749.979,7614.9565,7514.3945,7490.496,7381.694,7185.9736,7186.5317,7164.3335,7390.306,6870.967,7371.5596,7479.2104,7338.717,7263.213,7153.505,7179.841,6986.398,6748.7593,6797.7783
9,mated_10d_sucrose,dm_R57C10xGC6s_10dS_20211118b,yeast,2%,03,dm_R57C10xGC6s_10dS_20211118b_03_yeast_2%_transformed.ni_gauss.nii,6001.181,6451.1787,6898.9956,6610.216,7182.738,7130.733,7055.832,6766.2886,6344.691,6188.689,6537.7837,7568.699,7757.5186,7426.025,7259.507,7277.6475,6951.3096,7290.332,6998.0776,6643.5845,6988.032,7305.5264,7523.7983,7259.38,7331.1587,7088.6685,6539.2925,6421.979,6301.3125,6156.8203,6944.0522,7135.524,7455.959,7620.932,7319.0767,7195.678,6830.36,7162.695,6687.2314,6597.2236,6374.199,6295.763,6624.4077,6468.9688,6452.333,6293.1543,6060.957,5964.6904,6145.562,6003.6787,6079.545,6166.906,6311.057,6172.6157,6179.955,6334.5273,5846.8896,5774.5723,5533.6797,5759.486
10,mated_10d_sucrose,dm_R57C10xGC6s_10dS_20211118b,yeast,2%,03,dm_R57C10xGC6s_10dS_20211118b_03_yeast_2%_transformed.ni_gauss.nii,3725.1172,3498.9958,3691.423,3155.6606,4009.4666,4334.9165,4228.468,4148.2734,3614.7798,3315.3064,3313.8596,3664.9202,4389.613,4313.272,4399.945,4407.893,3364.034,4014.0083,3644.3535,3637.6465,3698.8535,3976.4485,4116.93,4326.428,4317.799,4417.5312,3924.7542,3658.2864,3604.2349,4249.176,4094.1836,3928.3052,4228.2124,4236.4136,4325.0317,4482.8184,4005.9187,4298.922,4360.9624,3861.659,4076.606,4238.8335,4142.007,4391.8696,4210.5957,4104.0747,3515.1404,3698.0425,3666.5347,3823.5703,3752.6975,4083.4326,4148.245,4208.945,4125.7544,4118.009,4014.2224,3445.7175,3553.0815,3544.0156
