region,state,fly,stimulus,concentration,stimulus_nr,recording,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1,mated_ff,dm_R57C10xGC6s_ff_20211110b,yeast,2%,03,dm_R57C10xGC6s_ff_20211110b_03_yeast_2%_transformed.ni_gauss.nii,7249.564,8197.608,8022.7397,7784.2725,7808.9043,8056.848,8284.088,8073.5913,7964.561,8008.711,8359.704,8329.761,8460.819,8190.6455,8187.3003,8262.963,7981.788,8051.32,8109.095,7849.524,7748.59,7965.8022,7815.1553,8143.9004,7938.02,8004.325,7815.3545,7763.837,7445.2876,7840.414,7826.7495,7883.761,7810.5874,7710.6504,7781.0176,7663.889,7290.289,7368.5186,7452.841,7597.0063,7609.178,7441.929,7173.825,7750.5728,7666.8486,7501.235,7705.7812,7589.278,7460.031,7429.2427,7749.8433,7611.764,7497.1035,7774.114,7825.245,7787.327,7836.745,7917.116,7715.7295,7532.505
2,mated_ff,dm_R57C10xGC6s_ff_20211110b,yeast,2%,03,dm_R57C10xGC6s_ff_20211110b_03_yeast_2%_transformed.ni_gauss.nii,8056.339,8434.023,8132.7646,8901.582,8913.203,8689.295,8892.977,8844.115,9063.389,8912.754,8723.218,8784.062,8804.7705,8652.4795,8378.934,8301.607,8641.952,8649.567,8433.266,8483.792,8546.516,8132.1353,8763.334,8014.55,8144.02,8239.093,8351.635,7912.6533,7986.437,8679.235,8193.552,8382.26,8617.937,8735.3545,8479.177,8287.499,8516.1,8689.518,8836.09,8117.923,8014.254,8480.864,8653.353,8576.4,8608.84,8636.367,8307.883,8724.029,8452.027,8539.197,8074.856,8471.401,8407.788,8486.769,8599.752,8756.9795,8676.125,8420.428,8536.507,8613.322
3,mated_ff,dm_R57C10xGC6s_ff_20211110b,yeast,2%,03,dm_R57C10xGC6s_ff_20211110b_03_yeast_2%_transformed.ni_gauss.nii,10709.3,9211.268,9295.813,8966.674,10175.024,9644.232,9020.342,9611.185,9497.287,10575.383,9914.41,10719.6045,10080.521,10037.974,10246.032,9705.8,9560.95,9826.872,9893.921,9554.646,9570.691,9617.653,10009.085,9003.011,9365.154,8782.974,9652.233,9546.516,9131.232,9310.346,9120.613,10372.776,9366.528,9305.848,8983.312,9017.165,9748.65,9846.862,10024.934,9307.203,9525.938,9212.676,9493.044,9966.36,9562.605,9791.953,9252.644,9213.804,8968.269,9697.018,9715.829,9387.309,9495.341,9994.343,9297.351,9486.466,9719.029,9419.181,9759.226,10621.074
4,mated_ff,dm_R57C10xGC6s_ff_20211110b,yeast,2%,03,dm_R57C10xGC6s_ff_20211110b_03_yeast_2%_transformed.ni_gauss.nii,10262.006,10034.939,9366.713,9587.498,9482.956,9898.931,9770.544,9685.8545,9511.774,9698.219,9552.238,10407.7295,10130.274,10167.935,10018.626,9812.79,9626.224,9818.022,9634.881,9517.217,9816.089,9948.336,9886.457,9516.606,9763.029,9547.99,9649.858,9841.317,9953.258,9602.676,10075.396,10266.735,10005.176,9923.049,10232.764,9504.81,9677.896,9848.081,9921.946,9347.08,9286.856,9656.643,10054.362,9934.258,9546.104,9852.8,10219.103,10025.273,9853.568,9894.958,9761.088,10145.638,10149.473,10369.917,10004.657,10293.104,10323.695,10249.509,10331.233,10461.69
5,mated_ff,dm_R57C10xGC6s_ff_20211110b,yeast,2%,03,dm_R57C10xGC6s_ff_20211110b_03_yeast_2%_transformed.ni_gauss.nii,8838.94,9083.53,8782.585,9248.307,9107.164,9259.983,9381.351,9290.474,9094.243,9321.582,9765.144,9680.315,9704.191,9482.326,9539.383,9382.929,9283.703,9094.963,9171.884,8932.942,9331.711,9317.071,9360.548,9454.372,9415.141,9179.912,9140.868,9072.539,9178.59,8847.683,9433.489,9254.146,9242.257,9167.144,9314.78,8716.344,8588.682,8961.866,9145.453,8886.701,8572.752,8513.89,8951.272,8400.061,8713.856,8941.291,9294.471,9151.187,8672.434,9040.702,8891.041,9004.158,8757.436,9177.718,9189.475,9491.606,9438.249,9295.17,9068.202,8812.021
6,mated_ff,dm_R57C10xGC6s_ff_20211110b,yeast,2%,03,dm_R57C10xGC6s_ff_20211110b_03_yeast_2%_transformed.ni_gauss.nii,8352.138,8277.169,8203.361,9066.284,8734.772,9162.452,9275.814,9227.556,8704.81,9011.828,9771.148,9968.76,9599.96,9147.068,9625.433,8934.737,8880.531,9162.624,9002.68,8466.1455,8858.047,8565.573,9096.105,8959.547,9113.2705,8783.955,8661.059,8602.93,8669.954,8725.511,8900.85,9062.927,9069.12,9402.63,9129.439,8675.085,8317.309,9168.632,8893.379,8546.779,8338.116,8360.965,8567.579,8480.604,8929.815,9240.172,9233.086,9163.578,8712.8125,8820.017,8495.568,8546.348,8373.211,9003.022,8598.3955,9348.601,9072.634,8883.958,8572.806,8512.69
7,mated_ff,dm_R57C10xGC6s_ff_20211110b,yeast,2%,03,dm_R57C10xGC6s_ff_20211110b_03_yeast_2%_transformed.ni_gauss.nii,10873.981,11538.095,11934.979,12402.419,12776.819,12780.272,12725.924,12719.155,12516.657,12602.166,12552.646,13012.092,12958.459,12355.549,12778.935,12358.226,12404.047,12185.167,12147.746,11661.111,12271.126,11875.9795,12394.386,12123.155,12341.273,12222.675,12149.085,11881.261,11842.227,11708.144,11950.851,12142.231,11888.533,12046.178,12089.783,11063.52,11424.474,11978.771,11609.389,11113.055,11237.9,11287.592,11471.214,11572.198,11071.199,11403.291,11895.864,11718.39,11487.454,11716.294,11640.394,11895.731,11827.873,11880.583,11671.075,12232.515,12196.618,11705.728,11625.639,11307.579
8,mated_ff,dm_R57C10xGC6s_ff_20211110b,yeast,2%,03,dm_R57C10xGC6s_ff_20211110b_03_yeast_2%_transformed.ni_gauss.nii,6412.364,6735.3384,6303.6616,6069.4346,6187.129,6444.809,6498.4917,6579.64,6500.387,6306.1934,6913.4106,6545.007,6687.5728,6685.1035,6800.3022,6991.6426,6559.179,6652.103,6744.7485,6485.7305,6543.8696,6674.7705,6631.363,6500.8135,6358.4463,6508.715,6389.473,6452.1084,6377.675,6540.0786,6593.979,6546.306,6596.039,6582.798,6246.54,6318.765,6390.726,6404.8335,6495.9204,6298.0024,6389.8203,6244.4995,6044.5864,6105.388,6336.9736,6184.5835,6133.024,6217.418,6460.8525,6494.9126,6446.917,6361.3315,6298.951,6258.3643,6342.3467,6423.3755,6325.8853,6432.17,6384.614,6299.038
9,mated_ff,dm_R57C10xGC6s_ff_20211110b,yeast,2%,03,dm_R57C10xGC6s_ff_20211110b_03_yeast_2%_transformed.ni_gauss.nii,9276.081,9766.891,9312.321,9929.467,10048.865,10000.809,10154.088,9905.274,9917.803,10284.254,10946.309,10661.347,10586.61,10398.799,10094.232,10157.747,9898.429,9881.512,9599.35,9585.689,9772.628,9431.327,9902.615,9439.477,9457.431,9306.709,9314.998,9147.876,9202.581,9412.411,9615.304,9848.659,9836.681,9924.424,9928.779,9310.821,9446.392,9821.578,9655.456,9110.3955,8995.409,9181.857,9503.629,9381.219,9328.869,9552.337,9597.473,9634.515,9568.481,9616.863,9195.262,9499.968,9354.511,9643.539,9460.094,9852.768,9676.767,9505.179,9493.848,9530.132
10,mated_ff,dm_R57C10xGC6s_ff_20211110b,yeast,2%,03,dm_R57C10xGC6s_ff_20211110b_03_yeast_2%_transformed.ni_gauss.nii,5363.9766,5470.502,5459.2114,5689.6533,5642.5283,5666.875,5778.265,5631.741,5467.219,5716.253,6304.035,6026.6235,5840.423,5640.8037,5687.201,6033.5283,5563.972,5466.689,5549.2637,5389.6484,5609.0083,5458.8755,5577.8965,5593.998,5631.362,5491.7153,5649.3276,5494.8613,5577.689,5346.575,5581.162,5683.2407,5746.9,5211.2383,5697.8135,5452.3623,5350.1914,5077.387,5288.1416,5425.62,5243.427,5304.608,5407.348,5332.5737,5319.31,5359.6147,5519.677,5403.1104,5303.253,5066.1045,5450.867,5274.3438,5436.435,5617.8564,5320.0728,5344.8013,5516.5854,5517.7124,5519.37,5216.526
