region,state,fly,stimulus,concentration,stimulus_nr,recording,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1,mated_ff,dm_R57C10xGC6s_ff_20211110d,yeast,2%,03,dm_R57C10xGC6s_ff_20211110d_03_yeast_2%_transformed.ni_gauss.nii,4658.1865,4908.406,4689.429,4910.3877,5012.295,4881.5146,4911.744,4440.367,4535.1104,4808.566,4949.594,4804.3438,4891.107,5184.4824,5121.5464,5053.4604,4989.2427,4964.64,4955.907,4933.8633,4673.204,4976.984,4853.684,4679.8677,4927.712,4803.6313,4721.7915,4992.666,4824.057,4739.549,4854.22,4826.3535,4863.275,4837.5166,4776.924,4748.2974,5043.0234,4604.3765,4621.448,4610.6777,4832.9062,4728.217,4798.748,4754.3257,4782.4487,4951.838,4604.6855,4738.787,4994.3467,4921.754,4984.004,4801.325,4855.7227,4762.625,4873.6035,4941.0146,4921.5327,4860.7554,4923.044,5040.043
2,mated_ff,dm_R57C10xGC6s_ff_20211110d,yeast,2%,03,dm_R57C10xGC6s_ff_20211110d_03_yeast_2%_transformed.ni_gauss.nii,4091.6167,4396.641,4161.7427,4672.638,4688.356,4358.9604,4484.6953,4463.2466,4375.123,4123.1167,4723.3857,4654.586,4546.094,4478.978,4774.392,4578.0586,4415.105,4165.9863,4346.53,4362.064,4672.2095,4750.406,4659.129,4564.7505,4362.2393,4443.5903,4462.834,4427.862,4341.357,4334.1167,4331.426,4504.491,4493.6826,4507.975,4403.468,4485.472,4465.083,4445.7036,4637.004,4469.8125,4338.9326,4356.052,4534.1313,4551.601,4472.001,4471.0356,4250.3896,4441.6885,4441.1963,4488.4277,4370.372,4632.081,4299.7207,4512.345,4396.025,4433.254,4455.555,4538.943,4350.605,4456.8833
3,mated_ff,dm_R57C10xGC6s_ff_20211110d,yeast,2%,03,dm_R57C10xGC6s_ff_20211110d_03_yeast_2%_transformed.ni_gauss.nii,5523.9844,5618.8223,5237.818,5997.6035,6083.5127,5315.5996,5559.924,5756.3315,5358.7056,5035.6187,6119.2964,5854.5566,5969.856,5126.96,5913.391,5956.8057,5759.3506,6018.6714,5273.4644,5250.7715,5988.855,5619.063,7356.217,6449.0347,5806.041,6470.8457,6374.285,6700.2593,6567.805,5987.526,5300.652,5782.5796,6484.966,6666.2705,5766.6787,5941.7476,5479.6875,5626.369,5852.1953,5905.2734,5426.8857,5307.6274,5664.008,6010.635,5742.7817,5594.9053,5392.1523,5526.279,5962.4253,6331.923,5322.4775,6224.8423,5689.443,6159.0176,5866.0137,5525.9263,5786.341,6113.254,6353.22,5834.387
4,mated_ff,dm_R57C10xGC6s_ff_20211110d,yeast,2%,03,dm_R57C10xGC6s_ff_20211110d_03_yeast_2%_transformed.ni_gauss.nii,6134.2056,5733.174,5548.806,5355.8774,5031.7534,5369.869,5415.3433,5836.39,5696.3013,5370.966,5593.869,5075.606,5117.329,5261.3716,5578.4316,5472.6123,5224.0996,5601.0615,5854.434,5631.312,5228.0254,4926.0703,6452.33,6140.6704,6334.6973,6186.641,6305.7305,6105.508,6071.269,5903.369,5437.265,5722.1543,5737.036,5805.8286,5062.4214,5820.342,5557.5205,5183.2046,5156.3643,5098.279,5474.8804,5457.615,5558.7227,6124.7275,5557.2637,5443.2266,4883.854,5359.4663,5570.033,5777.608,5613.095,5834.598,5404.662,5190.7563,5510.0127,5545.601,5735.445,5575.2417,5622.566,5613.492
5,mated_ff,dm_R57C10xGC6s_ff_20211110d,yeast,2%,03,dm_R57C10xGC6s_ff_20211110d_03_yeast_2%_transformed.ni_gauss.nii,6490.09,6789.2324,6392.382,6605.759,6531.129,6578.0557,6403.5493,6597.275,6863.871,6917.2476,7506.784,7902.855,7790.174,7169.89,7237.2026,7019.9907,6783.68,6569.885,6595.9404,6553.292,6579.2476,7522.1787,7717.4673,7103.059,6629.5176,6649.375,6370.036,6549.106,6518.3843,6589.397,6461.641,6615.709,6527.1104,6500.2437,6375.7354,6577.63,6427.445,6297.257,6412.7695,6418.9414,6486.591,6595.8716,6554.332,6574.7847,6361.228,6396.3604,6226.439,6323.2515,6435.004,6472.4756,6538.0215,6538.011,6239.933,6492.583,6433.7925,6515.2524,6404.551,6468.0825,6309.073,6417.9297
6,mated_ff,dm_R57C10xGC6s_ff_20211110d,yeast,2%,03,dm_R57C10xGC6s_ff_20211110d_03_yeast_2%_transformed.ni_gauss.nii,4796.0947,5227.8716,5015.0244,5425.6772,5166.7744,5179.7876,4912.3047,4906.39,5137.707,5202.223,6030.5186,5618.3535,5221.25,5625.4883,5518.9624,5266.5293,4733.1567,5314.5845,5033.3394,5283.5415,5350.912,5644.4536,5342.3315,5199.573,5462.6934,5141.7188,5199.019,5362.876,5296.9478,5216.801,4790.0806,5209.3516,5191.5796,4949.4644,5058.237,4764.9004,4981.4893,5185.3228,5261.874,5189.0957,4928.3877,5273.5293,5083.4478,4941.885,4614.663,5175.7476,4778.9277,5002.389,4941.316,4820.287,5113.8896,4963.378,4823.343,4959.129,4930.786,5281.883,5165.5356,4965.7617,4906.3867,5278.415
7,mated_ff,dm_R57C10xGC6s_ff_20211110d,yeast,2%,03,dm_R57C10xGC6s_ff_20211110d_03_yeast_2%_transformed.ni_gauss.nii,5814.79,6042.8086,6040.845,6333.2354,6232.509,6354.33,6370.565,6448.3755,6347.9365,6443.803,6746.485,6769.8657,6413.144,6453.4033,6572.272,6732.104,6822.5947,6549.7817,6472.469,6538.88,6427.9688,6531.88,6390.361,5962.567,5773.269,5874.9976,5644.505,6014.751,5785.618,6108.3667,6158.9463,6221.673,6451.7285,6494.055,6070.1606,6279.721,6275.586,6243.843,6256.9727,6164.058,6256.973,6384.5884,6277.155,6349.881,6264.559,6264.35,5929.7935,6385.654,6503.0513,6392.166,6422.8936,6324.899,6347.008,6089.983,6359.4614,6406.868,6274.404,6396.848,6484.4106,6272.8623
8,mated_ff,dm_R57C10xGC6s_ff_20211110d,yeast,2%,03,dm_R57C10xGC6s_ff_20211110d_03_yeast_2%_transformed.ni_gauss.nii,6606.2236,7022.0005,6931.814,7192.242,7177.557,7171.2915,6891.773,6737.488,6892.527,6641.267,7355.362,6996.984,6842.7886,6816.3804,6952.0435,6959.131,6925.742,6632.5767,6886.121,6733.015,7149.512,7042.1885,6267.949,5577.076,5476.2275,5503.3755,5395.7036,5854.619,5667.715,5871.5835,6161.267,5920.3984,5760.618,5907.302,5617.1206,5891.3003,6003.3286,6512.9116,6486.634,6435.98,6277.2197,6250.712,6327.6484,6138.4937,6488.707,6259.61,6140.802,6242.559,6388.7305,6237.7734,6393.294,5996.577,6447.552,6666.266,6401.431,6360.631,6261.564,6395.9663,6450.0347,6350.623
9,mated_ff,dm_R57C10xGC6s_ff_20211110d,yeast,2%,03,dm_R57C10xGC6s_ff_20211110d_03_yeast_2%_transformed.ni_gauss.nii,3671.6672,4019.1147,3756.6892,3944.2515,4022.22,3977.4258,3824.614,3990.3838,4128.041,3813.1194,4342.4375,4265.0464,4057.891,3982.278,4066.7195,3889.9036,3735.9773,3795.7654,4102.382,3892.9187,4014.65,4176.062,4096.808,3972.3594,3843.315,3883.2424,3857.7256,3985.5732,3824.393,3911.2363,3805.7458,3992.7075,3955.397,3933.4873,3922.7458,4039.3818,3840.3967,3813.7227,3801.4436,3903.7395,3902.5396,3933.9136,3948.4624,3884.9165,3868.7012,3950.1584,3718.8157,3776.5269,3768.4233,3931.4268,3961.63,4004.7422,3723.8503,3788.7815,3875.3132,4013.8652,3991.1714,3783.5657,3747.1458,3876.54
10,mated_ff,dm_R57C10xGC6s_ff_20211110d,yeast,2%,03,dm_R57C10xGC6s_ff_20211110d_03_yeast_2%_transformed.ni_gauss.nii,2467.8428,2631.2239,2516.2358,2465.34,2459.8096,2474.0315,2620.22,2668.245,2687.2107,2509.6812,2344.7134,2309.3374,2210.5725,2329.8223,2406.2742,2361.3735,2427.75,2456.0513,2486.3535,2371.2478,2395.3418,2214.0938,2186.079,2106.4302,2013.4728,2060.854,2080.6113,2069.513,2030.7274,2121.9905,2101.8772,2151.289,2214.5488,2237.2913,2214.072,2251.7622,2245.4854,2277.2952,2271.8013,2227.566,2246.296,2258.4055,2250.3745,2252.398,2333.4758,2249.9634,2269.3513,2317.6438,2264.2644,2259.3677,2294.4968,2266.1084,2300.5183,2305.2227,2226.7207,2202.2664,2288.4841,2285.2688,2270.2773,2281.4585
11,mated_ff,dm_R57C10xGC6s_ff_20211110d,yeast,2%,03,dm_R57C10xGC6s_ff_20211110d_03_yeast_2%_transformed.ni_gauss.nii,4409.6543,4625.2485,4376.275,4564.0713,4444.8843,4303.5825,4491.307,4610.599,4567.08,4367.6714,4628.9194,4439.578,4542.1265,4328.6226,4553.625,4583.334,4555.7236,4392.913,4740.294,4419.0156,4431.1704,4458.0146,4810.6733,4830.107,4839.6494,4825.0366,4847.0156,4748.5293,4719.679,4736.961,4616.4087,4781.3047,4777.6255,4810.1304,4410.917,4733.359,4479.9575,4372.114,4420.645,4418.3594,4593.9155,4532.5063,4629.952,4756.842,4520.8457,4461.6816,4110.8247,4514.567,4530.7227,4648.9033,4568.118,4805.9385,4324.309,4317.8794,4492.722,4643.4536,4686.3457,4433.3467,4545.088,4654.647
12,mated_ff,dm_R57C10xGC6s_ff_20211110d,yeast,2%,03,dm_R57C10xGC6s_ff_20211110d_03_yeast_2%_transformed.ni_gauss.nii,4408.188,4910.522,4417.502,4440.059,4744.709,4718.2104,4677.119,4444.416,4541.6284,4612.946,4695.8726,4605.4165,4854.779,4777.353,4814.245,4611.991,4428.843,4608.7417,4800.0234,4488.791,4601.744,4486.724,4830.544,4461.215,4301.818,4254.483,4127.6733,4440.831,4174.3135,4265.988,4561.68,4530.282,4428.4478,4420.009,4648.606,4616.879,4361.8213,4443.508,4447.376,4713.964,4506.5684,4401.5586,4387.9214,4410.198,4450.95,4581.5947,4599.6978,4465.45,4403.405,4366.151,4741.668,4451.437,4394.1885,4491.9844,4426.5312,4669.7,4521.789,4495.9854,4439.982,4423.6816
13,mated_ff,dm_R57C10xGC6s_ff_20211110d,yeast,2%,03,dm_R57C10xGC6s_ff_20211110d_03_yeast_2%_transformed.ni_gauss.nii,2228.5132,2352.9363,2303.282,2232.5862,2098.509,2238.0923,2125.6218,2306.0964,2358.917,2247.572,1970.1233,2031.0757,1920.7572,2181.875,2086.844,2212.6448,2324.4182,2191.5322,2323.4255,2350.0059,2157.8901,2066.517,2144.6418,2269.5225,2374.5916,2445.1533,2563.8408,2655.8474,2515.2673,2488.8074,2241.6306,2112.9636,2228.22,2194.3157,2120.211,2208.3042,2149.725,2037.5713,1958.4053,2070.5798,2304.552,2152.2622,2194.9539,2253.4263,2184.563,2122.426,2058.905,2282.8704,2272.16,2273.49,2234.2427,2184.1658,2331.9238,2044.811,2290.0466,2276.0483,2253.182,2282.8975,2095.2134,2142.541
14,mated_ff,dm_R57C10xGC6s_ff_20211110d,yeast,2%,03,dm_R57C10xGC6s_ff_20211110d_03_yeast_2%_transformed.ni_gauss.nii,7345.1465,7360.421,7307.7446,7067.0845,7471.1763,7342.2207,7316.5723,7611.0737,7753.7324,7660.623,8093.5522,7769.85,7900.163,7537.1924,8123.046,7775.197,7607.3853,7608.6865,7174.2188,7595.0684,7788.165,8089.874,8481.454,8001.596,7798.6045,7694.1143,7683.0137,7536.578,7812.5176,7648.246,7162.5947,7620.9556,7493.1577,7309.393,7159.6562,7882.566,7367.779,7195.008,7494.8965,7505.8823,7510.4175,7246.6978,7470.9595,7904.064,7888.4365,7413.7617,6816.165,7332.0527,7636.202,7629.7153,7535.2866,7572.7876,7149.469,7408.0737,7726.3555,7630.1934,7448.77,7561.9927,7249.9526,7467.8867
15,mated_ff,dm_R57C10xGC6s_ff_20211110d,yeast,2%,03,dm_R57C10xGC6s_ff_20211110d_03_yeast_2%_transformed.ni_gauss.nii,2385.8855,2836.8208,2534.2998,2698.1987,2574.0464,2790.5615,2738.6838,2541.9978,2530.1267,2616.3948,2445.563,2653.832,2668.5928,2727.737,2709.1416,2571.4268,2569.566,2724.8945,2768.9668,2735.085,2610.4597,2773.1814,2487.3206,2597.9297,2968.0334,2583.1309,2780.061,2872.004,2894.0667,2583.4006,2732.5168,2587.1824,2404.641,2415.2422,2350.4111,2609.0151,2487.6472,2576.111,2356.1194,2572.1187,2519.5415,2576.7732,2635.2083,2455.8196,2870.7114,2729.023,2352.1338,2562.0564,2490.3818,2524.726,2493.2095,2781.9646,2619.643,2518.8337,2497.7568,2512.06,2568.2388,2483.4797,2747.6897,2757.9377
16,mated_ff,dm_R57C10xGC6s_ff_20211110d,yeast,2%,03,dm_R57C10xGC6s_ff_20211110d_03_yeast_2%_transformed.ni_gauss.nii,7192.869,6928.0903,6659.141,6810.061,6886.5444,6774.907,6881.273,6905.469,6978.824,6936.2476,7518.8213,7276.1724,7211.8726,7310.291,7390.9272,7360.963,6981.954,6999.8975,7130.7056,7030.5503,7068.457,7250.0723,7429.593,7171.3525,7298.417,7245.675,7327.721,7251.446,7125.7812,6909.8315,6804.689,6879.886,6862.6045,6898.904,6896.046,7019.8496,6915.631,6917.2935,6996.7554,6828.2915,6840.7803,6821.0835,7099.1094,7097.9697,7068.953,7055.745,6554.59,7175.501,7013.941,7130.5835,7025.7925,7062.183,7050.0093,6943.0977,6982.631,7067.5176,7114.5645,7108.493,7224.0957,7085.513
17,mated_ff,dm_R57C10xGC6s_ff_20211110d,yeast,2%,03,dm_R57C10xGC6s_ff_20211110d_03_yeast_2%_transformed.ni_gauss.nii,2811.791,2946.8826,2922.5586,2815.7073,2822.718,2935.183,2943.741,3153.9802,3218.9678,3122.5574,3068.8108,3114.379,3080.9805,3299.807,3048.745,3265.932,3220.1638,3304.22,3206.356,2975.567,2808.6992,2884.8743,3333.9697,3174.2998,3097.2283,3118.885,3068.3894,3120.4714,3020.471,2996.188,3074.2908,3082.216,3137.375,3021.783,2946.1746,2993.197,3159.0117,3101.8752,3104.5752,3092.851,3258.0605,3151.3735,3115.6423,3096.251,3131.498,3118.7432,3106.9187,3062.085,3296.578,3243.538,3166.3328,3104.4485,3029.5798,3079.184,3304.4106,3176.2598,3256.7563,3153.9758,3302.3787,3191.536
18,mated_ff,dm_R57C10xGC6s_ff_20211110d,yeast,2%,03,dm_R57C10xGC6s_ff_20211110d_03_yeast_2%_transformed.ni_gauss.nii,5648.3687,6284.287,5663.606,5557.5747,5803.599,5596.0234,6054.253,5833.7515,6054.317,5806.845,5586.518,5397.197,5256.6084,5736.6562,5682.4487,5701.7256,5680.1675,5699.6455,5945.174,5558.882,5590.0137,5104.749,5118.151,4374.6763,4154.749,4273.564,3936.8276,4188.063,4073.6594,4472.609,4689.076,4840.184,5042.434,5082.277,5162.502,5223.2583,5078.384,4975.0264,4952.58,5231.687,5332.1104,5255.897,5370.5737,5256.6543,5232.3525,5363.8247,5212.4717,5131.6597,5280.5723,5286.2183,5521.3247,5358.4966,5032.3076,5189.0493,5272.0854,5492.1553,5323.484,5199.5327,5242.7627,5353.748
19,mated_ff,dm_R57C10xGC6s_ff_20211110d,yeast,2%,03,dm_R57C10xGC6s_ff_20211110d_03_yeast_2%_transformed.ni_gauss.nii,4800.07,5163.811,4931.4067,4978.982,5458.801,5379.112,5163.589,5142.309,5441.7593,5302.006,5352.4873,5542.4536,5157.329,5194.1426,5223.995,5334.993,5287.957,5068.7295,5289.0737,5002.7,5464.6,5480.2383,9140.251,6351.597,5871.579,5528.4185,4719.483,4674.3813,4517.3076,5560.823,5116.127,5420.3857,5393.4995,5474.9434,5032.5366,5351.125,5327.4116,5262.1426,5258.0894,5388.6206,5298.894,5189.224,5445.0386,5615.5693,5117.413,5377.085,4746.9824,5322.8,5526.4243,5483.613,5228.09,5260.6284,4840.185,5316.868,5353.538,5434.5166,5092.071,5166.4443,5361.3564,5260.948
