region,state,fly,stimulus,concentration,stimulus_nr,recording,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1,mated_ff,dm_R57C10xGC6s_ff_20211111a,yeast,2%,03,dm_R57C10xGC6s_ff_20211111a_03_yeast_2%_transformed.ni_gauss.nii,4667.899,4766.617,4870.991,5193.479,5156.1084,5394.3574,5335.8315,5350.46,5361.6104,5667.4014,5066.516,5646.3467,5549.628,5624.624,5457.675,5828.2153,5710.2817,5388.223,4879.966,5206.2944,5359.951,5448.8574,5378.1846,5027.268,4696.4287,5239.376,5333.993,5162.4287,5237.495,5555.466,5242.1167,5440.846,5389.5723,5306.3535,5572.2007,5198.5234,5707.642,5689.749,5753.3374,5464.6533,5285.5415,5332.5522,5350.4365,5488.657,4973.923,5044.106,5156.0737,5297.404,4957.2695,4905.294,4877.5854,4903.08,4972.7476,5149.9385,5343.898,4765.9014,5277.3037,5274.082,5545.7153,5087.816
2,mated_ff,dm_R57C10xGC6s_ff_20211111a,yeast,2%,03,dm_R57C10xGC6s_ff_20211111a_03_yeast_2%_transformed.ni_gauss.nii,4172.142,4300.0503,4396.238,4579.082,4570.0874,4576.5234,4506.328,4688.937,4791.73,4680.987,4614.9126,4795.1797,4980.3394,4826.66,4791.0137,4895.215,5025.6167,4842.9795,4456.4097,4514.36,4678.56,4816.3545,4687.9883,4584.3965,4344.4526,4554.6895,4815.1177,4561.289,4814.6475,5098.6426,4681.666,4821.702,4817.878,4576.6177,4837.6157,4765.509,4728.4844,4892.8804,4799.9805,4474.876,4777.564,4461.6494,4682.049,4809.903,4522.473,4617.6714,4272.39,4372.62,4414.7285,4227.48,4412.799,4342.7124,4355.072,4538.5483,4619.6143,4635.836,4613.1616,4757.547,4884.659,4458.9644
3,mated_ff,dm_R57C10xGC6s_ff_20211111a,yeast,2%,03,dm_R57C10xGC6s_ff_20211111a_03_yeast_2%_transformed.ni_gauss.nii,6237.872,6357.059,6108.7803,6216.8457,6267.6157,6074.735,6017.6855,6509.7124,5632.6553,6217.1343,5376.2305,5949.1875,5744.672,6127.569,5659.8184,5743.591,6146.1504,6073.1113,5528.9795,5405.697,6166.058,6229.3433,6113.2305,6452.6597,5476.319,5805.6714,6385.838,6146.8057,6721.896,5884.611,5885.824,6572.4214,6764.258,6015.0376,6393.3955,5916.1543,6421.7764,6316.0513,6395.705,5736.842,5736.036,6065.2046,5695.787,6174.402,5847.318,5430.0435,5938.611,6735.127,5587.1553,5342.075,6193.8477,6095.823,5387.179,5613.938,5883.4326,5669.1562,6244.823,5232.055,6495.792,5646.136
4,mated_ff,dm_R57C10xGC6s_ff_20211111a,yeast,2%,03,dm_R57C10xGC6s_ff_20211111a_03_yeast_2%_transformed.ni_gauss.nii,6984.1963,6353.3213,6151.09,6523.521,6268.4087,6231.959,6066.007,6358.9595,6216.6436,6338.038,6009.0884,6533.42,6590.928,6403.9263,6293.0234,6496.603,6528.9,6075.8687,5899.867,6038.127,6356.664,6474.4155,6490.5674,6171.6694,6053.642,6178.842,6477.986,6129.4805,6352.9688,6216.7954,6094.1245,6339.9087,6450.2896,6230.88,6268.1787,6134.731,6383.927,6401.3022,6440.653,6327.0063,6158.7856,6356.3125,6033.6763,6246.811,6048.1665,6281.6387,6197.6304,6313.0635,6181.3945,6081.866,6516.774,6220.676,6049.3594,6131.603,6512.013,6445.7856,6292.6406,6162.735,6501.2974,6015.8867
5,mated_ff,dm_R57C10xGC6s_ff_20211111a,yeast,2%,03,dm_R57C10xGC6s_ff_20211111a_03_yeast_2%_transformed.ni_gauss.nii,8559.023,8773.483,8679.262,8828.99,8652.431,8625.121,8616.774,8844.803,9238.138,9419.729,9094.6455,9850.989,9919.89,9610.924,9654.025,10133.044,10122.06,9633.435,8927.82,9038.63,9332.718,9616.703,9665.032,9243.399,8908.676,9009.297,9292.193,9021.649,9322.87,9637.625,9351.55,9419.936,9278.927,9155.848,9616.346,9275.868,9308.842,9252.627,9355.567,8866.2705,8898.911,8887.311,8917.444,8989.102,8764.576,8894.236,8733.722,8697.483,8511.393,8466.047,8619.329,8533.649,8284.52,8638.569,8945.876,8763.315,8763.906,9059.924,9278.743,8890.373
6,mated_ff,dm_R57C10xGC6s_ff_20211111a,yeast,2%,03,dm_R57C10xGC6s_ff_20211111a_03_yeast_2%_transformed.ni_gauss.nii,6091.2573,6205.173,6204.271,6445.653,6349.6885,6715.701,6640.428,6729.445,7282.896,7157.903,6937.5347,7448.6914,7642.434,7362.0337,7059.769,7788.949,7752.5474,7252.1445,6909.0605,6668.5444,7031.6973,7352.161,7586.345,7276.1406,6493.2593,6898.7856,7338.085,6714.168,7117.7075,7107.976,6860.817,7134.7217,7138.0376,7010.1147,7483.165,6877.4785,7236.4224,7123.908,7133.191,6907.559,6757.978,6515.1494,6844.4995,6768.0806,6754.4595,6575.5825,6481.142,6412.4917,6342.003,6212.1865,6252.1885,6441.635,6481.538,6380.168,6626.4736,6403.445,6666.9434,6704.7,6821.2617,6320.4897
7,mated_ff,dm_R57C10xGC6s_ff_20211111a,yeast,2%,03,dm_R57C10xGC6s_ff_20211111a_03_yeast_2%_transformed.ni_gauss.nii,6602.0605,6820.6978,6838.633,7084.827,7207.2124,7387.745,7078.9097,7478.3037,7669.828,7722.078,7166.1475,7963.416,7999.431,7795.9077,7699.694,8057.9546,8129.4023,7739.375,7240.8906,7191.82,7556.072,7632.394,7808.611,7368.5767,7093.1006,7406.756,7634.4053,7416.7876,7665.4033,7627.3,7511.857,7599.645,7693.7944,7459.9854,7795.0146,7382.0635,7437.3013,7551.902,7671.445,7341.6646,7435.1133,7174.7437,7395.6265,7265.871,7152.6445,7205.759,7013.656,7208.6987,7076.7314,6947.9272,7274.542,7127.2637,6917.1436,7023.6167,7273.8613,7195.5347,7332.5527,7217.402,7471.8066,7028.0054
8,mated_ff,dm_R57C10xGC6s_ff_20211111a,yeast,2%,03,dm_R57C10xGC6s_ff_20211111a_03_yeast_2%_transformed.ni_gauss.nii,5734.585,5637.481,5681.6084,5955.1436,5949.63,5976.761,5960.098,6012.4175,6031.618,6090.6353,5509.3423,6065.4844,6184.952,6289.378,6268.2456,6389.123,6264.896,6028.005,5526.1,5805.618,5818.3096,6064.658,6039.4775,5732.3804,5451.081,5977.401,6007.457,5828.9575,6062.473,6213.588,5724.9336,6013.282,5964.421,5877.518,6282.9844,5807.8184,6209.3394,6159.5215,5988.7866,5905.542,5721.0684,5855.004,5862.615,6074.234,5494.3447,5553.249,5838.869,5805.5786,5644.1333,5600.893,5431.654,5595.0557,5837.36,5845.4614,5712.037,5480.3237,6007.3477,5682.055,5862.418,5750.8467
9,mated_ff,dm_R57C10xGC6s_ff_20211111a,yeast,2%,03,dm_R57C10xGC6s_ff_20211111a_03_yeast_2%_transformed.ni_gauss.nii,5382.767,5563.7974,5532.874,5760.454,5640.87,5632.7446,5780.482,5959.8276,6226.663,6048.019,5898.381,6447.114,6411.656,6454.5864,6388.7314,6594.694,6634.839,6293.748,5824.8354,5866.9897,6228.469,6294.7417,6244.524,5968.83,5649.6025,5904.992,6135.877,5948.648,6442.975,6495.715,6124.7783,6348.771,6139.2437,6003.765,6391.1074,6085.72,6086.1895,6237.9985,6162.9067,5797.8457,5895.3223,5725.8555,6097.196,5921.622,5731.258,5808.735,5421.5884,5480.6626,5406.995,5303.224,5576.191,5420.321,5428.448,5782.7617,5719.5986,5728.584,5950.636,6119.1523,5973.6704,5541.651
10,mated_ff,dm_R57C10xGC6s_ff_20211111a,yeast,2%,03,dm_R57C10xGC6s_ff_20211111a_03_yeast_2%_transformed.ni_gauss.nii,4190.0034,4290.1934,4444.1343,4650.674,4398.4756,4411.657,4354.1377,4388.795,4331.3633,4532.7153,4310.2275,4508.024,4615.2744,4655.261,4475.692,4847.662,4985.5234,4781.484,4698.0576,4720.7686,4779.0605,4891.9805,4769.8696,4473.285,4506.9766,4597.149,4701.075,4667.891,4909.1343,4778.7476,4736.0234,4593.3486,4801.049,4772.4717,4762.5244,4629.1543,4856.38,4812.327,4698.5547,4675.376,4781.272,4664.8613,4376.051,4587.094,4609.0483,4644.7524,4616.246,4634.3413,4552.9414,4452.495,4596.3867,4562.2114,4153.751,4220.1807,4626.8247,4454.796,4642.293,4268.9214,4579.989,4415.4253
