region,state,fly,stimulus,concentration,stimulus_nr,recording,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1,mated_ff,dm_R57C10xGC6s_ff_20211118c,yeast,2%,03,dm_R57C10xGC6s_ff_20211118c_03_yeast_2%_transformed.ni_gauss.nii,7163.841,7383.927,7169.1606,7154.6284,6924.41,6833.664,7072.8,7219.4165,7254.9673,7177.865,7334.9146,7664.6284,7429.6753,7369.273,7397.9,7120.6797,7630.062,7537.988,7402.593,7023.632,7188.6406,7448.3784,6709.169,7235.1606,7061.4517,7273.9756,7354.5312,7568.487,7657.642,7508.3477,7788.818,7400.436,7102.4893,7004.3125,7129.4897,7272.781,7308.7686,7424.087,7672.7446,7477.107,7898.1836,7386.065,7162.945,7337.131,7198.268,7357.857,7499.7603,7581.1577,7775.116,7708.0693,7207.549,7172.408,7335.8535,7512.6436,7735.905,7596.5356,7784.7324,7435.278,7867.1807,7313.815
2,mated_ff,dm_R57C10xGC6s_ff_20211118c,yeast,2%,03,dm_R57C10xGC6s_ff_20211118c_03_yeast_2%_transformed.ni_gauss.nii,5332.875,5816.1353,5287.016,5610.8477,5494.1553,5613.2896,5582.3716,5735.908,5675.9727,5402.282,5744.118,5751.3047,5593.1978,5470.6387,5581.72,5793.8413,5789.132,5726.247,5820.974,5710.899,5458.1587,5774.2017,5701.4897,5580.64,5498.0615,5600.5405,5712.4883,5941.5654,5673.059,5878.77,5985.3384,5809.381,5787.4707,5633.552,5633.722,5441.341,5577.779,5780.1772,5899.137,5826.075,5372.9697,5682.1924,5390.689,5872.159,5501.2466,5725.491,5910.6636,6011.0605,5977.417,5889.3804,5641.92,5708.8066,5760.3823,5931.7056,5825.6143,5814.1836,5815.825,5648.008,5574.261,5447.9473
3,mated_ff,dm_R57C10xGC6s_ff_20211118c,yeast,2%,03,dm_R57C10xGC6s_ff_20211118c_03_yeast_2%_transformed.ni_gauss.nii,10768.762,10778.767,9305.862,8831.781,8468.36,7883.6543,8038.201,8630.169,8640.997,8719.252,9212.6,9114.617,7405.2056,7203.581,7195.7256,8350.643,9652.061,8920.548,10996.5205,10322.432,10558.763,10407.286,9448.359,8060.4434,7463.508,8530.129,7620.977,8832.343,8963.454,9264.309,8841.413,8587.731,8243.621,7747.848,7442.8926,8384.924,9245.197,10397.108,9692.996,9658.878,9641.921,9966.834,9323.754,8861.267,8401.771,9094.674,9646.767,8854.819,9228.566,9988.283,9569.78,7945.427,9752.876,8028.2573,9133.078,10002.954,9360.667,10250.384,9925.8,9307.443
4,mated_ff,dm_R57C10xGC6s_ff_20211118c,yeast,2%,03,dm_R57C10xGC6s_ff_20211118c_03_yeast_2%_transformed.ni_gauss.nii,8483.7295,8506.066,8189.9487,8383.117,8073.922,7839.545,7907.8745,8348.971,7906.037,7571.099,8108.165,8357.657,7725.85,7901.842,7828.845,8555.531,8473.727,8326.129,8163.222,8136.8833,8075.2603,7927.6255,8259.592,8165.8037,7642.678,8342.05,7947.9614,8227.774,8313.433,8468.184,8083.3154,7978.4526,7790.1543,8195.621,8006.99,8418.769,8496.711,8503.521,8879.856,8577.26,8109.6016,8199.544,8041.871,8058.8506,8207.95,8566.444,8427.916,8786.242,8489.207,8386.927,8112.5337,7839.253,7982.6104,8574.821,8611.517,8254.121,8796.609,8163.9546,8759.525,8475.27
5,mated_ff,dm_R57C10xGC6s_ff_20211118c,yeast,2%,03,dm_R57C10xGC6s_ff_20211118c_03_yeast_2%_transformed.ni_gauss.nii,9858.187,10094.254,9340.832,9268.438,9085.813,8781.864,8875.776,9311.812,9188.167,8965.594,8842.192,10024.045,10195.632,9895.083,10106.418,11220.2705,10725.42,10636.679,10101.632,9760.18,9760.196,9755.741,9756.384,9644.271,9493.676,10059.417,10052.878,10186.2,10086.108,10262.244,9486.016,9249.237,8758.163,8944.4795,9158.855,9500.181,9690.518,9601.862,9916.812,9712.5625,9242.889,9043.162,8804.957,9535.872,9588.916,9629.148,9727.023,9873.063,9619.654,9339.118,8819.743,8965.245,9175.052,9706.913,9758.038,9629.378,10108.475,9231.023,9747.325,9132.148
6,mated_ff,dm_R57C10xGC6s_ff_20211118c,yeast,2%,03,dm_R57C10xGC6s_ff_20211118c_03_yeast_2%_transformed.ni_gauss.nii,5990.3804,6107.365,6049.101,6294.299,5919.76,6165.4634,5980.841,6295.3745,6056.119,5791.5166,6005.0825,6500.9033,6222.7627,6655.9785,6616.044,7246.795,6989.2383,6877.4517,6703.845,6555.873,6354.1133,5947.176,6716.413,6503.8906,6036.8516,6265.565,6433.2593,6797.962,6257.057,6793.041,6269.7554,6205.094,6212.4624,5938.1997,6288.6035,6167.5254,6145.884,6025.803,6663.6665,6296.4375,6391.4937,5927.907,5928.8584,6036.573,6356.2695,6389.4355,6278.209,6962.996,6371.5615,6305.4355,5944.935,5788.2993,5958.4243,6479.7407,6561.676,6286.6274,6829.263,5844.06,6764.2065,5791.783
7,mated_ff,dm_R57C10xGC6s_ff_20211118c,yeast,2%,03,dm_R57C10xGC6s_ff_20211118c_03_yeast_2%_transformed.ni_gauss.nii,7380.7256,7431.507,7968.687,7683.3193,8008.3853,7694.236,8043.9307,8337.236,7993.184,7867.4404,7716.9326,8296.637,8152.7715,8322.041,8545.72,8521.392,8468.668,8564.2,8354.514,8134.906,8164.3413,8262.119,8471.716,8685.9375,8493.944,8504.393,8704.085,8958.497,8362.033,8602.203,8371.767,8311.763,8362.978,8447.42,8403.049,8751.646,8783.648,8601.469,8802.183,8473.642,8309.908,8152.0894,8127.0005,8428.197,8322.578,8759.896,8544.904,9103.298,8818.907,8405.904,8430.39,8384.464,8446.453,8843.58,8920.225,8553.336,8898.8,8313.809,8505.47,8047.45
8,mated_ff,dm_R57C10xGC6s_ff_20211118c,yeast,2%,03,dm_R57C10xGC6s_ff_20211118c_03_yeast_2%_transformed.ni_gauss.nii,10873.946,9823.038,9544.397,10178.753,9861.86,9783.384,10565.156,11385.735,11316.277,11594.157,11489.347,11709.461,10963.033,10558.901,10098.042,10617.333,11181.281,11694.143,11522.595,11162.136,10948.631,10471.443,9965.515,9601.508,9285.435,9946.281,10896.188,11184.891,11274.031,11193.413,11023.233,10249.307,9900.393,8739.499,9671.255,9848.786,11074.081,10596.033,10762.878,10628.636,10777.914,9433.352,8720.657,9600.394,10130.432,10856.612,10830.563,10979.907,10922.509,10683.723,9538.02,9530.84,9799.819,10688.369,10837.345,10656.721,10978.844,10442.312,10584.238,9620.512
9,mated_ff,dm_R57C10xGC6s_ff_20211118c,yeast,2%,03,dm_R57C10xGC6s_ff_20211118c_03_yeast_2%_transformed.ni_gauss.nii,6561.432,7074.8257,6923.1865,6855.8677,6666.4126,6598.8027,6646.7065,6985.5137,6640.796,6533.591,6941.013,7364.713,6878.639,7063.862,7054.2627,7504.3,7392.161,7424.96,7041.0957,6896.847,6582.111,6619.2583,6717.4956,6613.7017,6609.4,6990.2505,6825.791,7130.915,6970.766,7145.124,6773.946,6752.1177,6530.7886,6623.6484,6524.9897,6696.936,6768.222,6739.6533,6868.563,6829.2993,6225.418,6682.3687,6535.921,7030.3955,7068.1055,7019.4087,6968.7427,7166.595,7030.2266,6871.479,6719.458,6567.4287,7063.006,7404.9307,7243.2676,6982.302,7126.928,6709.7544,6740.6333,6519.3496
10,mated_ff,dm_R57C10xGC6s_ff_20211118c,yeast,2%,03,dm_R57C10xGC6s_ff_20211118c_03_yeast_2%_transformed.ni_gauss.nii,5534.5894,5222.126,4994.1963,5018.321,4824.4956,4434.26,4825.9966,5117.441,5457.507,5407.5854,5346.226,5528.483,5245.7373,4940.794,4494.0986,5210.0405,5596.805,5773.637,5690.4106,5586.5835,5659.263,4696.868,4939.994,4658.385,4233.0337,4724.866,5508.1997,5718.4575,5901.293,5692.994,5511.6753,4762.0435,4731.0796,4406.392,4684.2427,4813.188,5409.7603,5696.925,5697.4736,5510.6675,5782.1733,4648.4937,4230.5815,4879.452,4753.0396,5457.81,5505.3696,5408.416,5490.5503,5340.33,4548.4697,4464.038,4798.123,5123.9307,5592.017,5592.0674,5773.817,5789.1694,5690.3354,4804.217
