region,state,fly,stimulus,concentration,stimulus_nr,recording,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1,mated_10d_sucrose,dm_R57C10xGC6s_181127a,yeast,10%,03,dm_R57C10xGC6s_181127a_03_yeast_10%_SEZ_volreg_transformed_gauss.nii,4542.7075,4685.9683,4826.14,4916.9595,5027.771,5016.0337,4972.565,5059.75,4776.008,4570.1597,4919.241,5414.3677,5289.529,5449.592,5477.2964,5685.858,5359.506,5509.0728,5416.1416,5372.195,5182.748,5397.459,5346.1006,5538.2847,5271.2417,4891.7656,5251.392,5276.935,5088.648,4869.465,4826.7476,4999.513,5276.883,5351.289,5292.425,5314.2466,5140.1323,5162.481,4698.7314,5247.0894,5256.2666,5247.245,5057.2437,5232.58,5370.2427,5377.5435,5131.5986,5139.488,5158.1577,5061.2954,5105.005,5154.3115,5297.949,5173.0117,5240.4463,5300.448,4984.7314,5259.5576,5152.749,5273.7944
2,mated_10d_sucrose,dm_R57C10xGC6s_181127a,yeast,10%,03,dm_R57C10xGC6s_181127a_03_yeast_10%_SEZ_volreg_transformed_gauss.nii,3885.373,4057.4326,4215.368,4160.7656,3892.3994,3964.828,4382.9727,4450.0654,4400.5923,3994.9685,4558.3354,4541.675,4310.442,4771.4736,4399.0327,4931.258,4298.224,4552.3955,4769.009,4502.004,4606.1475,4724.8447,4706.6953,4828.6665,4826.721,4399.132,4591.85,4595.18,4408.855,4372.3877,4335.9614,4106.149,4431.889,4705.716,4309.3794,4473.956,4551.59,4274.399,4402.0483,4633.776,4354.5273,4338.069,4385.3877,4680.4595,4731.2437,5052.968,4719.184,4494.442,4464.749,4584.9336,4636.047,4804.993,4962.7563,4497.403,4818.9473,4435.4927,4604.162,4769.618,4361.6396,4635.716
3,mated_10d_sucrose,dm_R57C10xGC6s_181127a,yeast,10%,03,dm_R57C10xGC6s_181127a_03_yeast_10%_SEZ_volreg_transformed_gauss.nii,7654.205,8215.051,8401.022,8317.61,8333.676,7662.1655,8233.405,8668.055,7933.446,7487.339,8539.482,15511.429,19488.023,21489.414,23447.615,23627.025,21769.668,19699.98,18050.889,16827.914,16451.527,16381.819,14153.008,14739.14,13605.964,14250.212,13023.278,11871.689,11408.464,10967.37,10561.143,11440.796,12507.527,12445.241,11470.67,12041.244,12420.066,11968.322,12356.932,12290.633,13059.061,12544.694,12814.679,12867.685,14427.655,13699.849,12606.809,13677.931,13623.734,14269.337,13002.814,16629.6,17123.729,15305.256,15448.486,15602.902,13604.906,14348.012,12663.701,13041.466
4,mated_10d_sucrose,dm_R57C10xGC6s_181127a,yeast,10%,03,dm_R57C10xGC6s_181127a_03_yeast_10%_SEZ_volreg_transformed_gauss.nii,8133.7676,8235.897,8099.943,7961.208,7372.1494,7472.9834,8013.2876,8826.81,8315.246,7768.413,8734.687,13572.493,15583.958,16904.473,16977.623,17688.52,16466.645,15540.915,14554.383,14083.911,13493.372,13632.765,13413.999,13757.016,13435.7,12582.137,12488.059,11897.922,11431.943,11492.354,10957.118,10915.082,11724.468,12351.622,11752.258,11903.448,11604.976,11370.103,11403.613,11782.157,11895.743,11439.357,11519.934,11855.943,12851.193,12670.933,11847.881,12269.5205,12138.994,12274.436,12197.42,14200.605,13934.625,13375.673,13593.083,13254.106,13196.331,12873.025,11662.0625,11938.799
5,mated_10d_sucrose,dm_R57C10xGC6s_181127a,yeast,10%,03,dm_R57C10xGC6s_181127a_03_yeast_10%_SEZ_volreg_transformed_gauss.nii,5918.817,6159.973,6246.0664,6038.1533,5989.7153,5913.3984,6262.1377,6299.616,5943.235,5611.686,6530.484,7510.481,7601.772,8022.9575,8007.023,8204.248,7688.1973,7553.9956,7468.0312,7123.3984,6898.7466,7362.753,7356.1445,7017.853,7351.498,6747.7344,7349.538,7343.6953,6873.3906,6685.66,6378.404,6493.3203,6827.1704,6719.2324,6735.525,6867.894,6648.3257,6550.282,6230.4746,6741.5684,6644.2065,6529.891,6269.603,6610.748,6866.623,6695.3115,6715.305,6681.733,6612.714,6295.0645,6539.6387,6928.8315,6770.9497,6666.5176,6820.9414,6831.731,6771.62,6608.1616,6502.34,6697.086
6,mated_10d_sucrose,dm_R57C10xGC6s_181127a,yeast,10%,03,dm_R57C10xGC6s_181127a_03_yeast_10%_SEZ_volreg_transformed_gauss.nii,5082.4814,5425.4897,5363.528,5397.937,5214.9673,5060.164,5638.1626,5746.5093,5409.388,4706.8433,5771.6665,7078.1816,7672.027,7979.7354,7826.2397,8077.405,7636.4326,7172.3193,7116.831,6988.198,6657.8486,6916.8027,7080.8467,6623.303,6924.6387,6313.855,6854.4233,6672.6826,6042.388,6421.6963,5898.735,5990.9937,6427.5776,6426.509,5984.508,6238.5254,6061.8296,5985.5156,5619.0615,6287.546,5924.506,5922.0576,5821.2705,5868.4517,6347.1514,5894.43,6243.2373,6149.9224,6102.705,5850.952,6421.239,6438.422,6494.187,6422.752,6546.545,6510.932,6509.1455,6193.9995,5978.398,6221.3945
7,mated_10d_sucrose,dm_R57C10xGC6s_181127a,yeast,10%,03,dm_R57C10xGC6s_181127a_03_yeast_10%_SEZ_volreg_transformed_gauss.nii,5485.652,5723.2188,6008.866,5949.0205,5794.7373,5614.901,6224.771,6348.846,5977.227,5646.105,6423.93,6507.244,6747.2324,7362.14,6974.159,7615.3716,6831.504,6719.8696,6763.3833,6618.7715,6513.165,6963.572,6924.343,7154.4697,7143.5645,6807.117,7102.4805,6987.0757,6743.6,6829.0054,6540.4487,6181.895,6945.7153,7082.166,6662.2163,6792.0327,6741.7524,6520.9165,6439.027,6853.7256,6770.735,6566.431,6373.6636,6692.544,6877.907,6955.327,7010.096,6682.9844,6764.254,6712.989,6960.9263,7270.732,7104.9204,6745.8643,7257.47,7063.377,6857.9717,7101.913,6772.2783,7057.359
8,mated_10d_sucrose,dm_R57C10xGC6s_181127a,yeast,10%,03,dm_R57C10xGC6s_181127a_03_yeast_10%_SEZ_volreg_transformed_gauss.nii,5557.5635,5716.564,6004.21,6028.4487,6250.0405,5888.8926,6115.231,6122.238,5897.079,5811.7744,6051.2637,6344.744,6197.951,6558.402,6220.655,6412.156,6373.803,6524.8794,6363.5703,6291.443,6220.3984,6323.3423,6336.934,6387.87,6056.0684,6115.4453,6400.7715,6268.9346,6317.1865,6126.284,6205.681,6255.0093,6284.9155,6527.5464,6512.901,6660.7637,6512.3564,6502.8535,6254.6855,6533.489,6458.9844,6589.6084,6526.35,6565.316,6679.2656,6627.4946,6374.7505,6331.826,6443.5063,6613.0376,6667.4316,6816.7466,6413.6523,6623.7563,6294.3647,6568.3257,6369.2085,6644.8286,6391.786,6625.1685
9,mated_10d_sucrose,dm_R57C10xGC6s_181127a,yeast,10%,03,dm_R57C10xGC6s_181127a_03_yeast_10%_SEZ_volreg_transformed_gauss.nii,3960.159,4185.671,4344.1465,4354.6665,4039.9312,4015.7356,4525.82,4468.8364,4344.949,3960.6582,4937.3936,5764.1387,6025.3374,6336.5654,6383.151,6806.114,6281.684,6077.255,5945.771,5485.1377,5324.0513,5949.333,6214.0054,6056.372,6087.1772,5509.612,5644.6294,5527.409,5195.4463,5002.0386,4855.627,4695.581,4980.9062,5190.1147,4871.267,4832.9663,4647.0566,4604.2256,4493.3125,4877.042,4654.2153,4544.271,4445.6006,4721.9404,4889.7866,4876.05,4859.49,4777.3,4816.79,4631.497,5017.359,5455.1772,5371.402,4985.8096,5344.905,5109.5225,5122.994,5101.147,4609.8945,5009.8887
10,mated_10d_sucrose,dm_R57C10xGC6s_181127a,yeast,10%,03,dm_R57C10xGC6s_181127a_03_yeast_10%_SEZ_volreg_transformed_gauss.nii,4250.402,4372.39,4343.1475,4375.971,4165.6377,4376.815,4291.6895,4415.622,4153.5127,4196.265,4831.4277,5079.982,4945.597,4945.482,4960.7554,4998.382,5027.807,5057.116,4960.5073,4878.3867,4689.6577,4828.5244,4775.8545,4921.3257,4696.24,4757.7046,5014.3354,4811.0903,4641.4517,4499.3423,4485.2056,4512.9604,4851.3296,4862.2173,4990.9814,4779.929,4914.3213,4884.4604,4606.594,4821.566,4889.35,4910.2188,4697.832,4846.2524,5023.407,5121.6235,4877.8613,5117.8013,5073.325,4810.583,4819.7925,4929.276,5097.6113,5007.0815,4919.151,5071.638,4768.584,4899.3833,5008.337,5096.2925
