region,state,fly,stimulus,concentration,stimulus_nr,recording,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1,mated_10d_sucrose,dm_R57C10xGC6s_181204d,yeast,10%,03,dm_R57C10xGC6s_181204d_03_yeast_10%_SEZ_volreg_transformed_gauss.nii,7460.617,7892.1963,8033.0283,8288.912,8129.325,8018.1284,7939.4434,7594.701,7871.901,7673.2144,8399.908,8769.922,8545.375,8607.847,8695.594,8292.227,7917.776,7880.6353,8175.7217,8599.898,8169.597,8547.231,8442.082,8325.556,7726.681,7989.1167,7678.823,7599.8335,8184.5156,8334.334,8397.777,8314.214,8222.186,8211.406,8080.6514,7892.8076,7668.8184,7964.379,7289.2646,7014.6646,7359.199,7454.038,7086.462,7133.666,7168.8823,7443.894,7435.08,7692.2695,7514.79,7050.4497,7146.902,7204.909,7249.805,7096.878,6603.173,6874.9976,7374.328,7192.554,7202.292,8007.8257
2,mated_10d_sucrose,dm_R57C10xGC6s_181204d,yeast,10%,03,dm_R57C10xGC6s_181204d_03_yeast_10%_SEZ_volreg_transformed_gauss.nii,2734.6829,2850.6235,2862.8066,2919.2542,2923.953,2869.9802,2987.9255,3142.2612,3030.986,2945.385,3030.7253,3056.4568,3125.6963,3187.4465,2974.0605,3081.708,3129.5173,3080.1877,3178.3782,3060.4795,2915.7375,3077.2417,3059.1953,2977.06,2880.4333,3049.1821,2979.0327,3144.6057,3089.185,3109.7324,2998.9285,2986.4272,3047.186,3014.3591,2756.0286,2929.8525,2845.042,2910.0125,2647.8647,2773.6333,2866.5527,2875.578,2718.0417,2699.9343,2821.5938,2689.4917,2779.3884,2811.2834,2642.8743,2763.766,2717.1853,2666.8025,2702.4739,2687.6472,2892.8538,3043.4165,2896.0488,2892.9812,2815.9285,2971.8296
3,mated_10d_sucrose,dm_R57C10xGC6s_181204d,yeast,10%,03,dm_R57C10xGC6s_181204d_03_yeast_10%_SEZ_volreg_transformed_gauss.nii,12323.302,12778.077,12174.347,14014.993,14175.81,14832.257,12851.141,9440.315,12136.832,13810.517,14645.3125,14290.772,13172.9,14574.4795,15325.993,14395.012,11167.677,7068.4263,14173.546,14662.19,13748.439,13996.877,13120.692,13415.026,14093.872,10668.978,8989.529,5211.6973,13421.315,13284.349,11981.54,12566.881,12228.452,12749.48,12865.834,12982.382,12509.854,11972.728,10764.537,9428.499,8253.366,12636.566,11497.434,11218.118,10407.7295,10888.604,11394.599,12359.27,11733.308,11128.883,11193.529,12085.931,11778.373,8675.733,4156.2305,7906.717,10784.394,11044.157,11255.45,10978.062
4,mated_10d_sucrose,dm_R57C10xGC6s_181204d,yeast,10%,03,dm_R57C10xGC6s_181204d_03_yeast_10%_SEZ_volreg_transformed_gauss.nii,8800.357,8782.297,8616.594,9016.359,9336.278,9382.165,9436.379,7386.595,8012.857,9623.429,10508.076,11022.293,10215.912,10784.519,10679.549,10351.217,8537.729,6246.137,8310.513,9565.029,10020.615,10450.152,10134.411,9940.69,9623.365,9257.092,6848.5938,5553.4487,8084.1855,9108.14,9425.981,9372.38,9165.596,9331.841,9006.058,8826.817,8794.845,8706.213,8267.387,7511.695,5969.046,7728.804,7532.5923,7563.1255,7747.931,7886.46,8088.1284,8241.648,8161.3633,8076.461,7852.363,8156.0586,7821.3535,7048.1772,4708.2124,5479.699,7477.7104,7275.033,7409.346,8177.987
5,mated_10d_sucrose,dm_R57C10xGC6s_181204d,yeast,10%,03,dm_R57C10xGC6s_181204d_03_yeast_10%_SEZ_volreg_transformed_gauss.nii,6513.3657,6880.467,6925.2266,7062.918,6845.9316,6895.237,6934.5146,6786.657,6844.718,7220.7026,8205.426,7983.6865,8452.826,8722.714,8377.083,7706.2476,7434.66,7173.2305,7471.0,8185.0654,8153.9004,8370.899,8383.935,7989.5273,7642.751,7439.6025,7659.0254,7580.0347,8070.4487,7880.107,7643.7886,7804.4224,7776.011,7508.3853,7089.892,6914.4443,6786.768,6901.4014,6433.378,6056.413,6505.3105,6451.661,6189.589,6241.855,6209.9165,6408.3115,6455.4805,6557.067,6396.0024,6379.3486,6228.0957,6044.161,6384.725,5881.0723,6664.546,6598.5146,6733.2944,6444.266,6587.2734,6647.7764
6,mated_10d_sucrose,dm_R57C10xGC6s_181204d,yeast,10%,03,dm_R57C10xGC6s_181204d_03_yeast_10%_SEZ_volreg_transformed_gauss.nii,4625.452,5207.133,5200.169,5531.564,5325.407,5642.6807,5502.797,5255.277,5449.688,5548.6436,6357.0977,6210.262,6085.683,6348.3706,5857.9927,5939.7627,5512.044,5482.5005,5517.2427,5828.0664,5779.182,5688.702,5382.7783,5335.6953,5354.2837,5579.7764,5524.2344,5729.3154,5750.3975,5696.489,5592.8247,5662.0103,5629.665,5671.528,5191.3896,4990.031,4972.795,5439.143,4808.1895,5050.234,4585.3726,5047.5044,4792.7383,4439.924,4881.3364,4567.317,4839.7285,4874.3447,4599.926,4680.776,4513.3115,4245.455,4541.775,4650.8677,4825.0435,4715.4883,4961.937,4668.116,4756.306,4657.614
7,mated_10d_sucrose,dm_R57C10xGC6s_181204d,yeast,10%,03,dm_R57C10xGC6s_181204d_03_yeast_10%_SEZ_volreg_transformed_gauss.nii,4707.684,5280.861,5463.957,5838.4307,5746.1787,5526.374,5641.361,5163.316,5602.533,5482.3955,5750.786,5854.24,5829.3286,5556.993,5776.1987,5745.7905,5331.0747,5446.038,5329.564,5553.405,5297.3413,5793.7705,5704.1733,5641.171,5443.504,5671.4478,5219.5166,5352.794,5432.616,5444.464,5481.6733,5632.7085,5659.093,5541.8174,5163.617,5153.701,5089.582,5419.543,4836.991,4904.3345,4986.7666,5138.691,4839.308,4759.265,4922.57,5077.7983,5054.9917,5114.4517,4673.0083,5024.292,4714.849,5026.176,4697.1104,4825.7676,4641.808,4874.882,5100.9487,4604.361,4702.3896,5243.036
8,mated_10d_sucrose,dm_R57C10xGC6s_181204d,yeast,10%,03,dm_R57C10xGC6s_181204d_03_yeast_10%_SEZ_volreg_transformed_gauss.nii,6799.3584,7258.7246,7372.6187,7618.372,7661.6616,7457.666,7682.817,7888.2974,7740.661,7266.696,8063.0503,8060.2036,8157.8896,7824.566,7870.7627,7711.9873,7717.644,7205.964,7323.1733,7487.0615,7673.25,7778.257,7906.5845,7538.4585,7209.564,7609.033,7758.887,6866.1763,7717.9316,7562.6973,7595.6577,7807.693,7657.349,7625.8306,7612.2144,7310.5293,7034.867,7515.284,7072.244,7870.6743,7236.807,7328.9272,7167.598,7035.9614,6996.7593,7192.239,7240.863,7415.71,7223.1455,6914.4087,6922.84,7417.6885,7209.909,7305.5913,6527.872,6614.8213,6953.5684,7078.369,7142.56,7351.4014
9,mated_10d_sucrose,dm_R57C10xGC6s_181204d,yeast,10%,03,dm_R57C10xGC6s_181204d_03_yeast_10%_SEZ_volreg_transformed_gauss.nii,3339.5464,3489.4233,3706.2473,3747.8271,3648.5544,3698.0576,3805.7031,3778.9136,3710.04,3909.5642,4421.2593,4331.6484,4571.155,4680.2305,4520.229,4303.536,4192.6084,3985.748,3970.257,4402.6836,4154.209,4230.947,4122.796,3946.5383,3792.095,4041.485,3880.9338,3936.3894,4009.66,4009.71,3795.6985,3892.68,3985.9146,3839.8745,3616.3413,3622.7725,3555.5305,3642.2039,3341.542,3463.3618,3558.6882,3437.0667,3214.665,3255.649,3300.9805,3336.8296,3426.1313,3365.0588,3247.3333,3398.149,3193.2715,3163.809,3232.8691,3189.186,3454.9185,3484.6519,3496.4307,3440.1868,3309.303,3384.7622
10,mated_10d_sucrose,dm_R57C10xGC6s_181204d,yeast,10%,03,dm_R57C10xGC6s_181204d_03_yeast_10%_SEZ_volreg_transformed_gauss.nii,5994.449,6102.5537,6339.3057,6659.2915,6915.717,6402.544,6594.5464,4752.8374,5445.2266,6551.518,7388.745,7377.5996,7455.7886,7799.834,8263.207,6866.5396,5248.176,4449.5225,6142.829,6836.9893,7040.066,7620.5825,7730.3403,7732.951,7096.0757,6695.9146,5203.6,4384.0195,6125.1206,6790.8975,7038.102,7498.4478,6950.388,7554.5625,7561.9155,7424.3276,7112.936,7348.163,6659.854,5538.2407,5196.0044,6039.534,6507.1997,6749.857,5820.8755,6548.0337,7018.3965,6923.827,6790.519,6690.5825,6631.5083,6743.7544,6580.26,5233.2896,4062.1106,5135.5806,5843.7017,5722.292,6072.169,6662.4463
