region,state,fly,stimulus,concentration,stimulus_nr,recording,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1,mated_10d_sucrose,dm_R57C10xGC6s_181207a,nostim,NA,01,dm_R57C10xGC6s_181207a_01_nostim_SEZ_volreg_transformed_gauss.nii,8782.677,8713.231,8246.979,9003.415,8768.529,8427.318,8551.322,8340.82,8694.991,8065.2476,8652.592,8474.661,8327.541,8248.992,8301.0,8247.965,8384.433,8236.918,8233.24,8432.642,8577.339,8520.219,7126.978,7383.133,8343.562,8305.865,8357.58,8449.897,8196.551,8675.006,8480.071,8390.062,8746.405,8689.325,8792.4,8777.733,8687.872,8268.338,8534.76,8397.629,8541.383,8567.105,8682.356,8935.32,8698.765,8565.12,8363.214,8675.034,8596.259,8677.616,8705.505,8739.152,8771.586,8400.4,8460.479,8419.54,8451.703,8718.989,8531.041,8712.373
2,mated_10d_sucrose,dm_R57C10xGC6s_181207a,nostim,NA,01,dm_R57C10xGC6s_181207a_01_nostim_SEZ_volreg_transformed_gauss.nii,2728.9517,3019.7827,2806.7866,3075.4812,2880.2644,2842.0657,2869.5015,2835.6926,3098.9778,2983.585,3004.0366,3003.6165,2983.6187,3048.578,2916.2485,2990.77,3024.6885,3058.626,2998.1492,3029.3433,2993.6748,2951.228,2805.2434,2795.286,2948.1199,3075.0015,2983.7292,2916.3616,2924.4883,2923.3818,2937.011,2990.508,2891.752,2850.9773,2936.589,2947.3376,2912.8777,2989.2705,3065.496,3079.9028,2894.1147,2874.3005,2786.9258,2873.2205,2743.063,2895.4941,2980.2153,2903.8655,2903.3696,2848.102,2837.4695,2895.425,2930.7017,2930.1152,2978.9336,2934.7527,3019.4065,2854.6882,2889.8145,2996.8936
3,mated_10d_sucrose,dm_R57C10xGC6s_181207a,nostim,NA,01,dm_R57C10xGC6s_181207a_01_nostim_SEZ_volreg_transformed_gauss.nii,8897.506,8594.923,9022.894,8775.184,8275.348,7659.255,8352.409,7979.2344,7549.623,7863.7495,7663.447,7853.9673,7507.162,7650.1636,7883.894,8479.69,7446.9272,7756.015,8532.034,7482.9033,8006.3975,8362.762,7116.195,6455.099,7406.904,7960.8086,7396.7876,7874.643,7664.7666,8073.1016,7773.614,7159.0996,7221.5884,8185.4277,7801.736,7486.1904,7957.4653,7865.6294,8091.1416,7943.38,8083.013,7210.6235,8091.902,7577.0244,8140.6426,7621.4077,8539.115,8392.225,7457.6465,7741.1743,8767.52,7536.51,7274.193,7491.194,7740.2334,8192.215,7995.115,7114.9814,7488.0054,7347.4824
4,mated_10d_sucrose,dm_R57C10xGC6s_181207a,nostim,NA,01,dm_R57C10xGC6s_181207a_01_nostim_SEZ_volreg_transformed_gauss.nii,6931.5156,7496.038,7251.159,6995.3306,7035.9316,6536.731,6750.649,6549.228,6651.3735,6477.3633,6578.6284,6567.7783,6369.3364,6794.404,6594.1357,6568.879,7003.2134,6676.9297,6490.8804,6766.292,6855.308,7346.293,6421.8433,6170.4297,6939.7197,6947.2803,6685.8076,6817.2603,6709.9976,6731.116,6602.5264,6543.0938,6472.259,6639.392,6697.4785,6754.693,6765.106,6494.4585,6816.363,6481.8115,6622.415,6325.8213,6416.865,6618.4346,6839.2207,6809.947,6892.456,6957.83,6890.7285,6847.3174,7224.7573,6978.695,6676.4995,6677.823,6857.0186,6836.512,6715.7188,6662.7935,6506.0405,6692.9966
5,mated_10d_sucrose,dm_R57C10xGC6s_181207a,nostim,NA,01,dm_R57C10xGC6s_181207a_01_nostim_SEZ_volreg_transformed_gauss.nii,6633.278,6943.2446,6332.817,6907.6284,6395.962,6377.5405,6325.2935,6203.117,6725.363,6183.2046,6607.565,6538.9663,6412.011,6177.1914,6337.554,6230.4795,6569.043,6559.378,6420.056,6585.7344,6681.18,6645.884,5748.9624,5700.2134,6159.697,6536.106,6407.0083,6338.024,6305.0996,6512.3354,6412.609,6411.5654,6535.0005,6256.992,6590.345,6556.6924,6538.8916,6396.4575,6693.7056,6609.1455,6449.9414,6332.174,6472.5405,6604.272,6379.0947,6566.109,6566.0566,6605.2837,6602.1533,6483.6553,6822.682,6631.2983,6521.3677,6359.25,6597.199,6531.9897,6617.432,6542.7905,6457.8555,6694.269
6,mated_10d_sucrose,dm_R57C10xGC6s_181207a,nostim,NA,01,dm_R57C10xGC6s_181207a_01_nostim_SEZ_volreg_transformed_gauss.nii,5099.1177,5689.346,5318.1045,6166.372,5852.09,5786.7314,5633.7495,5921.836,6360.1274,5882.7485,6217.528,6020.549,6009.882,5785.8003,6113.1133,5840.447,6001.365,6305.9795,6019.2676,5973.2114,6022.867,6269.115,5227.611,5215.824,5907.692,6116.229,5839.1694,5649.185,5858.395,5751.265,5921.1943,5781.3394,5943.389,5970.0664,5971.162,6063.918,5850.734,5623.39,5931.259,5974.4927,5887.5874,5732.231,6046.7427,5881.3306,5722.994,5703.1045,5555.017,5697.8994,6000.206,5701.45,5802.5415,5875.7134,5818.007,5689.861,5656.1973,5584.794,6034.9395,5579.973,5612.703,6191.7676
7,mated_10d_sucrose,dm_R57C10xGC6s_181207a,nostim,NA,01,dm_R57C10xGC6s_181207a_01_nostim_SEZ_volreg_transformed_gauss.nii,5162.376,5725.9834,5558.3774,6059.479,5840.685,5587.7905,5820.711,5629.1616,5973.7705,5806.5938,5962.9087,5938.931,5873.9014,5680.6914,5793.4863,5729.5815,5922.3345,5842.17,5773.5103,5866.8086,5862.652,5984.4097,5362.9194,5206.2935,5765.906,5946.659,5886.501,5746.2715,5821.012,5822.7656,5713.6343,5773.6772,5765.9165,5794.387,6158.7305,6032.902,5973.2285,5699.4595,5982.0244,5854.9795,5889.0986,5692.3525,5846.197,5982.0615,5896.035,5912.9507,5811.4604,5809.159,5963.546,5799.087,5914.8677,5978.174,5971.1816,5736.144,5972.941,5844.075,5923.0444,5776.0815,5642.834,5948.527
8,mated_10d_sucrose,dm_R57C10xGC6s_181207a,nostim,NA,01,dm_R57C10xGC6s_181207a_01_nostim_SEZ_volreg_transformed_gauss.nii,8483.313,8818.69,8513.448,9007.747,8634.634,8619.094,8681.191,8573.636,8736.044,8483.7,8716.713,8487.755,8527.421,8666.649,8542.664,8668.339,8571.283,8699.405,8655.7705,8776.963,8559.938,8621.779,7792.8975,7802.1636,8382.941,8383.408,8351.109,8425.29,8318.677,8648.613,8494.329,8329.989,8497.754,8513.471,8480.805,8797.624,8854.643,8431.145,8395.354,8444.5,8570.722,8407.118,8502.128,8565.636,8684.365,8680.47,8691.043,8595.25,8580.045,8618.209,8474.834,8352.738,8820.008,8412.917,8446.489,8490.136,8360.918,8498.336,8358.988,8281.727
9,mated_10d_sucrose,dm_R57C10xGC6s_181207a,nostim,NA,01,dm_R57C10xGC6s_181207a_01_nostim_SEZ_volreg_transformed_gauss.nii,3758.7126,4157.183,3932.6187,4258.0986,4012.8743,4048.7124,4031.506,3972.7197,4385.112,4190.483,4349.21,4235.0,4104.6304,4065.6528,4156.9893,4175.1,4271.6763,4162.35,4096.285,4257.0234,4207.216,4268.418,3961.2905,3985.067,4046.225,4269.6104,4080.568,4034.9707,3944.5256,4037.3413,4006.7305,4106.5054,3978.6147,3876.2383,4020.7515,3974.5286,3948.54,4151.0796,4144.759,4082.8755,3933.7952,3745.7407,3768.8445,3888.56,3826.0952,3830.4617,3978.745,3843.5305,3847.0737,3750.6611,3974.304,3977.4175,3878.1658,3785.1848,3859.8596,3904.6003,3848.0637,3676.829,3754.528,3852.3184
10,mated_10d_sucrose,dm_R57C10xGC6s_181207a,nostim,NA,01,dm_R57C10xGC6s_181207a_01_nostim_SEZ_volreg_transformed_gauss.nii,3160.5698,3570.5295,3570.233,3595.068,3292.1724,3386.2256,3241.285,3200.155,3283.8418,3034.8965,3247.7312,3403.2292,3036.1604,3254.1384,3104.0352,3158.5244,3278.1863,3137.083,3078.1045,3173.0583,3271.827,3211.1392,2924.2112,2836.6292,3079.8774,3244.4946,3121.6226,3134.5823,3043.1372,3248.5317,3103.0156,3173.5835,3050.3193,3068.2102,3195.0645,3118.9722,3308.189,3379.7031,3431.4731,3289.1257,3287.4314,3069.4202,3093.189,3155.6636,3223.7612,3337.7537,3188.0002,3194.5244,3288.167,3091.2466,3260.049,3183.2097,3223.8555,3154.7449,3277.498,3247.278,3201.0798,3273.6558,3147.8162,3125.0876
