region,state,fly,stimulus,concentration,stimulus_nr,recording,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1,mated_10d_sucrose,dm_R57C10xGC6s_181210a,h2o,NA,03,dm_R57C10xGC6s_181210a_03_h2o_SEZ_volreg_transformed_gauss.nii,4109.2104,4691.6294,4639.202,4708.63,4473.7705,4436.2373,4408.068,4664.191,4559.397,4774.9414,4825.767,4628.363,4769.483,4628.2935,4799.661,4392.0347,4563.203,4535.7505,4637.9175,4673.4624,4381.706,4453.233,4757.5176,4716.0923,4603.631,4588.362,4656.783,4658.299,4589.0435,4625.594,4429.22,4560.7173,4130.4956,4384.1074,4679.943,4626.6475,4745.228,4424.7793,4716.312,4688.491,4590.158,4764.4346,4484.999,4440.707,4816.3438,4467.8613,4524.1567,4772.5166,4605.084,4505.613,4554.78,4709.431,4599.92,4585.761,4585.7627,4596.0396,4655.057,4730.6035,4874.568,4763.5044
2,mated_10d_sucrose,dm_R57C10xGC6s_181210a,h2o,NA,03,dm_R57C10xGC6s_181210a_03_h2o_SEZ_volreg_transformed_gauss.nii,2228.9702,2346.7363,2388.637,2398.7986,2428.5022,2469.061,2414.7861,2360.8577,2365.649,2434.4001,2474.701,2472.2534,2491.387,2484.8064,2418.5103,2481.791,2449.9485,2421.181,2404.0205,2432.5244,2434.9521,2328.4565,2387.1943,2476.2183,2483.6343,2323.3843,2338.6626,2313.9468,2392.5383,2377.5266,2378.0664,2305.4766,2347.063,2478.765,2499.618,2299.9268,2392.956,2297.5774,2349.53,2480.7366,2366.6133,2410.218,2366.0352,2330.7349,2351.444,2344.804,2348.9158,2406.9316,2381.424,2256.6646,2353.6558,2279.248,2292.215,2357.4062,2303.5964,2315.222,2321.7024,2484.368,2426.8452,2428.4338
3,mated_10d_sucrose,dm_R57C10xGC6s_181210a,h2o,NA,03,dm_R57C10xGC6s_181210a_03_h2o_SEZ_volreg_transformed_gauss.nii,4580.4067,5100.4272,5239.6143,4831.1665,5160.2607,5389.8853,5177.2188,5248.871,5210.7188,5172.636,5207.492,4954.6895,5150.6797,5290.3916,5373.026,5743.0845,5013.4355,4950.529,5279.6523,4948.021,4631.111,5040.9453,5297.7188,4955.805,5719.9873,4783.1953,5083.7104,4705.962,5128.7974,4478.3706,5192.4067,5064.91,4881.7866,4985.009,5231.2397,4718.262,4951.8877,5041.4136,5276.968,4792.01,4713.0,5200.3433,5152.9385,4634.437,4727.9644,4597.7017,4700.9097,5242.6685,5249.945,5089.939,5249.0835,5045.035,4978.6543,4645.8203,4519.838,4998.5522,4771.4478,4625.2007,5347.1953,5260.9385
4,mated_10d_sucrose,dm_R57C10xGC6s_181210a,h2o,NA,03,dm_R57C10xGC6s_181210a_03_h2o_SEZ_volreg_transformed_gauss.nii,4198.395,4404.1587,4469.441,4495.5,4652.141,4631.413,4645.4126,4334.0684,4509.8667,4619.3223,4547.0186,4671.8193,4788.579,4716.102,4535.0693,4589.036,4718.655,4687.717,4694.938,4626.8286,4691.6846,4922.8354,4814.134,4718.6665,4790.9424,4635.4365,4540.473,4556.7344,4421.434,4571.1826,4288.632,4496.165,4452.9067,4553.6724,4793.181,4406.3174,4670.346,4368.552,4477.3237,4581.7075,4467.762,4569.5757,4487.385,4395.7383,4763.48,4479.568,4655.9683,4626.3975,4628.026,4727.4927,4375.9517,4478.3975,4503.7666,4585.894,4405.571,4519.8438,4407.2476,4766.2314,4772.115,4811.1553
5,mated_10d_sucrose,dm_R57C10xGC6s_181210a,h2o,NA,03,dm_R57C10xGC6s_181210a_03_h2o_SEZ_volreg_transformed_gauss.nii,4467.7646,4820.8896,4855.2964,4885.1377,4960.627,4867.843,4960.7866,4711.0,4791.5015,4947.9736,5621.881,5552.214,5567.9155,5440.1484,5225.138,5055.449,5018.81,4819.782,4797.5176,4923.2144,5434.2407,5384.4365,5374.0234,5310.7188,5288.7495,5138.6094,4942.192,5031.257,4870.356,4894.05,4898.1475,4731.4116,4783.5356,4952.376,4963.417,4648.5366,4972.6953,4676.7954,4744.4707,4913.438,4742.348,4931.089,4755.882,4747.1353,4966.2104,4940.806,5007.9805,4964.4663,4766.6626,4959.3384,4811.148,4869.1875,4740.6245,4832.6904,4660.608,4730.7866,4665.518,4953.7896,5070.952,4981.83
6,mated_10d_sucrose,dm_R57C10xGC6s_181210a,h2o,NA,03,dm_R57C10xGC6s_181210a_03_h2o_SEZ_volreg_transformed_gauss.nii,3191.4475,3813.8801,3629.63,3877.0657,3970.3164,4072.7976,3830.7551,3574.1074,3645.2483,4063.0664,3822.0872,4068.6577,4143.8022,4062.2227,3620.8064,3858.0928,3833.3435,4134.7573,3782.8098,3679.1606,3924.7388,3913.452,3805.4485,3899.0696,4003.3943,3958.0955,3600.3918,3843.9592,3621.2124,3888.036,3753.4192,3528.662,3714.1707,3919.0652,3829.302,3475.6208,3706.2722,3755.0706,3618.6545,3788.2659,3687.8123,3980.7336,3825.7415,3650.0632,3661.284,3783.4177,3726.9705,3826.562,3652.739,3788.948,3842.5854,3732.8416,3703.5383,3624.5173,3678.611,3582.6125,3471.6123,3758.3757,3821.9678,3858.2725
7,mated_10d_sucrose,dm_R57C10xGC6s_181210a,h2o,NA,03,dm_R57C10xGC6s_181210a_03_h2o_SEZ_volreg_transformed_gauss.nii,2912.503,3287.0767,3247.3948,3267.9182,3397.362,3141.531,3283.0017,3175.5364,3217.4434,3278.2825,3255.867,3442.2979,3470.7102,3422.919,3277.8555,3385.0684,3315.6638,3285.8203,3297.5151,3231.3223,3309.6545,3265.8718,3381.6382,3353.9197,3357.8484,3174.107,3130.57,3273.1375,3331.0496,3275.525,3157.7864,3111.1316,3179.2124,3228.1396,3316.6626,3068.7866,3251.4321,3154.1572,3232.798,3245.1711,2969.3242,3300.5872,3086.041,3190.5452,3327.7632,3254.868,3378.5903,3284.3237,3136.5264,3155.2515,3168.9966,3142.721,3259.1853,3329.5342,3202.1372,3108.7852,3163.502,3406.7341,3349.668,3317.3674
8,mated_10d_sucrose,dm_R57C10xGC6s_181210a,h2o,NA,03,dm_R57C10xGC6s_181210a_03_h2o_SEZ_volreg_transformed_gauss.nii,3694.9,4181.4536,4164.546,4135.321,3915.4893,3995.1738,3921.8416,4033.529,3996.0703,4136.355,4046.3313,4212.69,4059.691,3916.6306,4203.6597,4014.3608,4006.168,4018.6113,4185.2812,4182.66,4019.3425,3951.9695,4159.3228,4158.0728,4170.2847,3949.176,4081.9788,4021.2756,4106.197,4197.4443,3850.2478,3898.105,3882.9468,3829.179,4007.8198,4239.239,4126.9497,3889.536,4027.2183,4113.609,4105.38,4117.3994,4025.6055,3942.734,4164.5786,3948.654,3870.7034,4174.95,4088.5024,3749.3855,4007.3713,4129.1646,4070.239,4103.14,4091.8708,4040.0542,4190.5996,4166.4736,4250.663,4117.28
9,mated_10d_sucrose,dm_R57C10xGC6s_181210a,h2o,NA,03,dm_R57C10xGC6s_181210a_03_h2o_SEZ_volreg_transformed_gauss.nii,2737.0317,2880.4016,2957.0044,3038.9253,3132.8386,3053.931,3065.0618,2878.703,2931.1262,3137.0999,3166.6758,3368.364,3258.613,3192.6528,2984.9204,3129.2356,3147.8418,3058.203,3044.8367,3070.9402,3207.4028,3066.1301,3059.9148,3158.4385,3142.8076,2973.0996,2904.5159,2964.1084,2983.7288,3053.9685,2996.0415,2926.867,2827.889,2995.6465,3049.6663,2819.0645,2994.737,2842.2334,2881.3408,3011.6243,2965.677,2976.914,2953.2083,2896.1228,3002.9006,2952.4634,3025.159,2969.8206,2960.2876,2975.0742,2948.5457,2852.006,2861.9053,2919.376,2846.9812,2842.9958,2744.3203,3064.829,3074.0742,3033.124
10,mated_10d_sucrose,dm_R57C10xGC6s_181210a,h2o,NA,03,dm_R57C10xGC6s_181210a_03_h2o_SEZ_volreg_transformed_gauss.nii,3299.0913,3257.2249,3282.088,3431.8618,3502.7593,3405.1033,3477.5474,3584.5195,3526.8157,3709.5452,3508.66,3825.7239,3724.3933,3688.2954,3510.9294,3501.0415,3606.6838,3428.7883,3331.1257,3430.2656,3610.2578,3683.312,3539.5588,3481.3318,3586.4639,3553.9856,3328.5352,3495.681,3294.1594,3337.6624,3301.688,3446.947,3403.0017,3466.801,3576.9832,3459.9888,3546.461,3219.0588,3392.1604,3599.7532,3384.779,3627.3462,3345.075,3320.3052,3575.1433,3617.7153,3535.539,3590.8862,3370.607,3509.8364,3315.7664,3426.2183,3340.0154,3421.001,3342.371,3263.3245,3250.7026,3520.5347,3542.5696,3442.744
