region,state,fly,stimulus,concentration,stimulus_nr,recording,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1,mated_10d_sucrose,dm_R57C10xGC6s_181210a,yeast,10%,04,dm_R57C10xGC6s_181210a_04_yeast_10%_SEZ_20181211100904_volreg_transformed_gauss.nii,4175.4663,4612.6885,4179.579,4364.658,4645.829,4561.2964,4307.693,4298.1597,4418.593,4587.176,4712.025,4720.9956,4695.723,4755.103,4751.1265,4756.0347,4327.6196,4666.2573,4661.8916,4356.8306,4620.9946,4727.102,4765.608,4786.8887,4578.851,4634.934,4416.682,4663.9517,4339.4785,4527.8066,4421.983,4463.6685,4109.2925,4600.21,4616.68,4541.7695,4644.8105,4575.6064,4328.023,4306.923,4685.0273,4704.023,4610.8203,4605.426,4591.3584,4634.028,4184.577,4381.9546,4248.242,4546.6045,4415.46,4461.093,4576.158,4511.454,4377.655,4594.866,4531.925,4415.3647,4648.369,4430.335
2,mated_10d_sucrose,dm_R57C10xGC6s_181210a,yeast,10%,04,dm_R57C10xGC6s_181210a_04_yeast_10%_SEZ_20181211100904_volreg_transformed_gauss.nii,2226.1355,2306.7734,2350.3738,2376.5667,2424.4993,2424.9028,2315.1401,2366.0454,2378.7856,2434.5151,2547.5574,2547.1887,2528.4268,2431.6077,2442.3708,2405.6165,2517.1587,2440.9194,2511.776,2438.8035,2392.6055,2382.828,2452.5784,2395.926,2456.8955,2371.988,2354.052,2371.287,2262.246,2419.4905,2398.5732,2328.8306,2365.2983,2447.3748,2438.145,2355.6335,2285.3179,2295.0166,2275.4775,2306.4453,2410.4868,2303.3171,2312.6448,2292.0208,2315.9033,2278.7021,2358.3857,2359.0264,2528.4463,2379.667,2418.229,2297.3198,2260.967,2347.8804,2370.867,2295.3386,2289.776,2279.0437,2350.1084,2328.5132
3,mated_10d_sucrose,dm_R57C10xGC6s_181210a,yeast,10%,04,dm_R57C10xGC6s_181210a_04_yeast_10%_SEZ_20181211100904_volreg_transformed_gauss.nii,4282.4775,4979.823,4788.2407,5120.6055,5078.147,5163.9683,5230.463,5307.5396,5509.2876,4970.1733,5223.057,5252.148,5051.313,5621.6616,4957.398,4964.672,5222.938,5343.436,5156.8657,5450.0815,5685.3467,5090.4897,5601.13,5496.804,5047.652,5411.103,5196.2124,5005.1294,4613.6367,5010.7324,5333.093,4909.362,4690.1387,5611.92,4735.0747,5075.204,5381.28,5166.487,4755.111,4935.368,5445.2544,5228.4,5010.4653,4982.1763,5105.895,5057.207,4590.918,4964.7354,5249.7153,4949.3877,5068.0005,5022.69,5434.607,5699.492,4530.7964,5112.316,5019.9478,5093.271,4904.6074,5353.053
4,mated_10d_sucrose,dm_R57C10xGC6s_181210a,yeast,10%,04,dm_R57C10xGC6s_181210a_04_yeast_10%_SEZ_20181211100904_volreg_transformed_gauss.nii,4423.68,4597.388,4656.2725,4740.9824,5093.4336,4805.1772,4814.849,4738.5225,4723.716,4724.2847,4795.0234,4875.2173,4961.3096,4659.629,4797.059,4604.9204,4714.1406,4755.5796,4757.752,4658.5825,4931.634,4784.732,4787.0825,4667.7773,4722.8433,4688.8555,4450.2935,4630.5894,4380.1377,4781.265,4864.953,4473.046,4603.2085,4906.0986,4971.1157,4786.5107,4781.0264,4456.5767,4216.4316,4534.254,5169.395,4790.8667,4734.1387,4505.225,4487.1064,4522.393,4516.434,4457.722,4565.2617,4856.562,5123.1997,4493.426,4497.148,4714.3613,4880.615,4758.1123,4600.905,4561.7534,4726.6943,4949.643
5,mated_10d_sucrose,dm_R57C10xGC6s_181210a,yeast,10%,04,dm_R57C10xGC6s_181210a_04_yeast_10%_SEZ_20181211100904_volreg_transformed_gauss.nii,4318.927,4671.0454,4702.1997,4886.3364,4966.6655,4889.031,4804.4644,4646.8228,4829.71,4855.377,5401.759,5871.147,5772.013,5537.403,5409.9297,5401.273,4944.9326,4980.9336,4961.885,4800.001,4848.3086,5089.0327,5345.358,5412.4937,5387.6636,5243.9136,4985.0103,5154.933,4917.0034,5117.1196,5102.5127,4882.3125,4980.123,4968.188,4872.2637,4812.0103,4809.3057,4612.908,4352.3105,4316.206,4787.908,4873.368,4646.624,4568.6255,4559.25,4562.727,4357.333,4474.2856,4287.1284,4685.4473,4688.148,4393.917,4518.8013,4634.263,4799.2197,4454.6426,4415.7637,4431.56,4592.211,4579.748
6,mated_10d_sucrose,dm_R57C10xGC6s_181210a,yeast,10%,04,dm_R57C10xGC6s_181210a_04_yeast_10%_SEZ_20181211100904_volreg_transformed_gauss.nii,3327.6804,3520.496,3699.2136,3747.699,3975.4236,3999.601,3833.5315,3440.1536,3631.4036,3835.8352,3981.784,4440.7007,4420.117,4081.124,4094.1282,3880.041,3644.685,3784.8462,4022.4915,3965.029,3935.616,3824.8945,4124.324,4052.1604,4020.0693,3899.9016,3427.6206,3714.49,3571.8945,3772.2659,3939.209,3536.5837,3657.578,3902.2632,3874.4014,3844.5735,3929.4167,3515.762,3267.361,3381.8396,3707.996,3755.925,3688.692,3541.0527,3454.2957,3456.301,3458.38,3525.2336,3639.987,3646.3198,3626.9277,3657.6445,3481.3357,3578.3794,3787.3572,3437.168,3505.634,3617.7742,3571.5996,3632.8904
7,mated_10d_sucrose,dm_R57C10xGC6s_181210a,yeast,10%,04,dm_R57C10xGC6s_181210a_04_yeast_10%_SEZ_20181211100904_volreg_transformed_gauss.nii,2912.4897,3118.6348,2984.6155,3209.6338,3253.5637,3244.7104,3180.0713,3003.6262,3075.238,3250.849,3243.9827,3408.625,3451.1921,3363.641,3306.9507,3364.8745,3129.7676,3268.2725,3297.599,3106.955,3328.7065,3255.6675,3306.6113,3377.6797,3293.812,3283.5212,3088.1416,3127.771,3074.4539,3250.8137,3353.4387,3113.967,3161.6938,3269.7512,3300.4626,3278.3977,3187.6133,3171.9392,3017.013,2961.884,3247.2751,3360.5247,3287.0908,3064.4465,3219.0193,3062.2537,2972.4126,3121.9949,3088.8284,3220.393,3265.072,3118.7083,3096.2458,3230.2727,3313.599,3091.3032,3104.4478,3089.0044,3187.5117,3071.8425
8,mated_10d_sucrose,dm_R57C10xGC6s_181210a,yeast,10%,04,dm_R57C10xGC6s_181210a_04_yeast_10%_SEZ_20181211100904_volreg_transformed_gauss.nii,3571.6277,4032.1868,3742.0378,3774.6765,4041.125,3912.9502,3682.047,3847.5063,3744.5032,3913.5342,4114.963,3954.5723,4042.0605,3979.8142,4022.9756,4158.7812,3637.4502,4049.3545,3967.2595,3811.3,3864.5132,4022.579,4089.4631,4181.1606,3974.7905,3937.0647,3920.3896,4097.1294,3965.4412,3973.8586,3940.7117,3945.485,3743.1235,3984.205,4143.963,3948.2385,3868.626,3868.56,3801.3765,3819.0361,4055.7715,4062.6702,3969.5066,3965.8796,3890.731,4023.4895,3808.928,3823.32,3847.0989,4098.4707,3920.1863,3895.787,4032.133,4016.548,3725.2104,4021.4377,3948.3137,3976.77,4059.6008,3764.5713
9,mated_10d_sucrose,dm_R57C10xGC6s_181210a,yeast,10%,04,dm_R57C10xGC6s_181210a_04_yeast_10%_SEZ_20181211100904_volreg_transformed_gauss.nii,2718.053,2799.7231,2837.7576,2992.7664,2977.9734,2994.563,2903.079,2855.8318,2913.4426,3013.3171,3285.4233,3429.205,3324.53,3227.5615,3174.7097,3151.5806,3159.2305,3107.6594,3112.1821,3050.655,2970.8474,3033.1514,3167.2498,3047.6304,3119.2805,3072.2312,2890.8953,2937.5955,2876.0432,3020.7144,3029.068,2847.3176,2978.958,3074.7688,3035.8015,2938.2664,2853.672,2788.9653,2738.8137,2739.7295,3001.7058,2956.434,2911.7986,2747.9324,2794.4336,2792.9026,2818.1008,2838.132,2985.2576,3007.8735,2954.2393,2791.2532,2778.4229,2851.7612,3039.3013,2846.0454,2804.142,2815.2412,2871.712,2889.6157
10,mated_10d_sucrose,dm_R57C10xGC6s_181210a,yeast,10%,04,dm_R57C10xGC6s_181210a_04_yeast_10%_SEZ_20181211100904_volreg_transformed_gauss.nii,3203.0977,3243.7502,3156.3477,3311.801,3513.0593,3442.0618,3199.0125,3277.5464,3278.4976,3481.1477,3531.2327,3532.335,3436.75,3417.121,3461.852,3432.1086,3605.406,3593.1882,3528.4358,3407.398,3401.1753,3504.6487,3470.7131,3455.819,3415.868,3359.5598,3297.0776,3359.4392,3221.9875,3408.9065,3369.784,3323.7756,3415.1226,3485.5427,3493.2124,3314.5432,3367.2651,3346.8325,3160.5374,3180.956,3471.412,3409.729,3355.7085,3266.4165,3184.176,3334.5374,3202.9905,3296.5696,3142.341,3399.1865,3173.8032,3171.8691,3154.802,3252.1396,3455.1826,3378.1472,3246.781,3177.5369,3395.2886,3455.6077
