region,state,fly,stimulus,concentration,stimulus_nr,recording,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1,mated_10d_sucrose,dm_R57C10xGC6s_181210a,sucrose,200mM,05,dm_R57C10xGC6s_181210a_05_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,4092.7837,4557.4683,4442.3286,4359.1914,4605.673,4698.366,4338.0396,4456.334,4398.822,4614.6963,4448.486,4534.4683,4803.6914,4574.9043,4509.9536,4712.567,4491.714,4332.9272,4455.728,4364.909,4544.7305,4600.141,4699.3643,4445.6816,4502.8643,4502.465,4570.345,4704.7354,4717.94,4465.411,4552.129,4383.4097,4453.426,4664.08,4394.449,4376.3057,4545.565,4638.9014,4495.29,4595.441,4496.1787,4524.9116,4544.084,4291.9595,4609.241,4494.695,4469.1235,4651.6514,4511.1636,4511.002,4373.7275,4556.332,4447.3545,4581.0547,4512.2456,4632.23,4531.5186,4616.4126,4284.773,4468.5728
2,mated_10d_sucrose,dm_R57C10xGC6s_181210a,sucrose,200mM,05,dm_R57C10xGC6s_181210a_05_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,2288.7393,2294.7412,2373.1997,2360.7468,2308.5544,2337.0947,2403.809,2506.1047,2408.8777,2493.8303,2432.35,2427.005,2416.3884,2435.2993,2453.3093,2408.0266,2402.2336,2437.2168,2458.9207,2348.7214,2321.9937,2316.618,2398.524,2407.158,2487.4768,2407.08,2359.8906,2329.1055,2310.1829,2294.5173,2372.8945,2318.9224,2308.7075,2388.2498,2430.2214,2351.7012,2343.2964,2369.5432,2355.9272,2331.9753,2402.2534,2296.4001,2314.0964,2358.374,2318.309,2234.012,2344.0908,2252.4604,2268.5051,2230.3171,2269.63,2307.175,2346.749,2262.1648,2234.745,2258.5002,2324.1887,2360.9968,2259.054,2371.6035
3,mated_10d_sucrose,dm_R57C10xGC6s_181210a,sucrose,200mM,05,dm_R57C10xGC6s_181210a_05_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,4775.547,4397.828,4482.2534,4945.7686,4696.8643,4385.4,4548.332,4512.762,4104.716,4827.5015,4368.4214,4824.1074,4968.0127,4419.507,4251.864,4818.2734,4315.8506,4398.04,4644.928,4473.3853,4875.174,4845.215,4970.7,4424.9253,4461.225,4511.4463,4505.457,4634.5254,4796.4985,4650.7266,4761.6865,4567.546,4457.172,4877.053,4075.9268,4446.633,4512.49,4638.4683,4451.397,4411.1533,4824.7876,3996.788,4976.8784,4506.0107,5018.462,4329.5522,4702.0396,4797.7734,5038.7095,4801.4307,4828.17,4978.5244,4875.43,4585.003,4716.5645,4994.329,4996.077,5373.488,4751.599,4465.417
4,mated_10d_sucrose,dm_R57C10xGC6s_181210a,sucrose,200mM,05,dm_R57C10xGC6s_181210a_05_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,4352.1055,4117.1055,4322.3447,4488.136,4533.6655,4709.188,4559.0806,4821.0225,4686.0776,4782.8965,4586.5547,4818.1743,4754.518,4474.7773,4678.4585,4711.264,4619.367,4958.4243,5354.713,4941.961,4658.5903,4895.016,4772.346,4748.515,4797.613,4900.331,5212.5044,4911.1055,4705.73,4692.0493,4605.472,4838.1313,4387.29,4951.1367,5022.948,4595.9326,4593.1255,4669.6978,4622.6855,4504.3193,4708.4966,4648.594,4498.3438,4483.9004,4720.916,4397.288,4512.7837,4369.2983,4360.455,4347.809,4381.1733,4541.5537,4562.163,4520.716,4512.5513,4483.503,4484.1846,4962.411,4243.9683,4670.785
5,mated_10d_sucrose,dm_R57C10xGC6s_181210a,sucrose,200mM,05,dm_R57C10xGC6s_181210a_05_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,4241.911,4391.9907,4606.699,4527.8237,4530.316,4688.2305,4528.8955,4604.8857,4627.878,4784.9473,4638.999,5234.527,5225.0117,4819.845,4866.9873,5023.0894,4766.678,4592.8066,4700.507,4374.1235,4616.846,4784.355,4741.986,4708.313,4758.6084,4906.6562,4813.2837,4605.391,4656.206,4418.412,4812.428,4935.241,4759.9136,4660.2573,4540.414,4540.5786,4709.1475,4794.1587,4688.929,4635.179,4596.786,4559.932,4455.31,4405.251,4710.254,4499.57,4519.0767,4709.3853,4374.203,4502.6245,4469.173,4627.998,4572.0156,4601.4014,4440.5283,4642.9614,4525.644,4713.1187,4419.2783,4766.368
6,mated_10d_sucrose,dm_R57C10xGC6s_181210a,sucrose,200mM,05,dm_R57C10xGC6s_181210a_05_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,3477.8938,3294.581,3681.0835,3535.9287,3704.7983,3675.9307,3712.2368,3658.7183,3676.4863,3663.31,3385.671,3883.0215,4008.24,3698.404,3603.586,3810.0305,3541.4697,3586.2288,3600.2148,3668.9438,3494.73,3668.498,3572.4878,3620.6367,3507.025,3674.415,3803.03,3482.9985,3332.0337,3407.2786,3691.723,3748.7166,3267.9956,3496.759,3646.5208,3621.3015,3742.7493,3745.718,3563.673,3743.7803,3460.7166,3335.6914,3195.617,3268.3728,3680.36,3298.795,3715.4565,3562.423,3341.886,3409.2961,3601.3525,3578.2073,3531.6548,3440.0732,3416.848,3838.9622,3447.54,3447.8354,3348.314,3690.4275
7,mated_10d_sucrose,dm_R57C10xGC6s_181210a,sucrose,200mM,05,dm_R57C10xGC6s_181210a_05_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,2869.796,2949.77,3115.0583,3080.8364,3167.7957,3195.1199,3047.3762,3061.675,3035.5696,3214.8672,3172.9573,3308.3489,3311.6746,3131.007,3332.1006,3294.1687,3208.995,3086.5608,3184.7795,3059.2832,3076.1636,3155.2048,3157.308,3237.1921,3190.4392,3203.4382,3237.8047,3081.1223,3092.9539,2939.5503,3102.887,3371.9263,2916.1484,3178.5576,3102.4636,3137.4355,3121.5098,3275.465,3027.3586,3179.9556,3130.8909,3132.1558,3042.3853,2985.8193,3202.9224,3023.3657,3113.9912,3244.4775,2936.2893,3099.7224,2999.255,3128.8274,3144.2166,3095.2737,3134.6184,3097.7742,3069.835,3221.11,2921.1633,3339.59
8,mated_10d_sucrose,dm_R57C10xGC6s_181210a,sucrose,200mM,05,dm_R57C10xGC6s_181210a_05_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,3666.7517,4194.4644,3891.756,3901.8972,4166.879,4265.782,3967.9426,3957.4734,3937.5842,4008.7444,3983.0457,3942.9055,4212.254,4096.7075,4179.3564,4238.68,4089.295,4147.6123,3891.8035,3943.445,4044.1062,4130.201,4218.8936,4168.942,3942.8638,4149.9873,4241.225,4182.584,4153.3447,3870.1958,4181.845,3950.4246,3914.047,4146.9326,4119.2783,3988.4915,4047.43,4177.241,3901.673,4142.56,4070.4526,4167.233,4096.872,3894.7097,4174.0005,4120.0234,4141.6284,4088.1462,4094.9988,4176.5454,4027.2346,4102.5444,4093.998,4144.7617,4128.442,4022.4148,4047.859,4107.1006,3927.9985,3995.3088
9,mated_10d_sucrose,dm_R57C10xGC6s_181210a,sucrose,200mM,05,dm_R57C10xGC6s_181210a_05_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,2747.5322,2746.0654,2908.4841,2797.1353,2857.1555,2920.0593,2911.0664,3066.2773,2992.4685,3057.6846,2925.3154,3164.8335,3115.4985,2916.0366,3162.069,3054.3179,2983.7737,2955.951,3037.1902,2844.232,2872.6702,2937.567,2992.9597,2986.6816,2982.3218,3023.2402,2907.8914,2809.57,2829.6187,2831.215,2903.9495,2992.8975,2888.6199,2873.9634,2882.7185,2903.8406,2895.6523,2917.2212,2914.1487,2884.196,2895.3706,2808.528,2734.7422,2813.603,2837.3135,2769.9346,2807.6758,2787.1023,2730.8867,2759.402,2810.8665,2889.1616,2828.6785,2787.6426,2729.227,2802.529,2796.1628,2881.142,2771.4912,2931.8926
10,mated_10d_sucrose,dm_R57C10xGC6s_181210a,sucrose,200mM,05,dm_R57C10xGC6s_181210a_05_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,3102.8474,3255.3694,3200.8188,3165.7043,3194.227,3374.2625,3107.8906,3249.5051,3323.875,3503.957,3373.7842,3556.7422,3450.7065,3348.194,3358.4656,3460.6863,3354.87,3255.5874,3501.9631,3442.651,3431.1326,3456.6846,3471.5032,3235.6575,3331.1316,3321.6582,3311.627,3355.06,3300.6497,3395.4893,3421.5635,3455.721,3382.0703,3461.2107,3302.4646,3284.522,3401.0376,3414.7048,3388.9387,3363.1648,3343.1853,3273.8757,3204.9011,3217.622,3339.343,3232.5115,3199.1655,3256.8318,3154.7693,3251.927,3236.962,3310.7253,3259.9934,3210.4739,3247.4473,3346.8452,3309.1345,3472.513,3280.3142,3356.1262
11,mated_10d_sucrose,dm_R57C10xGC6s_181210a,sucrose,200mM,05,dm_R57C10xGC6s_181210a_05_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,2618.8713,2600.6548,2587.737,2634.5706,2631.403,2649.4573,2640.58,2805.4495,2682.5325,2802.6406,2725.1638,2750.568,2819.9949,2713.7122,2885.9834,2737.4453,2814.275,2789.4028,2849.6768,2659.7437,2603.6067,2678.541,2776.56,2797.177,2769.0017,2733.2458,2739.4805,2677.293,2650.2234,2695.1724,2672.3962,2743.2937,2680.8298,2645.8647,2720.9272,2676.4053,2703.0056,2666.7654,2660.3325,2641.1055,2657.3928,2627.039,2584.6047,2655.1602,2649.473,2553.4773,2656.5723,2516.5356,2598.0693,2558.5408,2608.728,2650.11,2602.0078,2589.8943,2589.0754,2617.6697,2727.8267,2767.9128,2580.3757,2740.8062
12,mated_10d_sucrose,dm_R57C10xGC6s_181210a,sucrose,200mM,05,dm_R57C10xGC6s_181210a_05_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,3139.2795,3418.8147,3368.1587,3273.0,3441.429,3414.1929,3322.129,3175.3193,3304.1104,3438.5725,3252.5715,3365.5564,3482.2817,3331.903,3314.1611,3398.2769,3299.257,3218.823,3319.0386,3103.255,3297.558,3366.0686,3352.06,3230.7512,3240.2117,3311.568,3336.6694,3344.555,3373.1228,3250.771,3278.651,3288.805,3300.1333,3379.0789,3192.0215,3183.9065,3294.8025,3393.1594,3256.6443,3375.6284,3288.5022,3355.819,3259.2563,3077.7056,3304.9546,3230.731,3249.812,3264.6333,3288.698,3246.8303,3225.3948,3338.0322,3209.0989,3233.8203,3256.574,3297.33,3288.7783,3292.8909,3062.3145,3246.62
13,mated_10d_sucrose,dm_R57C10xGC6s_181210a,sucrose,200mM,05,dm_R57C10xGC6s_181210a_05_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,3920.7444,4019.0818,4105.19,4274.949,4539.5737,4511.339,4409.105,4569.341,4398.2886,4679.064,4398.605,4389.191,4553.488,4406.0317,4503.1953,4527.7505,4336.678,3811.317,3712.1323,3867.0352,4413.776,4259.81,4221.232,4113.698,4363.3535,4602.1963,4275.791,4226.099,4343.0625,4223.6855,4315.3696,4514.484,3773.3997,4062.667,3738.3777,3989.2136,4126.8745,4533.0967,4093.4277,4018.6638,4354.4004,4326.064,4171.6816,4027.4265,4056.286,3834.6587,4070.9463,4602.9067,4184.8613,4246.9663,3976.4453,4300.5376,4407.25,4063.4062,3960.7205,4503.4707,4130.8745,4374.6675,3999.5964,4316.787
14,mated_10d_sucrose,dm_R57C10xGC6s_181210a,sucrose,200mM,05,dm_R57C10xGC6s_181210a_05_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,4980.9385,4791.968,4941.811,4991.7197,4939.774,5072.034,5200.982,5341.3237,5153.1943,5414.3037,5274.5273,5446.8296,5656.957,5122.212,5423.8887,5465.063,5189.4717,5368.1523,5589.7856,5298.5166,5270.015,5681.41,5303.789,5418.609,5610.8286,5750.642,5852.9937,5527.4067,5318.3364,5194.637,5244.5376,5642.4062,5148.731,5666.989,5462.2275,5101.2495,5354.6094,5430.5728,5151.3613,5203.409,5260.9106,5375.0063,5093.1177,5103.5107,5265.248,5252.272,5349.4204,5299.113,4909.9785,5248.79,5191.2915,5353.7686,5120.7993,5362.486,5120.4287,5331.5425,5298.821,5404.1274,4991.7983,5327.648
