region,state,fly,stimulus,concentration,stimulus_nr,recording,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1,mated_10d_sucrose,dm_R57C10xGC6s_181210b,nostim,NA,01,dm_R57C10xGC6s_181210b_01_nostim_SEZ_volreg_transformed_gauss.nii,4149.787,4709.8027,4722.6353,4677.2026,4415.9814,4559.1274,4798.7217,4735.707,4614.871,4607.906,4584.287,4562.4907,4597.593,4420.094,4477.201,4546.4014,4615.2705,4835.4487,4689.6045,4574.3594,4506.776,4749.0684,4333.3164,4711.8813,4890.9155,4874.0576,4633.0127,4602.25,4579.561,4744.631,4553.0356,4615.2397,4338.7754,4627.8345,4840.544,4933.965,4940.007,4617.8643,4450.1475,4713.7896,4489.3486,4764.701,4504.645,4470.27,4738.902,4446.7236,4291.2905,4390.004,4386.4497,4452.329,4656.4424,4431.0854,4544.5176,4547.9976,4591.5767,4125.5845,4308.8535,4733.2153,4628.9517,4427.0337
2,mated_10d_sucrose,dm_R57C10xGC6s_181210b,nostim,NA,01,dm_R57C10xGC6s_181210b_01_nostim_SEZ_volreg_transformed_gauss.nii,2821.607,3004.1426,3054.362,3027.7986,2937.502,3100.761,3135.366,3068.3464,3051.696,2927.234,3054.097,3096.3079,3071.7993,3145.566,3095.3115,3111.4368,3128.8376,3149.9492,3247.8782,3158.5427,3188.9338,3145.2385,3334.617,3025.6626,3041.0789,3041.8296,3185.1516,3175.5151,3300.53,3191.7454,3267.4473,3176.3047,3154.7607,3156.395,3206.7534,3236.9026,3105.0295,3215.2336,3191.9387,3208.2156,3046.3223,3109.0945,3301.4573,3003.4346,3156.5828,3147.1575,3179.693,3137.4363,3155.045,3145.1736,3129.8408,3099.3384,3124.3555,3019.3044,3047.4785,3119.1143,2920.041,3029.5657,3259.2559,3176.6086
3,mated_10d_sucrose,dm_R57C10xGC6s_181210b,nostim,NA,01,dm_R57C10xGC6s_181210b_01_nostim_SEZ_volreg_transformed_gauss.nii,8134.9663,7762.137,7370.9395,8130.3623,6978.313,7024.2393,8084.631,7593.0503,7810.1855,7062.4395,7974.9507,7489.8516,7602.0063,7579.8228,8143.7075,7550.4087,7440.793,7457.887,8171.8335,8076.897,8299.24,8234.6045,6955.1753,8332.088,7970.797,7596.565,7825.7295,8591.031,8687.496,7971.8564,8024.9277,7451.3945,7080.6543,7493.952,7422.716,7474.6807,8444.177,7530.996,8364.493,7986.2114,8100.106,7970.6616,7398.033,7389.252,7585.9297,8051.8726,7843.6157,8631.063,7503.976,7740.12,7684.473,8123.6094,7522.6675,7916.4277,7819.54,7754.2744,7789.068,8070.835,7596.419,7333.045
4,mated_10d_sucrose,dm_R57C10xGC6s_181210b,nostim,NA,01,dm_R57C10xGC6s_181210b_01_nostim_SEZ_volreg_transformed_gauss.nii,5659.0396,6189.6724,6263.688,6329.9985,6183.022,6212.7217,6619.102,6443.204,6221.183,6167.45,6112.3423,6340.279,6441.552,6308.054,6255.7627,6289.7344,6377.7637,6401.437,6298.45,6580.654,6441.7397,6531.018,6119.077,5682.1035,6195.9385,6198.1196,6550.937,6801.5312,6847.7944,6583.559,6449.7036,6028.4873,6048.9873,6202.052,6491.575,6605.292,6343.408,6578.6084,6607.2183,6392.0015,6286.117,6262.1646,6033.66,5746.455,6301.9756,6612.558,6517.391,6308.227,6387.9604,6256.4336,6336.338,6261.6616,6020.7676,6127.538,6188.631,6007.2954,5820.5537,6194.786,6485.8125,6202.3965
5,mated_10d_sucrose,dm_R57C10xGC6s_181210b,nostim,NA,01,dm_R57C10xGC6s_181210b_01_nostim_SEZ_volreg_transformed_gauss.nii,5262.003,5894.005,5916.325,5907.839,5719.0938,5920.4653,5988.5693,6049.4536,5687.1826,5826.9917,5819.809,5867.952,5917.814,5892.3325,5715.004,5848.632,5986.512,6133.8184,6016.3213,5888.0815,5927.8994,5952.3535,5716.2256,5705.601,6000.2383,6104.5264,5876.204,6072.5615,6066.4863,5980.4297,6041.8467,5870.058,5658.5815,6092.4814,6298.8657,6259.5522,6114.1836,6116.223,6032.067,6181.1343,5967.334,5948.7256,5696.762,5599.531,5992.271,6071.3804,5818.034,5549.467,5966.4595,5899.784,5964.5977,5839.2407,5902.459,5907.0303,5711.307,5668.202,5829.667,6079.307,6055.5703,5802.449
6,mated_10d_sucrose,dm_R57C10xGC6s_181210b,nostim,NA,01,dm_R57C10xGC6s_181210b_01_nostim_SEZ_volreg_transformed_gauss.nii,5235.0376,6294.61,6263.7783,6404.1904,5771.992,6509.351,6363.98,6078.1045,6005.733,5714.319,5834.6978,5937.107,5755.386,6024.308,5880.5864,5975.21,6106.438,6139.266,6002.3765,5751.6245,5938.8013,6153.248,5621.3794,5810.8027,5838.967,6105.6206,5925.2505,6371.689,6059.9136,6229.0083,6243.9595,6011.555,5568.0767,5940.9355,6310.9688,6196.935,6119.5024,6093.8813,5812.397,6127.05,6349.488,6160.011,5567.9385,5542.619,6212.591,6088.219,6125.2827,5690.289,6324.094,6128.3916,6101.3335,5808.9126,6231.703,5677.1025,5987.435,5611.6724,5580.1157,5777.7026,6115.7593,5915.044
7,mated_10d_sucrose,dm_R57C10xGC6s_181210b,nostim,NA,01,dm_R57C10xGC6s_181210b_01_nostim_SEZ_volreg_transformed_gauss.nii,3943.8965,4515.646,4449.2896,4538.062,4234.785,4284.0977,4459.5864,4531.2554,4287.478,4183.4946,4270.064,4369.6655,4291.6094,4353.555,4387.5312,4377.093,4372.374,4528.017,4498.731,4499.2393,4434.7656,4524.7876,4281.4116,3984.8735,4144.722,4337.4165,4601.393,4398.7847,4356.4585,4484.826,4433.1133,4334.4087,3999.4822,4251.2964,4413.3555,4608.2886,4552.154,4472.9727,4463.537,4496.6597,4340.8506,4448.7754,4321.0903,4094.268,4379.1655,4554.6206,4356.715,4334.7085,4393.382,4338.8213,4389.6704,4283.169,4325.9434,4341.4316,4435.3047,3974.03,4184.3623,4346.473,4580.9487,4412.2803
8,mated_10d_sucrose,dm_R57C10xGC6s_181210b,nostim,NA,01,dm_R57C10xGC6s_181210b_01_nostim_SEZ_volreg_transformed_gauss.nii,4140.4937,4639.5464,4723.321,4512.3438,4503.94,4453.1973,4761.1313,4833.3555,4519.9707,4665.853,4716.4717,4535.7554,4674.2725,4537.828,4643.305,4630.2134,4669.757,4661.337,4696.693,4829.433,4772.534,4780.4033,4300.149,4615.0425,4650.1387,4690.495,4826.763,4862.836,4879.6216,4921.39,4670.339,4600.4478,4509.427,4794.453,4647.337,4796.922,4793.352,4727.293,4645.0615,4770.6133,4684.62,4747.4976,3861.7263,4577.7886,4718.7324,4566.2637,4595.416,4818.1104,4439.454,4588.2007,4691.034,4654.96,4710.8223,4796.9946,4398.1475,4601.587,4554.261,4709.692,4576.267,4704.3496
9,mated_10d_sucrose,dm_R57C10xGC6s_181210b,nostim,NA,01,dm_R57C10xGC6s_181210b_01_nostim_SEZ_volreg_transformed_gauss.nii,3302.4434,3673.2742,3710.3484,3819.464,3540.3486,4024.8337,4331.8916,4152.297,3915.5984,3836.3142,3830.3242,3898.109,3855.9094,3844.015,3855.7896,3820.0994,3867.303,3828.9004,3891.7312,3764.0261,3771.0422,4018.7798,3922.6711,3673.6646,3749.7615,3764.4001,3735.3464,3767.371,3772.4094,3763.5527,3978.227,3989.2468,3916.312,3996.4507,3902.494,3909.1802,3687.8047,3800.375,3730.2583,3804.0354,3600.755,3761.4172,3888.0684,3473.8093,3692.5796,3745.7002,3698.4912,3565.5405,3738.1228,3634.1008,3620.2986,3629.4019,3555.9575,3539.976,3547.9304,3703.1487,3499.5046,3580.1716,3702.1982,3577.52
10,mated_10d_sucrose,dm_R57C10xGC6s_181210b,nostim,NA,01,dm_R57C10xGC6s_181210b_01_nostim_SEZ_volreg_transformed_gauss.nii,3418.6287,3764.684,3584.5764,3571.2356,3474.655,3862.5637,4160.5054,4129.0093,3866.7532,3941.1152,3787.712,4011.4368,3948.3188,3989.236,4014.8477,4092.892,4179.0845,3837.4058,3880.1143,3743.9705,3819.5247,4027.4868,3649.4211,3849.9353,3599.7915,3913.1182,3527.2607,3812.178,3803.0166,3924.163,3995.2437,3833.8064,3845.9517,4050.7578,4205.255,4068.8936,3930.1902,3846.2026,3799.788,4058.8066,3906.8582,4094.7788,3429.0857,3655.9126,3878.3442,3720.7676,3612.1345,3509.264,3717.2356,3793.693,3835.1086,3820.9446,3920.1277,3807.1936,4041.7297,3721.8145,3587.0488,3923.474,3867.0867,3757.139
11,mated_10d_sucrose,dm_R57C10xGC6s_181210b,nostim,NA,01,dm_R57C10xGC6s_181210b_01_nostim_SEZ_volreg_transformed_gauss.nii,4529.867,5005.6294,5062.226,5133.923,4918.3423,5131.6606,5377.964,5323.042,5283.794,5147.801,5171.8584,5317.283,5247.774,5396.346,5195.9004,5244.748,5287.895,5425.3184,5304.161,5309.657,5211.3267,5404.8467,5425.582,5146.999,5207.62,5217.964,5410.903,5309.47,5340.1616,5227.9873,5319.867,5295.3276,5341.947,5456.059,5387.395,5595.2983,5227.394,5310.06,5294.2256,5261.766,5039.812,5193.2603,5449.248,4956.502,5204.3945,5212.8267,5209.9736,5132.7007,5378.3594,5189.2637,5107.6777,5049.865,5053.695,4958.3975,5042.964,5237.5137,4964.4624,5060.9404,5183.966,5099.1025
12,mated_10d_sucrose,dm_R57C10xGC6s_181210b,nostim,NA,01,dm_R57C10xGC6s_181210b_01_nostim_SEZ_volreg_transformed_gauss.nii,3496.9292,4084.7937,4001.875,3987.826,3770.0225,4040.1567,4141.4478,4129.373,3979.6384,4104.583,4001.835,4006.6157,3978.5745,3872.8867,3856.3887,3838.9158,3975.2007,4043.029,4032.633,3825.8367,3858.7107,4017.609,3780.1592,4112.328,4005.9014,4020.8564,3835.0356,3931.408,3848.8328,3950.555,4011.3599,3951.0857,3925.0212,4123.496,4098.6436,4108.1187,3984.3413,3811.608,3696.4885,3957.736,3802.223,3902.4595,3921.303,3902.3364,3974.9097,3778.7551,3688.8765,3755.403,3820.5322,3736.628,3828.9111,3762.3472,3850.8013,3945.4797,3735.4927,3664.5696,3670.6147,3894.497,3804.8237,3734.8923
13,mated_10d_sucrose,dm_R57C10xGC6s_181210b,nostim,NA,01,dm_R57C10xGC6s_181210b_01_nostim_SEZ_volreg_transformed_gauss.nii,3208.3416,3802.185,3729.8535,3829.2302,3594.064,3560.7568,3707.137,3909.2937,3634.8645,3540.099,3699.4646,3651.7356,3939.2488,3608.3218,3702.9507,3746.394,3789.756,3835.0464,4037.241,3650.6433,3414.7368,3995.6975,3575.4712,3422.369,3508.9165,3895.9749,3432.971,3362.083,3714.9653,3676.8467,3852.0527,3555.2812,3756.8623,3604.9875,4106.7573,4180.289,3828.3645,3371.5742,3272.0564,3737.8047,3724.0046,3748.138,3639.538,3714.8997,4081.5378,3481.5908,3231.9998,3302.468,3579.6082,3799.7844,3626.8403,3507.2632,4031.6433,3829.1912,3630.1497,3350.4766,3552.9958,3868.8127,3850.2588,3505.4653
14,mated_10d_sucrose,dm_R57C10xGC6s_181210b,nostim,NA,01,dm_R57C10xGC6s_181210b_01_nostim_SEZ_volreg_transformed_gauss.nii,6440.8057,6954.0273,6813.336,6671.999,6582.6016,6895.2144,7044.178,7144.537,6812.584,6491.681,6481.8765,6666.4976,6716.313,6736.0894,6840.115,6853.385,7006.706,7043.5107,7186.745,6926.3467,6994.306,6947.827,6458.0205,6294.101,6668.9346,7077.626,6945.4634,7041.227,6964.54,7036.329,7006.427,6811.4316,6568.807,6789.6,6917.9507,7230.2593,6935.8345,6952.2153,6807.0894,6876.5044,6851.506,6977.5625,6423.013,6244.8022,7008.4976,7159.6123,7032.0894,6350.796,6935.088,6760.8325,6851.6387,6833.2695,6825.4995,6880.7646,6424.5557,6318.7617,6653.3545,6993.624,7026.2905,6769.6235
15,mated_10d_sucrose,dm_R57C10xGC6s_181210b,nostim,NA,01,dm_R57C10xGC6s_181210b_01_nostim_SEZ_volreg_transformed_gauss.nii,2815.326,3222.203,2969.7395,3151.0964,2902.4841,2920.9082,3146.996,2949.3115,3139.3782,3126.8928,3208.4966,3201.038,2978.6938,3106.3909,3080.2817,3139.716,3084.6926,3320.6077,3366.7808,3179.523,3104.2617,3346.5986,3127.2405,3108.491,3129.911,3347.748,3055.3035,2980.1216,3223.3604,3249.133,3208.3257,3102.7139,3100.1047,3219.139,3187.0737,3468.0698,3193.5916,3059.773,3101.4844,3095.7495,3073.9587,3251.4456,2954.958,2998.8997,3322.6802,3265.315,2931.1724,3131.8164,3086.3113,3097.03,3036.0635,2952.648,3036.7488,3280.8765,3222.14,2796.1028,2866.6614,3184.3164,3324.5667,3216.5222
16,mated_10d_sucrose,dm_R57C10xGC6s_181210b,nostim,NA,01,dm_R57C10xGC6s_181210b_01_nostim_SEZ_volreg_transformed_gauss.nii,5999.8228,6256.353,6216.0303,6114.657,5935.511,5944.589,6331.829,6308.8945,6160.8936,6068.2153,6133.27,6128.836,6140.812,6112.439,6104.158,6116.233,6291.453,6367.615,6334.1772,6208.3047,6156.5195,6311.0303,5841.4595,5939.011,6229.261,6444.812,6204.204,6324.434,6281.2935,6416.9087,6232.767,6129.41,5849.3164,6361.9995,6525.1987,6468.7383,6473.6646,6226.0293,6156.9526,6423.8447,6384.4956,6349.031,5776.6377,5860.1626,6419.859,6180.977,6073.493,5966.9634,6122.6904,6173.7773,6302.75,6177.3584,6300.5645,6382.351,6010.7695,5626.215,5941.5522,6393.9146,6299.0654,6101.133
17,mated_10d_sucrose,dm_R57C10xGC6s_181210b,nostim,NA,01,dm_R57C10xGC6s_181210b_01_nostim_SEZ_volreg_transformed_gauss.nii,4265.8774,4403.987,4317.3706,4385.5073,4287.4307,4268.459,4532.968,4357.579,4232.8003,4201.4604,4186.4795,4356.4404,4263.7866,4432.24,4316.8066,4424.3555,4489.918,4471.753,4533.7783,4569.9106,4812.03,4466.6724,4394.618,3999.3582,4264.297,4455.2993,4637.0493,5038.9775,5421.122,4793.462,4509.2773,4359.1616,4372.9272,4417.721,4520.497,4591.8853,4426.208,4632.45,4738.416,4578.258,4498.3154,4483.2905,4394.5146,4029.5017,4402.8447,4835.4795,5196.6167,4740.16,4486.7173,4537.923,4483.666,4490.6245,4321.68,4423.2554,4335.3535,4317.542,4538.991,4398.8945,4564.5337,4396.366
18,mated_10d_sucrose,dm_R57C10xGC6s_181210b,nostim,NA,01,dm_R57C10xGC6s_181210b_01_nostim_SEZ_volreg_transformed_gauss.nii,4784.8735,5529.7383,5444.093,5542.5205,5272.263,5836.446,5974.742,5771.817,5590.473,5735.248,5590.4316,5570.531,5544.4766,5505.8003,5589.917,5591.5776,5622.039,5558.7544,5496.7275,5444.5327,5538.987,5534.663,5378.5537,5564.1753,5420.028,5489.462,5261.907,5527.739,5418.2334,5519.071,5714.208,5559.299,5497.8354,5714.8965,5687.1646,5657.5312,5568.9077,5363.722,5292.675,5561.829,5428.7124,5383.9844,5312.661,5189.829,5481.742,5149.6855,5129.4805,5123.9956,5373.62,5323.88,5373.8223,5467.514,5422.126,5400.4585,5278.387,5119.096,5161.1343,5437.4614,5359.4546,5183.686
19,mated_10d_sucrose,dm_R57C10xGC6s_181210b,nostim,NA,01,dm_R57C10xGC6s_181210b_01_nostim_SEZ_volreg_transformed_gauss.nii,6265.819,6667.883,6506.0835,6567.8994,6572.0474,6575.238,7166.7715,6846.127,6646.41,6723.8022,6683.008,6910.985,6782.448,6611.4385,6429.651,6787.118,6660.9565,6869.798,6735.5215,9178.608,9625.252,6856.085,6369.971,6268.6953,6509.837,6639.2446,8549.498,10683.87,11367.796,7581.465,7102.076,6289.412,6651.4478,6777.357,7100.5894,7064.4004,6892.902,9188.796,9475.999,7378.013,7090.3096,6846.2197,6459.1045,6453.3613,6754.9023,8900.51,10498.583,9665.029,7188.2534,6586.941,6711.95,6772.344,6831.5894,6705.422,6502.2383,6387.101,6635.128,6937.754,6783.338,6436.0547
20,mated_10d_sucrose,dm_R57C10xGC6s_181210b,nostim,NA,01,dm_R57C10xGC6s_181210b_01_nostim_SEZ_volreg_transformed_gauss.nii,2944.7737,3250.8428,3281.102,3338.6575,3160.4385,3308.6443,3350.1882,3398.0374,3192.8906,3243.4143,3213.241,3363.3982,3275.2651,3232.153,3170.6472,3134.0847,3188.2163,3252.9023,3375.89,3229.0696,3325.621,3320.2556,3240.203,3116.6338,3222.3262,3288.99,3268.5178,3241.6155,3312.858,3287.6235,3406.854,3252.1545,3255.066,3338.5103,3352.9626,3380.324,3149.818,3333.6301,3199.3694,3301.3555,3110.6265,3142.6382,3336.1006,3000.826,3229.4666,3328.4363,3202.4873,2982.3938,3181.8997,3171.241,3167.3303,3106.1345,3079.2795,3150.767,3006.2717,3254.5476,3088.6018,3161.1443,3220.9504,3137.1128
21,mated_10d_sucrose,dm_R57C10xGC6s_181210b,nostim,NA,01,dm_R57C10xGC6s_181210b_01_nostim_SEZ_volreg_transformed_gauss.nii,3341.6785,3844.137,3776.1467,3890.5962,3723.7808,4727.2144,5233.343,4760.9326,4705.117,4695.652,4173.523,4172.985,4059.3762,4136.3965,4299.681,4209.858,4359.213,3956.7156,3800.7744,3727.0916,3751.278,4247.2134,3902.1519,4147.3296,3874.207,3711.7615,3622.9382,3722.2761,3654.9495,3769.466,4227.9316,4267.251,4210.82,4449.9375,3910.0896,3836.737,3758.2341,3555.5073,3537.5781,3777.4673,3700.0886,3800.1414,3540.5127,3588.014,3664.2014,3315.1191,3346.2583,3587.5974,3590.9124,3460.34,3595.2646,3709.2302,3716.2263,3663.1367,3655.5042,3576.732,3483.5486,3687.8108,3485.599,3498.8872
22,mated_10d_sucrose,dm_R57C10xGC6s_181210b,nostim,NA,01,dm_R57C10xGC6s_181210b_01_nostim_SEZ_volreg_transformed_gauss.nii,2533.7573,2635.8684,2467.6887,2468.0093,2412.405,2739.9668,2856.8196,2796.3145,2708.109,2687.6477,2691.3484,2770.4917,2784.9207,2732.125,2752.7593,2854.811,2835.107,2794.1348,2689.6973,2710.036,2759.2937,2769.1758,2768.374,2728.1223,2683.19,2710.5337,2563.545,2718.0825,2713.6326,2798.2542,2798.4636,2815.4617,2810.7607,2829.8362,2838.42,2809.321,2737.568,2720.8335,2707.1448,2795.009,2681.8052,2773.7297,2572.9082,2610.4873,2677.1274,2635.58,2615.4016,2594.7563,2670.2827,2716.262,2685.7666,2697.3118,2690.6953,2696.2336,2718.4683,2571.928,2551.8904,2726.5762,2742.426,2642.7805
23,mated_10d_sucrose,dm_R57C10xGC6s_181210b,nostim,NA,01,dm_R57C10xGC6s_181210b_01_nostim_SEZ_volreg_transformed_gauss.nii,3594.1567,3962.9238,4005.4155,3929.0078,3784.9636,3886.4766,3992.0842,4300.34,3887.233,3701.9036,3815.0505,3988.8474,3848.965,3818.4045,3896.8552,3966.0754,3870.4546,4059.2686,4052.6304,3998.1287,3973.8699,4055.7153,3993.6533,4080.4604,4045.025,3916.93,4050.191,4068.007,4073.5657,4023.1663,4075.244,3970.066,3852.8723,3953.9502,3858.4521,3970.9246,3930.37,4047.3862,4078.6443,4031.9116,3760.817,3974.967,3898.8054,3808.885,4095.8853,4029.7341,4082.4714,4426.7627,3974.9224,3879.7222,4009.3054,3888.3147,3863.2537,3889.9697,3833.124,3660.362,3699.138,3942.0896,3968.206,3963.6252
24,mated_10d_sucrose,dm_R57C10xGC6s_181210b,nostim,NA,01,dm_R57C10xGC6s_181210b_01_nostim_SEZ_volreg_transformed_gauss.nii,9355.843,8930.154,9060.5205,9043.403,8727.048,8870.698,8873.604,8851.973,8765.022,8672.275,8790.685,8794.155,8795.152,8608.66,8715.236,8650.24,8879.184,8784.744,8810.752,8691.536,8653.44,8582.716,8058.7573,8289.256,9091.152,9084.591,8993.338,8989.972,9180.041,9003.816,8746.649,8779.711,8321.011,8830.234,8961.134,8747.244,9132.83,8671.468,8898.951,9264.192,9022.54,9054.114,8183.351,9237.996,8805.507,8904.045,8848.696,8703.03,9113.813,8603.307,9049.838,8858.1045,8659.47,8794.493,8327.188,8014.956,8318.515,8673.578,8604.588,8697.957
