region,state,fly,stimulus,concentration,stimulus_nr,recording,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1,mated_10d_sucrose,dm_R57C10xGC6s_181210b,h2o,NA,02,dm_R57C10xGC6s_181210b_02_h2o_SEZ_volreg_transformed_gauss.nii,4105.187,4765.735,4448.407,4460.372,4229.05,4400.5786,4201.5894,4447.885,4377.7153,4313.302,4539.0894,4406.6504,4512.663,4562.922,4729.9927,4273.8184,4453.372,4430.484,4505.7373,4450.0283,4578.8003,4303.2295,4327.7188,4615.15,4677.041,4688.814,4602.899,4272.131,4206.3726,4431.709,4677.543,4470.86,4537.2856,4216.885,4410.4653,4851.461,4580.9585,4455.733,4508.213,4686.7446,4903.9614,4749.0527,4854.2017,4643.4404,4743.899,4561.2046,4814.868,4612.7983,4634.937,4672.663,4590.775,4376.6343,4547.1475,4506.137,4236.8496,4433.8296,4289.5933,4497.54,4352.463,4456.2466
2,mated_10d_sucrose,dm_R57C10xGC6s_181210b,h2o,NA,02,dm_R57C10xGC6s_181210b_02_h2o_SEZ_volreg_transformed_gauss.nii,2851.4573,3073.6406,3194.5945,3196.7756,2964.7651,2917.1033,2998.715,3044.2502,3088.0808,3083.9373,3162.1445,3122.7769,3280.0164,3190.392,3324.4697,3139.0615,3037.2278,3159.404,3189.183,3275.324,3224.5605,3092.7966,3006.303,3193.274,3363.8855,3108.3926,3167.1035,3108.4456,3151.975,3024.9263,3129.628,3060.3157,3246.242,3074.6567,3014.0354,3162.6155,3123.6934,2956.7502,3055.7434,3070.6206,3191.8186,3230.7202,3138.737,2997.1592,3027.4128,2885.2388,3017.101,3224.1545,3133.3452,3094.0493,2840.237,3094.9907,3146.5693,3086.9082,2998.4785,2772.1472,3016.9426,3096.9072,2877.4954,2918.5415
3,mated_10d_sucrose,dm_R57C10xGC6s_181210b,h2o,NA,02,dm_R57C10xGC6s_181210b_02_h2o_SEZ_volreg_transformed_gauss.nii,8576.277,8367.924,6777.6445,6521.5444,7734.318,7613.7563,8426.07,8389.208,7327.55,7080.2812,7950.6626,7986.5034,8100.614,7393.962,8165.591,7668.784,8214.646,7269.2197,8089.346,8443.837,8094.3813,8407.843,8077.4272,9001.61,8269.275,7598.7476,8480.548,7685.011,7978.4937,7526.786,7569.418,7998.7437,7890.0884,7461.5063,7882.1294,7921.3237,7724.758,7760.6133,7595.546,6767.0537,7150.548,7930.396,7576.5454,7333.495,8329.261,7668.4644,8278.113,8269.297,7978.163,8110.486,8120.183,8175.9824,7934.693,7638.5376,6988.202,8415.395,8087.4297,8013.7695,7373.22,7657.5293
4,mated_10d_sucrose,dm_R57C10xGC6s_181210b,h2o,NA,02,dm_R57C10xGC6s_181210b_02_h2o_SEZ_volreg_transformed_gauss.nii,5893.94,6382.811,6040.0195,6063.919,6090.149,5908.355,6085.0107,6310.5254,6063.566,6170.0693,6845.0845,6720.316,6744.7456,6451.8823,6898.573,6614.8623,6338.3945,6275.29,6162.1177,6244.1104,7087.168,6595.577,5898.11,6043.89,6359.4263,6461.278,6409.382,6489.704,6500.6123,6143.4385,6366.5635,6391.5273,6444.6978,6476.3896,6258.1924,6182.407,6377.9097,6078.4053,5714.0244,5492.655,6550.9473,6373.212,6394.741,6320.8965,6378.8154,6173.339,6138.574,6443.228,6323.844,6259.1074,6193.9263,6123.713,6204.9785,6307.866,5922.9614,5739.628,6111.447,6417.4487,5895.2744,6015.955
5,mated_10d_sucrose,dm_R57C10xGC6s_181210b,h2o,NA,02,dm_R57C10xGC6s_181210b_02_h2o_SEZ_volreg_transformed_gauss.nii,5546.8916,6071.2847,5808.1133,5802.594,5690.9,5451.2305,5487.972,5845.756,5756.9497,5775.077,6655.5767,6325.6826,6322.0737,6376.5405,6566.2856,5987.82,5795.4473,5801.8735,5528.505,5855.026,6640.578,6318.5176,5650.6196,5974.108,6237.669,6166.0176,6156.5884,6238.2554,6139.451,5924.8027,6174.0083,6120.811,5835.3027,6059.7046,6063.7285,5864.7676,6196.7397,6056.2964,5777.1807,5578.2627,6498.2256,6072.3145,6187.8145,6044.1426,6059.3867,5903.311,6008.733,6009.1274,5991.92,6024.5923,6062.773,6002.116,6258.7534,5821.978,5714.962,5769.0293,5740.0234,6132.28,5686.458,6005.5566
6,mated_10d_sucrose,dm_R57C10xGC6s_181210b,h2o,NA,02,dm_R57C10xGC6s_181210b_02_h2o_SEZ_volreg_transformed_gauss.nii,5209.5664,6118.7544,5820.2085,5967.204,5509.8833,5363.974,4946.5615,5891.7246,5747.8413,5766.869,6169.623,6246.637,5920.517,5923.343,6208.5024,5750.525,5635.5845,5724.808,5742.4956,5716.3027,6221.772,6103.6216,5380.7866,5660.7285,5632.045,5667.0493,5942.6885,6229.7827,5765.478,5482.317,5793.2495,5836.7915,6101.655,6042.029,6000.958,5570.5293,5841.039,5459.126,5121.3647,5151.4434,6128.6426,5787.4907,5885.0547,6073.685,5864.738,5560.209,5573.117,5900.769,5962.7173,5616.997,5484.842,5518.23,5815.579,5571.601,5429.562,5511.4526,5482.635,5770.7827,5349.2485,5366.9014
7,mated_10d_sucrose,dm_R57C10xGC6s_181210b,h2o,NA,02,dm_R57C10xGC6s_181210b_02_h2o_SEZ_volreg_transformed_gauss.nii,3963.3618,4398.053,4223.326,4435.9907,4252.3423,4260.3154,4011.4458,4217.973,4016.1855,4299.3525,4424.0464,4505.317,4368.07,4232.898,4606.158,4378.9863,4262.05,4183.4404,4435.017,4222.7065,4578.4727,4327.1514,3890.9614,4118.3584,4376.4385,4191.983,4483.959,4384.8994,4363.4243,4121.1953,4421.3325,4433.0186,4531.797,4492.343,4308.0737,4280.325,4519.5806,4390.4243,4241.457,4070.8242,4203.4653,4278.3794,4362.3906,4414.984,4425.817,4173.1997,4198.566,4302.7725,4242.6343,4443.339,4109.4585,4118.7935,4414.966,4351.7104,4241.1465,3843.6602,4106.3315,4392.6675,3969.3955,4139.378
8,mated_10d_sucrose,dm_R57C10xGC6s_181210b,h2o,NA,02,dm_R57C10xGC6s_181210b_02_h2o_SEZ_volreg_transformed_gauss.nii,4260.0117,4621.1035,4480.3647,4460.8647,4320.4277,4705.443,4626.3716,4416.6216,4350.512,4537.41,4811.6226,4678.1304,4477.8125,4896.4414,4866.3936,4637.444,4713.053,4348.9644,4378.924,4547.453,4790.7827,4530.1543,4561.509,4647.18,4604.044,4362.3647,4244.2334,4261.54,4272.9,4102.225,4260.768,4223.9033,4239.1626,4199.162,3872.7844,4304.856,4291.1646,4316.9087,4132.363,4461.4243,3981.1016,4151.4653,4297.6143,4380.518,4468.729,4377.1743,4292.095,4229.8823,4315.8115,4313.0483,4301.7524,4415.073,4273.7227,4360.4253,4024.4062,4462.5317,4140.8716,4310.3594,4403.2417,4406.642
9,mated_10d_sucrose,dm_R57C10xGC6s_181210b,h2o,NA,02,dm_R57C10xGC6s_181210b_02_h2o_SEZ_volreg_transformed_gauss.nii,3381.3801,3705.4736,3691.6528,3653.6123,3450.9138,3291.5195,3384.2173,3576.336,3548.7385,3620.742,3852.73,3908.7507,4223.9756,4085.403,4061.2522,3692.51,3519.7205,3876.4016,3862.164,3757.5005,3954.4583,3778.2646,3490.7148,3781.686,3824.542,3674.4436,3809.9158,3827.78,3676.9326,3587.8457,3928.712,3839.8818,3860.8696,3782.595,3703.2893,3576.6038,3790.71,3517.1692,3527.26,3478.406,3762.988,3822.786,3744.0393,3699.8223,3678.0854,3525.9185,3683.8564,3747.522,3667.4885,3710.495,3571.6724,3646.1753,3879.0723,3680.2368,3614.1443,3506.882,3587.885,3752.6855,3460.1262,3649.8633
10,mated_10d_sucrose,dm_R57C10xGC6s_181210b,h2o,NA,02,dm_R57C10xGC6s_181210b_02_h2o_SEZ_volreg_transformed_gauss.nii,3345.3506,3655.5637,3467.0518,3632.4692,3317.1067,3369.8315,3604.579,3810.6418,3784.5444,3812.2104,3908.7075,3816.2534,3856.5532,3646.2944,3840.0986,3531.8408,3653.618,3509.7363,3848.262,3587.3608,3770.1074,3477.0525,3639.8638,3816.5571,3762.1738,3625.237,3738.954,3685.4055,3645.9534,3862.2078,3748.9531,3602.5261,3668.6108,3671.7656,3822.0818,3628.1453,3765.09,3497.6467,3559.2651,3514.1855,3753.5276,3864.5234,3752.2805,3548.088,3750.745,3651.3284,3786.7021,3644.8828,3621.4326,3825.9028,3587.5618,3683.2544,3749.9983,3559.6707,3402.929,3472.239,3620.865,3718.3135,3600.275,3556.5461
11,mated_10d_sucrose,dm_R57C10xGC6s_181210b,h2o,NA,02,dm_R57C10xGC6s_181210b_02_h2o_SEZ_volreg_transformed_gauss.nii,4498.028,5017.8657,5009.3223,4970.215,4650.3286,4531.058,4771.329,4924.396,4895.021,4912.574,4977.5864,5036.947,5320.962,5249.216,5300.446,5116.7344,5031.623,5105.1436,5211.9707,5167.9624,5180.009,5125.516,4886.253,4973.9097,5266.9688,5252.511,5286.333,5246.827,5094.6323,5058.46,5109.3154,5078.3,5236.43,5135.638,4992.1865,5103.7046,5233.7563,4921.488,4697.643,4861.9565,5050.7183,5280.9326,5285.1294,4962.0146,5006.08,4919.693,4982.594,5068.486,5074.7095,4885.392,4687.6816,4874.85,5031.51,5011.552,4807.3545,4496.945,4733.7217,4882.426,4700.4443,4596.555
