region,state,fly,stimulus,concentration,stimulus_nr,recording,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1,mated_10d_sucrose,dm_R57C10xGC6s_181210b,sucrose,200mM,04,dm_R57C10xGC6s_181210b_04_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,4046.6504,4513.5156,4319.825,4469.591,4570.3076,4154.31,4353.942,4591.5137,4491.541,4597.027,4532.1206,4815.28,4695.6777,4361.9243,4632.2896,4575.852,4647.1123,4561.772,4725.797,4620.8843,4325.4272,4475.912,4508.2554,4518.765,4529.791,4394.162,4622.5645,4448.0635,4561.2695,4763.5854,4761.543,4110.5854,4392.208,4594.9326,4449.4727,4435.134,4242.342,4171.036,4612.035,4641.096,4511.6016,4255.4795,4647.451,4451.8296,4520.479,4341.842,4286.0264,4562.776,4568.6353,4207.1807,4325.1216,4585.6743,4528.4946,4638.885,4544.519,4519.217,4545.358,4456.6426,4470.9126,4618.29
2,mated_10d_sucrose,dm_R57C10xGC6s_181210b,sucrose,200mM,04,dm_R57C10xGC6s_181210b_04_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,2922.116,3161.1414,3198.9482,3012.2627,3102.5986,3037.355,3025.8354,2930.999,2983.5486,3111.8403,3312.536,3291.6155,3335.457,3086.6658,3285.9546,3087.1877,3262.1692,2954.305,2859.201,3114.2712,3051.9126,3057.3357,3173.4192,3004.637,3015.6963,3061.9639,3207.8433,2898.8025,2856.8657,2905.9026,3246.7913,2890.9294,3065.612,3102.199,3133.8284,3186.669,3164.0342,3289.7268,3143.1946,3088.118,3200.7456,3054.2493,3162.5579,3164.5315,3031.1333,3051.6348,3121.2021,3023.2048,3195.012,3123.9087,3057.4585,3000.1973,3116.847,3047.9463,3097.2402,3168.929,3192.8943,3166.5264,3094.1636,3133.4575
3,mated_10d_sucrose,dm_R57C10xGC6s_181210b,sucrose,200mM,04,dm_R57C10xGC6s_181210b_04_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,7411.0796,7977.702,6907.218,8254.918,7215.6978,7908.0947,8541.633,8847.817,9058.959,9098.74,7649.826,7834.1963,8620.2295,7347.888,8480.037,7872.887,9916.718,8650.655,9504.904,8602.532,8290.831,6938.588,8385.601,8309.529,6878.5024,7785.9966,7564.15,7755.4785,8216.8545,9081.298,8993.248,7180.9546,7779.372,7153.1323,7654.805,7681.2573,7673.889,7373.0234,7584.6597,7911.729,7250.3496,7694.379,7644.3657,7755.141,7360.637,7637.0312,8263.287,7654.6865,7969.237,7829.1655,7922.761,6881.358,8108.4404,7191.999,7199.0815,7295.216,8228.657,7915.749,8108.5923,7043.8237
4,mated_10d_sucrose,dm_R57C10xGC6s_181210b,sucrose,200mM,04,dm_R57C10xGC6s_181210b_04_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,5445.2744,6142.099,5933.92,5858.2593,6261.564,5954.3877,6111.3237,6090.4473,6337.156,6556.4395,6497.2954,6999.305,6785.6006,6513.2725,6741.492,6668.776,6680.8,6945.982,6678.48,6558.7915,6345.791,6503.193,6625.2256,6538.613,6118.194,5827.3296,5897.7876,6218.588,5905.2095,6328.281,6631.3203,5996.8945,6517.583,6433.352,6318.005,6442.2354,5930.142,5962.4297,6196.0146,6234.9946,6525.5312,6490.724,6275.09,6159.7,5669.1577,5915.112,6177.3926,6194.2466,6147.2134,6072.3613,6002.383,5430.053,6264.3506,6137.8096,6353.5586,6354.571,6183.2515,6246.226,6041.5405,6143.647
5,mated_10d_sucrose,dm_R57C10xGC6s_181210b,sucrose,200mM,04,dm_R57C10xGC6s_181210b_04_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,5320.3936,5855.776,5727.7227,5751.709,5887.127,5337.4585,5420.867,5610.0376,5840.187,5824.3447,6259.16,6813.8115,6620.426,6282.031,6472.2915,6479.0073,6241.2026,6225.372,6211.7676,5656.9517,6079.8184,6427.3105,6219.0527,6261.2163,5760.154,5549.5576,5706.3633,6033.7397,5844.828,6002.4834,6012.704,5894.5283,6147.92,6098.002,5823.4883,5875.3145,5949.7935,5811.26,5982.5156,5932.8164,6088.1934,6071.8755,5880.524,5774.168,5896.0146,5733.864,5846.213,6022.849,5877.2515,5585.7593,5566.3774,5481.8096,5903.3105,6029.965,6087.333,5997.278,5959.1777,5841.653,5904.3784,5849.079
6,mated_10d_sucrose,dm_R57C10xGC6s_181210b,sucrose,200mM,04,dm_R57C10xGC6s_181210b_04_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,5472.318,5925.344,6024.642,6014.1035,6001.991,5536.974,5516.0396,5748.8423,5883.1333,5960.9165,6554.3394,6598.0522,6340.871,6264.9995,5919.2197,6064.0117,5654.871,5971.3687,6002.268,5782.8286,6358.001,6532.4795,5987.815,5998.885,5770.5205,5630.8955,5691.579,5680.3213,5532.252,5752.854,5825.7285,5249.1943,6150.6953,6050.65,5847.767,6154.8735,5792.776,5922.881,6180.8267,6029.587,6086.974,5951.615,6203.415,6021.8535,5681.671,5698.6763,5752.85,6015.8887,5727.3955,5817.5654,5574.173,5090.3584,5973.973,5880.668,5731.7847,6138.1045,5813.3257,6026.015,5657.078,5698.7446
7,mated_10d_sucrose,dm_R57C10xGC6s_181210b,sucrose,200mM,04,dm_R57C10xGC6s_181210b_04_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,3788.827,4370.89,4198.76,4281.06,4496.913,4231.234,4095.0146,4013.8977,4232.7476,4279.9746,4426.504,4180.3076,4178.4473,4257.618,4268.6323,4137.4946,4105.3604,4449.9087,4299.58,4094.9531,4300.4614,4349.512,4311.4927,4206.468,4223.4883,3987.2676,4243.8174,3953.2017,4089.2014,4150.758,4192.4346,3902.7551,4290.099,4242.981,4228.9473,4335.101,4151.196,4078.827,4305.5405,4022.2195,4357.914,4159.7104,4195.681,4205.9326,4007.6514,4219.796,4189.7715,4164.626,4147.764,4081.9675,4077.5593,3862.2542,4272.8115,4113.0107,4157.377,4282.3022,4162.7856,4267.0835,4176.32,4072.0566
8,mated_10d_sucrose,dm_R57C10xGC6s_181210b,sucrose,200mM,04,dm_R57C10xGC6s_181210b_04_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,4169.079,4602.693,4425.612,4700.724,4693.551,4668.693,4911.3853,4938.285,4839.0557,4843.7803,4746.867,4902.6953,4726.5835,4509.814,4723.2,4550.4766,5005.4326,4988.8823,4866.2354,4487.864,4446.1133,4472.2173,4413.162,4175.726,4311.898,4500.5522,4501.4453,4317.4355,4514.4526,4687.3486,4639.6123,4239.711,4459.2495,4418.6924,4443.414,4558.4614,3872.271,4291.7188,4574.6074,4305.547,4518.3086,4180.5356,4557.7236,4480.912,4303.254,4292.857,4416.41,4597.4673,4520.0596,4436.58,4423.863,4472.406,4443.5757,4591.3228,4555.884,4463.3457,4545.406,4554.4683,4594.843,4527.873
9,mated_10d_sucrose,dm_R57C10xGC6s_181210b,sucrose,200mM,04,dm_R57C10xGC6s_181210b_04_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,3313.7454,3728.3042,3793.5078,3420.7773,3589.4587,3472.5,3331.6528,3339.719,3418.2544,3534.506,3976.2524,4156.7363,4207.9976,4344.501,4224.456,4218.537,4117.637,3610.9868,3508.0688,3760.6543,3721.5498,3857.6736,3767.3652,3708.42,3764.4973,3468.78,3629.6675,3470.7185,3348.2158,3405.8748,3823.386,3581.9373,3782.5247,3518.3245,3596.9353,3746.7495,3781.9854,3780.079,3723.7292,3652.713,3703.911,3581.651,3664.7612,3603.1313,3494.7627,3541.0842,3572.2053,3510.6748,3579.4448,3578.6836,3539.828,3373.4724,3624.6697,3519.681,3588.742,3673.0706,3595.0737,3568.2666,3546.2244,3618.422
10,mated_10d_sucrose,dm_R57C10xGC6s_181210b,sucrose,200mM,04,dm_R57C10xGC6s_181210b_04_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,3331.7068,3766.7788,3216.4773,3455.7485,3351.4683,3489.8484,3434.7632,3639.922,3701.5393,3594.3284,3850.8635,3870.308,3860.803,3398.2024,3375.5986,3708.0603,3986.5496,3695.0276,3740.9182,3706.995,3625.44,3541.9722,3611.098,3718.951,3681.7976,3270.1582,3494.162,3593.5005,3705.63,3703.7834,3530.6848,3558.0798,3538.9182,3571.3916,3552.151,3442.9033,3497.1272,3282.3035,3456.6873,3652.6438,3626.7375,3728.1292,3723.7517,3589.3042,3457.7002,3468.3628,3412.2957,3685.3496,3589.9097,3274.9368,3293.3906,3354.3005,3350.128,3674.9805,3628.1692,3539.3167,3618.9807,3679.849,3667.5493,3730.5269
