region,state,fly,stimulus,concentration,stimulus_nr,recording,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1,mated_10d_sucrose,dm_R57C10xGC6s_181210b,yeast,10%,05,dm_R57C10xGC6s_181210b_05_yeast_10%_SEZ_volreg_transformed_gauss.nii,3998.4802,4372.2915,4409.0903,4308.4653,4541.0044,4552.708,4393.608,4511.023,4429.79,4516.656,4387.1807,4469.605,4806.8267,4725.9404,4809.859,4623.757,4392.9473,4415.25,4763.9014,4512.4604,4613.027,4691.7104,4429.1855,4780.217,4565.1636,4500.1367,4648.111,4510.824,4488.602,4695.0293,4482.1445,4688.099,4511.3223,4620.7295,4737.9976,4565.499,4708.8936,4558.3447,4453.8105,4589.8906,4500.675,4460.2266,4311.934,4409.7666,4569.631,4601.96,4330.6924,4406.072,4498.551,4332.539,4469.4336,4568.2134,4711.7534,4422.4785,4294.332,4244.26,4651.4727,4560.876,4376.5786,4539.816
2,mated_10d_sucrose,dm_R57C10xGC6s_181210b,yeast,10%,05,dm_R57C10xGC6s_181210b_05_yeast_10%_SEZ_volreg_transformed_gauss.nii,3000.6152,3002.7234,3109.4749,3250.44,3188.96,3257.746,3206.3025,3384.8987,3353.6597,3175.961,2947.9119,3311.0242,3197.7043,3341.7808,3453.7332,3338.7551,3126.0146,3312.9,3290.9358,3346.7812,3275.6443,3331.0269,3276.804,3452.0295,3401.2803,3267.5068,3355.1167,3282.932,3251.7307,3221.7424,2980.481,3507.7988,3134.5974,3208.0886,3339.5896,3351.338,3225.5562,3369.305,3331.6182,3200.8428,3332.5854,3205.4268,3188.0886,3241.7644,3314.5295,3339.6042,3391.956,3167.7358,3295.1814,3227.2336,3315.1035,3212.6309,3292.1082,3242.5215,3165.8813,3289.6055,3319.4246,3221.3281,3470.541,3374.7896
3,mated_10d_sucrose,dm_R57C10xGC6s_181210b,yeast,10%,05,dm_R57C10xGC6s_181210b_05_yeast_10%_SEZ_volreg_transformed_gauss.nii,7684.15,7509.5146,7298.4136,7833.357,7336.3228,7139.988,7653.184,8048.35,6539.5146,7287.971,7275.395,7969.0513,8915.258,8626.231,8696.433,9066.734,8187.8325,8070.2046,8297.847,8309.631,8539.265,8006.7227,8806.336,8795.688,7275.597,8234.165,8480.421,8787.405,8222.796,8194.1455,8621.421,8149.4385,8572.318,8596.618,8438.953,7839.8164,8649.452,7804.9595,8035.986,7977.3003,7711.963,7695.1646,7861.949,7739.6665,7994.3438,7267.953,7491.898,6883.292,7870.133,7473.222,7809.0293,8435.285,7927.479,7667.683,7412.339,7830.457,7916.188,8086.398,7848.1387,8135.1226
4,mated_10d_sucrose,dm_R57C10xGC6s_181210b,yeast,10%,05,dm_R57C10xGC6s_181210b_05_yeast_10%_SEZ_volreg_transformed_gauss.nii,5550.7983,5455.244,5737.417,6138.2783,6073.1426,6184.949,6264.592,6433.618,6430.8555,6043.8657,6043.5645,6507.715,7117.7417,6818.6387,7004.6123,7058.6567,6585.894,6459.474,6580.0566,6647.578,7207.5703,7102.3257,7076.125,6943.628,6926.177,6689.234,6551.7417,6600.266,6559.76,6305.1636,7049.942,6363.719,6436.061,6154.961,6367.628,6303.823,6326.801,6321.158,6211.5557,6102.244,6349.1904,5913.6836,6020.739,6065.2563,6299.17,6209.56,6022.6006,5785.908,6344.4023,6546.8745,6282.2188,6414.2114,6537.575,6319.5537,6267.0786,6239.6836,6429.383,6248.765,6088.71,6407.959
5,mated_10d_sucrose,dm_R57C10xGC6s_181210b,yeast,10%,05,dm_R57C10xGC6s_181210b_05_yeast_10%_SEZ_volreg_transformed_gauss.nii,5174.376,5578.3467,5444.7803,5974.3447,6073.173,6007.2876,5748.5386,5961.3384,5860.1016,5767.106,5221.365,6321.963,6730.998,6567.408,6571.235,6186.173,5670.267,5904.985,5961.9536,5841.22,6422.1357,6453.4443,6439.042,6472.6753,6255.2534,6187.244,6164.318,6194.2134,5942.1055,5898.9214,5988.9897,5963.4062,5757.4517,5738.6997,5815.6426,5799.2856,5715.3535,5917.8257,5890.705,5879.9404,5981.888,5596.1045,5647.3223,5698.0454,5998.9585,5953.4585,5748.132,5853.3477,6162.417,6290.0073,5990.965,6369.1104,6284.767,5951.3706,5868.9155,5911.897,6058.6973,5834.668,6194.5415,6232.377
6,mated_10d_sucrose,dm_R57C10xGC6s_181210b,yeast,10%,05,dm_R57C10xGC6s_181210b_05_yeast_10%_SEZ_volreg_transformed_gauss.nii,5490.067,5802.8306,6009.8857,6533.533,6283.4795,6486.106,6267.395,6308.202,6171.2183,6325.471,5838.193,6371.8975,6364.025,6467.017,6348.4272,6167.915,6061.247,6229.3926,6435.486,6366.389,6053.9556,6572.813,6505.058,6673.4424,6004.427,6169.276,6245.9404,6453.7026,5936.5747,5953.693,6346.4385,6026.855,6040.1255,5913.836,6022.3257,6096.284,5920.926,6082.611,5925.2603,6060.4805,6218.6245,5525.5835,5721.295,5760.493,6116.4595,5972.6743,6055.726,5789.787,6491.3213,6163.862,6074.137,6073.284,6210.6367,5929.253,6015.895,6060.684,6368.3267,5968.8174,6217.6123,6434.9253
7,mated_10d_sucrose,dm_R57C10xGC6s_181210b,yeast,10%,05,dm_R57C10xGC6s_181210b_05_yeast_10%_SEZ_volreg_transformed_gauss.nii,3719.5483,4058.4824,4100.7285,4322.848,4259.192,4396.5635,4368.6553,4478.125,4402.848,4258.4277,4199.2583,4554.331,4362.653,4445.6064,4567.8633,4411.112,4179.516,4275.9204,4340.313,4433.6416,4594.646,4546.059,4478.635,4446.0864,4467.9727,4487.7134,4507.9604,4602.6606,4400.5527,4232.606,4349.9424,4375.397,3996.7148,4113.0625,4207.0176,4176.9946,4106.263,4456.766,4225.9814,4308.6177,4411.9253,4177.706,4214.2065,4289.523,4285.928,4189.0796,4235.794,4104.97,4522.2407,4443.364,4229.859,4387.2627,4432.478,4314.568,4230.9365,4330.593,4480.1387,4129.9106,4323.0596,4515.435
8,mated_10d_sucrose,dm_R57C10xGC6s_181210b,yeast,10%,05,dm_R57C10xGC6s_181210b_05_yeast_10%_SEZ_volreg_transformed_gauss.nii,4081.7754,4638.146,4399.82,4375.7725,4639.8823,4540.9287,4732.37,4882.813,4648.013,4697.2764,4687.816,4925.9736,5031.986,4931.0244,5153.2607,5136.7144,4971.0107,4632.067,4933.028,4859.173,5124.178,5067.525,5081.407,5145.502,4909.061,4913.267,4871.109,4772.955,4577.701,4976.5796,5068.1753,4790.2437,4521.1333,4832.799,4662.208,4679.7407,4913.539,4497.9897,4517.1104,4630.5938,4634.682,4567.7036,4279.147,4560.2104,4666.7725,4568.2573,4408.1104,4304.444,4444.3574,4388.9766,4484.391,4486.413,4611.0254,4396.1035,4204.5864,4251.8335,4474.494,4578.7637,4310.5234,4568.6562
9,mated_10d_sucrose,dm_R57C10xGC6s_181210b,yeast,10%,05,dm_R57C10xGC6s_181210b_05_yeast_10%_SEZ_volreg_transformed_gauss.nii,3333.3347,3523.038,3395.07,3761.848,3815.1392,3734.5776,3622.3027,3791.115,3696.658,3667.6094,3187.8376,4175.3535,4368.411,4628.518,4331.815,4073.6606,3821.0298,3796.7517,3730.692,3809.046,4148.733,4262.9756,3942.4556,4258.6387,4189.186,3948.036,3908.3364,3751.4912,3673.6294,3656.9155,3470.174,3942.6792,3568.7424,3708.082,3867.2751,3847.913,3822.865,3960.0107,3698.34,3686.567,3773.7043,3671.6335,3626.2085,3677.471,3754.835,3834.3533,3730.9722,3745.0686,3880.5315,3842.7727,3899.1194,3921.3577,3845.8813,3703.307,3620.6443,3681.283,3881.8528,3699.9036,3913.9478,3819.8984
10,mated_10d_sucrose,dm_R57C10xGC6s_181210b,yeast,10%,05,dm_R57C10xGC6s_181210b_05_yeast_10%_SEZ_volreg_transformed_gauss.nii,3429.5913,3768.9822,3566.772,3634.494,4123.2734,3752.5278,3621.4487,3947.079,4008.3877,3754.9724,3819.1943,3792.0217,4231.3896,4340.092,4405.5015,4034.7996,3981.1802,3688.5278,4012.4192,3823.393,4071.9814,4307.6157,4121.8257,4425.458,4148.573,4147.2085,4430.077,4094.7834,4002.5764,4068.526,4190.9014,3688.5847,3620.709,3702.4219,3806.4634,3763.8975,3855.199,3937.6697,3904.7349,4010.9573,3941.7695,3967.784,3615.0679,3859.0498,4080.6309,4071.5002,3721.4753,3933.656,3839.8325,3963.0933,3786.9277,3837.5215,3970.7068,4001.325,3896.0742,3849.2708,4028.6453,3645.2246,3909.488,4093.6978
