region,state,fly,stimulus,concentration,stimulus_nr,recording,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1,mated_10d_sucrose,dm_R57C10xGC6s_181210c,nostim,NA,01,dm_R57C10xGC6s_181210c_01_nostim_SEZ_volreg_transformed_gauss.nii,3552.3423,3615.9087,3615.7932,3637.1338,3571.334,3552.2107,3595.741,3573.451,3593.5518,3573.4602,3600.9949,3568.3213,3595.9675,3710.2566,3633.09,3656.881,3706.7495,3768.1296,3743.571,3670.5237,3625.082,3589.1506,3623.7815,3567.2734,3726.9998,3695.3757,3785.1108,3689.2273,3739.2678,3703.29,3712.0217,3646.101,3731.9363,3650.4685,3694.4382,3735.2205,3654.6973,3673.275,3700.737,3575.3237,3619.4885,3613.2566,3692.5823,3797.5918,3707.7874,3819.6074,3576.9482,3738.6223,3664.8464,3688.0603,3681.6973,3767.9856,3666.7998,3688.1377,3550.0657,3700.1675,3603.5662,3699.3987,3625.8784,3611.5894
2,mated_10d_sucrose,dm_R57C10xGC6s_181210c,nostim,NA,01,dm_R57C10xGC6s_181210c_01_nostim_SEZ_volreg_transformed_gauss.nii,2861.2915,2916.6838,2963.5562,2930.2085,2903.9968,2920.8928,2894.913,2928.2942,2904.5737,3007.1816,2941.8494,2879.6292,2980.823,2976.5835,2998.4202,2914.1318,3014.3179,2994.4658,3035.161,2941.9043,2988.0557,2863.1448,3002.19,2906.1187,2920.2903,2956.2646,2993.389,2969.3555,3010.3516,3066.5908,2930.1733,2950.3096,2935.5005,2939.846,2914.4956,3002.5623,2982.562,2953.7253,2945.2803,3059.2773,2991.0127,2970.897,3024.7856,2970.9014,2936.7278,2965.6487,2922.1514,2931.1602,2887.8835,2882.4976,2915.5923,2913.995,2908.6895,2941.4985,2932.4316,2919.231,2852.531,2833.3823,2996.8577,2949.0623
3,mated_10d_sucrose,dm_R57C10xGC6s_181210c,nostim,NA,01,dm_R57C10xGC6s_181210c_01_nostim_SEZ_volreg_transformed_gauss.nii,4550.1187,4769.8057,4552.5312,4947.5527,4617.6587,4613.97,4923.0728,4642.9277,4406.1807,4443.643,4908.2886,4504.323,4763.8467,4590.3916,4404.4595,4680.2334,4708.267,4475.8555,4846.032,4324.2983,4550.8237,4718.715,4436.7114,4885.824,4815.6562,5304.074,4720.6562,4694.468,4720.781,4669.8125,4770.5254,4744.224,4729.9062,4708.186,4847.813,4783.2393,4746.9126,4808.039,5071.888,4471.739,4843.1904,4611.58,4787.715,4811.1514,4911.9995,4762.1562,4872.1,5006.7476,4857.056,4632.732,4589.9272,4817.997,5059.913,4895.9546,4830.4995,4919.0815,4784.612,5093.5596,4671.811,4597.9834
4,mated_10d_sucrose,dm_R57C10xGC6s_181210c,nostim,NA,01,dm_R57C10xGC6s_181210c_01_nostim_SEZ_volreg_transformed_gauss.nii,5473.1055,5653.0435,5650.8257,5757.0864,5774.7407,5518.028,5664.4985,5439.3584,5757.056,5629.944,5775.4478,5581.4863,5776.6504,5781.5244,5864.6465,5814.5205,5740.721,5631.99,5760.0415,5673.6074,5692.225,5495.828,5620.459,5767.561,5644.4526,5640.4272,5694.4165,5617.8867,5717.0474,5778.1626,5828.2705,5920.6553,5749.4707,5750.1445,5689.32,5757.243,5711.9434,5777.6265,5844.4805,5931.428,5810.6245,5798.213,5694.2485,5840.2173,5866.902,5783.762,5854.8564,5624.9434,5783.2593,5723.872,5928.092,6011.0264,5891.3916,5678.24,5581.771,5546.1187,5663.2905,5578.9033,5676.971,5326.037
5,mated_10d_sucrose,dm_R57C10xGC6s_181210c,nostim,NA,01,dm_R57C10xGC6s_181210c_01_nostim_SEZ_volreg_transformed_gauss.nii,4175.402,4294.993,4227.9746,4265.6445,4216.0024,4118.749,4129.252,4167.228,4254.319,4135.103,4187.672,4135.7334,4222.875,4289.41,4222.278,4228.4575,4236.014,4267.1465,4237.3125,4218.4062,4153.45,4077.234,4073.1035,4135.2827,4247.281,4202.3364,4293.639,4170.294,4264.9487,4247.165,4276.4185,4281.364,4246.684,4252.8076,4293.8965,4319.005,4160.44,4281.149,4242.2905,4060.3801,4116.634,4174.9995,4308.972,4335.8154,4378.5874,4411.0146,4276.6626,4290.2124,4323.3604,4300.3604,4365.287,4402.0947,4323.6533,4196.338,4172.546,4214.7666,4329.541,4242.7407,4277.186,4116.234
6,mated_10d_sucrose,dm_R57C10xGC6s_181210c,nostim,NA,01,dm_R57C10xGC6s_181210c_01_nostim_SEZ_volreg_transformed_gauss.nii,3503.4976,3656.5342,3739.2224,3732.7617,3768.0583,3706.7144,3739.0818,3820.3025,3781.5793,3707.7258,3638.5007,3733.266,3838.4316,3795.3997,3656.5518,3757.4924,3789.5647,3700.6213,3745.454,3727.6985,3647.8606,3571.2402,3598.7737,3613.042,3784.8936,3718.7417,3649.8345,3612.9292,3750.2373,3630.0361,3773.6633,3814.9766,3668.9563,3798.5073,3651.6396,3742.4788,3651.0322,3728.5076,3663.5425,3705.9297,3603.9585,3603.3528,3674.5603,3741.1765,3715.693,3720.1824,3763.7085,3715.6255,3770.019,3706.6438,3741.897,3903.2417,3845.0315,3538.8333,3774.3713,3555.6614,3763.6472,3678.5588,3732.162,3694.8296
7,mated_10d_sucrose,dm_R57C10xGC6s_181210c,nostim,NA,01,dm_R57C10xGC6s_181210c_01_nostim_SEZ_volreg_transformed_gauss.nii,3341.9238,3500.641,3605.6277,3556.2632,3473.7087,3511.3428,3553.3982,3532.9487,3565.5544,3611.4695,3631.6003,3508.318,3643.6926,3623.736,3601.2612,3556.5376,3600.392,3613.917,3645.5667,3593.1367,3524.758,3563.8945,3515.6104,3621.6555,3499.9731,3502.324,3676.958,3531.0435,3594.321,3579.936,3609.7021,3573.7566,3455.1467,3507.183,3539.605,3571.259,3546.5088,3570.085,3498.8123,3503.0945,3446.3875,3487.2478,3500.0674,3526.5261,3475.3347,3391.3145,3479.0598,3376.407,3404.6917,3486.1536,3476.226,3581.2102,3434.4177,3294.1921,3381.5815,3313.3955,3525.892,3432.288,3450.6794,3473.242
8,mated_10d_sucrose,dm_R57C10xGC6s_181210c,nostim,NA,01,dm_R57C10xGC6s_181210c_01_nostim_SEZ_volreg_transformed_gauss.nii,4229.1807,4346.8594,4434.861,4645.43,4446.2793,4502.72,4475.4966,4394.6206,4390.4927,4476.304,4495.571,4411.495,4429.109,4447.732,4631.8105,4784.335,4690.638,4705.07,4558.4834,4531.491,4449.708,4422.5347,4591.563,4601.7876,4729.0874,4921.776,4845.7314,4826.722,4768.3647,4788.435,4775.1333,4947.6343,4894.6963,4805.1885,4834.654,4776.999,4875.053,4784.8413,4809.239,4800.774,4868.257,4830.4053,4889.3687,4829.421,4713.8384,4671.637,4691.9907,4685.0264,4648.194,4631.285,4492.766,4757.2197,4602.8765,4681.235,4663.113,4810.9355,4851.5146,4712.22,4689.4253,4710.5776
9,mated_10d_sucrose,dm_R57C10xGC6s_181210c,nostim,NA,01,dm_R57C10xGC6s_181210c_01_nostim_SEZ_volreg_transformed_gauss.nii,3119.5842,3155.892,3194.0713,3175.6946,3185.8013,3163.9434,3235.649,3297.4617,3231.1558,3224.7402,3226.8684,3164.738,3291.358,3287.5771,3246.984,3221.0557,3243.435,3248.1257,3283.6028,3299.6191,3198.7856,3119.6675,3167.7546,3200.3357,3206.4924,3292.4102,3290.3613,3258.4348,3260.1443,3265.5974,3249.9546,3260.0461,3187.4197,3239.96,3260.0212,3309.546,3273.8748,3221.767,3210.0417,3275.1492,3190.7515,3195.0454,3358.5972,3321.3901,3272.2178,3237.9143,3262.9944,3181.6836,3209.304,3234.414,3308.0112,3320.6482,3196.581,3196.3955,3225.502,3161.5457,3217.6733,3152.0647,3252.8804,3263.1074
10,mated_10d_sucrose,dm_R57C10xGC6s_181210c,nostim,NA,01,dm_R57C10xGC6s_181210c_01_nostim_SEZ_volreg_transformed_gauss.nii,3416.8237,3451.114,3472.597,3489.2131,3453.1597,3591.1877,3652.3877,3572.9246,3512.5647,3534.1099,3671.6255,3551.083,3514.8518,3525.0232,3452.3872,3529.7148,3451.4343,3478.851,3464.5833,3503.4768,3419.6335,3278.1082,3491.1912,3461.381,3552.7104,3666.9585,3697.249,3568.588,3619.0916,3546.0476,3600.6318,3601.606,3669.6958,3598.4248,3610.7588,3566.1785,3530.534,3589.3125,3593.0579,3503.0784,3563.76,3436.6519,3641.9043,3509.0615,3616.1965,3729.7573,3608.593,3655.0627,3634.5334,3650.798,3676.4314,3555.1267,3551.1284,3607.8823,3526.4434,3607.3467,3590.78,3619.8264,3640.4797,3368.3396
