region,state,fly,stimulus,concentration,stimulus_nr,recording,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1,mated_10d_sucrose,dm_R57C10xGC6s_181210c,h2o,NA,02,dm_R57C10xGC6s_181210c_02_h2o_SEZ_volreg_transformed_gauss.nii,3540.4587,3555.488,3556.6785,3617.9143,3470.8193,3470.4397,3558.3315,3450.9714,3445.7703,3618.6199,3501.2854,3735.7542,3778.4749,3675.8643,3657.6235,3613.1655,3668.6187,3663.293,3612.3784,3618.5552,3520.1777,3716.0112,3741.915,3596.3928,3730.185,3739.1162,3809.6848,3783.2476,3785.419,3729.4978,3702.4995,3702.0913,3654.6724,3709.484,3643.2305,3660.2244,3643.1824,3641.9624,3669.4846,3778.8108,3760.671,3706.362,3710.4736,3716.297,3604.5469,3673.534,3679.1255,3647.5938,3715.292,3659.0342,3621.0884,3627.0513,3715.6582,3715.749,3502.0735,3585.6926,3598.6245,3567.6301,3642.3745,3594.159
2,mated_10d_sucrose,dm_R57C10xGC6s_181210c,h2o,NA,02,dm_R57C10xGC6s_181210c_02_h2o_SEZ_volreg_transformed_gauss.nii,2868.2532,2883.3782,2792.9712,2828.3489,2796.721,2885.1772,2858.6978,2909.46,2740.1792,2945.001,2888.9739,2916.3557,2928.4163,2857.4448,2874.578,2870.4363,2918.88,2921.0073,2878.1812,2911.3774,2941.464,2793.7527,2931.9065,2849.4705,2949.4807,2989.1484,2968.1785,2951.145,2937.0815,2875.532,2884.2002,2986.0747,2927.075,2903.133,2869.7012,2958.7214,2949.252,2927.1501,2934.811,2946.6091,2921.8801,2964.7405,2861.2917,2879.8992,2912.417,2833.6135,2874.9565,2844.2883,2968.2097,2958.4426,2899.767,2938.5232,2890.5447,2981.998,2903.1008,2862.4705,2879.2573,2877.5671,2874.381,2837.0754
3,mated_10d_sucrose,dm_R57C10xGC6s_181210c,h2o,NA,02,dm_R57C10xGC6s_181210c_02_h2o_SEZ_volreg_transformed_gauss.nii,4748.82,4226.363,4382.488,4686.2007,4512.6064,4380.6743,4572.778,4571.114,4422.3457,4597.579,4326.9805,4909.829,4495.626,4607.829,4376.869,4359.4463,4704.1963,4694.9004,4618.46,5016.1724,4823.085,5288.075,5006.803,4658.005,5099.258,4865.852,4874.1924,4690.4453,4765.3687,4702.4116,4873.466,4756.913,4879.9287,4882.3345,4672.2524,4587.0845,4893.642,4663.7744,4811.5405,4567.744,4946.164,4816.983,5038.469,4967.412,4530.412,4952.2363,4979.1016,4645.8906,4542.881,4682.3823,4664.0176,4549.2905,4802.664,4427.25,4727.37,4556.08,4654.037,4507.127,4599.988,4395.8105
4,mated_10d_sucrose,dm_R57C10xGC6s_181210c,h2o,NA,02,dm_R57C10xGC6s_181210c_02_h2o_SEZ_volreg_transformed_gauss.nii,5554.606,5542.271,5476.815,5558.841,5472.9966,5592.9053,5513.503,5554.4917,5450.2754,5692.6353,5662.0894,5978.477,6250.4146,5977.3403,5957.7944,5931.6143,5858.9204,5892.0664,5812.6875,5751.2266,5654.27,5545.27,6087.537,5823.194,5928.0835,6028.0767,6189.934,6041.068,5919.8784,5836.808,5785.5923,5882.324,5768.129,5827.2856,5648.3345,5743.8926,5749.1035,5786.3027,5741.4326,5905.0674,5728.3115,6095.614,5889.3857,5911.0376,5784.8574,5617.711,5596.6353,5662.8745,5801.457,5756.9604,6036.7656,5997.3667,5869.2017,5825.657,5716.445,5669.6157,5771.4077,5778.328,5853.964,5976.6104
5,mated_10d_sucrose,dm_R57C10xGC6s_181210c,h2o,NA,02,dm_R57C10xGC6s_181210c_02_h2o_SEZ_volreg_transformed_gauss.nii,4203.033,4227.9507,4107.522,4125.101,4053.8257,4079.3489,3975.1616,4070.5967,4113.767,4164.254,4132.135,4561.189,4753.9395,4612.6826,4620.5303,4597.071,4630.9663,4535.5664,4416.0894,4376.4556,4268.1113,4555.2285,4694.688,4487.3335,4618.8486,4577.4624,4585.506,4588.265,4486.877,4416.0024,4420.4995,4511.7485,4449.7197,4465.2236,4362.1587,4379.807,4299.5195,4320.6445,4337.167,4344.1763,4264.668,4285.2783,4332.098,4391.4727,4238.404,4292.624,4384.4297,4282.5103,4354.8237,4338.3193,4331.8804,4251.2603,4341.5234,4377.5454,4203.008,4182.718,4320.0854,4334.805,4293.566,4326.3574
6,mated_10d_sucrose,dm_R57C10xGC6s_181210c,h2o,NA,02,dm_R57C10xGC6s_181210c_02_h2o_SEZ_volreg_transformed_gauss.nii,3451.78,3577.9868,3545.205,3430.4116,3487.221,3671.1562,3615.8738,3519.045,3535.2896,3691.6665,3607.6245,3891.8752,4179.801,3936.2502,4132.388,3920.175,3938.7158,4018.755,3969.745,3832.5046,3706.0479,3889.6016,4050.0278,3852.3667,3891.759,4033.4343,4001.474,4116.683,4014.3977,3892.8489,3867.2568,3872.445,3826.6829,3887.413,3740.8694,3869.8325,3802.1738,3642.2751,3718.3635,3890.8733,3706.4585,3772.7725,3771.184,3906.983,3676.2085,3691.2427,3685.0437,3655.6797,3751.1553,3731.1536,3759.6191,3822.0308,3673.395,3760.0142,3620.7212,3582.8748,3739.4172,3867.6172,3729.337,3584.3694
7,mated_10d_sucrose,dm_R57C10xGC6s_181210c,h2o,NA,02,dm_R57C10xGC6s_181210c_02_h2o_SEZ_volreg_transformed_gauss.nii,3276.4666,3266.97,3219.3289,3307.3057,3250.9343,3408.2068,3403.2566,3531.6138,3477.4163,3583.1362,3498.9165,3625.0776,3662.4077,3595.5627,3537.6042,3553.295,3627.1035,3642.7507,3583.08,3591.3901,3418.017,3590.897,3637.0217,3531.037,3694.0051,3630.5735,3693.764,3692.2034,3591.8423,3611.9521,3642.5227,3636.656,3585.1343,3666.857,3582.1099,3572.072,3576.8,3577.8281,3504.3704,3582.86,3563.6865,3565.4238,3466.6013,3572.5142,3560.0103,3528.1987,3498.3188,3381.0317,3455.4634,3560.2778,3489.6926,3476.7405,3407.9106,3541.9807,3389.123,3367.0388,3476.1304,3421.763,3424.898,3447.4453
8,mated_10d_sucrose,dm_R57C10xGC6s_181210c,h2o,NA,02,dm_R57C10xGC6s_181210c_02_h2o_SEZ_volreg_transformed_gauss.nii,4173.8906,4219.2793,4166.357,4292.028,4190.4536,4219.835,4358.6885,4287.137,4240.743,4425.7256,4485.9185,4912.4766,4879.9795,4771.7144,4744.6074,4758.293,4793.072,4842.2505,4783.4365,4835.708,4679.2075,5014.9326,4835.573,4798.299,4912.677,4962.7104,4991.6855,5002.387,4918.5366,4834.0166,4851.504,4891.797,4884.456,4943.584,4880.3984,4861.4526,4912.244,4830.8687,4753.56,4797.8013,4791.6665,4731.594,4766.2593,4775.991,4608.946,4687.425,4561.7383,4655.93,4425.8843,4396.1167,4381.766,4314.768,4429.133,4330.806,4317.628,4403.046,4318.9,4142.2715,4372.616,4314.2925
9,mated_10d_sucrose,dm_R57C10xGC6s_181210c,h2o,NA,02,dm_R57C10xGC6s_181210c_02_h2o_SEZ_volreg_transformed_gauss.nii,3047.672,3085.7957,3019.3254,3030.1123,3032.0889,3133.785,3087.8125,3117.512,3229.8787,3238.6077,3179.9001,3552.4885,3682.45,3593.1646,3506.3547,3425.7744,3516.4104,3433.253,3336.1047,3288.7134,3328.4866,3462.6667,3440.7866,3332.657,3391.2566,3366.4143,3435.4285,3397.7456,3334.2568,3332.1384,3318.7046,3393.4355,3298.759,3263.9048,3231.2297,3250.8025,3230.013,3211.7966,3253.1875,3266.1084,3240.1125,3277.23,3219.1707,3255.4678,3251.3123,3163.9375,3251.301,3147.1863,3294.026,3300.9636,3278.7065,3249.8638,3212.895,3255.8274,3112.1177,3121.5024,3219.3936,3317.0054,3210.5942,3195.4392
10,mated_10d_sucrose,dm_R57C10xGC6s_181210c,h2o,NA,02,dm_R57C10xGC6s_181210c_02_h2o_SEZ_volreg_transformed_gauss.nii,3312.611,3378.082,3273.0144,3403.28,3382.0876,3542.2493,3464.3408,3439.959,3595.0562,3561.2712,3567.0408,3686.2742,3754.8008,3561.7407,3545.7222,3547.139,3643.839,3650.4167,3610.1555,3545.542,3591.5562,3364.3694,3552.2656,3501.257,3662.8232,3710.4844,3833.8762,3783.328,3655.3357,3648.074,3544.8923,3676.0146,3623.1453,3605.7979,3502.292,3508.2676,3530.6616,3464.539,3405.217,3450.101,3435.5364,3435.6162,3548.7302,3573.654,3574.4836,3527.724,3639.524,3522.7776,3598.264,3537.0044,3510.59,3452.463,3473.2312,3444.851,3300.1958,3309.0896,3338.1196,3383.8171,3288.1667,3314.5498
