region,state,fly,stimulus,concentration,stimulus_nr,recording,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1,mated_10d_sucrose,dm_R57C10xGC6s_181210c,sucrose,200mM,03,dm_R57C10xGC6s_181210c_03_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,3560.035,3683.5112,3745.6384,3445.5713,3766.3152,3774.7937,3685.3728,3690.5159,3709.3962,3674.5742,3711.5698,3776.3323,3747.8865,3738.947,3822.9023,3732.23,3825.5676,3778.768,3808.0935,3705.693,3786.576,3765.0996,3760.164,3765.3662,3781.3806,3875.1838,3793.1404,3806.2722,3759.1064,3830.4548,3783.6016,3741.586,3777.782,3707.6914,3755.506,3689.0195,3738.023,3670.9534,3791.2048,3772.5903,3812.8323,3775.922,3720.5884,3707.9426,3758.7896,3632.1785,3586.9187,3641.8652,3646.8281,3589.9216,3690.2488,3709.9092,3578.9448,3644.682,3690.0845,3744.9497,3506.8225,3564.3645,3752.1553,3812.6636
2,mated_10d_sucrose,dm_R57C10xGC6s_181210c,sucrose,200mM,03,dm_R57C10xGC6s_181210c_03_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,2785.7634,2797.157,2848.5894,2857.156,2854.363,2817.2595,2842.904,2887.7034,2793.0728,2849.334,2867.4143,2887.979,2924.6292,2904.7822,2960.0762,2861.5708,2894.1804,2864.2942,2993.7153,2873.106,2927.5613,2887.0278,2962.4377,2958.859,2968.171,2948.5886,2970.2712,2991.111,2989.2583,2959.4897,3009.9055,2922.7026,3025.125,2986.615,2963.265,2944.9055,2963.0107,2979.7039,3001.6892,2916.9753,3012.3684,2948.7175,2998.341,2927.767,2952.8767,3024.2002,2978.756,2948.1892,2941.2397,2923.9185,2904.3848,2905.008,2887.5325,2917.854,2921.1943,2943.3489,2873.7769,2922.2932,2953.578,2946.175
3,mated_10d_sucrose,dm_R57C10xGC6s_181210c,sucrose,200mM,03,dm_R57C10xGC6s_181210c_03_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,4138.5947,4289.024,4042.2598,3856.168,4245.3486,4071.8706,4370.1636,4404.6963,4472.507,4495.288,4394.7573,4508.9404,4369.5317,4513.0747,4182.0117,4480.2236,4071.244,4425.973,4694.0264,4301.0024,4550.068,4590.5156,4432.5967,4345.6577,4537.041,4379.729,4198.848,4412.662,4513.6484,4631.155,4254.0996,4276.9644,3929.4583,4319.343,4349.042,4538.977,4391.2085,4244.6855,4320.287,4619.699,4572.9707,4291.949,4223.1133,4535.01,4511.0073,3959.685,4125.7734,4304.122,4358.815,4441.5864,4426.0063,4221.752,4186.9834,4117.8086,4432.5034,4091.52,4249.718,4185.619,4144.787,4294.6055
4,mated_10d_sucrose,dm_R57C10xGC6s_181210c,sucrose,200mM,03,dm_R57C10xGC6s_181210c_03_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,5644.168,5748.2407,5608.725,5375.8022,5815.689,5616.047,5721.981,5720.488,5746.1562,5676.1084,5762.2363,5960.1626,5983.072,5902.069,5932.6733,6024.8945,6263.298,6048.536,6071.6533,5883.894,5944.437,5947.441,5878.3647,6241.0938,6225.8735,6107.3647,6150.253,6021.9673,5986.015,6026.5347,5897.6035,5983.5645,5941.0693,6098.505,6153.7065,5945.7236,6118.5044,5913.1953,5849.0806,5913.1255,5954.54,5831.2183,5849.598,5788.5146,5916.706,6058.8735,6182.8423,5873.06,5923.0396,5780.8613,5727.907,5728.2017,5719.0093,5766.669,5761.9985,5796.191,5950.9736,5804.927,5977.1147,5905.735
5,mated_10d_sucrose,dm_R57C10xGC6s_181210c,sucrose,200mM,03,dm_R57C10xGC6s_181210c_03_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,4216.912,4297.6396,4345.659,4152.873,4360.546,4333.7173,4252.022,4248.0396,4227.838,4196.3496,4334.66,4490.656,4574.658,4663.2197,4944.0894,4795.4946,5091.1206,4889.5195,4705.873,4564.4556,4524.0923,4418.2856,4607.8745,5117.9463,5099.3457,5116.792,5061.9673,4970.624,5004.725,4859.0586,4908.6997,4813.802,4809.871,4786.8076,4651.0063,4570.859,4479.7866,4347.2095,4377.82,4424.809,4351.942,4319.6416,4277.996,4207.406,4330.073,4272.9727,4291.789,4262.898,4257.8564,4242.861,4231.33,4267.2017,4167.8228,4242.3516,4312.8145,4307.3286,4088.2168,4202.6255,4296.85,4314.357
6,mated_10d_sucrose,dm_R57C10xGC6s_181210c,sucrose,200mM,03,dm_R57C10xGC6s_181210c_03_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,3518.5803,3678.4065,3683.5547,3575.8682,3826.4949,3689.6062,3656.2136,3716.6875,3651.9395,3582.97,3774.348,3813.783,3961.1028,3785.5688,3850.3748,3954.8955,4034.5728,3899.0557,3917.893,3831.122,3949.12,3743.2534,3747.2693,4269.131,4353.66,4383.4727,4255.098,4287.627,4262.6025,4238.13,4104.548,4133.229,4105.5107,3957.4937,4029.002,3867.0466,3837.257,3845.354,3801.2905,3895.5447,3793.2441,3790.6938,3742.332,3865.2224,3801.6782,3628.4253,3779.6707,3847.6992,3804.0945,3704.0405,3694.3503,3758.7488,3771.2444,3609.4487,3794.1414,3768.2637,3640.1387,3644.5225,3799.1997,3797.1348
7,mated_10d_sucrose,dm_R57C10xGC6s_181210c,sucrose,200mM,03,dm_R57C10xGC6s_181210c_03_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,3241.7842,3347.9316,3492.339,3466.6587,3617.4702,3563.861,3504.2368,3577.1963,3551.2102,3507.3835,3553.6482,3573.811,3598.821,3498.5266,3578.114,3631.7969,3641.451,3612.7148,3650.9363,3653.4365,3679.131,3611.7393,3605.9182,3688.92,3699.4583,3715.0374,3729.3213,3754.9978,3703.4126,3689.3525,3644.335,3697.3008,3624.4202,3637.855,3671.5955,3654.3743,3622.009,3563.4204,3558.1863,3571.6816,3603.1272,3542.6057,3534.5393,3433.3804,3544.293,3461.0532,3503.7598,3478.6553,3458.9744,3443.872,3450.648,3468.6873,3420.323,3502.604,3455.8855,3535.1846,3300.1252,3362.8472,3502.4573,3528.763
8,mated_10d_sucrose,dm_R57C10xGC6s_181210c,sucrose,200mM,03,dm_R57C10xGC6s_181210c_03_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,4122.5044,4299.428,4523.37,4351.337,4609.8696,4593.3916,4497.8013,4581.7344,4733.0815,4761.1484,4745.4795,4737.27,4709.6055,4810.002,4741.47,4843.4087,4833.967,4760.8936,4883.051,4814.9453,4754.1904,4778.715,4786.11,4790.8228,4833.9277,4979.344,4816.5835,4880.811,4805.043,4826.8696,4668.7046,4552.6733,4510.961,4463.3975,4559.242,4683.56,4802.976,4756.7896,4764.6904,4767.143,4559.1665,4520.9624,4408.116,4336.5913,4432.9536,4348.7124,4329.1016,4346.8457,4430.9663,4312.9854,4354.1626,4319.6294,4190.331,4329.714,4352.0815,4392.4443,4328.974,4269.6133,4386.349,4427.94
9,mated_10d_sucrose,dm_R57C10xGC6s_181210c,sucrose,200mM,03,dm_R57C10xGC6s_181210c_03_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,3018.028,3030.5476,3134.8223,3243.3188,3162.7107,3226.0737,3166.605,3166.709,3102.869,3095.911,3175.421,3270.5308,3335.944,3398.281,3598.6616,3658.0278,3725.2117,3571.7969,3495.015,3357.0366,3365.2922,3320.9282,3412.1904,3816.4512,3922.4653,3930.3508,3842.3071,3836.7622,3790.658,3748.815,3688.8987,3679.218,3626.5796,3578.0208,3488.6067,3437.671,3353.1926,3321.0217,3376.1667,3329.2234,3327.2935,3280.0684,3262.7278,3279.0896,3308.6018,3314.311,3287.2979,3295.2856,3250.4172,3212.0974,3220.471,3232.7517,3174.7742,3280.2012,3224.468,3269.0728,3194.9297,3215.4785,3246.056,3293.831
10,mated_10d_sucrose,dm_R57C10xGC6s_181210c,sucrose,200mM,03,dm_R57C10xGC6s_181210c_03_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,3313.0295,3337.0461,3405.6733,3403.8206,3360.296,3442.0613,3379.982,3317.268,3347.032,3351.0916,3441.8223,3506.1106,3604.6333,3584.726,3594.7595,3506.1453,3638.136,3586.6753,3549.8308,3511.0176,3511.1936,3424.9487,3485.014,3597.3752,3592.804,3657.316,3627.763,3622.8481,3613.8188,3660.4749,3625.957,3638.1704,3635.3423,3579.4385,3611.202,3567.8262,3662.5063,3552.7092,3552.9949,3579.0251,3495.7688,3501.5159,3459.3118,3486.5679,3558.9543,3501.2126,3527.974,3535.6138,3486.9346,3395.7117,3380.059,3419.1274,3365.6575,3399.1917,3414.7524,3399.2146,3304.5435,3354.577,3441.6824,3397.5098
