region,state,fly,stimulus,concentration,stimulus_nr,recording,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1,mated_10d_sucrose,dm_R57C10xGC6s_181210c,yeast,10%,04,dm_R57C10xGC6s_181210c_04_yeast_10%_SEZ_volreg_transformed_gauss.nii,3549.6484,3513.58,3516.0776,3594.8132,3545.535,3554.3064,3443.43,3660.4336,3694.535,3720.3506,3718.36,3800.3467,3794.883,3807.2407,3693.5034,3736.5803,3792.9302,3796.784,3733.1633,3588.14,3678.7153,3617.213,3604.6467,3515.268,3634.2053,3630.5938,3590.3555,3550.8372,3611.9622,3584.2327,3623.8137,3549.4294,3533.972,3516.4067,3569.9207,3528.9253,3529.628,3550.8884,3477.9805,3569.2017,3525.8188,3507.9285,3691.839,3661.601,3545.0684,3649.149,3630.1626,3671.4438,3713.5325,3624.3533,3601.0305,3661.5684,3559.7595,3664.991,3642.885,3492.5938,3532.8616,3494.607,3673.1763,3652.5022
2,mated_10d_sucrose,dm_R57C10xGC6s_181210c,yeast,10%,04,dm_R57C10xGC6s_181210c_04_yeast_10%_SEZ_volreg_transformed_gauss.nii,2782.5698,2776.8933,2821.7664,2806.809,2865.6267,2812.489,2814.7068,2866.5654,2907.124,2935.9087,2892.713,2949.1736,2932.2363,2948.4,2931.1768,3019.8098,2979.926,2933.2566,2907.1604,2944.3525,2998.5278,2919.7517,2908.3723,2980.4407,2919.5024,2956.1855,2937.869,2973.3992,2940.031,2917.834,2860.972,2911.0,2897.6956,2912.2573,2878.9604,2882.1948,2820.028,2876.4707,2862.9836,2889.4133,2823.494,2817.3037,2818.6968,2844.5012,2797.023,2900.1519,2868.2314,2901.1084,2883.999,2871.273,2902.1355,2875.1875,2941.4976,2903.872,2885.175,2801.4548,2863.6155,2812.2412,2875.1184,2848.3655
3,mated_10d_sucrose,dm_R57C10xGC6s_181210c,yeast,10%,04,dm_R57C10xGC6s_181210c_04_yeast_10%_SEZ_volreg_transformed_gauss.nii,3590.5986,3746.707,3883.6165,3545.51,3973.2068,3929.6582,4187.838,4384.0347,4503.923,4288.3496,4381.638,4182.804,4472.2344,4491.6504,4200.402,4217.5015,4081.5388,4190.0576,4134.4746,3787.791,4188.3384,3983.378,3830.817,3759.0718,3676.0288,3778.8975,3981.1165,3868.2126,3720.136,3536.6914,3732.256,3719.8972,3744.0981,4279.3477,4094.1208,3928.8728,4027.1028,3950.4746,4077.1953,3979.9084,4106.9824,4121.269,4475.348,4541.305,4236.3555,3953.053,4068.0803,4306.417,4092.8823,3943.3193,3884.3225,4063.9575,4179.9204,4318.4375,4279.007,3792.1072,4010.2986,3618.139,4348.223,3924.2551
4,mated_10d_sucrose,dm_R57C10xGC6s_181210c,yeast,10%,04,dm_R57C10xGC6s_181210c_04_yeast_10%_SEZ_volreg_transformed_gauss.nii,5474.717,5600.45,5686.0576,5158.0195,5524.519,5563.232,5558.234,5744.0933,5849.024,5937.8506,5945.2925,6037.282,6072.444,6312.146,6257.927,6200.316,5930.184,6025.7637,6033.095,5977.0225,5983.5864,5925.173,5827.658,5885.7974,6139.7476,6076.6,5911.884,5916.3193,5819.594,5814.859,5749.912,5688.9272,5708.7983,5860.5977,5675.5864,5677.1313,5697.08,5700.702,5721.0225,5652.4424,5722.118,5736.8604,6088.337,6158.823,5842.0884,5810.2,5959.9316,5978.643,5914.0537,5779.2803,5864.905,6119.2666,5931.35,5936.764,5800.0986,5527.6694,5624.9814,5597.879,6037.475,5856.749
5,mated_10d_sucrose,dm_R57C10xGC6s_181210c,yeast,10%,04,dm_R57C10xGC6s_181210c_04_yeast_10%_SEZ_volreg_transformed_gauss.nii,4064.9941,4161.521,4206.2095,4156.488,4122.3594,4088.9407,3971.0203,4186.884,4212.4673,4334.277,4477.754,4751.971,4916.074,5022.8696,5018.0474,5026.5127,4996.812,4919.9785,4776.64,4590.8706,4546.7583,4415.9727,4493.6094,4619.566,4792.835,4834.2544,4827.5396,4696.742,4741.5615,4671.784,4630.614,4555.7188,4528.121,4516.7065,4343.5938,4238.4854,4207.7505,4194.097,4150.8423,4113.7905,4064.8296,4077.8977,4093.5015,4160.4834,4015.9734,4141.8223,4217.602,4206.1787,4147.8687,4167.331,4189.5444,4169.871,4036.567,4184.8438,4129.311,4017.9937,4031.9229,4079.3296,4216.3496,4048.8289
6,mated_10d_sucrose,dm_R57C10xGC6s_181210c,yeast,10%,04,dm_R57C10xGC6s_181210c_04_yeast_10%_SEZ_volreg_transformed_gauss.nii,3473.1443,3566.2478,3782.9707,3583.8208,3610.3735,3570.3328,3595.6694,3682.6729,3676.3286,3833.2632,3813.8093,3978.7,3926.6494,4204.4233,4239.8213,4255.4155,4197.4185,4151.9214,4035.3997,4008.1226,3929.4568,3873.1348,3749.8347,3755.9924,3931.4255,4139.468,3921.9153,3865.6501,4067.7556,3995.0913,3752.9773,3911.5046,3698.86,3875.3318,3724.895,3657.735,3581.067,3652.5503,3668.4504,3632.3608,3582.1301,3574.7954,3604.978,3597.4355,3594.144,3646.9043,3688.5618,3707.561,3555.4167,3643.2808,3689.9111,3708.2112,3545.1638,3766.612,3662.9053,3586.3289,3532.9841,3641.7603,3655.3804,3605.983
7,mated_10d_sucrose,dm_R57C10xGC6s_181210c,yeast,10%,04,dm_R57C10xGC6s_181210c_04_yeast_10%_SEZ_volreg_transformed_gauss.nii,3249.284,3227.4976,3396.6636,3320.3213,3401.2014,3392.1125,3269.7043,3434.4844,3547.4883,3475.3582,3503.7932,3602.606,3579.578,3682.8008,3658.6135,3737.5364,3625.0437,3727.116,3642.7512,3562.48,3627.9158,3512.97,3520.52,3575.0857,3577.2942,3658.2285,3625.469,3557.826,3585.7842,3499.7437,3524.6267,3425.3,3479.865,3538.1453,3399.5325,3409.8357,3419.4612,3389.0051,3342.126,3329.1707,3431.7808,3372.4275,3428.5583,3393.0603,3395.6455,3436.0593,3482.8333,3480.226,3511.8406,3479.5122,3489.9119,3477.7725,3407.0881,3480.5884,3469.3074,3321.0386,3394.6536,3396.3926,3535.424,3344.2014
8,mated_10d_sucrose,dm_R57C10xGC6s_181210c,yeast,10%,04,dm_R57C10xGC6s_181210c_04_yeast_10%_SEZ_volreg_transformed_gauss.nii,4136.5527,4184.105,4137.4316,4227.2954,4203.37,4409.4185,4520.3755,4683.7783,4769.0327,4771.017,4665.6226,4727.713,4737.189,4728.733,4716.1235,4808.455,4845.079,4777.7744,4659.467,4604.598,4780.398,4591.9775,4563.3223,4469.757,4598.0737,4577.105,4570.6562,4571.686,4559.5664,4528.2944,4505.0806,4375.0273,4310.121,4242.9165,4329.1523,4213.2583,4269.026,4298.3457,4131.9146,4294.681,4330.5923,4335.2905,4382.975,4429.6426,4256.985,4412.4766,4262.549,4278.5996,4304.1,4252.25,4232.9883,4422.1562,4389.781,4427.546,4361.5977,4253.488,4183.237,4228.671,4410.7925,4370.887
9,mated_10d_sucrose,dm_R57C10xGC6s_181210c,yeast,10%,04,dm_R57C10xGC6s_181210c_04_yeast_10%_SEZ_volreg_transformed_gauss.nii,3024.5605,3044.4202,3117.4744,3093.12,3067.2764,3083.0244,3135.0825,3152.2976,3159.5508,3215.6702,3266.5537,3447.2354,3536.4294,3724.681,3931.7637,4071.876,4189.4087,4015.4785,3754.647,3591.5034,3527.4773,3401.7273,3379.5884,3497.3662,3652.2356,3671.124,3671.5676,3602.6626,3559.7126,3489.4492,3376.9863,3352.6987,3301.5955,3323.414,3245.6345,3193.6987,3163.1824,3158.1538,3192.2312,3166.4934,3097.4932,3104.915,3146.0715,3169.377,3148.2734,3255.5415,3238.6853,3193.0088,3226.796,3176.8198,3208.8306,3168.6868,3132.9214,3189.58,3156.1365,3104.4487,3107.6868,3092.9531,3222.2046,3086.1277
10,mated_10d_sucrose,dm_R57C10xGC6s_181210c,yeast,10%,04,dm_R57C10xGC6s_181210c_04_yeast_10%_SEZ_volreg_transformed_gauss.nii,3170.9448,3209.8445,3222.2012,3271.1406,3156.9639,3184.457,3179.9717,3189.2917,3244.4158,3266.3965,3352.2024,3383.4656,3417.7278,3463.006,3432.668,3513.5679,3584.7444,3642.6638,3589.1973,3507.6016,3513.3208,3434.5615,3458.2188,3465.7844,3521.3467,3553.095,3504.9143,3536.2478,3469.0132,3469.3167,3362.8013,3385.9014,3348.223,3356.4656,3325.9092,3250.8792,3331.5486,3252.1816,3198.9512,3275.9778,3267.9692,3268.4668,3337.7146,3444.3235,3320.5713,3377.348,3396.9207,3383.6318,3403.5623,3371.9907,3380.7046,3403.2444,3366.53,3561.9358,3502.9182,3380.2126,3357.6511,3320.3672,3530.7605,3307.738
