region,state,fly,stimulus,concentration,stimulus_nr,recording,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1,mated_10d_sucrose,dm_R57C10xGC6s_181210d,nostim,NA,01,dm_R57C10xGC6s_181210d_01_nostim_SEZ_volreg_transformed_gauss.nii,3981.5962,4271.949,4447.086,4553.541,4528.28,4451.3325,4526.674,4563.9575,4490.899,4479.3477,4341.511,4266.816,4584.08,4385.937,4447.434,4318.572,4594.736,4401.146,4556.7124,4453.1177,4326.929,4320.9824,4544.2095,4604.0703,4432.287,4452.127,4500.9214,4594.7896,4327.6323,4370.7197,4519.2534,4324.157,4483.6978,4493.974,4455.4653,4539.1187,4329.7983,4310.8096,4518.112,4380.92,4381.697,4378.0547,4381.0127,4141.3237,4290.3027,4433.4185,4289.046,4486.332,4414.019,4268.7905,4461.679,4231.511,4321.2686,4437.849,4411.1953,4474.025,4337.2705,4146.6836,4268.7627,4176.9707
2,mated_10d_sucrose,dm_R57C10xGC6s_181210d,nostim,NA,01,dm_R57C10xGC6s_181210d_01_nostim_SEZ_volreg_transformed_gauss.nii,2910.142,3430.2178,3362.1746,3306.163,3254.9485,3257.2603,3100.9949,3316.0254,3169.9263,3402.8403,3405.569,3205.231,3177.4458,3126.2659,3307.655,2976.5662,3196.9438,3180.4062,3179.865,3145.366,3131.2466,3044.56,3086.3994,3127.4548,3025.244,3191.4712,3296.4402,3233.3208,3048.7732,3117.6147,3041.35,3172.2542,3152.814,3130.6094,3166.4985,3229.866,3174.3171,2985.5671,3111.0195,2974.5671,3093.767,2932.6843,3228.093,3059.6814,3112.2112,3061.3127,3099.311,3189.8176,3186.377,3037.888,3149.7456,3238.5505,3121.0657,3311.7988,3025.513,3185.399,3228.4395,3053.8582,3209.3306,3184.0906
3,mated_10d_sucrose,dm_R57C10xGC6s_181210d,nostim,NA,01,dm_R57C10xGC6s_181210d_01_nostim_SEZ_volreg_transformed_gauss.nii,6381.038,7049.394,7187.0156,6693.07,6112.125,6229.8784,6849.2246,7050.2544,6626.908,6492.3604,7078.6406,7045.0386,6450.947,7290.072,7463.8906,6591.8423,7039.4854,7100.849,6770.128,7027.119,7685.8516,7086.172,6747.537,6753.4146,6905.627,6966.6885,7263.4683,5734.17,6720.055,6678.608,6895.164,6294.156,6569.011,6873.746,7154.5283,6766.8403,6571.9336,6899.203,6089.915,6410.8735,6579.443,6856.668,6949.463,6857.183,6802.7803,6488.4565,6395.8184,6552.6704,6365.145,6243.41,6863.95,6592.659,6017.8906,7021.641,6257.7397,6118.143,7236.2803,7067.6714,6602.5815,6840.2783
4,mated_10d_sucrose,dm_R57C10xGC6s_181210d,nostim,NA,01,dm_R57C10xGC6s_181210d_01_nostim_SEZ_volreg_transformed_gauss.nii,4806.396,5216.527,5062.679,5437.613,5234.4023,5162.0405,5285.5312,5181.982,5240.707,5200.976,5406.417,5291.9834,5079.48,5265.8584,5226.751,4850.964,5252.1,5183.2593,5130.6924,5195.9526,5192.8994,5185.103,5340.055,5378.742,5265.6055,5205.262,5295.19,5260.267,5156.7217,5163.6226,5150.1035,5295.237,5283.098,5280.1475,5213.2554,5239.0674,5306.8813,5158.0938,5164.2197,4919.078,5055.039,5004.489,5069.7515,4780.0527,5066.779,5130.981,5351.2773,5257.9434,5177.552,4790.432,5123.681,5026.2075,5163.62,5192.118,4870.335,5113.8364,5285.7393,5382.029,5162.2944,5281.6045
5,mated_10d_sucrose,dm_R57C10xGC6s_181210d,nostim,NA,01,dm_R57C10xGC6s_181210d_01_nostim_SEZ_volreg_transformed_gauss.nii,4147.658,4759.559,4771.7197,4769.3774,4873.175,4809.3584,4726.78,4706.4746,4687.0166,4692.652,4731.469,4535.9956,4737.1274,4596.6895,4721.6494,4363.2764,4688.4966,4623.8105,4515.0684,4668.7266,4647.9775,4491.7026,4760.141,4750.2734,4566.5117,4757.6343,4808.7163,4694.037,4562.066,4761.4487,4541.443,4581.255,4703.9487,4691.8433,4771.699,4508.4023,4751.857,4627.8203,4734.445,4579.554,4470.2334,4439.3594,4578.2637,4331.86,4477.428,4630.64,4820.4956,4664.718,4695.5415,4169.0903,4574.2485,4462.109,4556.7905,4570.757,4417.157,4726.5786,4775.8257,4688.6934,4385.9126,4707.6265
6,mated_10d_sucrose,dm_R57C10xGC6s_181210d,nostim,NA,01,dm_R57C10xGC6s_181210d_01_nostim_SEZ_volreg_transformed_gauss.nii,3339.9192,4062.6057,4152.629,3971.145,3954.1836,4035.4812,3736.577,3950.7231,3927.417,4117.0044,3790.3372,3794.3186,3894.6147,3841.1045,4002.906,3701.5361,4064.347,3897.1875,3733.5125,3943.8152,3742.9385,3646.2788,3968.3965,4003.7253,3931.2388,3957.787,3885.9695,4156.85,3770.3477,3944.571,3825.5642,3908.1584,4035.774,3872.2073,3872.5803,3871.9285,3938.1233,3763.9065,3912.126,3666.1628,3644.0664,3612.3982,3793.8955,3500.6343,3764.1665,3881.3264,4059.7375,4024.12,3936.3542,3593.2363,3781.6443,3576.077,3763.1287,3916.898,3562.0771,3962.1533,4191.322,3903.251,3668.7136,4007.7017
7,mated_10d_sucrose,dm_R57C10xGC6s_181210d,nostim,NA,01,dm_R57C10xGC6s_181210d_01_nostim_SEZ_volreg_transformed_gauss.nii,4261.4688,4639.693,4765.7715,4901.082,4929.4946,4917.178,4689.623,4847.715,4736.388,5001.585,5282.513,4739.212,4806.171,4837.0254,4691.462,4594.5405,4591.737,4650.887,4538.7144,4485.8647,4642.853,4707.708,4697.3076,4735.634,4813.334,4552.2573,4643.2676,4733.467,4493.2183,4721.718,4529.529,4729.2134,4555.8286,4399.2134,4409.405,4630.9062,4754.25,4639.7866,4589.6333,4485.572,4433.914,4514.592,4700.2144,4450.0186,4502.535,4654.2334,4974.0312,4617.1567,4339.733,4346.093,4530.4653,4614.6787,4681.165,4708.5713,4462.3457,4531.796,4771.2397,4716.559,4563.3594,4958.9385
8,mated_10d_sucrose,dm_R57C10xGC6s_181210d,nostim,NA,01,dm_R57C10xGC6s_181210d_01_nostim_SEZ_volreg_transformed_gauss.nii,3959.451,4247.629,4256.563,4492.571,4459.7656,4408.8423,4370.9634,4277.1616,4354.862,4411.448,4412.1875,4189.0796,4414.3174,4296.767,4423.639,4314.6504,4339.2744,4171.5,4479.382,4404.008,4363.1562,4445.296,4441.881,4355.958,4316.664,4431.3833,4389.318,4335.3936,4295.797,4171.6606,4393.9175,4313.063,4387.06,4346.0337,4266.916,4284.5347,4360.583,4294.5674,4327.9565,4356.238,4371.686,4309.792,4373.4404,4161.4204,4222.8647,4349.4077,4409.0503,4289.2207,4188.8247,4283.081,4216.651,4247.5596,4064.849,4226.414,4430.2725,3921.102,4271.0024,4197.812,4324.7285,4451.8193
9,mated_10d_sucrose,dm_R57C10xGC6s_181210d,nostim,NA,01,dm_R57C10xGC6s_181210d_01_nostim_SEZ_volreg_transformed_gauss.nii,3077.8499,3529.7788,3561.8005,3616.3574,3527.5918,3532.6992,3442.457,3438.55,3416.083,3526.6868,3529.5051,3394.683,3390.6733,3390.528,3494.553,3154.484,3426.8994,3378.6108,3260.8806,3342.2454,3344.8892,3262.3445,3406.2,3391.402,3359.2974,3403.454,3451.5725,3457.789,3308.8008,3384.945,3329.1382,3390.146,3375.1084,3360.964,3360.3667,3383.26,3306.1035,3255.19,3337.0898,3245.148,3294.592,3136.5205,3356.5222,3196.5808,3258.181,3304.2095,3346.2505,3379.131,3329.0393,3130.274,3254.2307,3345.5083,3306.048,3401.7725,3185.9858,3400.3784,3492.0188,3322.2114,3361.998,3426.951
10,mated_10d_sucrose,dm_R57C10xGC6s_181210d,nostim,NA,01,dm_R57C10xGC6s_181210d_01_nostim_SEZ_volreg_transformed_gauss.nii,3451.227,3823.3975,3918.4006,3910.138,4004.0674,3836.5337,3844.9883,3898.2903,3883.2283,3815.5283,3856.9106,3916.4214,3939.6838,3701.3232,3791.098,3713.0686,3882.1975,3695.6348,3796.5732,3835.0603,3868.9937,3896.6206,4130.6177,3880.0952,3799.32,3859.0962,3776.5674,3721.4011,3822.9731,3854.3977,3726.192,3684.6584,3843.6426,3671.4773,3833.4846,3769.139,3830.2437,3784.3643,3847.3037,3780.0444,3788.6821,3583.266,3657.721,3496.2908,3653.5676,3751.8433,3609.4077,3872.7244,3904.1606,3722.6077,3767.5112,3769.5178,3807.6196,3856.4773,3954.8337,3787.8306,3734.331,3541.262,3682.8848,3633.9172
