region,state,fly,stimulus,concentration,stimulus_nr,recording,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1,mated_10d_sucrose,dm_R57C10xGC6s_181210d,h2o,NA,02,dm_R57C10xGC6s_181210d_02_h2o_SEZ_volreg_transformed_gauss.nii,3973.603,4238.4424,3928.1501,4462.0195,4218.9463,4465.188,4384.854,4592.574,4300.928,4399.461,4267.329,4307.149,4581.918,4330.44,4007.6436,4323.014,4338.926,4194.227,4150.683,4262.067,4246.229,4007.5583,4310.14,3912.8792,4453.4365,4272.7515,4217.672,4052.9216,3805.3079,4257.5093,4203.7173,3991.5476,4176.319,3857.9702,4325.561,4061.7358,4148.4233,4116.3496,4343.126,3956.5735,4051.675,3952.0796,4323.0723,4395.0835,4334.6235,3910.8848,4090.281,4274.8643,4192.68,4198.727,4248.163,4331.347,4342.969,4228.782,4152.9966,4248.8696,4310.731,4047.0469,4109.6255,4122.156
2,mated_10d_sucrose,dm_R57C10xGC6s_181210d,h2o,NA,02,dm_R57C10xGC6s_181210d_02_h2o_SEZ_volreg_transformed_gauss.nii,2762.444,3039.9553,2970.9019,3133.087,3114.9268,3163.9434,3173.67,3157.4731,3060.1765,3034.468,2994.0503,3122.6704,3090.2773,3120.343,3116.5728,3058.0034,3024.1714,3028.7231,3062.5967,3058.076,2906.8945,2874.6199,3045.1995,3006.3804,3165.7695,3053.4304,3086.7249,3094.2214,2963.3025,3111.6204,3108.2021,3115.0198,3018.2688,3056.2434,2902.991,3008.3176,3020.7678,2915.5771,2917.5042,2955.4663,2924.8777,2917.359,2811.4548,2875.383,2679.41,2928.3875,2747.9783,2670.4788,2739.2046,2787.0823,2656.5261,2731.9207,2785.5254,2823.2007,2748.046,2741.147,2855.357,2740.5374,2853.8884,2844.8562
3,mated_10d_sucrose,dm_R57C10xGC6s_181210d,h2o,NA,02,dm_R57C10xGC6s_181210d_02_h2o_SEZ_volreg_transformed_gauss.nii,5927.17,6520.667,5960.3438,6342.035,6322.212,6171.627,6392.952,6747.3105,6095.745,6714.02,6756.3545,6383.152,7298.259,5631.125,6175.9453,7018.7417,6616.703,6063.8564,6185.073,5594.7256,6351.1787,5439.2505,6377.5156,6533.5244,5965.7056,6536.936,6131.3955,5978.472,6270.833,5979.544,6191.5327,5887.9126,6269.552,6090.0664,5618.862,5752.021,5674.1426,5697.025,5795.38,6262.849,6055.159,6040.9966,5550.511,5687.647,6327.4097,5212.0947,5837.6924,5359.5083,5699.65,5130.503,5976.054,6084.908,5616.631,5890.9175,5539.2163,5630.63,5812.7866,5856.111,6098.527,5368.3843
4,mated_10d_sucrose,dm_R57C10xGC6s_181210d,h2o,NA,02,dm_R57C10xGC6s_181210d_02_h2o_SEZ_volreg_transformed_gauss.nii,4665.3794,5007.8647,4859.7534,5166.7935,5037.937,5064.248,5139.437,5194.4,5129.4014,5103.1626,5239.42,5439.0454,5827.3643,5497.1406,5370.4443,5432.359,5205.3184,4819.718,5088.5986,4820.5386,4695.929,5376.046,5274.3584,5018.4966,4785.158,4920.025,4948.2173,5050.6187,4654.8135,4984.3076,4888.971,4898.3164,4749.5845,4870.2466,4800.576,4668.535,4549.6235,4625.726,4831.5273,4663.1465,4591.1675,4529.6846,4456.432,4413.5835,4451.5664,4669.798,4356.61,4366.605,4412.93,4129.003,4417.6675,4335.031,4520.5586,4212.047,4117.9297,4156.8774,4536.946,4204.5044,4273.2705,4320.29
5,mated_10d_sucrose,dm_R57C10xGC6s_181210d,h2o,NA,02,dm_R57C10xGC6s_181210d_02_h2o_SEZ_volreg_transformed_gauss.nii,4021.3845,4486.306,4214.839,4575.053,4519.7285,4623.3164,4623.3276,4699.94,4557.222,4614.9697,4778.875,4905.8604,5003.132,4865.7666,4852.998,4723.7393,4640.339,4386.894,4438.008,4460.089,4385.414,4775.597,4549.152,4553.924,4549.1294,4711.0435,4618.1904,4762.969,4401.391,4868.564,4622.0757,4586.752,4507.372,4543.0,4516.9873,4349.178,4355.4536,4334.127,4580.528,4251.5083,4352.0356,4285.039,4411.5347,4217.733,4255.82,4172.3057,4104.117,4160.4014,4247.689,4127.4,4204.7427,4299.99,4242.738,4131.983,4024.335,3977.8164,4385.398,4198.811,4238.148,4201.7725
6,mated_10d_sucrose,dm_R57C10xGC6s_181210d,h2o,NA,02,dm_R57C10xGC6s_181210d_02_h2o_SEZ_volreg_transformed_gauss.nii,3150.4731,3862.5261,3491.8406,3763.0728,3589.1296,3742.4983,3974.539,3958.874,3822.2297,3849.0889,3785.9153,4095.7642,4248.5454,4158.154,4006.476,3790.9888,3845.8486,3640.2908,3651.7004,3578.3564,3605.844,3746.0989,3922.164,3836.0312,3561.0532,3698.2793,3801.5813,3828.4978,3529.4321,3846.0315,3734.413,3771.5974,3766.2207,4036.4043,3538.767,3516.404,3496.7522,3622.8845,3750.8547,3604.3896,3593.77,3505.8677,3527.424,3471.4,3448.5676,3588.9402,3192.6885,3529.9426,3467.3938,3367.7295,3333.9272,3221.6367,3243.2263,3419.754,3276.2524,3057.993,3501.385,3492.662,3388.281,3255.9639
7,mated_10d_sucrose,dm_R57C10xGC6s_181210d,h2o,NA,02,dm_R57C10xGC6s_181210d_02_h2o_SEZ_volreg_transformed_gauss.nii,4474.8364,4455.065,4275.623,4858.4453,4586.0894,4575.16,4601.528,4735.236,4414.7764,4828.6987,4925.6343,5049.649,4894.5005,4810.6353,4569.1855,4825.093,5052.924,4244.1226,4579.029,4552.609,4180.284,4325.1235,4286.713,4440.5337,4441.8115,4315.645,4309.9736,4766.494,4502.5107,4999.6953,4362.6055,4468.411,4399.5566,4319.3105,4694.059,4189.451,4306.341,4222.3335,4720.4775,4363.8315,4212.586,4321.3633,4411.208,4516.2134,4465.0737,4670.31,4351.7163,4398.4395,4644.9717,4588.516,4743.4263,4610.739,4552.5366,4506.366,4455.773,4288.3647,4602.5703,4569.0303,4563.4683,4409.4287
8,mated_10d_sucrose,dm_R57C10xGC6s_181210d,h2o,NA,02,dm_R57C10xGC6s_181210d_02_h2o_SEZ_volreg_transformed_gauss.nii,3904.9785,4071.0994,3823.5383,4126.15,3970.9385,4097.8833,3947.781,4216.963,4045.2021,4294.1177,4073.1287,3973.1904,4258.7153,4034.3481,3664.5112,4215.8657,4279.003,4062.9927,4176.823,4120.9062,4157.4272,3949.464,3942.7834,4136.2324,4016.283,4034.5513,4032.501,4052.1536,4002.7896,4234.8096,3937.088,4017.055,3958.6252,3932.0168,4097.7886,3914.0125,3974.6367,3945.1455,4261.734,4085.1821,3999.3464,3983.2446,4061.7908,4166.947,4264.97,3875.4944,4124.114,4177.469,4120.5127,4231.8086,4346.7773,4182.499,4169.5703,4130.573,4213.2207,4154.5913,4217.8613,4113.18,4149.7485,4078.5386
9,mated_10d_sucrose,dm_R57C10xGC6s_181210d,h2o,NA,02,dm_R57C10xGC6s_181210d_02_h2o_SEZ_volreg_transformed_gauss.nii,2933.819,3224.592,3117.7747,3351.4922,3400.3713,3362.9946,3361.8503,3392.5518,3242.7034,3284.317,3436.8113,3548.398,3567.3062,3429.0317,3474.5251,3302.257,3375.8245,3138.3098,3263.0317,3251.8345,3117.176,3249.6365,3361.98,3296.1565,3225.2961,3302.6177,3266.4993,3334.5156,3207.1565,3325.2356,3251.9927,3278.1072,3248.4497,3200.3293,3106.1736,3137.6948,3126.239,3031.8577,3111.891,3113.7705,3034.4683,2930.662,2981.6243,3012.4622,2898.2488,3109.8298,2880.0278,2835.5396,2882.314,2867.6177,2880.7732,2905.8586,2959.8918,2892.8638,2888.254,2799.537,2989.045,2907.7117,2952.9697,2901.0837
10,mated_10d_sucrose,dm_R57C10xGC6s_181210d,h2o,NA,02,dm_R57C10xGC6s_181210d_02_h2o_SEZ_volreg_transformed_gauss.nii,3209.9353,3393.9434,3229.1582,3493.3193,3447.3853,3498.0884,3499.5684,3499.4722,3532.3892,3590.2773,3657.1785,3868.688,3818.8552,3489.5596,3637.6836,3608.781,3563.886,3489.2742,3340.706,3193.194,3411.001,3406.1433,3361.9375,3083.6816,3221.2542,3276.4954,3143.0522,3177.7136,3200.41,3246.938,3272.2668,3195.6167,3153.8374,3085.7034,3081.4297,3173.612,3155.2014,3243.3015,3166.4639,3144.7847,3149.424,2991.6543,3204.8364,3071.0603,3030.3948,3050.6138,3132.7002,3201.186,3219.6067,3147.4912,3202.974,3228.5032,3164.0337,3031.8928,3023.2605,3092.768,3162.352,3171.5393,3195.1523,3165.58
