region,state,fly,stimulus,concentration,stimulus_nr,recording,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1,mated_10d_sucrose,dm_R57C10xGC6s_181210d,sucrose,200mM,06,dm_R57C10xGC6s_181210d_06_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,3351.7002,3715.2615,3779.2383,3778.0,3775.3704,3774.7156,3612.1692,3616.8394,3710.1265,3759.3782,3834.6748,4017.9932,4139.967,4258.108,3909.8015,3967.873,3719.0193,3928.596,3602.479,3699.887,3510.9126,3592.8928,3927.5178,4102.701,3935.0999,3846.271,3881.5305,3908.2375,3771.7341,3691.5518,4034.086,3829.0662,3820.1838,3861.776,4100.343,3792.0664,3795.4443,3959.9624,4003.6204,3799.351,3656.494,3704.6785,3949.2832,3850.9375,3868.5583,3907.7883,3957.1133,3836.625,3652.8633,3875.045,3866.8584,3833.3838,3896.4937,3921.7756,3926.304,3619.598,3952.8474,3884.733,3906.1243,3909.7698
2,mated_10d_sucrose,dm_R57C10xGC6s_181210d,sucrose,200mM,06,dm_R57C10xGC6s_181210d_06_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,2691.502,2706.379,2712.26,2818.6836,2957.8367,2837.892,2739.212,2860.7075,2768.996,2749.7722,2890.0125,2899.3857,2951.2424,3072.3838,3044.4849,2988.195,2868.0862,2928.7053,2807.381,2919.3315,2755.2075,2645.8352,3078.4023,3000.3916,3059.0403,2919.2983,3033.3865,2997.8877,2856.9321,2833.1975,2929.219,2840.6445,2897.752,2738.3582,2894.2302,2800.0264,2848.153,2808.4697,2890.3105,2793.9011,2817.615,2898.7551,3017.5586,2767.8406,2754.6538,2897.0725,2837.3706,2822.5432,2845.5613,3009.9956,2897.9155,2845.2405,2972.5386,2946.759,2967.3215,2750.9973,2978.4321,2905.0647,2978.4377,2857.479
3,mated_10d_sucrose,dm_R57C10xGC6s_181210d,sucrose,200mM,06,dm_R57C10xGC6s_181210d_06_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,4795.2295,4597.1367,5290.95,5313.1885,5452.453,4630.464,5331.1646,5103.263,5267.027,5229.954,5187.179,4957.407,5348.912,6072.1353,5766.328,5346.6196,5009.3145,4637.4814,4841.0835,4586.4297,4059.525,4396.9644,4841.201,5223.146,5404.3057,4801.128,5020.2246,5289.042,5657.331,4710.3867,4739.3433,5071.303,4821.3423,5155.9375,4796.3213,4901.852,4765.387,4987.1216,5257.0146,4912.7866,4298.26,5159.6533,5035.7773,5166.7188,5015.5293,5071.6104,5645.815,5501.0986,5112.2725,5179.983,4893.0156,4730.564,5493.305,5488.291,4993.6,5008.3223,5397.092,4863.9897,5555.255,5744.6997
4,mated_10d_sucrose,dm_R57C10xGC6s_181210d,sucrose,200mM,06,dm_R57C10xGC6s_181210d_06_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,3760.0366,3857.9976,3981.8228,4038.5789,4046.2273,4068.589,3992.83,4112.388,4033.3455,3975.8093,4115.534,4052.8967,4942.255,5051.5317,5014.0264,4648.407,4391.257,4765.0874,4031.827,4288.2456,3900.73,3831.2537,4553.804,4799.3354,4740.844,4473.4775,4478.378,4465.604,4207.1504,4148.5117,4587.2734,4296.288,4377.7295,4306.8022,4179.946,3910.5083,4030.538,4120.4927,4148.0913,3897.1543,4069.2275,4143.7964,4187.076,4023.2996,4062.971,3991.283,4087.111,4034.1553,4016.1926,4384.042,4087.5469,4061.1018,4084.6873,4134.626,4236.4844,3955.971,4231.389,4176.4146,4215.082,4083.7532
5,mated_10d_sucrose,dm_R57C10xGC6s_181210d,sucrose,200mM,06,dm_R57C10xGC6s_181210d_06_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,3514.772,3591.6409,3698.64,3857.2249,3775.1602,3882.543,3713.9585,3829.7185,3632.6365,3813.1138,3755.995,3917.6743,4271.6616,4305.3354,4178.452,4104.0693,3898.699,4053.511,3748.8425,3906.341,3521.149,3567.5017,4152.21,4072.7156,4168.396,3962.7954,3990.145,3960.9592,3933.435,3772.6494,4126.139,3970.0093,4008.3486,3940.0117,4002.403,3698.3801,3791.504,3891.366,3954.8179,3727.0679,3846.5896,3822.526,3901.9453,3732.4644,3807.6555,3809.1218,3815.2192,3746.8801,3739.3408,3900.441,3889.7446,3774.0002,3969.36,3921.763,4015.4792,3783.397,3998.864,3962.3005,3956.7607,3896.1697
6,mated_10d_sucrose,dm_R57C10xGC6s_181210d,sucrose,200mM,06,dm_R57C10xGC6s_181210d_06_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,2988.0469,3073.886,3098.9219,3313.4778,3229.3503,3347.9998,3202.965,3231.3281,3222.2317,3344.7678,3209.832,3255.4604,3490.6055,3418.021,3447.0938,3319.6638,3354.712,3320.1145,3286.0554,3441.3357,3034.7095,2884.399,3537.9717,3454.9158,3609.5547,3335.3762,3476.5903,3345.4792,3517.446,3203.4858,3545.095,3420.875,3614.7031,3264.9612,3227.3425,3210.3103,3249.518,3415.5046,3203.8748,3368.3467,3259.9585,3339.1516,3411.9473,3149.7012,3272.344,3278.2214,3351.3862,3297.7654,3254.512,3562.1177,3398.1167,3302.6084,3317.1045,3251.5056,3400.4385,3176.896,3395.2651,3372.8416,3544.2554,3280.1863
7,mated_10d_sucrose,dm_R57C10xGC6s_181210d,sucrose,200mM,06,dm_R57C10xGC6s_181210d_06_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,3773.0117,3891.4485,4030.4946,4086.3757,4133.387,4169.9155,4003.35,4250.7285,4163.7188,4023.4016,4209.465,4333.617,4323.4185,4343.3374,4381.3555,4403.36,4056.0278,4166.7695,3893.3354,4161.8623,3776.2402,3700.7166,4308.3276,4459.7837,4487.311,4410.5645,4132.806,4256.3525,4102.0825,4139.1426,4121.6484,4065.1855,4206.6455,4229.4453,4227.5117,4009.079,4003.6467,4172.343,4231.1006,3959.2715,3944.801,4071.3362,4223.0264,3902.534,4027.916,4120.6226,4063.9568,4070.5784,4001.534,4560.6113,4281.049,4168.351,4331.4673,4243.6426,4172.6475,3902.3582,4302.968,4277.624,4365.9937,4082.2976
8,mated_10d_sucrose,dm_R57C10xGC6s_181210d,sucrose,200mM,06,dm_R57C10xGC6s_181210d_06_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,3422.43,3863.6064,3773.1848,3783.94,3665.8489,3755.607,3691.0024,3604.7192,3849.0715,3858.2388,3784.1147,3842.0723,4113.4336,4059.6438,3902.2224,3980.5288,3786.827,3882.7126,3618.1736,3619.2935,3518.6858,3523.6191,3922.3577,4016.86,3919.012,3952.1978,3879.457,3781.4045,3810.1921,3673.1355,4012.183,3980.0266,3773.05,3786.9382,3977.488,3793.9023,3927.588,4025.4167,3961.5444,3867.1353,3708.606,3765.0212,3909.3306,3784.5461,3831.1035,3922.3215,3916.2627,3871.591,3652.05,4026.765,4011.0059,4017.1226,3915.845,3907.9458,3867.2485,3617.8513,3910.1062,3858.3647,3877.424,3867.561
9,mated_10d_sucrose,dm_R57C10xGC6s_181210d,sucrose,200mM,06,dm_R57C10xGC6s_181210d_06_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,2746.5417,2808.8845,2854.263,2951.6448,2952.3608,2979.1677,2907.5085,2960.5645,2961.993,2935.685,2932.4492,2977.5198,3240.9602,3289.3694,3218.4128,3068.3318,2959.1548,3123.9365,2886.0432,3052.332,2787.8867,2765.1309,3256.069,3196.434,3163.0386,3067.8796,3098.9844,3075.0532,2965.451,2892.6726,3070.9534,3017.923,3082.369,2931.7744,3027.0396,2860.0305,2920.9292,2958.1294,2937.0208,2855.4443,2886.4648,2954.6523,3009.9077,2885.0354,2844.4465,2961.981,2942.7698,2907.0803,2928.4739,3055.3425,2990.3816,2901.8481,3012.095,2948.466,3052.5852,2847.2344,3086.3428,3010.0527,3062.299,2907.375
10,mated_10d_sucrose,dm_R57C10xGC6s_181210d,sucrose,200mM,06,dm_R57C10xGC6s_181210d_06_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,2915.9111,3099.7944,3197.0154,3156.7896,3100.7322,3197.2158,3117.5764,3141.1555,3108.106,3136.1057,3065.4492,3365.4265,3420.0613,3342.4023,3278.5603,3173.7644,3220.3062,3291.2727,3099.4429,3099.7449,3000.621,2991.945,3421.5007,3349.868,3257.4824,3217.5442,3174.9575,3219.1963,3163.442,3146.266,3106.112,3311.4524,3221.0781,3096.6455,3232.3853,2950.7515,3121.9097,3062.9343,3101.6428,3065.8318,3126.6694,3132.206,3234.8833,3163.6116,2996.922,2995.5513,3096.5298,3099.9915,3107.5337,3187.5327,3107.6711,3081.6401,3051.0022,3001.3628,3140.3254,3038.1987,3192.7695,3095.369,3069.4192,3087.1294
