region,state,fly,stimulus,concentration,stimulus_nr,recording,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1,mated_10d_sucrose,dm_R57C10xGC6s_181210e,nostim,NA,01,dm_R57C10xGC6s_181210e_01_nostim_SEZ_volreg_transformed_gauss.nii,4960.3735,5189.9717,5038.3296,5008.0386,5101.3853,5116.4204,4988.84,5129.636,5230.197,5012.97,5203.303,5134.113,5175.203,5024.866,5061.1895,5044.441,5002.844,5244.987,5213.801,5135.274,5146.574,5117.8125,5140.153,5083.8506,5026.9717,5152.0767,5231.3076,5158.3457,5155.974,5113.606,5025.772,5016.346,5099.332,4958.9917,4845.686,5104.675,4928.451,4799.9165,4904.0503,4760.2573,4927.5435,4873.926,5029.7393,4936.9707,5046.4624,4811.6465,4782.88,4775.605,4716.1797,4702.594,4802.2515,4760.7314,4783.0513,4725.3184,4918.0967,4486.179,4865.229,4835.18,4630.9478,4798.009
2,mated_10d_sucrose,dm_R57C10xGC6s_181210e,nostim,NA,01,dm_R57C10xGC6s_181210e_01_nostim_SEZ_volreg_transformed_gauss.nii,2701.6125,2824.3857,2730.9905,2793.7266,2747.3896,2771.1584,2775.2202,2806.3977,2831.7698,2839.809,2821.1157,2829.8792,2883.5771,2899.2834,2872.5833,2795.05,2926.8264,2941.7878,2908.3542,2853.6711,2848.2454,2840.1052,2866.4614,2841.1858,2877.0027,2802.781,2856.6555,2856.168,2869.6917,2839.1824,2807.9973,2801.6409,2915.3596,2838.0464,2817.6145,2828.0037,2819.2073,2743.4055,2803.2522,2742.2053,2787.908,2736.8289,2816.7627,2845.0693,2911.726,2900.7793,2761.0012,2796.8933,2827.574,2768.929,2758.1501,2686.589,2757.652,2840.8425,2742.175,2712.8672,2777.6855,2834.4683,2769.05,2731.7822
3,mated_10d_sucrose,dm_R57C10xGC6s_181210e,nostim,NA,01,dm_R57C10xGC6s_181210e_01_nostim_SEZ_volreg_transformed_gauss.nii,8040.3994,8134.5625,7827.2114,7609.738,7615.632,7787.36,7562.933,7358.9146,8034.5083,7357.89,7450.4624,7303.064,7403.553,7564.574,7690.997,7586.5815,7719.7803,7844.693,7231.216,7068.362,7846.832,7675.1885,7451.9194,6900.808,7820.697,6644.9316,7893.096,7554.842,7439.0137,7371.5396,7704.272,7453.199,7571.875,7507.534,7647.748,7638.106,6991.138,7481.691,6933.062,6825.361,7121.139,7248.8906,6874.6733,7406.579,7184.996,7280.7944,6941.9946,7188.363,6859.6987,6987.7876,6721.522,6942.9805,6964.222,7312.973,6899.6323,6807.947,6997.336,7099.306,6804.4087,7062.748
4,mated_10d_sucrose,dm_R57C10xGC6s_181210e,nostim,NA,01,dm_R57C10xGC6s_181210e_01_nostim_SEZ_volreg_transformed_gauss.nii,7241.859,7173.519,7016.8813,6805.119,6678.277,6710.3896,6842.3174,6915.4844,6907.4126,7344.2803,7081.431,6914.396,7043.477,7176.8076,7090.9507,7016.707,7061.7285,7148.3247,7000.9,6995.123,7071.1597,6987.3516,7090.534,7092.39,6981.5576,6927.1377,7299.4673,7015.572,7159.8945,7192.9463,6958.338,7060.7295,7166.9023,6975.955,6976.376,7078.3945,6892.817,6827.475,6832.5254,6652.015,6902.157,6638.955,6805.6094,6953.928,6889.8613,6690.131,6736.453,6819.1606,6612.0117,6484.014,6536.7046,6387.0234,6355.3496,6788.895,6519.015,6243.446,6590.686,6641.4775,6478.974,6491.294
5,mated_10d_sucrose,dm_R57C10xGC6s_181210e,nostim,NA,01,dm_R57C10xGC6s_181210e_01_nostim_SEZ_volreg_transformed_gauss.nii,5879.2515,6060.036,5789.754,5852.438,5766.9707,5871.786,5756.5786,5853.2305,5983.589,6003.477,5901.9087,6031.788,6082.5537,5990.5654,5865.731,5907.4453,5925.8926,6157.017,6010.8604,5855.449,5987.461,5754.775,5995.074,6100.037,5882.425,5917.733,6142.6323,5916.1567,6034.934,5922.068,5731.752,5856.163,5983.018,5575.4424,5685.142,5775.77,5728.3613,5677.768,5746.969,5488.6533,5807.948,5567.528,5763.1313,5797.5166,5851.243,5600.7944,5543.539,5547.36,5616.7495,5383.125,5583.4175,5398.304,5354.083,5518.897,5611.4355,5269.336,5708.328,5662.9956,5582.9414,5520.174
6,mated_10d_sucrose,dm_R57C10xGC6s_181210e,nostim,NA,01,dm_R57C10xGC6s_181210e_01_nostim_SEZ_volreg_transformed_gauss.nii,4817.829,5004.879,4946.017,4953.6836,5033.2896,5204.343,4897.5776,5047.572,5250.83,5140.1416,5088.9585,5258.59,5192.3706,4858.918,4989.5083,4905.05,4964.635,5137.8076,4928.0835,5128.932,4888.1274,4801.982,5045.9907,4986.8823,5025.3276,4858.425,5089.41,4902.8237,5113.708,4932.133,4839.6875,4988.1543,5153.7456,4837.928,4770.232,5053.3877,5080.467,4748.847,4936.6343,4808.7456,4870.395,4798.268,4913.087,4972.5176,4813.4355,4835.3945,4708.857,4881.0044,4710.466,4553.683,4726.9165,4645.075,4624.543,4770.8135,4683.728,4491.6147,4849.179,4949.6406,4781.4976,4593.297
7,mated_10d_sucrose,dm_R57C10xGC6s_181210e,nostim,NA,01,dm_R57C10xGC6s_181210e_01_nostim_SEZ_volreg_transformed_gauss.nii,4447.1426,4790.1577,4663.487,4708.6016,4647.7314,4653.683,4652.2583,4797.7124,4702.9077,4833.14,4731.8755,4937.722,4841.0723,4731.7275,4765.6606,4770.8403,4788.155,4959.0938,4834.55,4760.8706,4707.3276,4705.155,4760.595,4775.506,4826.255,4833.1504,4810.58,4631.1846,4789.5425,4681.824,4624.939,4599.323,4767.5356,4533.821,4493.756,4702.0884,4588.6416,4496.689,4549.9565,4421.167,4623.1196,4477.6265,4529.9775,4656.0044,4682.5664,4559.4976,4454.875,4704.1924,4688.3125,4469.502,4501.1016,4454.445,4430.195,4517.9106,4509.407,4267.206,4543.584,4551.019,4473.6704,4418.613
8,mated_10d_sucrose,dm_R57C10xGC6s_181210e,nostim,NA,01,dm_R57C10xGC6s_181210e_01_nostim_SEZ_volreg_transformed_gauss.nii,4053.0242,4255.55,4194.6167,4147.9683,4245.701,4209.93,4142.292,4247.4956,4326.1724,4192.75,4308.4473,4315.7827,4253.2803,4241.85,4298.275,4307.136,4216.283,4252.5864,4234.8066,4233.385,4285.3315,4218.051,4286.684,4229.872,4242.6553,4260.838,4224.0034,4302.625,4358.8975,4303.0654,4281.2983,4239.8364,4219.332,4275.4517,4252.425,4305.0493,4316.5723,4181.0566,4245.2695,4106.1816,4288.9443,4082.7048,4269.329,4242.36,4328.9873,4123.382,3989.825,4062.0293,3967.7727,4085.6104,4118.9805,4115.081,4237.631,4154.7515,4154.2046,3900.1128,4118.3955,4109.0464,3978.5522,4230.891
9,mated_10d_sucrose,dm_R57C10xGC6s_181210e,nostim,NA,01,dm_R57C10xGC6s_181210e_01_nostim_SEZ_volreg_transformed_gauss.nii,3242.3171,3455.9065,3333.653,3353.8125,3356.4343,3344.593,3397.4424,3362.731,3498.843,3543.0938,3426.4375,3552.773,3543.5671,3470.8286,3519.3887,3418.3818,3539.2827,3597.555,3504.151,3438.797,3380.3738,3368.3186,3483.243,3526.6406,3429.0513,3357.6492,3462.0393,3398.5574,3461.4055,3446.2588,3292.8127,3358.8071,3520.2268,3313.8088,3353.9814,3469.0696,3390.0208,3295.621,3354.0425,3222.3232,3377.9622,3275.3896,3304.9412,3455.687,3474.0938,3384.855,3296.1904,3368.1606,3342.1597,3235.4949,3312.4458,3209.6704,3204.0276,3323.7485,3337.1885,3161.264,3399.8381,3408.0244,3393.341,3241.2656
10,mated_10d_sucrose,dm_R57C10xGC6s_181210e,nostim,NA,01,dm_R57C10xGC6s_181210e_01_nostim_SEZ_volreg_transformed_gauss.nii,3205.4856,3322.6187,3199.5862,3243.9048,3215.1401,3268.97,3243.535,3224.3655,3389.5422,3312.3293,3348.6938,3344.475,3387.5332,3306.9307,3243.9226,3306.8293,3351.7627,3422.5054,3423.6782,3191.4783,3400.379,3209.7092,3362.5605,3203.7144,3193.2766,3152.6316,3365.4082,3291.288,3364.0942,3338.3687,3213.7107,3215.154,3291.592,3165.934,3247.1504,3354.786,3331.0654,3185.3914,3215.2812,3131.3599,3327.8267,3208.1035,3219.6528,3400.897,3385.7256,3240.2476,3143.2332,3265.911,3295.532,3091.5088,3097.962,3099.3079,3029.7612,3143.985,3221.0437,3074.9592,3280.2212,3322.2961,3204.9954,3180.8574
11,mated_10d_sucrose,dm_R57C10xGC6s_181210e,nostim,NA,01,dm_R57C10xGC6s_181210e_01_nostim_SEZ_volreg_transformed_gauss.nii,3445.4377,3635.7295,3509.8196,3517.533,3499.2393,3502.3018,3593.7275,3580.524,3624.1514,3764.8572,3616.9807,3711.1785,3716.7874,3789.5583,3726.8027,3720.104,3800.8706,3816.773,3818.2695,3830.6228,3724.136,3743.8542,3754.5176,3827.0645,3728.9065,3731.374,3835.0916,3687.0352,3843.1504,3786.012,3699.432,3724.129,3879.9763,3753.483,3731.0623,3791.9888,3724.5046,3716.5664,3681.546,3619.859,3748.1853,3642.7966,3654.6013,3764.993,3785.2341,3760.609,3662.042,3719.809,3694.5112,3591.196,3660.001,3535.2424,3569.2522,3722.932,3687.709,3558.838,3718.6172,3707.892,3638.9675,3574.811
