region,state,fly,stimulus,concentration,stimulus_nr,recording,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1,mated_10d_sucrose,dm_R57C10xGC6s_181210e,h2o,NA,02,dm_R57C10xGC6s_181210e_02_h2o_SEZ_volreg_transformed_gauss.nii,4894.992,5049.507,5178.544,5260.6147,5156.2344,5035.4805,5107.1807,5121.2866,5018.789,4897.9287,4827.21,5180.8696,5380.243,5316.948,5436.1206,5189.33,5285.884,5263.5874,5160.5767,5197.6704,5360.8784,5188.464,5358.538,5319.492,5266.885,5231.1084,5208.619,5130.262,5191.682,5284.4067,5196.9087,5073.655,5258.1304,5255.4844,5138.661,5114.047,5040.387,4996.4785,4910.939,4988.7,5178.205,4934.171,5044.8374,4920.928,4801.616,5149.0586,4886.9214,4948.2017,4971.5483,4927.738,4877.7764,4968.1445,4761.3237,4957.2266,4833.656,4953.701,4891.782,4835.4106,4975.297,5060.9937
2,mated_10d_sucrose,dm_R57C10xGC6s_181210e,h2o,NA,02,dm_R57C10xGC6s_181210e_02_h2o_SEZ_volreg_transformed_gauss.nii,2669.5312,2687.3418,2770.1826,2807.6692,2805.5955,2895.4197,2857.823,2768.9143,2824.325,2768.685,2790.145,2765.9414,2812.824,2843.467,2913.8225,2880.0112,2865.2205,2811.958,2836.7017,2893.7383,2855.447,2834.8718,2904.741,2727.8494,2770.1548,2693.699,2852.959,2749.3345,2724.186,2766.031,2810.8574,2792.5723,2743.3267,2814.9966,2869.8706,2819.031,2731.7466,2747.426,2710.1726,2735.5107,2685.9167,2750.5688,2766.3843,2688.8494,2800.8113,2692.368,2818.2024,2645.4595,2809.0383,2758.44,2692.4604,2690.4536,2748.7815,2787.1252,2768.0342,2846.245,2663.727,2891.8625,2765.4573,2812.7532
3,mated_10d_sucrose,dm_R57C10xGC6s_181210e,h2o,NA,02,dm_R57C10xGC6s_181210e_02_h2o_SEZ_volreg_transformed_gauss.nii,7275.4067,7364.802,7063.1436,7282.9194,6810.781,7106.3335,7196.5557,7014.2314,6816.1045,7135.346,7169.5234,8386.808,8226.713,8656.498,8859.852,8061.028,7890.456,8078.7246,7173.792,7509.503,7909.3276,7561.1177,7461.4263,7811.902,7915.699,7616.0464,7863.4683,7892.6543,8021.4727,8198.531,7963.2334,8045.3647,8693.163,8069.2466,7895.667,7607.662,7838.714,7531.633,7731.257,7450.793,7702.6123,6941.2793,7313.067,7445.896,6930.8433,7624.1143,7886.2925,7864.3364,6996.271,7064.996,6975.929,7106.4185,7237.3066,6961.26,6890.4067,6759.612,7145.874,6536.9033,7031.0835,7241.2695
4,mated_10d_sucrose,dm_R57C10xGC6s_181210e,h2o,NA,02,dm_R57C10xGC6s_181210e_02_h2o_SEZ_volreg_transformed_gauss.nii,6958.1655,6892.701,6792.795,6996.618,6562.09,6613.186,6459.2617,6363.493,6474.211,6531.7065,6188.2954,7925.814,8394.299,8825.227,8981.1875,8674.685,8412.228,7963.242,8150.1353,7953.792,7516.601,7790.427,7683.0376,7505.561,7774.976,7653.206,7725.1343,7676.649,7487.1377,7529.264,7564.105,7664.3823,7351.1055,7585.494,7669.2954,7490.8867,7270.861,7161.8247,7343.5312,7044.758,7138.6147,6971.6064,6836.453,7147.12,6869.5884,6575.3325,6914.869,6738.401,6569.638,6563.291,6344.6284,6532.8833,6504.0654,6354.4717,6386.3813,6478.136,6237.7153,6457.8984,6475.846,6314.7275
5,mated_10d_sucrose,dm_R57C10xGC6s_181210e,h2o,NA,02,dm_R57C10xGC6s_181210e_02_h2o_SEZ_volreg_transformed_gauss.nii,5753.2236,5801.857,5859.211,5797.1787,5639.4326,5765.542,5670.523,5626.3633,5747.557,5480.788,5623.508,5721.8184,6532.209,6690.4775,6662.1455,6592.301,6532.763,6434.9604,6287.595,6089.6304,6156.498,6219.3,6497.313,6703.447,6396.4873,6629.116,6399.6387,6543.326,6494.988,6299.364,6305.965,6424.8984,6131.2095,6122.4863,6148.742,6227.095,6067.8906,6081.8857,5985.2524,5857.306,5924.4395,5920.241,5827.1113,5814.7954,5571.4443,5820.9595,5881.3096,5779.064,5416.8984,5606.842,5508.6406,5686.0674,5474.7954,5836.294,5517.087,5573.53,5562.267,5656.126,5686.066,5677.6504
6,mated_10d_sucrose,dm_R57C10xGC6s_181210e,h2o,NA,02,dm_R57C10xGC6s_181210e_02_h2o_SEZ_volreg_transformed_gauss.nii,4737.4487,4678.1006,4731.649,5010.6333,4730.6094,4840.0796,4873.0825,4655.619,5055.8755,4780.7163,4685.457,4946.5894,5623.042,5848.0894,5594.287,5717.2754,5177.892,5060.2666,5391.41,5292.678,5068.589,5103.3745,5325.7183,5386.6577,5061.4634,5249.252,5352.4653,5376.0356,5052.4263,5065.4297,5127.6714,5100.804,4948.976,4932.266,5071.6616,5111.864,5034.618,4891.5225,4818.5596,5013.3184,4849.7236,4983.1846,4912.168,4886.218,4769.6074,5034.9336,4869.319,4657.363,4696.3706,4717.326,4379.048,4630.5225,4839.4546,4776.1826,4866.8447,4754.769,4705.685,4850.509,4776.292,4684.0303
7,mated_10d_sucrose,dm_R57C10xGC6s_181210e,h2o,NA,02,dm_R57C10xGC6s_181210e_02_h2o_SEZ_volreg_transformed_gauss.nii,4222.5547,4480.4937,4596.692,4700.211,4522.2466,4732.8765,4621.234,4523.969,4697.25,4629.6406,4247.5044,4645.1196,4673.0215,4714.793,4653.231,4604.712,4605.9585,4651.588,4724.12,4831.457,4746.3486,4817.8745,4804.376,4711.171,4626.494,4580.4326,4671.8745,4783.7773,4673.4727,4540.6333,4710.545,4689.718,4576.857,4567.5405,4836.906,4737.1387,4674.4077,4639.7485,4591.0693,4551.407,4550.234,4593.393,4579.5337,4562.49,4410.578,4471.1284,4570.016,4425.8066,4501.6943,4539.3433,4409.976,4540.903,4517.0303,4510.084,4351.6177,4467.3945,4367.155,4504.138,4417.848,4476.983
8,mated_10d_sucrose,dm_R57C10xGC6s_181210e,h2o,NA,02,dm_R57C10xGC6s_181210e_02_h2o_SEZ_volreg_transformed_gauss.nii,3995.3828,4034.0457,4283.225,4346.3755,4259.86,4212.1675,4296.7134,4276.035,4200.144,4194.6587,3964.7954,4157.906,4362.452,4409.485,4435.1436,4223.0464,4136.3438,4103.8486,4236.5713,4276.603,4292.5425,4101.4043,4134.1465,4036.3223,4027.6143,4014.7808,4168.007,4117.307,4060.551,4197.0967,4254.1943,4198.289,4112.6865,4018.0312,4124.392,4028.2476,4053.6135,4016.1377,4008.4363,4158.6963,4239.49,3965.9966,4160.8276,3971.4065,4085.5508,4218.4243,4011.2053,4020.9504,4149.571,4228.1997,4241.8516,4263.662,4174.5366,4161.8706,4133.5347,4243.864,4264.417,4139.854,4267.112,4242.7905
9,mated_10d_sucrose,dm_R57C10xGC6s_181210e,h2o,NA,02,dm_R57C10xGC6s_181210e_02_h2o_SEZ_volreg_transformed_gauss.nii,3172.801,3265.011,3244.6462,3407.394,3296.116,3447.1921,3334.428,3285.7346,3450.6016,3293.7551,3417.906,3539.4592,3849.0479,3808.0215,3855.582,3883.143,3806.0332,3644.275,3760.5613,3716.956,3577.7537,3611.3875,3825.5676,3695.0696,3703.6646,3658.5046,3721.3848,3630.2603,3581.2942,3581.0354,3605.4897,3724.5273,3488.9526,3546.1,3590.2488,3543.8354,3499.4385,3437.9236,3384.8782,3378.093,3399.9011,3437.4177,3375.013,3392.761,3443.3286,3336.1426,3484.715,3309.6772,3362.4382,3310.5215,3247.7588,3349.8938,3279.6296,3433.5798,3312.3992,3349.1467,3206.0479,3392.7583,3281.9646,3375.033
10,mated_10d_sucrose,dm_R57C10xGC6s_181210e,h2o,NA,02,dm_R57C10xGC6s_181210e_02_h2o_SEZ_volreg_transformed_gauss.nii,3205.8816,3174.8088,3358.9685,3376.6123,3402.9282,3355.2168,3479.5298,3420.3765,3477.986,3326.5415,3536.411,3492.0085,3780.9263,3932.196,3912.6726,3974.9316,4020.597,3938.9062,3743.5505,3760.0916,3788.5435,3644.2644,3610.6514,3682.5542,3724.6663,3680.9902,3611.91,3664.6458,3722.1394,3626.34,3507.3206,3543.0967,3604.2195,3696.8762,3517.2231,3667.7803,3670.0586,3624.069,3582.8857,3500.629,3579.1436,3460.1433,3457.1653,3416.2705,3484.004,3419.1987,3349.7107,3495.9312,3439.5593,3316.7842,3410.3992,3495.956,3460.532,3471.603,3381.8667,3450.4604,3384.3284,3360.9397,3429.9026,3479.1301
