region,state,fly,stimulus,concentration,stimulus_nr,recording,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1,mated_10d_sucrose,dm_R57C10xGC6s_181210e,sucrose,200mM,03,dm_R57C10xGC6s_181210e_03_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,4239.9966,4555.406,4593.7925,4599.7476,4545.1406,4663.8145,4594.804,4658.4873,4660.6987,4531.216,4714.132,4476.277,4997.19,4979.484,5046.852,5110.2095,5309.4414,5111.4116,5013.772,5043.1304,4914.1177,4863.0176,4904.5176,4997.047,5252.8394,5251.1885,5105.6826,5194.203,5173.8647,5115.125,5080.2197,5026.1416,5182.8726,5100.7456,5110.6826,5114.252,4931.2554,4794.5933,4661.101,4859.5444,4796.2676,4828.3496,4738.458,4806.409,4834.2544,4936.6367,4834.151,4926.252,4878.809,4878.2017,4862.2695,4906.5547,4902.7036,4870.1133,4825.7876,4789.0625,4863.0093,4853.7393,4807.6494,4797.9375
2,mated_10d_sucrose,dm_R57C10xGC6s_181210e,sucrose,200mM,03,dm_R57C10xGC6s_181210e_03_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,2556.5852,2693.1455,2720.5073,2578.7012,2551.0427,2672.3123,2598.5564,2681.0496,2691.3298,2632.8428,2732.8772,2697.5977,2916.9539,2855.6206,2841.4316,2882.9282,2837.386,2903.4211,2861.151,2812.2283,2779.229,2833.6892,2851.7427,2884.8738,2968.4666,2932.5818,2949.479,2920.8628,2935.4016,2857.291,2946.8462,2862.8574,2900.6355,2786.4832,2885.3066,2868.4849,2854.6338,2874.6758,2849.0405,2797.391,2801.0825,2835.8372,2839.942,2781.4204,2768.5012,2767.3828,2777.0422,2815.4656,2818.7168,2709.1697,2697.5864,2822.6853,2787.0469,2721.4944,2729.8933,2714.3809,2774.7703,2730.0488,2715.4956,2749.2974
3,mated_10d_sucrose,dm_R57C10xGC6s_181210e,sucrose,200mM,03,dm_R57C10xGC6s_181210e_03_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,5140.562,5283.8677,5248.5415,4866.953,4985.5254,5058.819,5348.3057,5437.2275,5323.058,4666.419,5516.9116,4860.1855,6677.9062,6737.599,6618.5454,6943.747,6726.171,5975.4854,6583.3623,6129.652,6046.735,5641.5024,5685.9146,6081.974,5753.2065,6503.776,6512.6113,6580.878,6147.2344,6714.681,6315.7334,6570.793,6690.621,6343.303,6100.2524,5521.726,6246.815,6335.2725,5559.1924,6002.331,6123.6113,6019.3003,5817.2734,6038.6,6085.73,5681.756,6311.4893,6308.6846,6328.632,6367.2715,6512.003,6136.6196,6097.3877,6024.453,6085.9775,6505.872,6328.699,6496.848,5922.343,6041.9116
4,mated_10d_sucrose,dm_R57C10xGC6s_181210e,sucrose,200mM,03,dm_R57C10xGC6s_181210e_03_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,6099.0,6399.4707,6438.32,5991.6367,6026.106,6010.754,6021.033,6237.378,6174.8184,6101.8794,6227.556,6107.682,8188.413,9024.328,9155.667,9257.322,8943.972,8280.401,7886.8213,7642.0996,7168.547,7052.3003,7305.9077,7877.993,8143.146,8295.049,8343.815,8332.461,8739.058,8501.344,8275.082,8343.162,8321.88,7947.72,7685.1807,7518.2573,7519.8687,7493.937,7403.4624,7176.335,7267.3076,7297.949,7109.704,7166.1304,7394.4824,7484.5093,7481.255,7647.0845,7700.143,7568.2017,7639.892,7634.4414,7696.4443,7569.955,7701.4478,7598.2915,7715.2754,7713.767,7450.011,7682.12
5,mated_10d_sucrose,dm_R57C10xGC6s_181210e,sucrose,200mM,03,dm_R57C10xGC6s_181210e_03_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,4973.9985,5448.712,5208.445,5112.357,4893.603,5238.345,5109.3345,5413.6333,5327.12,5129.2417,5413.675,5462.4824,6499.816,6546.589,6643.5874,6455.005,6449.091,6299.7397,5929.891,6063.5854,5906.4795,5749.737,6420.86,6733.4717,6976.049,7319.6714,6993.002,7120.2124,6967.6113,6680.2495,6981.7925,6934.628,6713.1226,6438.8486,6159.3438,6225.281,6205.9946,6012.9165,5896.4966,5803.6934,5811.2095,5734.6113,5687.0923,5622.4927,5782.886,5847.7783,5790.0317,5750.534,5669.2593,5661.8535,5704.1357,5736.4956,5759.4985,5667.6387,5670.91,5567.8364,5722.427,5718.435,5611.796,5841.6978
6,mated_10d_sucrose,dm_R57C10xGC6s_181210e,sucrose,200mM,03,dm_R57C10xGC6s_181210e_03_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,4233.8447,4726.692,4561.0557,4504.82,4139.3564,4405.9204,4364.1133,4540.164,4605.8667,4538.381,4704.2393,4721.4956,6404.786,6556.287,6434.267,6586.9863,6618.006,6316.5757,5949.7476,5817.178,5522.5083,5396.144,6091.546,6799.505,6826.5684,7025.244,6727.2925,6843.248,6799.97,6403.1113,6428.4043,6557.0425,6562.584,6154.664,5911.4624,5796.658,5834.62,5627.8604,5565.982,5288.8213,5252.5244,5193.635,5189.6777,5110.0947,5070.6904,5083.464,5016.1167,5053.0083,4974.682,5039.2974,4884.217,5099.1895,4951.226,5126.2217,4870.8384,4718.402,4956.485,5124.4443,4817.032,4970.895
7,mated_10d_sucrose,dm_R57C10xGC6s_181210e,sucrose,200mM,03,dm_R57C10xGC6s_181210e_03_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,4150.0957,4432.354,4359.8086,4262.489,4194.4253,4269.1265,4151.239,4489.6064,4453.5996,4171.051,4506.101,4386.101,4798.7407,4832.295,4808.9507,4797.7617,4887.716,4899.833,4741.206,4785.863,4607.887,4518.7227,4723.553,4976.5923,4843.9653,5086.7637,4891.827,4905.0503,4894.8228,4911.47,4669.087,4766.6226,4851.081,4638.907,4762.7817,4690.791,4692.17,4686.595,4699.799,4641.3887,4708.731,4668.522,4558.35,4617.578,4569.9204,4603.8027,4619.086,4689.8623,4526.2334,4564.2197,4577.07,4756.4316,4622.975,4575.386,4597.9756,4448.237,4612.2397,4678.93,4521.967,4575.5767
8,mated_10d_sucrose,dm_R57C10xGC6s_181210e,sucrose,200mM,03,dm_R57C10xGC6s_181210e_03_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,3654.9497,3820.6943,3884.9226,3790.7424,3839.0215,3885.5818,3904.1582,4013.4404,3951.5854,3746.3367,3884.473,3726.2712,3970.1755,4058.2454,4072.8628,4068.5393,4018.1401,4010.3027,3950.7327,3899.6228,4002.5278,3860.1494,3913.5234,4047.1943,4042.5164,3992.852,3980.448,4067.693,4038.4153,4074.4905,3915.2556,3866.1738,3969.7244,3969.8315,3960.331,3943.4033,3920.838,3814.3071,3745.6187,3839.2048,3862.4258,3830.252,3812.01,3857.7773,3913.9172,3919.601,3897.7632,3943.6162,3914.4497,3980.2073,3988.0884,3947.2104,3920.3635,4003.412,3980.6235,3886.1658,3874.0422,3921.7073,3947.4343,3845.8403
9,mated_10d_sucrose,dm_R57C10xGC6s_181210e,sucrose,200mM,03,dm_R57C10xGC6s_181210e_03_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,3053.792,3274.0476,3238.424,3110.814,3126.759,3155.5881,3073.929,3324.365,3277.8005,3206.3137,3375.2942,3447.7637,4341.0884,4283.067,4279.102,4506.314,4541.9873,4621.7534,4263.08,4220.1353,4130.364,4091.4595,4577.7363,4771.3027,4838.739,5017.574,4958.906,4919.402,4922.837,4832.77,4819.8037,4762.996,4664.14,4425.164,4327.301,4338.304,4181.6255,4053.7354,3951.2395,3745.6025,3755.201,3768.3218,3641.6328,3553.4875,3637.7068,3588.8096,3528.869,3493.0532,3475.8809,3414.1533,3406.9468,3497.7092,3392.6575,3344.6333,3390.521,3298.238,3458.7263,3368.1082,3351.1326,3407.9463
10,mated_10d_sucrose,dm_R57C10xGC6s_181210e,sucrose,200mM,03,dm_R57C10xGC6s_181210e_03_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,2895.9138,3063.1777,3047.2874,2914.46,2893.594,2993.0957,2971.8994,3115.162,2987.5305,2970.4712,3133.5908,3074.559,3538.798,3683.5457,3725.8948,4116.691,3868.1475,3585.9167,3508.7305,3624.3865,3565.9153,3408.6367,3518.0505,3772.8354,3737.9802,3774.0847,3823.9612,3793.1672,3662.6677,3353.5413,3799.4824,3728.0515,3735.8252,3592.3284,3505.5808,3479.39,3379.449,3229.3533,3287.9119,3276.415,3120.461,3204.7861,3194.6138,3230.3916,3155.0166,3222.4968,3145.2437,3204.7114,3059.3022,3133.5374,3137.0083,3130.945,3115.283,3000.361,3051.5974,3108.6938,3229.0916,3136.9775,3204.9722,3271.4795
