region,state,fly,stimulus,concentration,stimulus_nr,recording,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1,mated_10d_sucrose,dm_R57C10xGC6s_181210e,yeast,10%,04,dm_R57C10xGC6s_181210e_04_yeast_10%_SEZ_volreg_transformed_gauss.nii,4172.4863,4211.892,4221.12,4358.6294,4449.0864,4251.108,4304.979,4385.4575,4298.0386,4256.4824,4501.992,4916.6577,4858.4414,4951.5522,5038.1265,5157.708,4923.3286,4845.3076,4836.5615,4863.2363,4721.588,4749.4546,4751.6626,4709.2217,4580.5977,4679.424,4597.9014,4760.8716,4800.612,4853.1274,4921.7334,4854.728,4700.6846,4781.8984,4757.096,4631.117,4496.8477,4539.1274,4781.3022,4718.5654,4845.1133,4853.586,4749.911,4793.1357,4690.3984,4754.4043,4669.511,4586.383,4601.554,4402.886,4502.55,4716.4556,4639.0693,4518.7666,4420.812,4492.475,4562.775,4544.0327,4617.356,4518.2314
2,mated_10d_sucrose,dm_R57C10xGC6s_181210e,yeast,10%,04,dm_R57C10xGC6s_181210e_04_yeast_10%_SEZ_volreg_transformed_gauss.nii,2564.1982,2580.2908,2529.9182,2563.9731,2580.643,2612.682,2583.4626,2620.8596,2583.843,2567.3232,2708.812,2802.1538,2709.066,2816.3616,2854.4883,2815.6738,2818.0115,2783.7002,2807.8533,2755.4924,2744.658,2798.4873,2706.4568,2742.101,2750.142,2831.7046,2863.736,2871.9878,2796.5593,2879.9521,2772.6914,2865.6543,2847.7053,2839.147,2945.4556,2812.8372,2825.126,2836.861,2751.801,2796.6558,2732.2268,2724.0056,2670.4143,2743.9111,2730.1821,2785.268,2740.4207,2661.865,2695.0713,2692.4111,2702.476,2761.0645,2737.0044,2676.8755,2617.3005,2647.583,2753.2327,2643.539,2618.4797,2705.6726
3,mated_10d_sucrose,dm_R57C10xGC6s_181210e,yeast,10%,04,dm_R57C10xGC6s_181210e_04_yeast_10%_SEZ_volreg_transformed_gauss.nii,6165.548,5838.8267,5641.478,5785.109,5788.957,5789.5693,5921.4727,5599.1704,5792.956,5982.7427,6125.811,8824.934,9492.182,8454.409,9709.683,8968.277,8994.272,8497.579,8237.108,8480.099,7508.7275,7945.6514,7311.384,7305.8467,7239.1665,7484.2017,7287.441,7553.674,7237.7383,7896.874,7560.0254,7499.833,7121.2417,7510.2188,7473.3496,7557.0605,7332.4917,7208.0625,6695.0674,7711.344,7001.133,7046.791,6971.6694,7002.56,6847.772,7345.183,6278.6235,6290.3384,6318.031,6057.2485,6444.457,6632.54,6459.0737,6323.3315,6403.4434,6222.04,6189.7866,6467.113,6016.2437,6009.7866
4,mated_10d_sucrose,dm_R57C10xGC6s_181210e,yeast,10%,04,dm_R57C10xGC6s_181210e_04_yeast_10%_SEZ_volreg_transformed_gauss.nii,7156.695,6828.926,6819.0767,7031.5947,7009.214,6688.1626,6642.956,6555.082,6575.7173,6754.831,7846.4536,10901.986,11618.155,11558.071,11754.597,11507.256,10985.933,10141.567,9690.265,9074.566,8762.343,8455.182,8142.819,7850.5874,8054.883,8171.0044,8443.478,9271.016,9458.991,9044.062,9198.472,9268.413,9181.691,8693.566,8793.302,8977.247,8515.009,8723.307,8600.634,8326.896,8434.628,8399.53,8261.176,8287.245,8017.3774,8114.7744,7866.852,7600.223,7677.2383,7518.8677,7536.1074,7546.5435,7416.825,7303.1685,6941.4365,7081.5156,7075.72,7159.676,7045.9023,7361.2827
5,mated_10d_sucrose,dm_R57C10xGC6s_181210e,yeast,10%,04,dm_R57C10xGC6s_181210e_04_yeast_10%_SEZ_volreg_transformed_gauss.nii,5190.499,5172.5938,5031.7124,5152.843,5302.885,5074.153,5199.516,5218.0137,5190.0757,5134.4893,5776.1685,6434.8374,6723.2935,7170.4424,7157.8447,7042.1436,6816.701,6572.8384,6266.2056,6093.0273,5731.2817,5903.053,5797.501,5603.206,5672.649,6121.024,6186.4766,6686.094,6701.1357,6887.723,6823.855,6958.005,6652.4517,6666.685,6576.377,6769.5576,6404.7383,6402.073,6189.1904,6074.5894,6187.5815,5929.0625,5838.6304,5798.644,5686.949,5886.2935,5772.1577,5494.3853,5364.464,5482.3867,5474.1987,5683.4126,5622.8306,5419.4053,5190.6567,5411.2056,5497.129,5457.374,5307.967,5585.439
6,mated_10d_sucrose,dm_R57C10xGC6s_181210e,yeast,10%,04,dm_R57C10xGC6s_181210e_04_yeast_10%_SEZ_volreg_transformed_gauss.nii,4433.4507,4603.4043,4524.9746,4632.832,4948.6787,4631.5083,4795.0728,4899.9883,4767.539,4710.2876,5535.6333,6443.438,6916.3535,7234.788,7391.1943,7007.351,6844.5522,6773.515,6280.218,6032.051,5744.5537,5636.4316,5905.5737,5809.5405,5780.5728,5822.773,5579.8086,6225.672,5938.2437,6280.1123,6322.112,6326.8335,6405.869,6421.512,5999.5503,6138.1436,6071.063,5670.051,5346.421,5377.9355,5444.2983,5379.0483,5079.7856,5165.4453,4918.39,5160.8726,5076.436,5000.918,4925.023,4707.769,4886.771,5087.0977,5046.5757,4688.4106,4944.278,4858.3022,4858.695,4655.723,4664.8267,4908.4116
7,mated_10d_sucrose,dm_R57C10xGC6s_181210e,yeast,10%,04,dm_R57C10xGC6s_181210e_04_yeast_10%_SEZ_volreg_transformed_gauss.nii,4002.8704,4070.694,4172.302,4222.9336,4271.563,4216.756,4231.928,4236.092,4243.8257,4140.4565,4438.7837,4847.2427,5044.9824,4967.5776,5091.375,5299.68,4965.645,4862.9043,4577.9766,4625.178,4559.0483,4618.5303,4651.0176,4491.1846,4463.473,4446.793,4638.214,4769.2085,4784.956,4728.7173,4806.3364,4680.6274,4699.918,4591.158,4745.811,4706.398,4599.316,4595.6333,4646.479,4424.1094,4600.9033,4556.1167,4563.574,4665.8457,4460.005,4512.401,4558.8687,4340.8643,4370.1113,4314.5044,4448.1655,4483.817,4410.6865,4411.6997,4241.6587,4393.3813,4384.0635,4330.1523,4369.33,4457.6616
8,mated_10d_sucrose,dm_R57C10xGC6s_181210e,yeast,10%,04,dm_R57C10xGC6s_181210e_04_yeast_10%_SEZ_volreg_transformed_gauss.nii,3596.919,3639.7305,3634.6821,3699.3347,3711.5352,3750.4795,3818.162,3684.3064,3810.0457,3697.0417,3820.408,3986.1025,4039.9985,4188.764,4101.2026,4153.4766,4108.0244,3863.6694,3990.4265,3967.381,3895.9543,3953.8054,3909.7373,3850.4607,3777.2842,3857.5066,3849.709,3962.0264,3883.882,3970.3418,3909.0793,3920.5137,3986.074,3837.8418,3911.2715,3960.1987,3801.4016,3759.524,3864.7014,3815.8672,3801.1921,3884.8132,3811.6106,3898.989,3820.0205,3858.68,3832.471,3899.6538,3850.9436,3793.0427,3769.254,3904.2363,3753.3933,3812.1528,3703.3508,3774.865,3882.372,3856.6353,3806.2646,3823.863
9,mated_10d_sucrose,dm_R57C10xGC6s_181210e,yeast,10%,04,dm_R57C10xGC6s_181210e_04_yeast_10%_SEZ_volreg_transformed_gauss.nii,3186.295,3213.0903,3208.863,3292.5842,3260.9546,3204.598,3255.317,3322.9556,3217.5845,3242.987,3814.9663,4444.2373,4517.0327,5037.2915,5077.673,5109.2417,4725.8057,4534.2876,4343.074,4192.8315,4022.735,4093.5615,4031.502,4044.7864,4186.5576,4342.225,4513.538,4589.738,4610.071,4822.288,4693.294,4701.871,4689.208,4711.318,4823.84,4709.032,4508.582,4321.503,4069.4592,3944.6682,3915.285,3690.319,3675.0017,3734.6304,3569.4407,3620.9395,3551.5327,3411.3372,3387.632,3439.99,3524.8855,3576.6418,3510.4785,3396.1511,3272.9775,3310.9885,3466.3513,3290.507,3330.8884,3427.4749
10,mated_10d_sucrose,dm_R57C10xGC6s_181210e,yeast,10%,04,dm_R57C10xGC6s_181210e_04_yeast_10%_SEZ_volreg_transformed_gauss.nii,2912.8643,2844.3696,2799.6174,2909.6418,2868.6946,2784.7766,2845.0293,2835.274,2858.251,2956.7341,3088.4788,3181.1445,3484.502,3621.3447,3746.378,3693.0247,3598.654,3635.432,3417.4917,3369.4905,3244.6968,3400.0386,3358.453,3411.485,3283.4597,3365.7869,3309.048,3560.1956,3522.8284,3554.7869,3573.6025,3623.8286,3621.0183,3579.6338,3348.0437,3619.31,3490.6692,3423.855,3319.2952,3502.067,3408.2092,3401.69,3294.6865,3295.1077,3241.2468,3286.0112,3176.4883,3154.8284,3017.0005,3009.3765,3091.2778,3261.3335,3120.9922,3080.1326,2944.2795,3026.306,3229.3188,3043.8613,3026.215,3054.703
