region,state,fly,stimulus,concentration,stimulus_nr,recording,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1,mated_ff,dm_R57C10xGC6s_181127c,sucrose,200mM,03,dm_R57C10xGC6s_181127c_03_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,4123.429,4498.927,4529.0454,4625.293,4416.501,4540.913,4276.423,4117.507,4236.69,4197.9546,4639.6377,4894.372,4946.511,5067.504,5207.228,5271.714,5072.2344,5009.388,4784.146,4759.9683,4941.978,4805.2524,5089.9204,5074.4155,5116.724,5079.1123,5115.1753,5005.678,5059.2676,4962.301,5031.3994,4841.0195,4774.951,4931.8594,4642.8447,4481.2646,4532.6978,4657.871,4820.84,4796.92,4803.1885,4757.2954,4634.4604,4406.5015,4558.557,4658.4023,4645.672,4642.4297,4656.1113,4533.133,4388.064,4403.5913,4532.64,4363.6094,4574.2886,4385.512,4718.423,4394.324,4722.933,4591.849
2,mated_ff,dm_R57C10xGC6s_181127c,sucrose,200mM,03,dm_R57C10xGC6s_181127c_03_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,3069.969,3204.232,3335.1313,3475.1267,3318.7056,3397.0488,3101.9294,3207.2102,3311.066,3243.0803,3315.9153,3454.6438,3426.5234,3448.7666,3536.9055,3605.752,3566.5625,3663.5544,3546.3987,3437.7441,3353.9675,3142.9258,3410.974,3505.9277,3510.1206,3468.082,3364.5012,3523.3613,3411.4724,3534.9292,3522.5771,3579.0056,3499.9878,3411.2915,3467.982,3449.4592,3322.176,3313.4272,3393.095,3353.1826,3303.669,3467.2742,3220.32,3331.2483,3103.6624,3214.1936,3316.7556,3450.3865,3422.891,3292.7117,3304.878,3292.556,3342.447,3201.6494,3308.173,3211.3848,3488.0916,3224.661,3393.9639,3374.0044
3,mated_ff,dm_R57C10xGC6s_181127c,sucrose,200mM,03,dm_R57C10xGC6s_181127c_03_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,10465.08,10701.285,11161.771,10367.165,11011.857,11660.343,10464.221,9704.39,10614.544,10151.507,11509.441,13396.104,14752.887,16271.974,16051.539,15641.448,14758.066,14756.736,14561.433,13016.175,12626.017,11762.802,13572.23,14557.48,14310.669,15183.118,14956.139,14490.66,14307.262,13710.807,13438.874,13231.329,13160.776,12158.417,11628.185,11328.811,11362.126,10495.553,10409.218,9894.399,11013.983,10543.696,11009.679,10574.4375,10296.618,11456.049,9809.834,9936.881,10609.519,10753.056,9932.773,10855.702,10461.176,10525.792,11051.383,10268.412,9815.154,11159.946,10739.534,11004.427
4,mated_ff,dm_R57C10xGC6s_181127c,sucrose,200mM,03,dm_R57C10xGC6s_181127c_03_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,8105.7544,8464.548,8250.09,8420.384,8839.596,8955.402,8153.7383,7920.235,8150.0645,7831.479,9138.852,10854.963,11581.107,11789.405,12173.002,12167.752,11574.943,11107.096,10520.933,10372.257,9843.978,9338.79,10660.005,11408.056,11526.696,11487.21,11287.4375,11262.885,10952.748,10847.098,10309.247,9987.878,9818.535,9318.166,8908.021,8692.045,8474.004,8320.796,8175.5127,8130.2163,8100.4956,7944.597,8008.502,8226.908,8271.98,8071.8936,8004.4688,7868.955,7947.0596,8009.4146,7985.5513,8115.3843,8099.2275,8016.502,8064.0854,8018.17,7832.643,8131.918,8082.623,7959.0977
5,mated_ff,dm_R57C10xGC6s_181127c,sucrose,200mM,03,dm_R57C10xGC6s_181127c_03_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,5518.9893,6042.897,5812.99,6039.204,5965.7393,5995.5254,5464.8467,5497.41,5679.114,5332.0728,6221.5127,6765.985,7346.006,7544.9814,7516.3003,7846.026,7476.415,7014.932,6545.625,6750.2754,6463.6426,6398.4272,7093.643,7374.1133,7555.3433,7353.8926,7147.2,7152.5884,6996.1353,6953.194,6816.4766,6899.7236,6243.267,6400.0947,6278.0156,5978.632,5973.9766,5958.5454,6094.7266,6109.3105,6006.4727,6010.8574,5926.5723,6030.363,5974.089,5898.766,5776.108,5955.3564,6062.5703,6021.7437,5815.9863,5940.2354,5997.4556,5879.6753,5905.8174,5790.942,5984.155,5895.6924,5570.781,5492.2373
6,mated_ff,dm_R57C10xGC6s_181127c,sucrose,200mM,03,dm_R57C10xGC6s_181127c_03_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,4693.9062,5054.6714,5212.6367,5455.9897,5158.452,5400.135,4987.2275,4757.8604,5066.7827,4767.1123,5573.4873,6305.5474,6788.7534,6921.1924,7059.729,6917.7764,7022.371,6581.9243,6254.457,6202.9277,6020.095,5862.3335,6445.774,6859.5537,6803.801,6677.4243,6640.37,6278.891,6530.321,6059.0234,6137.9233,6189.692,5859.4277,5900.0405,5790.9043,5539.441,5386.6396,5451.9116,5505.477,5647.144,5502.6665,5400.495,5156.7188,5412.745,5408.4326,5259.5234,5272.351,5277.3535,5579.668,5552.9233,5521.3047,5460.1133,5413.191,5463.08,5349.2466,5234.406,5219.2856,5375.964,5051.6465,5363.1553
7,mated_ff,dm_R57C10xGC6s_181127c,sucrose,200mM,03,dm_R57C10xGC6s_181127c_03_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,5561.968,5827.932,5954.58,6153.93,5908.4854,6086.7793,5681.1694,5863.5776,5969.387,5871.4775,6002.735,6321.5137,6507.2573,6408.304,6565.7783,6519.6978,6589.588,6360.3984,6371.684,6422.0825,6135.2686,5850.763,6380.7686,6379.184,6339.877,6335.215,6543.27,6414.9097,6530.231,6266.0493,6189.3135,6286.9736,6213.471,6422.309,6326.916,6160.915,6176.5967,6125.03,6175.122,6204.679,6104.771,6268.271,5785.774,6040.8594,5995.9463,5818.4424,5938.4434,5981.111,6162.0684,5963.678,6291.6875,6234.1147,6064.699,5745.793,5913.7495,5999.584,6205.242,5979.798,5973.1265,5998.0913
8,mated_ff,dm_R57C10xGC6s_181127c,sucrose,200mM,03,dm_R57C10xGC6s_181127c_03_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,7136.965,7781.698,8011.195,7961.917,7774.0713,8237.081,7850.3203,7764.7705,7523.4097,7942.9443,8299.969,8198.752,8557.02,8634.413,8646.43,8788.495,8190.3037,8073.3247,8429.955,8322.196,8601.211,8377.378,8382.952,8576.496,8617.53,8664.107,8575.513,8844.777,8622.552,8506.342,8622.362,8592.533,8399.817,8570.67,8148.786,8078.211,8162.3936,8547.158,8474.705,8430.054,8477.249,8367.314,8326.562,8206.498,8203.655,8270.19,8168.921,8159.678,8457.523,8231.743,8356.557,8394.309,8316.998,8330.258,8280.29,8187.9507,8426.282,8163.691,8093.67,8138.1865
9,mated_ff,dm_R57C10xGC6s_181127c,sucrose,200mM,03,dm_R57C10xGC6s_181127c_03_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,3418.3914,3603.2783,3779.5977,3879.3413,3662.6992,3731.1418,3437.2935,3509.2244,3675.6226,3439.8083,3929.5374,4605.2554,4817.3223,4929.7163,4926.2007,5028.65,5050.5684,4817.0674,4569.027,4435.243,4151.551,4079.7708,4507.3115,4622.117,4630.207,4673.983,4745.9707,4676.049,4565.3403,4664.709,4634.7725,4666.6636,4448.2056,4228.258,4189.621,4030.0642,3992.2004,3825.652,3902.4146,3829.3032,3730.7466,3889.6577,3614.9731,3782.7627,3687.015,3586.4988,3596.3225,3655.4143,3920.1357,3686.8784,3760.751,3789.022,3746.6736,3625.4753,3588.6196,3785.551,3762.9604,3598.3782,3542.2017,3610.5168
10,mated_ff,dm_R57C10xGC6s_181127c,sucrose,200mM,03,dm_R57C10xGC6s_181127c_03_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,4317.6997,4556.742,4466.318,4692.968,4755.5225,5008.2036,4531.048,4471.9165,4539.4814,4448.78,4117.844,4774.8184,4769.2217,5266.8755,4964.937,5078.8403,4728.2876,4701.87,4541.376,4441.5117,4223.5903,3991.946,4329.842,4587.8086,4651.482,4891.83,4649.5117,4411.3438,4565.9873,4454.115,4266.242,4328.4277,3865.8503,4043.7158,4172.547,4126.117,4102.1255,3909.6975,3901.8154,3879.8684,3904.6487,3811.531,3969.944,3952.4973,3827.7986,3833.438,3759.9048,3652.3628,3426.2593,3651.7478,3641.8108,3652.022,3560.395,3482.854,3424.4336,3321.2197,3237.9531,3450.4934,3505.3271,3496.7778
