region,state,fly,stimulus,concentration,stimulus_nr,recording,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1,mated_ff,dm_R57C10xGC6s_181127c,yeast,10%,04,dm_R57C10xGC6s_181127c_04_yeast_10%_SEZ_volreg_transformed_gauss.nii,4218.5093,4401.366,4376.525,4888.342,4528.771,4353.552,4477.376,4475.6343,4699.762,4798.0044,4951.7617,4932.6025,5029.9595,4836.632,4927.3696,4820.652,5063.743,5116.4937,5031.9883,5328.575,5189.0713,5189.958,5067.1357,5030.992,5184.8936,5128.5356,5054.9624,5184.0693,4984.954,5175.333,4910.2344,5086.1543,5099.442,4969.88,5033.749,5203.401,5226.9985,5129.063,4993.7007,5015.11,4954.052,4865.3457,4685.3477,4859.8745,5188.6665,5004.1157,4779.5396,5132.6846,5045.8716,4989.625,5066.4336,4788.472,4878.4014,4667.719,5052.7935,4834.7983,4991.6675,4810.696,4450.3936,4669.513
2,mated_ff,dm_R57C10xGC6s_181127c,yeast,10%,04,dm_R57C10xGC6s_181127c_04_yeast_10%_SEZ_volreg_transformed_gauss.nii,3017.5388,3177.8599,3501.6863,3410.109,3381.3489,3239.029,3306.2747,3443.6472,3337.7793,3341.534,3456.15,3540.2935,3705.8022,3673.555,3513.8005,3559.5852,3724.2375,3741.203,3490.274,3732.5837,3648.5894,3640.5994,3553.5032,3745.827,3542.6633,3525.901,3593.1484,3658.5154,3696.796,3355.6877,3702.0571,3601.9675,3637.9128,3416.6482,3583.1206,3472.0269,3455.6316,3437.5344,3448.095,3522.0845,3423.3518,3651.0261,3600.115,3504.163,3513.62,3472.9375,3205.1602,3399.4036,3472.9065,3440.2134,3405.9133,3552.6653,3355.4653,3320.4456,3490.025,3433.4355,3439.8684,3421.8552,3465.6216,3559.9255
3,mated_ff,dm_R57C10xGC6s_181127c,yeast,10%,04,dm_R57C10xGC6s_181127c_04_yeast_10%_SEZ_volreg_transformed_gauss.nii,9177.299,9309.258,8838.407,10459.035,11650.97,10033.8125,10279.113,10434.641,9831.538,10321.617,11940.246,10820.039,10444.784,14163.883,13860.05,15696.245,16007.908,14625.813,14106.1455,14543.313,14416.955,13612.031,13507.245,13220.4795,12642.338,12489.607,12613.091,12409.315,12180.365,11840.449,12157.597,11257.989,11138.426,12049.479,12106.897,11787.765,12282.953,11415.646,11825.216,10662.714,11553.726,11823.183,10531.993,11448.499,11171.883,10387.665,11269.007,11453.246,11551.625,10254.508,10053.83,10221.792,10984.928,10970.92,12337.409,11554.168,10893.723,10216.184,9798.557,10296.416
4,mated_ff,dm_R57C10xGC6s_181127c,yeast,10%,04,dm_R57C10xGC6s_181127c_04_yeast_10%_SEZ_volreg_transformed_gauss.nii,7154.2217,7239.3057,7484.7236,8150.372,8357.028,8050.4053,8052.0146,7989.133,7818.044,8546.939,8176.111,8146.4644,8223.348,10831.694,10930.141,11185.489,10951.519,11072.297,10784.118,10979.87,10678.375,10369.408,10468.019,10239.373,10240.666,9492.291,9736.124,9435.44,9413.132,9355.271,9418.867,9140.298,9130.05,9291.577,9079.676,8889.758,8717.989,8426.285,8571.573,8428.1,8559.166,8499.696,8582.679,8241.775,7984.7305,8056.3193,8409.721,8225.89,8380.2,8336.792,8444.879,8066.164,8212.462,8380.418,8221.465,8409.793,7947.5425,8025.673,7946.9814,7807.1284
5,mated_ff,dm_R57C10xGC6s_181127c,yeast,10%,04,dm_R57C10xGC6s_181127c_04_yeast_10%_SEZ_volreg_transformed_gauss.nii,5198.853,5401.245,5777.187,6114.852,5833.2993,5924.481,5989.218,5878.2554,5683.207,5696.0303,6336.75,6763.003,6893.0186,7260.187,7357.878,7401.868,7932.5693,8735.067,8581.934,8767.411,8606.94,8395.12,8109.717,7944.983,7649.4595,7389.7134,7537.3213,7383.961,7203.922,6952.8047,7034.781,6711.7607,6581.8677,7207.2383,6966.6733,6651.1626,6609.589,6302.627,6436.395,6265.206,6340.449,6361.6885,6144.109,6034.4175,5923.0376,5986.372,6082.529,6074.617,6194.027,6053.9976,6135.044,6084.54,6049.614,6145.925,5828.653,5974.0903,5878.2314,5798.625,5802.707,5693.596
6,mated_ff,dm_R57C10xGC6s_181127c,yeast,10%,04,dm_R57C10xGC6s_181127c_04_yeast_10%_SEZ_volreg_transformed_gauss.nii,4508.765,4858.3115,4998.476,5354.639,5393.6797,5319.1895,5201.2915,5460.3457,5117.5723,5141.6123,5458.8066,5491.884,5980.0723,6450.4214,6405.5596,6434.8467,6290.963,7119.445,6827.7515,7077.7886,7020.065,6716.079,6744.15,6411.8076,6409.0166,6005.9326,6573.6,6279.8384,6384.18,6001.3936,6164.188,5567.6772,5492.5312,6076.259,6050.864,5769.12,5667.7476,5437.3438,6009.749,5591.124,5655.6577,5642.713,5659.986,5256.966,5231.541,5334.857,5387.9673,5445.1226,5532.2046,5345.352,5653.3857,5451.9473,5495.567,5564.8604,5288.663,5658.904,5266.046,5369.265,5169.5825,5364.1025
7,mated_ff,dm_R57C10xGC6s_181127c,yeast,10%,04,dm_R57C10xGC6s_181127c_04_yeast_10%_SEZ_volreg_transformed_gauss.nii,5580.2656,5834.7227,6114.513,6355.4043,6173.007,5931.528,6179.6978,6355.0586,5997.161,6238.0254,6245.6494,6194.0156,6307.5654,6455.7744,6360.565,6587.9673,6473.5596,6768.3647,6492.6377,6783.7637,6837.3706,6759.3735,6497.499,6578.7046,6549.2456,6362.328,6765.0933,6685.8257,6719.1323,6396.521,6551.8745,6348.6704,6264.094,6430.0938,6413.7456,6353.9434,6364.642,6224.143,6510.023,6464.4185,6400.793,6592.2373,6371.6816,6381.097,6323.9746,6425.91,6407.7114,6300.1167,6565.6626,6407.0786,6637.3047,6526.2085,6482.3374,6546.7734,6396.296,6519.4717,6264.5522,6090.7485,6178.158,6282.407
8,mated_ff,dm_R57C10xGC6s_181127c,yeast,10%,04,dm_R57C10xGC6s_181127c_04_yeast_10%_SEZ_volreg_transformed_gauss.nii,7564.2134,8023.919,8310.4,8659.12,8175.0537,8427.061,8584.851,8456.342,8743.05,8859.218,8735.0205,8674.951,8366.302,8756.2295,8971.725,8648.914,8607.095,8845.457,8806.593,8972.589,8887.51,8833.743,8760.695,8795.982,9010.232,8879.64,8763.502,8915.5625,8831.586,8702.633,8834.408,8567.826,8816.361,8780.923,8756.043,8899.321,9010.889,8786.877,8627.246,8722.1875,8524.071,8566.483,8456.641,8614.919,8645.29,8346.515,8440.354,8732.279,8670.126,8760.062,8715.952,8768.991,8729.747,8507.303,8791.689,8635.33,8593.089,8451.979,8038.5396,8286.447
9,mated_ff,dm_R57C10xGC6s_181127c,yeast,10%,04,dm_R57C10xGC6s_181127c_04_yeast_10%_SEZ_volreg_transformed_gauss.nii,3336.5444,3519.1653,3797.018,3855.305,3813.4165,3628.4033,3794.3845,3841.9954,3695.7263,3647.1812,3866.2153,4020.64,4367.7334,4559.4165,4570.879,4693.3477,4630.135,4776.3105,4519.8726,4829.221,4752.3193,4766.6753,4584.6675,4841.488,4674.7427,4523.494,4805.7666,4816.933,4841.5654,4420.362,4717.2773,4493.89,4552.359,4436.7373,4384.0547,4132.015,4054.5352,3910.1707,4012.0269,3963.7793,3990.8528,4070.2515,4023.1428,3950.4287,3876.8418,3927.6252,3699.416,3810.9243,3940.8071,3738.4526,3890.704,3961.6091,3809.597,3796.6743,3800.7488,3886.4685,3742.0317,3730.7834,3771.4067,3878.784
10,mated_ff,dm_R57C10xGC6s_181127c,yeast,10%,04,dm_R57C10xGC6s_181127c_04_yeast_10%_SEZ_volreg_transformed_gauss.nii,4136.2837,4252.9463,4635.0776,4648.7197,4622.2485,4833.6123,4803.785,4881.4253,5041.082,4472.134,4906.924,4956.831,4985.1475,4999.604,4858.321,5148.695,5504.9663,5442.808,5793.3774,6023.2363,5641.026,5619.061,6280.214,5807.023,5794.7896,5900.3804,5958.5415,5705.761,5643.088,5946.951,6140.979,5892.987,5613.483,5349.0605,5439.14,5453.2456,5423.8027,5215.8496,5355.3926,5318.188,5408.85,5390.816,5329.7593,5185.0923,5127.843,4979.18,5151.9614,5359.8506,5280.77,5152.651,5383.6465,5277.9575,5074.675,5383.1323,5161.443,5397.9785,5054.211,4934.348,4728.9517,5052.4473
