region,state,fly,stimulus,concentration,stimulus_nr,recording,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1,mated_ff,dm_R57C10xGC6s_181204a,yeast,10%,03,dm_R57C10xGC6s_181204a_03_yeast_10%_SEZ_volreg_transformed_gauss.nii,4281.9062,4406.449,4785.0283,4973.1973,4901.9966,4666.0386,4857.6094,4386.028,4525.4355,4501.672,4524.38,4883.39,4730.2764,4743.609,4750.2134,4665.1577,4482.22,4425.282,4352.591,4352.2188,4590.03,4617.572,4569.9253,4728.933,4664.244,4445.3906,4672.912,4820.105,4550.265,4957.8105,4752.7637,4576.2573,4453.8857,4431.448,4538.09,4647.794,4611.5312,4665.449,4605.633,4411.2466,4758.874,4903.0137,4559.078,4662.598,4475.412,4457.334,4467.7427,4541.684,4699.886,4608.2046,4504.3813,4609.413,4307.0205,4576.735,4523.0483,4342.0977,4825.608,4264.6294,4647.675,4580.215
2,mated_ff,dm_R57C10xGC6s_181204a,yeast,10%,03,dm_R57C10xGC6s_181204a_03_yeast_10%_SEZ_volreg_transformed_gauss.nii,2754.671,2863.8376,3023.014,3211.507,3216.5432,3168.8696,3213.4795,2883.0916,3127.1182,2960.4958,2796.7712,3174.0676,2937.9626,2958.782,3002.681,3073.1064,3168.4207,3101.372,3059.5144,2932.3677,3200.26,3203.1191,2937.0903,3106.3623,3081.5986,3204.7087,3045.0378,3001.6604,3111.1868,3229.465,3160.6567,3117.0032,3023.505,3094.509,3054.7407,3071.7454,3154.0496,3007.5554,2971.797,2943.723,3015.2275,3028.3306,3098.9333,2986.4497,2956.1,3190.6914,2970.572,3121.5222,2990.8186,3107.6008,2990.1804,3038.771,2964.406,2842.8118,3073.5078,3108.3665,3038.0037,3057.2888,2969.078,3001.6577
3,mated_ff,dm_R57C10xGC6s_181204a,yeast,10%,03,dm_R57C10xGC6s_181204a_03_yeast_10%_SEZ_volreg_transformed_gauss.nii,10661.519,10064.115,10800.422,10098.256,9816.252,9245.448,9604.983,10123.45,9700.015,9573.19,10208.917,11578.07,12995.523,12722.1045,14427.282,13249.699,12379.641,11386.265,11578.1045,12116.073,12271.558,13564.153,13707.156,14206.378,14161.085,13013.914,13413.905,12861.044,12595.197,11732.338,10539.1,10839.045,10947.555,12021.704,11993.126,11277.232,10738.93,10909.967,10524.781,11434.275,12013.193,11911.8125,12830.036,11727.304,11943.74,10794.074,10709.254,11570.475,11165.618,11176.553,11238.501,11840.4,11522.792,10836.291,11507.818,11026.433,11880.1455,10668.58,11435.157,10927.89
4,mated_ff,dm_R57C10xGC6s_181204a,yeast,10%,03,dm_R57C10xGC6s_181204a_03_yeast_10%_SEZ_volreg_transformed_gauss.nii,6518.558,6517.7905,6728.388,6602.202,6554.5566,6474.6772,6730.4365,6189.5947,6695.7437,6357.002,6157.4326,6954.3794,7139.1045,7415.068,8288.443,7851.7793,7484.8613,7144.6978,6918.103,7408.884,7246.6226,7861.07,7855.815,8191.0205,7878.204,8028.4185,7441.6265,7674.4,7907.593,7111.8125,7035.542,6732.001,6774.52,7339.7236,7082.889,7010.697,7009.63,6582.2686,6576.474,6890.75,7130.745,7123.8003,7139.2905,6800.0933,6809.158,6466.252,6406.948,6923.1196,6525.84,6334.594,6928.417,6807.3125,6717.85,7073.711,6553.7354,6874.776,7029.5864,6617.193,6718.3887,6554.4927
5,mated_ff,dm_R57C10xGC6s_181204a,yeast,10%,03,dm_R57C10xGC6s_181204a_03_yeast_10%_SEZ_volreg_transformed_gauss.nii,4521.8296,4627.37,5005.319,5030.485,5036.789,4962.739,5220.619,4635.503,4880.7515,4705.717,4642.6694,5208.313,4656.3906,5113.405,5153.758,4852.7534,4782.035,4792.5234,4559.5396,4885.2686,4953.0723,5322.2188,5007.837,5194.7485,5243.149,5158.3335,4766.9956,5012.43,5046.5913,4883.6626,4653.6606,4696.7383,4617.1934,4799.6675,4551.5415,4556.116,4676.16,4525.4355,4508.8433,4562.092,4707.8325,4923.068,4580.437,4575.177,4455.1216,4495.921,4458.675,4753.7017,4768.187,4586.0205,4560.088,4581.7236,4512.137,4920.6353,4576.268,4438.2646,4796.336,4790.8853,4668.779,4770.5415
6,mated_ff,dm_R57C10xGC6s_181204a,yeast,10%,03,dm_R57C10xGC6s_181204a_03_yeast_10%_SEZ_volreg_transformed_gauss.nii,4390.8047,4570.5444,4822.4463,4977.0127,5153.6465,5003.351,5153.4526,4641.752,4743.2812,4881.988,4493.167,4985.1333,4575.0454,4856.107,4726.2046,4799.005,4646.7617,4793.9126,4724.189,4721.632,4901.366,4981.18,4706.0024,5005.5747,5048.261,5030.1045,4567.6865,4965.8267,4599.628,4767.889,4865.945,4510.595,4313.4556,4470.182,4614.8574,4398.814,4829.554,4293.219,4595.044,4365.419,4872.011,4894.2056,4276.431,4640.5137,4378.6885,4412.985,4503.3823,4755.4775,4576.1045,4625.9272,4592.334,4477.0073,4486.14,4781.1235,4256.1367,4475.117,4708.895,4503.407,4420.537,4467.8423
7,mated_ff,dm_R57C10xGC6s_181204a,yeast,10%,03,dm_R57C10xGC6s_181204a_03_yeast_10%_SEZ_volreg_transformed_gauss.nii,4380.8945,4491.5723,4978.081,5215.896,5140.7607,5114.556,5059.1323,4840.9966,5124.0103,4742.19,4482.5767,5197.7793,4829.364,4983.7964,4995.7534,4906.6465,4606.925,4698.734,4687.104,4920.839,4969.346,5012.846,4885.268,5062.047,4911.687,5189.914,4880.452,5005.258,5012.067,5122.9927,4919.1973,4872.791,4879.07,4763.011,4797.085,4816.177,4860.9756,4860.684,4767.869,4842.547,4973.844,5013.058,4875.0967,4875.652,4615.0073,4804.5684,4660.269,5016.489,4949.011,4850.4805,4831.8525,4873.575,4659.7036,4832.366,4779.8896,4720.2627,5008.255,4755.5405,4709.475,4640.503
8,mated_ff,dm_R57C10xGC6s_181204a,yeast,10%,03,dm_R57C10xGC6s_181204a_03_yeast_10%_SEZ_volreg_transformed_gauss.nii,6739.7153,7103.3647,7268.7847,7437.945,7519.3857,7154.0723,7210.3906,7147.5215,7360.2295,7251.1387,7261.3047,7384.8354,7277.0728,7481.7617,7359.34,7327.3447,7179.827,7178.4136,7046.974,6867.177,7335.0176,7317.1284,7418.172,7360.599,7332.2007,7228.31,7315.7646,7470.988,7237.7686,7399.998,7062.3965,7083.4507,7119.8135,7407.5635,7114.5566,6956.748,7172.471,7163.344,7034.8994,6953.2935,7094.265,7249.3735,7135.7886,7188.8247,7020.692,7041.1733,7046.585,7212.194,7293.1323,7074.572,7044.879,7097.216,7020.293,7298.193,7020.5493,7030.597,7190.4473,7083.1875,7119.2603,7091.374
9,mated_ff,dm_R57C10xGC6s_181204a,yeast,10%,03,dm_R57C10xGC6s_181204a_03_yeast_10%_SEZ_volreg_transformed_gauss.nii,3189.234,3312.1482,3636.541,3653.3484,3635.4211,3639.5645,3620.2913,3314.832,3573.236,3328.7915,3239.6692,3685.8638,3456.4216,3428.6162,3507.835,3415.7788,3408.0254,3410.805,3286.4814,3355.8406,3532.3992,3689.0647,3476.2048,3673.925,3662.4111,3670.831,3442.5352,3634.8171,3609.9666,3569.9683,3500.1216,3378.2595,3397.1772,3518.5168,3320.9812,3354.2427,3405.1548,3351.657,3309.3306,3389.7393,3531.1575,3426.155,3446.2134,3352.5837,3336.6392,3290.0518,3275.782,3440.6711,3473.1418,3300.8477,3486.5322,3268.83,3167.6843,3405.88,3244.476,3185.0852,3438.7595,3378.0867,3231.164,3274.5784
10,mated_ff,dm_R57C10xGC6s_181204a,yeast,10%,03,dm_R57C10xGC6s_181204a_03_yeast_10%_SEZ_volreg_transformed_gauss.nii,2671.3062,2820.7793,2879.451,2880.8975,2749.0547,2793.6223,2975.5828,2788.697,2880.1592,2932.8972,2966.2983,3068.3882,2907.4753,2958.0774,3075.4658,2904.2935,2876.6624,2931.0742,2755.3494,3031.5747,2798.344,3127.4985,2965.1936,3060.5547,3113.211,3077.0469,2924.364,2888.5188,2895.3481,2785.174,2810.7302,2732.3342,2903.9517,2865.8596,2873.0242,2840.2476,2714.4473,2808.805,2752.9336,2864.5637,2944.025,2965.443,2807.009,2909.403,2839.8438,2810.8323,2948.3176,2908.3035,2805.2947,2804.8733,2937.5293,2865.2012,2796.5608,2926.5444,2929.1313,2833.2026,2763.857,2810.5117,2824.0645,2875.4436
