region,state,fly,stimulus,concentration,stimulus_nr,recording,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1,mated_ff,dm_R57C10xGC6s_181204b,yeast,10%,03,dm_R57C10xGC6s_181204b_03_yeast_10%_SEZ_volreg_transformed_gauss.nii,6553.5215,8086.071,8447.856,8286.791,8076.7783,7728.116,8062.936,7625.9995,7614.0264,7520.873,7565.014,7202.5815,7960.4136,7747.034,7970.1187,7694.8994,7717.1025,7897.666,7576.8223,7799.022,8085.0347,7407.2915,7547.605,7890.785,7843.184,8047.0366,8020.49,7910.116,7910.3535,8121.907,8048.543,8140.1533,8271.554,8113.4453,8161.9146,8403.482,8007.286,7734.8213,8027.9033,8118.3423,7875.2915,7621.013,7855.812,7782.2095,7977.5874,7690.504,7751.415,8048.4473,8072.2993,8120.131,7658.936,7900.106,8024.7783,7540.9307,7781.8105,7551.2554,7870.0483,7441.566,7641.4424,7553.1353
2,mated_ff,dm_R57C10xGC6s_181204b,yeast,10%,03,dm_R57C10xGC6s_181204b_03_yeast_10%_SEZ_volreg_transformed_gauss.nii,2920.6772,3130.6338,3506.484,3531.7375,3428.9905,3313.5977,3534.713,3471.512,3145.5615,3365.0269,3344.348,3337.1584,3248.6045,3210.272,3222.7932,3350.7192,3273.2983,3407.3147,3185.9688,3427.2585,3388.6875,3580.457,3443.4348,3594.9604,3391.4438,3415.6147,3436.536,3435.246,3434.0742,3503.205,3632.8667,3422.0327,3366.0295,3574.56,3208.8423,3485.0947,3542.0396,3480.637,3546.3838,3412.4314,3421.4143,3424.483,3552.546,3518.3213,3371.5999,3351.4487,3412.9805,3531.1416,3389.5283,3361.906,3361.4,3338.264,3263.746,3288.1208,3492.0261,3214.3638,3375.8354,3315.7476,3343.7134,3245.0918
3,mated_ff,dm_R57C10xGC6s_181204b,yeast,10%,03,dm_R57C10xGC6s_181204b_03_yeast_10%_SEZ_volreg_transformed_gauss.nii,6695.69,6752.6816,8097.108,7651.1685,7484.803,7507.5273,7487.169,6911.48,7050.099,7049.1357,6960.589,6662.823,7507.596,7618.1143,7232.62,7615.8525,7168.1016,7537.181,7623.9487,8204.7705,7952.077,7654.7847,7976.3057,8232.395,7802.363,8029.822,8172.87,8098.6367,7394.25,8091.5957,8307.254,7909.5405,7901.4307,7361.479,8171.701,7684.4517,7847.358,7866.5503,7446.942,7615.897,8329.073,7504.8853,7618.722,7727.5874,7124.4414,7325.7007,7388.5474,7859.723,7702.1597,7408.3745,7334.4224,7578.5845,7522.356,7422.825,7625.3525,6948.6763,7741.4917,6955.6494,7412.829,7577.5254
4,mated_ff,dm_R57C10xGC6s_181204b,yeast,10%,03,dm_R57C10xGC6s_181204b_03_yeast_10%_SEZ_volreg_transformed_gauss.nii,8327.299,8780.589,9012.038,8977.439,8566.608,8376.126,8765.662,8735.623,8542.488,9253.658,9064.365,9049.034,10770.253,10858.005,10992.46,10741.019,10876.131,11433.732,11090.883,11501.059,11323.832,10889.754,10350.087,10670.814,11435.246,11591.023,11591.549,11396.194,11146.273,11545.075,11354.42,10796.876,11021.762,10927.141,11195.36,11329.722,11321.964,11319.531,10707.772,10254.607,10163.578,9939.454,10226.481,10012.919,9866.097,9816.164,9853.481,9749.014,9582.362,9419.002,9778.852,9447.605,9438.568,9306.77,9633.605,9703.718,9456.634,9954.851,9659.438,9147.892
5,mated_ff,dm_R57C10xGC6s_181204b,yeast,10%,03,dm_R57C10xGC6s_181204b_03_yeast_10%_SEZ_volreg_transformed_gauss.nii,5736.8647,6878.001,7207.9956,7104.962,6781.444,6812.8335,6993.864,6492.6035,6432.512,6708.519,6858.951,6959.8955,7791.174,7469.8184,7678.0537,7398.4883,7224.5947,7468.5195,7041.8467,7052.9907,7005.9976,6917.8154,7025.1953,7550.404,7679.077,7647.759,7515.33,7415.203,7284.2974,7665.2295,7535.6416,7693.045,7704.688,7399.09,7577.121,7507.695,7571.4565,7294.7715,7457.1606,7626.346,6921.0127,7112.7153,7310.865,7253.6787,7320.5327,7026.317,7208.531,7288.1787,7175.239,7315.2075,7250.019,7984.051,7657.8066,7579.855,7912.7246,7252.734,7979.7207,7555.6626,7445.8037,7396.5845
6,mated_ff,dm_R57C10xGC6s_181204b,yeast,10%,03,dm_R57C10xGC6s_181204b_03_yeast_10%_SEZ_volreg_transformed_gauss.nii,4528.498,5185.123,5691.4136,5560.526,5742.2886,5496.8057,5558.545,5159.0366,5048.032,5268.4854,5444.657,5716.7593,5804.0615,5712.941,5878.48,5454.477,5529.433,5911.649,5335.518,5623.6533,5517.657,5596.377,5695.5645,6083.902,6075.9585,5898.0596,5645.105,5777.0103,5583.916,5759.977,5693.0977,5930.983,6003.514,5938.716,5712.724,5927.5786,5886.5605,5820.312,5960.7983,5991.1577,5347.6816,5595.4917,5649.5527,5849.064,5901.266,5363.4326,5802.7046,5696.543,5695.4434,5748.33,5613.5024,6052.512,5767.223,5786.931,6182.077,5585.6836,6277.961,5793.0933,5799.3345,5809.4814
7,mated_ff,dm_R57C10xGC6s_181204b,yeast,10%,03,dm_R57C10xGC6s_181204b_03_yeast_10%_SEZ_volreg_transformed_gauss.nii,5332.569,6260.4673,6865.5127,6863.138,6552.222,6363.6035,6568.378,6281.018,5809.6475,6245.8184,6274.3657,6473.52,6705.4424,6680.652,6888.6123,6739.6904,6589.5537,6897.4277,6225.5815,6626.1177,6522.103,6579.498,6632.537,6705.134,6824.965,6701.0913,6544.403,6724.554,6524.2476,6737.2217,6711.824,6863.24,6734.3896,6772.258,6500.795,6567.2617,6716.5713,6647.4805,6721.396,6612.0786,6556.6147,6528.4155,6825.1714,6755.8003,6546.43,6388.4604,6362.5264,6650.7373,6529.5854,6518.753,6571.796,6459.2607,6355.5073,6480.4604,6693.135,6322.076,6525.6895,6397.651,6593.008,6337.857
8,mated_ff,dm_R57C10xGC6s_181204b,yeast,10%,03,dm_R57C10xGC6s_181204b_03_yeast_10%_SEZ_volreg_transformed_gauss.nii,5557.4976,6410.2734,6547.8003,6614.322,6506.3613,6582.6875,6581.739,6709.143,6384.307,6261.6123,6496.9165,6386.6533,6567.237,6291.4316,6302.6943,6277.8057,6116.653,6282.905,6215.3145,6393.2666,6436.1255,6089.4326,6172.9688,6481.815,6270.157,6082.96,6381.226,6098.944,6116.2544,6125.5625,6235.544,6264.8633,6289.752,6452.0254,6423.6904,6395.636,6057.429,6036.044,6212.4355,6303.8857,6247.556,6119.4517,6048.7993,6207.996,6143.2114,6137.566,6052.097,6261.528,6258.494,6296.5166,6019.1636,6423.995,6371.1636,5972.0557,6261.0923,6410.491,6106.3716,5844.8193,5991.2915,6156.629
9,mated_ff,dm_R57C10xGC6s_181204b,yeast,10%,03,dm_R57C10xGC6s_181204b_03_yeast_10%_SEZ_volreg_transformed_gauss.nii,3242.5635,3685.0396,3978.2874,4019.593,3805.2793,3732.0696,3873.5342,3694.9338,3444.6453,3703.4075,3800.0947,3835.4565,3824.7761,3699.5823,3740.3708,3762.3145,3736.8032,3914.2527,3722.407,3933.9038,3837.813,4062.2708,3785.615,4103.58,3975.5808,3825.315,3852.0571,3865.3845,3808.734,3958.838,3896.559,3932.4646,3858.5554,3905.5815,3751.2363,3948.9421,3978.0789,3838.7058,3955.511,3856.919,3644.0393,3806.0608,3955.6692,3920.2695,3865.2832,3789.262,3938.3774,3853.7263,3804.9856,3815.9192,3784.408,3653.8943,3527.0796,3607.1453,3868.5706,3482.3923,3750.0232,3720.476,3632.7917,3691.6392
10,mated_ff,dm_R57C10xGC6s_181204b,yeast,10%,03,dm_R57C10xGC6s_181204b_03_yeast_10%_SEZ_volreg_transformed_gauss.nii,3080.7307,3538.472,3720.7734,3589.1067,3388.5479,3534.8787,3513.8418,3418.75,3483.3066,3515.5854,3620.0984,3603.97,3560.0405,3451.9326,3608.3232,3534.1587,3541.2676,3565.7395,3589.0986,3620.485,3501.6877,3581.9644,3454.4915,3821.3848,3648.0486,3577.772,3466.641,3362.1821,3276.889,3487.603,3374.151,3581.8435,3628.2253,3269.3782,3603.737,3624.6775,3435.7107,3386.8965,3437.7334,3489.7563,3151.3125,3174.0542,3361.563,3450.2537,3456.5066,3500.2512,3409.8774,3471.235,3526.487,3314.3687,3273.1672,3451.493,3607.7012,3390.6892,3451.8364,3264.5728,3429.9202,3318.9229,3438.7854,3465.0867
