region,state,fly,stimulus,concentration,stimulus_nr,recording,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1,mated_ff,dm_R57C10xGC6s_181204b,sucrose,200mM,04,dm_R57C10xGC6s_181204b_04_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,7630.3853,8143.0303,8469.405,8740.999,8405.1045,8471.836,8334.052,8454.569,8503.528,8557.661,8391.439,8088.5425,8361.211,8071.8447,8058.147,8253.431,8217.838,8061.9243,8073.6943,8157.962,7908.203,8030.298,7393.5728,7623.574,7679.3965,7636.639,7855.7397,7984.7866,7909.836,8364.773,8420.207,8446.149,7937.665,8275.837,8498.043,8450.267,8306.155,8294.769,8397.94,8145.354,7980.1514,7900.476,7698.2075,8089.2695,7999.6504,7585.389,7945.65,7911.9097,8048.5386,8011.1816,7833.8374,7816.1084,7845.2837,7610.7236,7384.0957,7697.471,7743.4614,7503.414,7989.4004,8169.4644
2,mated_ff,dm_R57C10xGC6s_181204b,sucrose,200mM,04,dm_R57C10xGC6s_181204b_04_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,2950.941,3179.0498,3284.8052,3339.9893,3117.5222,3381.0918,3340.7058,3398.4844,3445.0378,3543.776,3333.646,3382.6746,3448.0095,3322.3315,3272.2554,3415.7898,3386.5479,3288.6917,3348.3997,3280.5923,3450.1501,3225.8164,3286.2742,3313.2,3396.7893,3261.3872,3212.0923,3357.6138,3261.2686,3386.7083,3426.6333,3357.2095,3259.917,3275.7864,3342.8193,3327.6204,3414.2183,3411.8616,3221.9465,3305.0127,3198.9658,3237.6587,3360.392,3295.6917,3308.865,3266.1877,3166.6145,3244.4236,3273.4114,3339.716,3308.3047,3378.364,3160.671,3200.5503,3161.5237,3319.8318,3204.2874,3428.5986,3189.6438,3346.822
3,mated_ff,dm_R57C10xGC6s_181204b,sucrose,200mM,04,dm_R57C10xGC6s_181204b_04_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,6289.958,6395.0615,6723.5986,7037.609,6701.0625,7010.249,7200.8423,7524.909,7711.256,7393.6797,8031.5986,6959.165,7965.2764,8058.687,8146.2915,7844.869,8240.583,8751.39,7671.915,8127.4927,7920.0264,8102.9854,7432.82,7837.845,7657.8257,7571.3003,7982.435,8119.7676,8170.7285,7088.6724,7485.6196,8000.064,8443.264,8029.799,7962.095,8506.221,7930.6304,8203.099,8148.3013,7545.0845,7886.0337,8018.089,7407.3223,7354.116,7364.2617,7570.3765,7807.2236,7428.574,8204.551,7393.689,6939.307,7975.156,7500.1084,7317.437,7481.448,7804.493,7474.6523,7071.813,7065.294,7276.0996
4,mated_ff,dm_R57C10xGC6s_181204b,sucrose,200mM,04,dm_R57C10xGC6s_181204b_04_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,9869.18,9999.455,9880.904,9738.25,9575.292,9305.438,9342.198,9565.101,9438.785,9577.182,9253.895,9333.937,9514.692,9396.446,9316.338,9242.816,9439.241,9031.544,9321.925,9167.559,9410.859,9079.461,8934.703,9517.193,9462.173,9383.952,8874.784,9349.956,9167.306,9295.993,9471.562,9491.062,9167.971,9263.564,9481.404,9464.613,9542.521,9240.338,8952.045,9296.952,9232.952,8896.508,9036.149,9076.449,9254.005,9340.846,8861.302,9024.3955,8982.667,9070.551,9069.514,9179.549,9130.059,8990.185,8711.146,9128.577,9006.227,9302.969,9136.69,9249.586
5,mated_ff,dm_R57C10xGC6s_181204b,sucrose,200mM,04,dm_R57C10xGC6s_181204b_04_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,7023.6997,7480.8296,7803.1313,7765.12,7599.166,7193.7964,7537.7437,7545.1074,7780.9106,7812.7773,7509.0,7789.275,8074.5625,7622.7812,7754.5503,7817.1196,7874.524,7442.689,7671.112,7381.78,7281.6064,7298.668,7183.6035,7359.6343,7520.366,7082.3267,7413.1997,7669.066,7543.1597,7873.776,9027.74,9170.542,8640.068,8757.533,9189.0205,9014.192,8818.195,8656.784,8403.163,8075.3335,7954.7427,7870.6953,7474.2485,7833.121,7930.4346,7552.702,7806.08,7431.459,7764.3853,7679.8804,7883.5713,7784.1094,7737.0723,7681.04,7511.2046,7660.9463,7550.6523,7680.505,7293.4893,7728.3843
6,mated_ff,dm_R57C10xGC6s_181204b,sucrose,200mM,04,dm_R57C10xGC6s_181204b_04_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,4846.858,5384.5845,5802.0967,5684.9727,5435.4443,5460.863,5786.897,5780.31,5979.6226,5926.332,5761.5356,5984.3184,6418.8154,6040.1265,5877.3267,6229.922,6054.18,5748.506,5851.276,5481.4385,5634.3247,5647.216,5428.953,5483.053,5651.191,5438.765,5326.196,5940.0757,5841.9443,5720.9097,6629.2485,6968.623,6442.825,6549.861,6800.941,6610.0312,6346.1416,6264.973,6009.1797,6029.34,5768.971,5676.382,5474.9233,5639.137,5870.8687,5753.483,5631.343,5286.4365,5588.449,5789.6763,5713.146,5861.759,5611.3555,5656.4736,5476.0415,5804.155,5621.469,5855.1113,5437.2812,5771.242
7,mated_ff,dm_R57C10xGC6s_181204b,sucrose,200mM,04,dm_R57C10xGC6s_181204b_04_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,6109.8125,6541.8047,7269.36,7316.5605,7045.3438,7073.0884,7203.39,7216.344,7345.7046,7246.1465,7045.069,6958.749,7138.705,6945.947,7020.088,7074.9536,7118.285,7012.1113,7129.276,7074.6157,6988.764,6772.2,6784.5186,6642.08,6871.929,6791.79,6413.618,6985.715,6586.9434,6865.393,7167.8,6988.2373,6688.345,6823.7817,7298.8867,7239.308,7040.578,7000.7207,6751.866,6878.696,7059.0913,6731.122,6835.6123,6697.807,6736.768,6822.775,6558.1875,6777.729,6663.594,6897.571,6894.5366,6977.665,6990.6113,6838.0073,6706.463,6948.829,6886.314,7161.6357,6695.914,7088.811
8,mated_ff,dm_R57C10xGC6s_181204b,sucrose,200mM,04,dm_R57C10xGC6s_181204b_04_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,5903.2075,6425.827,6717.739,6880.957,6392.131,6510.952,6402.226,6452.351,6388.763,6472.014,6582.4087,6260.1934,6459.0366,6419.815,6427.1523,6260.3765,6245.583,6344.2314,6279.7446,6423.986,6260.2227,6378.626,5969.9365,6081.791,6062.775,6144.258,6143.4897,6154.597,6026.449,6129.848,6069.1343,5982.246,5959.2505,5984.7744,6151.011,6078.232,5857.4907,6162.948,6139.7803,6201.4434,5831.6274,6035.5513,5955.2305,6017.8853,6106.0225,5890.08,5897.6543,6028.1714,6137.653,5959.8296,5800.992,5861.8184,5850.5176,5838.9053,5712.284,5854.7124,5869.4688,5675.792,5982.386,6114.339
9,mated_ff,dm_R57C10xGC6s_181204b,sucrose,200mM,04,dm_R57C10xGC6s_181204b_04_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,3359.1208,3656.483,3884.8477,3807.503,3675.02,3803.0112,3859.4756,3936.1074,4055.2083,4096.9883,3901.2676,4195.5703,4275.435,4025.054,3914.9155,4085.7217,3917.879,3809.8306,3979.0972,3683.7498,3882.8054,3809.9944,3841.198,3914.5928,3984.468,3800.4792,3813.073,4012.7524,3907.2874,3933.6323,4051.7783,3925.9956,3833.337,3865.9731,4002.9182,3971.5178,3876.8167,3944.3103,3776.8706,3805.966,3549.128,3752.8352,3646.0518,3671.9182,3828.9907,3739.2554,3717.77,3570.1814,3810.757,3836.2446,3705.9114,3759.5671,3621.0098,3776.3997,3624.0293,3732.427,3478.2808,3817.1357,3499.5115,3792.2747
10,mated_ff,dm_R57C10xGC6s_181204b,sucrose,200mM,04,dm_R57C10xGC6s_181204b_04_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,3085.0513,3375.205,3424.5745,3320.9172,3320.1345,3341.601,3274.754,3374.058,3586.635,3475.9036,3422.9226,3587.831,3691.113,3526.8716,3403.352,3556.0168,3562.9036,3382.1072,3543.703,3404.525,3229.122,3467.0615,3468.7578,3491.979,3597.0344,3320.9087,3325.0508,3671.7383,3537.6252,3655.5215,3518.4033,3339.1602,3238.3618,3234.7817,3489.7856,3488.1733,3282.5686,3475.0503,3362.7656,3536.1648,3356.0803,3475.5093,3275.0854,3473.6997,3452.4983,3325.7578,3313.4175,3160.325,3306.8164,3435.375,3207.5276,3361.643,3340.0505,3223.7876,3298.3782,3291.3135,3131.3481,3258.1917,3139.148,3319.3127
