region,state,fly,stimulus,concentration,stimulus_nr,recording,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1,mated_ff,dm_R57C10xGC6s_181204c,nostim,NA,01,dm_R57C10xGC6s_181204c_01_nostim_SEZ_volreg_transformed_gauss.nii,5314.711,5786.5596,5852.6694,5810.101,5852.3228,5792.5767,5678.431,5683.8496,5850.318,5692.4966,5869.985,5827.913,6032.776,5756.834,5917.9263,5664.1973,5882.274,5797.144,5984.036,6002.85,5645.984,5621.488,5834.5435,5815.01,5504.2725,5691.0425,5378.778,5609.289,5749.4336,5962.7905,5904.04,5945.553,5624.132,5643.233,5905.86,5831.455,5811.092,5835.2793,5834.293,5710.7515,5849.5913,5859.0825,5892.3755,5811.4844,5546.0625,5789.257,5569.293,5582.0386,5582.204,5786.92,5902.059,5662.492,5649.2397,5848.6846,5637.5034,5296.571,5674.8936,5640.9277,5708.835,5742.468
2,mated_ff,dm_R57C10xGC6s_181204c,nostim,NA,01,dm_R57C10xGC6s_181204c_01_nostim_SEZ_volreg_transformed_gauss.nii,2783.4634,3225.4312,3216.1763,3067.5166,3092.228,3139.3223,3143.4578,2844.3813,2980.7495,3143.7373,3148.9937,3055.4265,3003.5662,3170.6438,3107.276,3303.0637,3118.0273,3132.925,3082.585,3244.245,3194.4414,3139.8013,3052.5745,3221.494,3190.089,3148.5085,3202.1292,3036.678,3231.517,3187.161,3221.5742,3062.2256,3215.3264,3118.6924,3165.3015,3143.179,3227.883,3067.9856,3160.2754,3116.0923,3165.633,3218.9565,3241.5354,3064.0552,3084.4954,3002.019,3083.981,3070.4543,3121.923,3272.433,3250.9482,3148.2683,3126.7102,3077.5122,2946.2427,3152.2656,3185.8926,3046.1448,2873.3499,3146.4844
3,mated_ff,dm_R57C10xGC6s_181204c,nostim,NA,01,dm_R57C10xGC6s_181204c_01_nostim_SEZ_volreg_transformed_gauss.nii,4387.9985,4875.382,5136.5625,6256.0806,4530.4653,5757.4224,4713.5054,4535.955,5655.9155,5325.887,4804.151,4628.306,5387.975,4495.405,5164.226,5096.7104,5798.8496,4758.9043,5753.5913,5090.7905,5811.762,5200.885,5115.0215,4988.699,5131.1206,5005.1426,4961.4243,5286.787,5136.5605,5020.773,4596.9966,4999.926,4901.1235,5198.2925,5004.7573,5413.1265,4850.2563,4888.9443,5054.556,5354.3477,4775.3413,5475.882,5104.9814,4788.667,4853.2305,4754.275,5495.025,4728.267,4580.979,4961.7427,5102.047,4980.847,5474.8887,5100.6494,4955.33,4665.381,4402.053,5118.837,5072.459,5142.5527
4,mated_ff,dm_R57C10xGC6s_181204c,nostim,NA,01,dm_R57C10xGC6s_181204c_01_nostim_SEZ_volreg_transformed_gauss.nii,5625.239,6188.4233,6184.0513,6501.2036,6177.253,6781.819,6173.768,5953.3867,6169.2446,6173.5015,6329.918,6206.412,6557.173,6389.318,6365.56,6302.7935,6457.0493,6267.7793,6490.9575,6202.74,6852.196,6690.2344,6673.0625,6579.247,6416.9536,6631.3247,6576.3687,6497.265,6664.1904,6368.3867,6782.451,6329.5264,6707.812,6615.5376,6694.696,6396.226,6474.1665,6503.1157,6702.616,6725.6553,6505.191,6266.562,6704.098,6335.065,6362.497,6422.922,6541.2783,6425.756,6488.607,6621.6064,6487.5156,6513.758,6618.3633,6378.96,6560.913,6403.1714,6351.73,6623.4995,6392.4023,6327.0796
5,mated_ff,dm_R57C10xGC6s_181204c,nostim,NA,01,dm_R57C10xGC6s_181204c_01_nostim_SEZ_volreg_transformed_gauss.nii,4473.139,5085.5327,5021.1943,4629.086,4971.446,4828.58,4939.765,4614.3013,4882.057,4947.111,5016.188,4843.674,4972.118,5016.836,4916.88,4871.7075,4899.655,4832.785,5048.058,4993.9243,4880.781,4859.204,4615.99,5041.0645,4696.588,4784.7646,4808.9375,4743.957,5100.4766,4999.1895,5109.459,4839.9478,4832.7686,4874.8696,5000.7227,5018.998,4947.54,4985.194,5026.5386,5028.1577,5127.308,5133.3984,5140.7705,4991.8506,4870.3477,4917.005,4537.4043,4930.5815,5026.9497,5191.9233,5074.919,5006.7017,4864.9165,4964.4478,4788.9766,4819.396,4891.179,4928.209,4797.2817,5160.4404
6,mated_ff,dm_R57C10xGC6s_181204c,nostim,NA,01,dm_R57C10xGC6s_181204c_01_nostim_SEZ_volreg_transformed_gauss.nii,4007.3162,4700.57,4807.098,4354.3394,4426.6357,4412.056,4606.014,3953.836,4589.2134,4548.804,4679.111,4547.408,4681.787,4640.7373,4414.3633,4684.254,4411.1846,4390.593,4715.0576,4654.4824,4515.2476,4459.54,4285.9004,4724.802,4601.1475,4661.2964,4595.923,4491.818,4844.6816,4823.194,4650.4336,4394.4385,4593.9536,4597.7065,4723.1914,4546.974,4745.148,4590.605,4614.6484,4807.9326,4741.2485,4647.764,4830.5967,4592.1523,4471.7427,4480.0737,4237.1436,4567.0435,4721.8203,4836.73,4831.4917,4590.2534,4666.5464,4498.1885,4515.8955,4690.6406,4627.7974,4670.6133,4486.7734,4804.377
7,mated_ff,dm_R57C10xGC6s_181204c,nostim,NA,01,dm_R57C10xGC6s_181204c_01_nostim_SEZ_volreg_transformed_gauss.nii,7614.0166,9139.725,9084.957,9209.511,8952.659,9082.137,8784.494,8941.88,8746.039,8487.574,8934.665,8811.832,8922.857,8943.672,8761.157,8844.884,8727.98,9000.86,8578.528,8799.329,9040.557,8777.206,8738.068,8850.482,8908.846,8650.176,8702.254,8364.417,8818.46,8638.538,8738.052,8918.306,8913.142,8790.625,8684.113,8463.562,8707.45,8822.3,8787.539,8774.685,8662.741,8521.139,8722.466,8487.785,8622.078,8976.586,8665.442,8341.892,8864.3,8722.904,8513.877,8489.169,8658.834,8527.008,8387.948,8363.757,8757.784,8722.451,8167.099,8648.725
8,mated_ff,dm_R57C10xGC6s_181204c,nostim,NA,01,dm_R57C10xGC6s_181204c_01_nostim_SEZ_volreg_transformed_gauss.nii,6845.0664,7619.3423,8065.2646,8115.8936,8179.3,8031.637,8053.0444,8004.7236,8012.738,7881.7554,7893.279,7894.403,7963.6973,7769.359,7851.4824,8085.0444,8102.6724,7934.1836,8006.46,8064.2305,7688.574,7630.145,7855.8965,7797.7183,7677.503,7630.5566,7487.242,7855.992,7769.1064,7874.5186,7926.1514,7908.8833,7691.915,7804.387,7814.8945,7872.482,7889.3833,7711.433,7653.7817,7715.1045,7795.1606,7926.5415,7921.0522,7800.397,7490.764,7567.504,7624.254,7513.9023,7699.5493,7849.846,7777.2173,7642.6646,7732.3853,7698.385,7281.223,7535.873,7662.1943,7664.375,7500.806,7736.008
9,mated_ff,dm_R57C10xGC6s_181204c,nostim,NA,01,dm_R57C10xGC6s_181204c_01_nostim_SEZ_volreg_transformed_gauss.nii,2839.9585,3231.8816,3192.3076,3014.3567,3073.1492,3104.4917,3103.6245,2835.0308,3027.5073,3146.5657,3182.958,3010.0764,3056.6375,3185.1707,3043.235,3084.0327,3017.9636,3050.2515,3145.6316,3085.3767,3089.115,3078.794,2963.5435,3205.7112,3056.9387,3086.8025,3040.999,3038.7725,3189.7585,3081.3977,3181.2334,2977.5337,3132.539,3135.4536,3142.3037,3123.3015,3173.249,3054.0283,3170.988,3181.17,3246.2756,3208.941,3211.3586,3051.6665,2992.963,3034.6345,2930.4583,3091.2563,3168.1265,3258.0999,3167.2986,3060.429,3063.1338,3116.903,3080.0103,3055.5894,3080.868,3104.711,2959.3088,3154.5493
10,mated_ff,dm_R57C10xGC6s_181204c,nostim,NA,01,dm_R57C10xGC6s_181204c_01_nostim_SEZ_volreg_transformed_gauss.nii,2185.1384,2342.852,2346.0933,2396.8281,2340.947,2369.9766,2323.7568,2245.296,2313.471,2320.633,2306.282,2226.2124,2315.6418,2247.4192,2320.2678,2312.5989,2261.9216,2281.1387,2352.8887,2333.38,2266.5315,2334.4353,2386.4294,2265.0544,2328.0476,2269.7256,2351.5698,2326.1912,2252.6335,2398.565,2367.5369,2353.5488,2348.2166,2280.7654,2232.1943,2323.294,2305.902,2247.8462,2345.7705,2339.0503,2310.146,2344.0813,2252.0808,2295.1248,2363.0793,2364.523,2423.4,2359.5308,2259.6394,2306.885,2318.0361,2312.26,2369.9707,2310.2144,2298.735,2399.766,2259.1213,2291.9053,2303.913,2384.845
