region,state,fly,stimulus,concentration,stimulus_nr,recording,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1,mated_ff,dm_R57C10xGC6s_181204c,h2o,NA,02,dm_R57C10xGC6s_181204c_02_h2o_SEZ_volreg_transformed_gauss.nii,5683.118,6276.609,5820.0493,5905.055,6244.0225,6266.372,5879.646,5594.7285,6184.799,6212.3604,6182.035,5958.0195,6587.3037,6307.1074,6295.727,6050.981,6402.605,5911.8,6166.829,5982.2705,6333.24,6703.91,6669.092,7064.4785,6841.837,6757.265,6692.771,6728.756,6416.781,6511.9756,6513.8896,6075.7827,6289.746,6207.097,6141.7163,6520.2256,6286.3975,6223.248,6163.889,6266.1587,5840.0225,5943.0327,6244.2974,6088.4336,6262.7856,5474.6787,6235.7295,6065.979,6532.726,6132.31,6212.811,6083.951,6101.9023,6241.598,6365.844,6471.521,5985.2793,6169.662,5893.6855,6159.497
2,mated_ff,dm_R57C10xGC6s_181204c,h2o,NA,02,dm_R57C10xGC6s_181204c_02_h2o_SEZ_volreg_transformed_gauss.nii,3013.6765,3170.1973,3191.504,3137.9297,3259.9236,3120.5532,3083.668,2995.2043,3229.4448,3235.3926,3023.117,3218.5447,3306.0742,3042.112,3180.8506,3053.8499,3258.7227,3080.7292,3227.1785,3026.5981,3199.173,3326.2068,3336.6748,3389.6077,3340.3667,3227.5547,3207.5938,3213.8481,3363.369,3325.1636,3244.631,3159.499,3322.0874,3180.4036,3089.7502,3162.781,3082.7122,3180.2673,3054.443,3052.249,3069.129,3064.8267,3187.356,2885.7593,3211.6455,3043.952,3245.0737,3242.5344,3316.2932,3308.7192,3288.8342,3274.9453,3166.3044,3189.2434,3215.4663,3218.4768,3216.1772,3174.9214,3061.6926,3128.2134
3,mated_ff,dm_R57C10xGC6s_181204c,h2o,NA,02,dm_R57C10xGC6s_181204c_02_h2o_SEZ_volreg_transformed_gauss.nii,5039.149,5052.15,4970.1465,5604.4995,5217.01,4870.1113,4926.9517,4916.627,5564.3975,5704.4756,5053.4927,5070.2573,6476.0205,5712.045,5583.6553,5272.902,5562.0605,5045.6177,4837.5254,4792.962,4965.414,7261.616,8059.523,8018.538,7177.6787,6649.8564,6245.9014,6984.9897,5553.685,6251.7173,6019.06,5868.079,6226.2217,5599.086,5107.499,6737.4233,5822.849,5296.6543,4739.421,4723.4756,5614.3027,5374.599,5122.219,5288.1943,5541.7476,4740.037,5127.6733,5100.781,5163.6167,5862.631,5289.3794,6993.013,6607.2646,5859.5522,5808.1943,6487.137,5573.198,6256.293,5441.59,4997.6514
4,mated_ff,dm_R57C10xGC6s_181204c,h2o,NA,02,dm_R57C10xGC6s_181204c_02_h2o_SEZ_volreg_transformed_gauss.nii,6154.309,6391.886,6282.6084,6411.5366,6810.709,6509.835,6351.9507,6159.3784,6893.126,6481.41,6119.173,6623.469,7418.604,6999.6006,6735.695,7046.8228,6722.467,6534.654,6262.455,5913.664,6378.1,8107.2793,8945.152,8806.066,8440.038,8142.315,7846.4478,7857.0215,7200.6694,6726.8887,6870.3433,6688.7656,6614.9214,6151.275,6072.524,6889.73,6668.3647,6414.5527,6249.961,6271.6597,6563.895,6216.834,6276.189,6195.889,6586.638,6239.856,6739.023,6738.2544,6831.668,6638.0166,6680.6807,7146.801,7240.913,6667.169,6588.377,7096.9575,6699.9487,6940.046,6362.128,6603.3413
5,mated_ff,dm_R57C10xGC6s_181204c,h2o,NA,02,dm_R57C10xGC6s_181204c_02_h2o_SEZ_volreg_transformed_gauss.nii,4832.415,5299.206,5157.0386,5041.7925,5276.8735,5099.355,5009.711,4770.7334,5299.362,5305.2886,5160.01,5670.9473,6291.3276,5950.0884,5935.079,5675.1304,5860.5796,5218.1763,5278.128,4984.3823,5945.069,6292.474,5920.0815,5971.1055,5615.1177,5429.243,5465.9897,5437.7896,5815.7993,5611.9707,5549.2266,5192.354,5282.7695,5148.7065,5066.3257,5215.7153,4895.5264,4918.858,4690.7173,5102.985,4971.5996,4749.6177,4943.5386,4757.666,5263.1685,4779.336,5268.367,5096.7866,5392.856,5128.3335,5271.9614,5298.2314,5065.343,5157.7524,5074.371,4930.452,5128.3022,5052.533,4993.4883,5137.0947
6,mated_ff,dm_R57C10xGC6s_181204c,h2o,NA,02,dm_R57C10xGC6s_181204c_02_h2o_SEZ_volreg_transformed_gauss.nii,4423.751,4809.2495,4767.263,4730.2134,4813.088,4679.508,4867.7114,4246.8623,4814.6055,4846.3774,4622.3276,5288.7817,5750.169,5030.436,5256.2637,5023.8003,5063.8066,4711.6875,4765.0605,4333.1562,5219.052,5813.397,5486.3735,5213.0327,4953.925,4890.0024,5172.5083,4940.7954,5198.0264,4691.224,4988.433,4552.4204,4858.2085,4500.3906,4521.311,4755.3213,4451.955,4528.3696,4421.169,4612.847,4650.324,4435.8184,4522.2896,4158.37,4815.1216,4442.75,4931.249,4619.729,4767.7925,4562.4985,4851.7188,4764.702,4536.368,4723.0884,4507.275,4446.456,4654.423,4619.701,4526.1553,4701.148
7,mated_ff,dm_R57C10xGC6s_181204c,h2o,NA,02,dm_R57C10xGC6s_181204c_02_h2o_SEZ_volreg_transformed_gauss.nii,9148.779,10155.823,10576.07,10089.739,10580.72,9908.511,9935.714,9343.862,10099.653,10018.305,9866.925,10309.489,10287.765,10114.114,10079.196,9884.649,9870.644,9743.08,9776.67,9309.349,9763.581,10263.925,10309.282,10290.362,10430.432,10079.743,10169.749,9954.807,10071.973,9737.355,9773.871,9787.521,9677.188,9456.104,9305.14,9411.323,9452.095,9729.167,9395.289,9718.846,9277.943,9231.891,9432.129,9291.164,9763.103,9309.024,9622.656,9454.02,9673.426,9316.658,9820.672,10257.244,9876.269,9253.965,9393.433,9527.531,9303.58,9537.752,9365.008,9676.037
8,mated_ff,dm_R57C10xGC6s_181204c,h2o,NA,02,dm_R57C10xGC6s_181204c_02_h2o_SEZ_volreg_transformed_gauss.nii,7858.486,9051.839,8742.353,8894.232,9201.771,9207.057,8536.681,8485.751,8804.755,8773.652,8698.561,8446.512,8781.882,8892.968,9035.247,8777.28,8573.98,8519.09,8668.536,8690.704,8726.765,8732.648,8878.711,8982.011,9038.7705,8980.738,9077.939,9261.819,9262.21,9085.352,9254.303,9141.131,9547.607,9270.529,9318.729,9485.758,9226.424,9213.367,9042.228,9165.658,8909.499,9111.792,9183.669,9016.166,9355.975,8510.425,9114.224,8903.486,8932.803,8796.494,8797.984,9013.214,8663.476,8674.122,8577.4,8720.372,8549.192,8510.519,8481.925,8456.174
9,mated_ff,dm_R57C10xGC6s_181204c,h2o,NA,02,dm_R57C10xGC6s_181204c_02_h2o_SEZ_volreg_transformed_gauss.nii,2959.025,3241.2012,3257.8289,3148.23,3208.2432,3141.4802,3130.708,2896.5688,3166.9353,3231.278,3050.095,3358.0823,3497.4614,3230.7063,3342.4746,3170.5923,3386.003,3062.968,3171.2085,2936.3594,3359.0688,3557.1418,3420.5222,3483.3394,3332.8782,3287.014,3314.0242,3186.1565,3379.768,3242.4238,3139.9873,3104.6606,3074.9727,3060.0579,3067.5374,3086.9272,2965.8113,3134.1338,3047.3994,3003.3398,3050.105,3097.6663,3048.5513,2877.436,3163.3252,2979.7378,3187.1387,3113.8193,3247.3352,3141.7695,3175.912,3172.8645,3073.1653,3169.4414,3192.3347,3042.7285,3167.1704,3094.4758,3023.3293,3135.189
10,mated_ff,dm_R57C10xGC6s_181204c,h2o,NA,02,dm_R57C10xGC6s_181204c_02_h2o_SEZ_volreg_transformed_gauss.nii,2262.3777,2345.7634,2319.2495,2296.0422,2214.461,2358.6128,2206.3132,2259.8179,2315.1294,2289.9897,2202.703,2392.9004,2342.4248,2326.7087,2432.244,2431.1284,2355.3235,2285.789,2286.9106,2269.3376,2431.8362,2329.753,2392.9077,2348.4014,2375.8374,2416.6768,2417.0251,2353.1282,2363.0312,2432.9932,2464.6814,2326.7898,2297.9707,2321.4375,2373.6455,2336.6042,2328.2932,2359.9043,2355.2104,2334.868,2302.629,2308.3567,2342.2678,2381.4707,2440.9534,2279.4087,2405.4954,2383.691,2479.8296,2451.9897,2406.877,2385.7842,2374.0288,2361.3599,2506.876,2433.8357,2388.1147,2396.302,2376.695,2443.3015
