region,state,fly,stimulus,concentration,stimulus_nr,recording,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1,mated_ff,dm_R57C10xGC6s_181212a,h2o,NA,05,dm_R57C10xGC6s_181212a_05_h2o_SEZ_volreg_transformed_gauss.nii,4791.3145,5109.16,5246.0654,5201.4897,5160.9966,5059.721,5185.1743,5226.4375,5465.969,5223.407,5068.2827,5539.7964,5442.9204,5358.425,5381.863,5433.6865,5584.3506,5390.2305,5169.092,5411.774,5323.822,5172.763,5450.4517,5301.6606,4771.623,5104.6035,5074.1626,5166.582,5134.4204,5029.194,5217.6133,4922.4746,4998.5513,4868.9624,4923.582,4863.7676,5025.8145,5215.035,5161.702,5179.687,5135.4062,4720.7017,4718.6226,4998.132,4994.4893,5037.2183,5080.793,4940.621,5265.4727,4857.75,4948.9785,4549.326,4826.34,4692.5815,5081.424,5084.9785,4948.7095,5035.1025,5079.971,5152.969
2,mated_ff,dm_R57C10xGC6s_181212a,h2o,NA,05,dm_R57C10xGC6s_181212a_05_h2o_SEZ_volreg_transformed_gauss.nii,2814.0527,3010.2288,3061.3528,3000.6697,3058.2163,2884.9187,2997.849,3113.4402,3135.6548,2936.9773,3040.3938,3156.1255,3145.3315,3140.2935,3188.1511,3263.962,3241.6726,3298.8306,3098.7803,3202.743,3053.3103,3026.321,3207.7417,3210.8477,2970.935,3112.985,3072.8582,3157.8713,3195.9639,2976.244,3028.6096,2944.112,3010.4216,2933.6177,3008.231,3063.128,3068.1223,3084.039,2891.3247,3005.955,2924.3376,2817.7708,2922.3276,2894.6973,2920.7944,2898.286,2841.395,2836.2053,3054.278,2865.001,2883.146,2874.2427,3008.4226,2922.7156,3020.2283,3027.8494,2862.041,2918.2566,3076.5984,3139.2844
3,mated_ff,dm_R57C10xGC6s_181212a,h2o,NA,05,dm_R57C10xGC6s_181212a_05_h2o_SEZ_volreg_transformed_gauss.nii,11467.189,10562.435,11151.838,10703.454,11151.793,10740.151,11160.408,11050.319,11739.158,10397.547,10838.447,11935.485,12143.068,12473.636,12745.057,11431.828,12734.342,11305.58,11952.219,11887.022,12833.298,12163.196,12599.867,12902.754,12475.035,12320.227,12057.524,11678.471,12369.639,11319.89,11148.338,12070.2705,11973.342,11998.017,11622.006,12903.015,12613.109,12693.046,12711.405,12251.07,13346.43,11442.069,11896.503,13813.549,12233.741,11370.478,12557.753,12938.29,11832.562,11455.409,12632.464,12020.259,11744.793,12212.31,11665.701,12086.634,11304.488,12308.114,12521.189,11466.878
4,mated_ff,dm_R57C10xGC6s_181212a,h2o,NA,05,dm_R57C10xGC6s_181212a_05_h2o_SEZ_volreg_transformed_gauss.nii,5817.658,6018.307,6336.4,6179.3457,6225.891,6075.152,6127.709,6410.669,6677.825,6242.013,6547.898,7314.4287,7527.098,7405.2344,7496.6846,7642.203,7426.9214,6924.0034,6907.4287,6645.6416,6956.721,7229.85,7408.8076,7270.9937,7200.7783,7147.151,7051.3374,7024.5273,7158.5703,6878.806,6935.9355,6803.4907,6914.762,6630.3364,6719.9014,6950.3486,6822.8013,6814.681,6643.7466,6822.3447,6869.3594,6539.487,6626.627,6786.119,6479.603,6600.5723,6572.4263,6390.861,6811.1147,6650.395,6355.1743,6497.2603,6680.1675,6305.3516,6422.474,6445.6494,6739.963,6751.4346,6738.195,6619.0444
5,mated_ff,dm_R57C10xGC6s_181212a,h2o,NA,05,dm_R57C10xGC6s_181212a_05_h2o_SEZ_volreg_transformed_gauss.nii,4633.2363,4918.5894,4997.8115,4873.596,5147.171,5094.423,4884.6265,5043.5903,5239.4883,4851.0405,5044.6167,5717.8,5912.683,5684.3286,5913.7524,5998.8306,5810.0195,5942.8975,5162.539,5526.3613,5623.9785,5549.377,5763.2295,5838.8765,5449.0947,5634.171,5493.5864,5511.833,5611.5137,5468.1436,5457.316,5197.664,5293.197,5046.799,5013.8555,5102.699,5030.6445,5157.312,5061.6245,5108.127,5048.257,4781.0293,4884.0435,4898.422,4780.2393,4899.339,4813.548,4875.073,5032.996,4902.1343,4840.354,4739.7876,4975.0635,4770.787,4966.1313,4948.427,4929.086,5139.614,5084.3037,4865.6934
6,mated_ff,dm_R57C10xGC6s_181212a,h2o,NA,05,dm_R57C10xGC6s_181212a_05_h2o_SEZ_volreg_transformed_gauss.nii,4110.572,4409.6997,4328.2036,4433.6055,4723.9727,4468.8613,4489.072,4708.771,5165.98,4528.981,4963.668,5043.229,5410.129,5423.7427,5723.8813,5719.734,5532.724,5305.117,5045.145,4854.7656,4825.6426,5096.363,5487.0283,5249.7236,5289.3213,5041.804,5008.1787,5024.824,5126.3213,4953.6226,4932.63,4867.058,4754.37,4566.2354,4580.0493,4709.514,4630.422,4656.1143,4417.1226,4365.2363,4571.812,4075.106,4254.224,4652.069,4410.4326,4306.669,4456.633,4181.9575,4338.014,4425.427,4106.936,4144.261,4449.233,4262.6245,4391.2793,4530.9487,3996.7075,4152.242,4333.574,4227.116
7,mated_ff,dm_R57C10xGC6s_181212a,h2o,NA,05,dm_R57C10xGC6s_181212a_05_h2o_SEZ_volreg_transformed_gauss.nii,6048.992,6598.931,6644.066,6443.5757,6821.634,6594.739,6581.859,7024.266,7031.9814,6780.0425,6822.526,6966.843,7097.6177,6895.12,6931.134,7000.3633,6930.2695,6653.593,6048.905,6743.391,6395.6846,6255.6367,6820.482,6835.322,6533.6777,6690.359,6741.8047,6759.0605,6799.8823,6548.866,6394.5684,6314.654,6396.8584,6286.837,6202.43,6182.675,6114.6416,6550.122,6276.2695,6394.2896,6294.9736,6054.293,6144.459,6267.954,6300.3086,6126.076,5760.191,5983.1743,6325.2305,6261.5303,6211.9893,6062.848,6115.1357,6145.723,6262.2095,6256.7207,6270.7686,6568.388,6715.823,6598.4478
8,mated_ff,dm_R57C10xGC6s_181212a,h2o,NA,05,dm_R57C10xGC6s_181212a_05_h2o_SEZ_volreg_transformed_gauss.nii,9516.963,9378.263,9523.961,9904.318,9970.755,10143.036,9926.189,9940.541,9680.334,9396.641,9355.016,10518.36,10863.865,10355.452,10178.376,9692.519,10108.671,10872.648,10825.495,10758.265,10510.046,10547.532,10231.045,9962.753,9360.346,9853.416,9492.837,9362.7705,9298.353,9112.352,9324.63,8846.731,9207.461,9140.242,9367.723,10346.036,10139.5205,10029.069,9798.096,9612.713,9696.585,9569.209,9187.673,9198.437,8862.033,9093.055,9109.936,10013.767,9831.929,9982.996,9620.739,9010.338,9545.771,8978.332,9239.052,10274.819,10323.058,10393.935,9914.208,9283.779
9,mated_ff,dm_R57C10xGC6s_181212a,h2o,NA,05,dm_R57C10xGC6s_181212a_05_h2o_SEZ_volreg_transformed_gauss.nii,3270.6033,3504.69,3677.6296,3521.3242,3744.3474,3477.878,3600.6636,3694.907,3734.69,3439.693,3778.5137,4187.166,4300.316,4267.3306,4265.9707,4399.234,4390.3877,4685.334,4360.18,4224.019,4124.815,4214.891,4393.2754,4239.4746,4065.8845,4149.9897,4086.9358,4086.3616,4137.3936,3955.239,3985.5984,3876.1384,3914.4685,3830.1313,3741.442,3823.6892,3882.8167,3888.5732,3692.6123,3777.2104,3827.1094,3516.4854,3590.2246,3619.5786,3548.9583,3558.7947,3480.5579,3570.4382,3696.617,3614.2812,3440.9482,3430.8237,3661.4958,3474.0305,3565.1233,3680.165,3613.773,3631.8154,3603.3047,3481.8252
10,mated_ff,dm_R57C10xGC6s_181212a,h2o,NA,05,dm_R57C10xGC6s_181212a_05_h2o_SEZ_volreg_transformed_gauss.nii,3437.776,3461.919,3505.1733,3844.63,3147.5215,3444.2104,3408.8618,3711.224,3815.0105,3487.597,3824.9958,4117.996,4242.292,3962.9863,3900.3796,3779.71,3683.3513,3140.1938,3483.6877,3243.3818,3702.36,3914.6658,3756.3599,3828.686,3629.3171,3764.9348,3826.2622,3840.453,3795.651,3727.9705,3753.4077,3794.0957,3899.5967,3810.998,3865.4348,3209.2075,3169.8132,3413.5422,3589.629,3960.8206,3846.258,3467.2725,3675.1777,3708.2327,3607.043,3701.7563,3734.2654,3097.8833,3357.1365,3424.47,3662.7808,3393.8274,3527.375,3470.0579,3781.5957,3492.873,3103.2764,3166.807,3313.377,3549.2703
