region,state,fly,stimulus,concentration,stimulus_nr,recording,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1,mated_ff,dm_R57C10xGC6s_181214a,nostim,NA,01,dm_R57C10xGC6s_181214a_01_nostim_SEZ_volreg_transformed_gauss.nii,5148.811,5913.5986,5869.1895,5867.62,6066.5186,6012.412,5953.6895,5745.7764,5785.8774,6053.3325,5986.604,6217.379,6032.167,5819.833,5813.0117,5569.898,5597.578,5914.234,5860.5044,5662.345,5700.089,5408.536,5102.489,5361.0493,5603.592,5719.4204,5782.264,6120.5645,5797.701,5800.116,5707.7915,5588.0254,5500.664,5587.6343,5625.75,5462.839,5576.124,5638.9683,5528.0947,5734.0503,5449.4956,5488.1772,5425.6064,5787.972,5863.143,5863.76,5657.6924,5819.0166,5522.2456,5418.671,5159.1304,5189.004,5347.2817,5643.315,5447.751,5679.6807,5564.811,5764.7876,5747.891,5525.1357
2,mated_ff,dm_R57C10xGC6s_181214a,nostim,NA,01,dm_R57C10xGC6s_181214a_01_nostim_SEZ_volreg_transformed_gauss.nii,3211.0186,3719.8206,3705.933,3464.1924,3283.6807,3400.0642,3668.874,3480.6047,3523.6738,3828.8792,3334.7612,3653.4233,3682.5657,3647.352,3630.5198,3516.5854,3756.6702,3646.202,3761.8577,3538.0193,3537.2395,3572.344,3609.2012,3646.4243,3439.0305,3567.3823,3466.1777,3663.0076,3433.4036,3684.744,3302.4846,3517.753,3183.9944,3410.213,3269.4353,3469.5786,3345.083,3410.1526,3582.9167,3690.847,3423.6575,3298.9329,3416.9143,3341.633,3523.3792,3253.1316,3369.2852,3701.9675,3253.7903,3303.9744,3600.7998,3445.4558,3365.9631,3437.363,3565.0242,3436.1116,3609.32,3676.2458,3512.473,3528.3606
3,mated_ff,dm_R57C10xGC6s_181214a,nostim,NA,01,dm_R57C10xGC6s_181214a_01_nostim_SEZ_volreg_transformed_gauss.nii,9142.422,9896.592,9389.431,9262.0625,9646.649,9708.198,9019.502,8542.61,9449.979,9529.446,9241.65,10243.014,9505.647,9926.025,9786.566,9612.98,9457.377,9377.017,10079.607,9935.253,9970.697,9164.867,9704.338,9218.861,9201.284,9238.668,8988.945,9671.329,9116.919,9308.206,9485.296,9006.014,8871.733,9464.033,9114.65,9457.654,9755.748,9910.161,9345.8955,9423.674,9229.233,9172.13,8674.858,8480.996,8523.008,9285.173,9062.745,9406.541,9355.709,9268.933,9062.221,8456.265,10733.897,10171.489,8613.603,9933.756,9754.426,8961.809,9117.748,9774.509
4,mated_ff,dm_R57C10xGC6s_181214a,nostim,NA,01,dm_R57C10xGC6s_181214a_01_nostim_SEZ_volreg_transformed_gauss.nii,7207.295,7592.2505,7379.2163,7392.6387,7010.2363,6823.0107,7001.382,7364.578,7648.1187,7549.4507,6947.0586,7589.355,7732.1084,7456.2617,7113.0415,7107.038,7085.433,7111.4683,7370.022,7581.8125,7489.6826,7563.263,7479.8037,7239.666,7064.8057,6960.647,6741.9897,7294.599,6946.2993,7239.4946,6672.723,6929.1753,6619.369,6878.006,6963.8423,7720.0986,7542.2407,7258.4,7248.896,7464.9834,6894.5117,6721.8096,6768.8237,6805.958,6977.0283,6578.138,6937.1094,7249.821,6813.7876,7398.019,7657.8774,7958.8887,7966.6704,7549.3594,7115.618,7202.593,7186.262,7157.2563,7107.1265,6865.9478
5,mated_ff,dm_R57C10xGC6s_181214a,nostim,NA,01,dm_R57C10xGC6s_181214a_01_nostim_SEZ_volreg_transformed_gauss.nii,5393.6313,6023.6626,5864.155,5764.3975,5577.085,5286.4717,5273.484,5372.469,5400.7866,5786.5347,5481.2524,5857.7056,5738.0757,5487.6836,5470.5684,5533.8296,5435.646,5725.774,5718.166,5450.117,5423.2656,5451.2666,5456.283,5333.992,5589.136,5579.5005,5531.505,5926.959,5602.559,5853.9604,5332.85,5347.666,5478.068,5660.6353,5531.1685,5818.797,5754.879,5793.1514,5525.279,6104.194,5720.497,5529.898,5448.64,5697.6226,5739.824,5555.457,5588.452,6003.1924,5621.441,5385.337,5390.145,5404.8833,5433.9097,5611.844,5680.138,5643.0957,5653.9463,5879.32,5781.337,5532.3506
6,mated_ff,dm_R57C10xGC6s_181214a,nostim,NA,01,dm_R57C10xGC6s_181214a_01_nostim_SEZ_volreg_transformed_gauss.nii,4400.107,5018.4214,5165.6597,5062.7007,4725.961,4573.695,4772.107,4708.82,4751.439,5113.7876,4741.9307,4896.29,5033.9395,4943.9146,4741.6875,4809.827,4591.345,4999.7783,4873.6807,4527.6807,4597.009,4884.637,4808.9106,4598.5093,4883.482,4640.355,4613.3516,5158.0435,4752.143,5004.103,4449.4736,4581.516,4449.6343,4815.9976,4564.8745,4975.36,4784.9453,4754.063,4635.8057,5194.5913,4572.3584,4756.451,4410.3857,4850.1216,4875.861,4491.28,4481.708,5004.7773,4602.943,4478.2896,4681.9575,4465.187,4524.289,4867.7324,4530.225,4598.7246,4926.0312,4924.73,4802.4395,4541.3857
7,mated_ff,dm_R57C10xGC6s_181214a,nostim,NA,01,dm_R57C10xGC6s_181214a_01_nostim_SEZ_volreg_transformed_gauss.nii,5311.9097,6103.95,5993.052,5979.313,5618.4243,5514.9053,5907.0703,6028.457,5887.48,6152.813,5869.407,6186.8306,5873.839,5961.2886,5848.3184,5675.9644,5864.0415,5971.214,5910.6694,5674.493,5626.261,5622.1973,5671.2617,5469.483,5674.284,5704.7764,5544.701,5861.3086,5552.512,5812.763,5296.7783,5607.853,5203.15,5582.966,5344.099,5762.965,5531.245,5502.1636,5381.669,5792.9736,5739.6475,5423.381,5449.0166,5474.9243,5635.729,5323.5576,5409.2534,5914.6274,5394.1094,5371.098,5601.9297,5608.6313,5472.498,5574.649,5686.8403,5459.853,5652.082,5821.1743,5787.584,5407.819
8,mated_ff,dm_R57C10xGC6s_181214a,nostim,NA,01,dm_R57C10xGC6s_181214a_01_nostim_SEZ_volreg_transformed_gauss.nii,6011.247,6595.3706,6463.4966,6685.501,6733.7593,6676.9014,6512.643,6543.976,6415.398,6702.5024,6498.074,6519.0947,6476.051,6346.0425,6536.79,6119.2617,6597.78,6635.11,6728.9834,6549.687,6515.619,6086.1675,5968.0176,6156.0703,6194.3457,6241.4785,6369.547,6284.506,6003.4126,5999.1577,6071.46,6073.3354,6036.26,6093.4834,6494.859,6233.1953,6455.5537,6475.2173,6463.851,6498.69,6112.0405,6083.9756,6161.7207,6203.209,6245.271,6183.134,6120.7,6165.977,6101.67,6108.3237,6171.2603,6014.605,6283.0186,6533.882,6270.9526,6250.2744,6306.641,6285.2476,6293.7695,6288.087
9,mated_ff,dm_R57C10xGC6s_181214a,nostim,NA,01,dm_R57C10xGC6s_181214a_01_nostim_SEZ_volreg_transformed_gauss.nii,4353.663,4823.548,4765.81,4687.901,4387.8755,4240.493,4549.7827,4520.224,4508.8784,4817.7275,4435.041,4682.09,4566.9634,4578.017,4473.876,4446.8867,4633.6187,4731.197,4708.8325,4411.5137,4337.163,4480.903,4450.2876,4453.83,4678.232,4611.1064,4397.322,4726.7314,4380.2783,4611.7466,4105.9707,4280.4917,4115.611,4473.302,4217.0386,4483.375,4358.5063,4361.736,4509.699,4877.712,4511.835,4280.1997,4247.779,4318.722,4389.8154,4162.415,4411.7427,4825.578,4417.337,4212.473,4385.0044,4301.5576,4249.6924,4356.8945,4338.623,4383.783,4648.5776,4712.007,4553.77,4277.3096
10,mated_ff,dm_R57C10xGC6s_181214a,nostim,NA,01,dm_R57C10xGC6s_181214a_01_nostim_SEZ_volreg_transformed_gauss.nii,4274.4487,4906.274,4268.4287,3964.8633,4155.3384,4018.1467,4001.7634,3935.5166,4434.2676,4866.8276,4519.848,4738.6226,4966.195,4333.774,4184.4756,4018.2222,4201.571,4514.869,4877.931,4673.3374,4945.64,3966.822,3765.0466,4019.4622,4255.7095,4521.3975,4282.2017,4784.9756,4789.8267,4854.451,4345.107,4132.014,4378.797,4174.466,4255.4434,4300.3145,4648.8057,4710.4966,4774.8594,4603.3203,4262.9976,4274.4683,4064.779,4417.6353,4324.5615,4113.3613,4593.9106,4739.8784,4574.3325,4741.2563,4563.121,4073.119,4027.7954,4247.101,3916.138,4400.93,4175.3623,4684.928,4745.295,4735.27
11,mated_ff,dm_R57C10xGC6s_181214a,nostim,NA,01,dm_R57C10xGC6s_181214a_01_nostim_SEZ_volreg_transformed_gauss.nii,3872.2146,4308.1675,4250.6387,4105.0073,3997.5134,4073.9177,4233.6846,4105.253,4210.1865,4380.877,3958.587,4326.469,4193.9966,4233.757,4175.334,4060.1665,4217.6,4226.7197,4299.19,4161.939,4122.6777,4143.645,4117.7324,4126.0967,4025.3938,4182.5186,3967.1067,4229.399,4018.1074,4143.1313,3908.1572,4019.5388,3869.397,3918.417,3774.7712,4039.725,3970.2852,3986.1465,4287.2344,4227.76,4026.775,3939.6006,4011.0476,3914.5151,4017.8918,3797.4094,3994.033,4218.467,3957.0227,3968.8835,4183.584,4014.5688,4037.0857,3902.6184,3830.5354,3926.7295,4142.75,4238.027,4118.97,4036.6145
12,mated_ff,dm_R57C10xGC6s_181214a,nostim,NA,01,dm_R57C10xGC6s_181214a_01_nostim_SEZ_volreg_transformed_gauss.nii,3459.8933,3910.4749,3762.1274,3698.0847,3754.0034,3711.6035,3719.988,3657.58,3713.5574,3961.9968,3853.1929,3882.5034,3802.988,3634.8374,3638.2266,3409.6313,3702.3857,3800.997,3819.3333,3595.79,3542.5593,3414.8057,3291.5437,3451.5833,3680.1396,3700.6096,3690.2222,3809.3896,3591.694,3638.6553,3596.974,3537.1194,3491.9812,3483.7363,3599.4749,3463.7095,3557.028,3594.554,3612.3425,3860.7139,3637.8608,3499.9521,3508.5945,3645.4363,3595.5227,3639.0808,3591.7405,3842.1855,3679.9841,3461.2703,3296.324,3205.142,3320.3186,3557.2605,3386.7239,3581.5974,3697.0225,3780.5408,3743.4888,3572.8135
13,mated_ff,dm_R57C10xGC6s_181214a,nostim,NA,01,dm_R57C10xGC6s_181214a_01_nostim_SEZ_volreg_transformed_gauss.nii,2154.658,2366.5935,2260.39,2262.519,2399.6243,2248.09,2278.7556,2276.8496,2170.09,2423.3892,2256.7659,2483.1511,2267.4324,2242.739,2264.5837,2275.276,2200.9817,2279.1704,2328.7659,2300.9807,2273.6223,2268.9082,2276.0593,2130.403,2233.8901,2286.5325,2207.4043,2505.3804,2218.6387,2297.2715,2199.9797,2198.58,2182.7302,2191.0664,2090.466,2230.0186,2225.7336,2229.2986,2195.3105,2339.03,2187.6414,2169.0947,2187.0889,2203.1572,2304.6304,2212.5476,2208.5093,2263.2214,2371.2766,2206.2795,2170.023,2180.319,2231.9954,2193.7864,2345.1768,2193.3818,2142.7183,2283.0156,2251.8572,2337.7773
14,mated_ff,dm_R57C10xGC6s_181214a,nostim,NA,01,dm_R57C10xGC6s_181214a_01_nostim_SEZ_volreg_transformed_gauss.nii,9101.863,9623.856,9268.504,8922.664,8864.525,8497.278,8472.641,8703.751,9052.089,8857.037,8579.813,8950.268,9153.744,9044.897,8634.982,8644.907,8653.296,8820.85,9121.96,8800.553,8916.567,9067.234,8914.349,8726.256,9132.058,8999.048,8795.773,9178.659,9073.789,9159.356,8594.222,8626.48,8756.927,8962.104,8729.486,9191.065,9242.222,9216.743,9152.512,9679.072,9003.36,8899.143,8642.541,9035.65,8955.145,8763.682,9180.51,9214.44,9032.832,8840.472,9052.28,8952.327,8866.744,9133.048,9164.14,8946.83,8993.781,9034.704,9005.874,8995.735
15,mated_ff,dm_R57C10xGC6s_181214a,nostim,NA,01,dm_R57C10xGC6s_181214a_01_nostim_SEZ_volreg_transformed_gauss.nii,5155.851,5606.7183,5746.8696,5528.9395,5627.597,5748.9067,5440.7163,5537.1084,5644.901,5467.559,5663.796,5784.159,5809.1885,5592.166,5977.9966,5370.1265,5236.793,5487.582,5796.4546,5695.405,5709.962,5424.832,4688.939,4973.3003,5650.9204,5386.4165,5383.5146,5989.3203,5793.1567,5859.156,5830.3286,5433.6772,5251.399,5634.8027,5544.815,5819.305,5785.1094,5479.4004,5209.183,5449.468,5667.4937,5624.1763,5055.177,5747.9526,5709.571,5546.42,5379.087,6212.1626,5373.616,5573.4023,5374.451,5114.6245,5257.039,5648.265,5775.5093,5545.9575,5674.107,5659.7026,5793.1523,5549.839
16,mated_ff,dm_R57C10xGC6s_181214a,nostim,NA,01,dm_R57C10xGC6s_181214a_01_nostim_SEZ_volreg_transformed_gauss.nii,8279.158,8843.774,8541.049,8466.581,8471.768,8140.2534,8147.7373,8086.706,8187.499,8488.8125,8331.075,8667.161,8659.918,8373.182,8260.543,8400.823,8307.857,8557.874,8724.2,8441.949,8578.979,8371.168,8228.346,8341.395,8530.489,8533.699,8591.416,8935.636,8606.763,8646.763,8303.793,8500.787,8370.28,8582.765,8483.513,8633.075,8597.883,8649.631,8348.536,8948.463,8377.382,8353.88,8323.485,8534.99,8687.797,8583.872,8553.371,8796.151,8492.628,8425.265,8355.743,8319.112,8437.099,8654.601,8691.847,8622.563,8508.732,8727.922,8682.282,8468.467
17,mated_ff,dm_R57C10xGC6s_181214a,nostim,NA,01,dm_R57C10xGC6s_181214a_01_nostim_SEZ_volreg_transformed_gauss.nii,3206.4204,3542.4922,3252.9558,2993.5657,2969.799,2901.2603,2913.115,3175.08,3450.361,3539.7483,3193.1072,3576.8567,3584.6143,3415.8037,3212.6882,2717.3384,2846.4158,3158.3782,3463.3645,3525.8923,3421.9133,3176.926,2915.962,2863.94,3041.8726,2980.8335,2931.3875,3300.8562,3211.1284,3340.6116,3034.6335,2965.0884,2946.582,2945.9084,3140.25,3499.5688,3426.4448,3387.6804,3312.1533,3135.5952,2923.129,2871.9226,2887.3345,2936.2405,2966.6235,2863.7952,3138.6836,3198.2634,3080.0596,3332.6912,3349.8987,3335.2896,3317.2856,3047.897,2808.3823,2889.6135,2974.577,3273.738,3170.93,3139.4778
