region,state,fly,stimulus,concentration,stimulus_nr,recording,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1,mated_ff,dm_R57C10xGC6s_181214a,sucrose,200mM,05,dm_R57C10xGC6s_181214a_05_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,5331.572,6220.2373,6171.863,6463.0913,6424.13,6355.237,6273.592,5924.3813,5928.784,5970.5405,5595.0234,6294.1606,6394.0244,6284.9336,6040.691,5689.5293,5844.021,5888.594,6038.798,6083.2305,5938.739,5763.417,5921.3335,5776.3174,5580.594,5612.54,5777.441,6132.1836,5894.079,6320.6123,6069.934,6189.6567,5882.598,5825.9365,5819.9087,5727.856,5466.239,5444.867,5590.998,5886.5137,5745.526,5852.086,5904.4014,6061.697,5593.074,5748.0054,5514.3745,5672.0425,5694.873,5826.0166,6113.8174,5905.612,5762.06,6084.9243,6265.081,6155.252,5766.912,5807.558,5730.2026,5922.785
2,mated_ff,dm_R57C10xGC6s_181214a,sucrose,200mM,05,dm_R57C10xGC6s_181214a_05_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,3345.263,3724.5442,3586.613,3668.2412,3790.7688,3565.9177,3719.936,3693.089,3711.6448,3659.9734,3515.6082,3652.3577,3724.8289,3529.0547,3483.5085,3416.1665,3359.3455,3458.3325,3531.9983,3674.4004,3606.8862,3730.8838,3849.0913,3539.7634,3646.939,3495.823,3642.229,3528.8362,3409.4756,3783.8347,3893.118,3697.2473,3666.0015,3600.0142,3519.719,3543.9365,3525.844,3420.4011,3622.8184,3677.882,3714.6855,3805.4695,3778.877,3648.3997,3691.1362,3699.7239,3592.6812,3506.4583,3475.3665,3696.614,3782.8628,3727.5623,3666.858,3742.6184,3669.359,3702.9038,3518.1045,3660.9668,3520.642,3595.8445
3,mated_ff,dm_R57C10xGC6s_181214a,sucrose,200mM,05,dm_R57C10xGC6s_181214a_05_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,8715.539,8563.029,8098.406,9636.667,9581.742,9990.483,9327.033,9277.107,9213.635,9099.046,9093.603,8891.454,8811.653,8714.987,9427.657,8737.24,8607.091,9566.468,9102.228,9364.46,9638.9,9114.319,9269.434,9241.361,8872.816,9417.56,9412.478,9646.825,9148.221,10051.982,9475.513,9860.263,9092.118,8465.016,9069.032,9316.406,8949.732,9552.542,8819.975,9903.921,9386.987,10263.651,9537.75,9765.294,8919.207,9661.445,9204.779,9122.148,9089.318,8864.764,10125.87,9195.669,9608.129,9706.927,9884.339,8875.128,9021.64,9477.591,8920.568,8422.223
4,mated_ff,dm_R57C10xGC6s_181214a,sucrose,200mM,05,dm_R57C10xGC6s_181214a_05_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,7058.1167,7747.7563,7622.6797,7858.8164,8296.558,8220.591,8126.198,8091.3276,7466.539,7216.338,7390.311,7524.953,7464.889,7547.6167,7430.712,7653.537,8285.702,7673.541,7584.3267,7869.11,7620.03,7861.9463,7866.531,7697.467,7380.4478,7687.1895,7694.1514,7617.2466,7593.314,7757.4805,7679.2285,7871.819,7652.3994,7451.3164,7305.8706,7369.494,7372.8877,7331.818,7655.5166,7629.7524,7556.575,7733.484,7630.5874,7729.9595,7712.0425,7607.359,7352.5356,7340.054,7500.55,7470.9565,7497.1553,7733.1655,7795.1274,7544.923,7530.517,7647.2114,7553.503,7532.7085,7187.2935,7308.5903
5,mated_ff,dm_R57C10xGC6s_181214a,sucrose,200mM,05,dm_R57C10xGC6s_181214a_05_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,5323.3145,6167.5933,5860.926,5874.88,5774.1514,5728.5874,5721.1816,5592.523,5375.2695,5389.507,6025.896,6160.1978,5857.942,5987.5996,5732.721,5584.844,5350.2466,5139.3013,5341.0093,5559.3496,5611.216,5682.1006,5732.723,5882.228,5871.3955,5872.3813,5487.3613,5724.88,5750.4053,5905.87,5834.581,5969.876,5718.1885,5419.585,5383.8037,5336.4287,5459.713,5380.838,5629.139,5816.293,5738.487,5968.9976,5684.1772,5953.856,5786.945,5472.6455,5683.3853,5697.5938,5679.6807,5565.2446,5899.4253,5851.866,5866.5713,5769.092,5774.5835,5678.1377,5758.11,5819.309,5777.381,5658.647
6,mated_ff,dm_R57C10xGC6s_181214a,sucrose,200mM,05,dm_R57C10xGC6s_181214a_05_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,4486.1094,5094.808,5008.964,4931.641,5071.1055,4910.7803,4935.2188,4614.9946,4482.3857,4715.58,5224.4253,5283.2944,5141.0356,5301.23,4967.9556,4653.18,4813.763,4392.417,4548.487,4972.902,4940.924,5003.5215,5057.3477,5231.37,4964.5845,4958.0747,5202.981,4832.423,5014.2144,5076.309,4966.577,4869.206,4825.8096,4858.762,4526.3496,4653.741,4801.17,4750.3447,5077.658,4997.2593,5058.541,5418.459,4892.3755,5064.1455,4994.505,4723.2754,4496.046,4625.3223,4975.0757,4733.697,4892.637,4950.27,4973.852,4868.7603,5002.5605,4974.1465,5020.0234,5047.3193,4931.022,4806.655
7,mated_ff,dm_R57C10xGC6s_181214a,sucrose,200mM,05,dm_R57C10xGC6s_181214a_05_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,5594.5884,6238.9517,6207.209,5994.885,5978.059,6385.85,6269.39,6013.733,5950.582,6000.5415,5916.967,6194.72,6219.863,6112.3755,6025.0537,5853.2603,5949.7764,5636.203,5921.728,6262.5864,5753.6704,5947.0596,5931.8413,5728.85,5460.2793,5819.7686,5839.6177,5595.5107,5627.411,5978.4688,6148.722,6102.17,6009.4683,5783.645,5606.689,5687.338,5601.4,5626.3975,5949.6494,5877.448,5811.689,6026.7876,5804.5967,6035.383,5779.3374,5786.909,5503.8086,5597.314,5683.5303,5707.5415,5877.7026,5984.894,5909.212,5767.8057,5657.24,5782.5723,5714.916,5766.766,5462.525,5686.242
8,mated_ff,dm_R57C10xGC6s_181214a,sucrose,200mM,05,dm_R57C10xGC6s_181214a_05_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,6649.1714,7072.3457,7012.9263,7049.6094,7091.2603,6986.6396,7164.1973,6980.4194,7114.846,6999.502,6857.543,7078.811,6997.788,6969.462,6917.256,6993.899,6873.5107,6858.02,6998.186,7050.714,6848.493,6760.764,6688.259,6390.9062,6730.327,6627.853,6696.139,6822.1997,6569.78,6746.4395,6688.0073,6772.28,6733.2065,6678.9756,6961.2344,6955.8843,6832.678,6830.992,6981.3755,6788.689,6825.1724,6749.5044,6861.0703,6853.2,6410.643,6406.641,6451.998,6632.6904,6594.158,6452.1133,6623.047,6669.895,6497.327,6693.388,6658.343,6647.055,6632.259,6676.1855,6535.0645,6298.0137
9,mated_ff,dm_R57C10xGC6s_181214a,sucrose,200mM,05,dm_R57C10xGC6s_181214a_05_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,4118.9556,4915.656,4693.6226,4526.1646,4609.3345,4422.1865,4489.207,4407.19,4293.507,4341.9595,4900.0654,4924.4253,4889.1494,4680.1694,4450.987,4291.495,4400.0444,4145.6294,4342.4536,4641.2817,4458.607,4629.4277,4623.964,4594.867,4424.0674,4526.502,4485.7153,4334.1562,4522.2896,4670.364,4703.1104,4587.5117,4500.034,4261.5615,4126.919,4289.9634,4286.43,4355.4766,4444.9004,4566.346,4525.9473,4744.781,4480.9966,4492.985,4512.058,4386.65,4273.4556,4188.0874,4405.948,4408.8916,4720.412,4623.707,4591.524,4410.983,4375.915,4444.9946,4413.7686,4453.13,4178.04,4251.3022
10,mated_ff,dm_R57C10xGC6s_181214a,sucrose,200mM,05,dm_R57C10xGC6s_181214a_05_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,4569.697,4731.1436,4337.133,4693.3555,4200.5054,4651.5386,4904.697,4104.434,4544.2856,4510.402,4363.2207,4856.954,4838.37,4901.9473,5171.7017,4649.086,4408.557,4424.0537,4624.1743,4775.9727,4969.466,4967.4326,5176.841,4823.645,4367.8843,4593.3936,4582.069,4662.455,4673.0317,4891.306,4904.9116,5012.191,5031.055,5098.688,4504.569,4614.9834,4462.091,4453.864,4422.23,4592.4355,4818.6934,4815.3643,5016.3105,5027.439,4801.8057,4477.5156,4443.41,4475.0283,4465.675,4554.9487,4702.4565,4717.419,4876.175,4822.6055,4916.9517,5038.57,4382.746,4306.16,4477.4233,4551.3394
