region,state,fly,stimulus,concentration,stimulus_nr,recording,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1,mated_ff,dm_R57C10xGC6s_181214b,nostim,NA,01,dm_R57C10xGC6s_181214b_01_nostim_SEZ_volreg_transformed_gauss.nii,4610.217,4689.884,5275.2847,5164.7114,5021.687,4949.2607,5018.623,4757.5835,4916.893,5033.801,5131.0254,5009.9077,4692.6157,4907.983,4957.246,4903.9062,4906.025,4742.1924,4816.122,4848.0454,4873.152,4603.5776,4796.5654,4949.5654,4858.415,4956.8027,4720.9683,5007.5386,4980.9614,4681.0425,4943.615,4873.255,4958.228,4842.112,4906.7676,4947.9487,5020.3394,4949.8784,4847.7153,4675.357,4816.448,4493.7305,4639.343,4759.1553,4815.313,4833.6665,4763.678,4815.4175,5010.794,4855.3735,4974.0337,4977.1973,4839.6562,4664.9507,4832.4355,4685.504,4680.0356,4699.108,4939.722,4958.929
2,mated_ff,dm_R57C10xGC6s_181214b,nostim,NA,01,dm_R57C10xGC6s_181214b_01_nostim_SEZ_volreg_transformed_gauss.nii,2521.5083,2550.3254,2607.8555,2631.926,2593.8364,2567.217,2576.7312,2644.817,2654.0044,2631.8035,2625.9114,2667.46,2592.4646,2597.9517,2631.4143,2685.7637,2654.9944,2667.9478,2629.8752,2665.21,2668.883,2583.418,2586.6042,2633.9553,2589.857,2699.4114,2578.0237,2641.1108,2689.1711,2610.7168,2693.686,2588.556,2644.1816,2656.9094,2670.6235,2687.2769,2713.8018,2763.734,2644.5325,2572.9155,2574.7568,2576.1501,2540.579,2713.8843,2706.093,2618.5186,2678.1804,2638.3035,2668.3118,2669.0627,2677.866,2667.1677,2730.807,2639.6313,2630.6768,2612.3547,2603.813,2655.1257,2679.1812,2666.1694
3,mated_ff,dm_R57C10xGC6s_181214b,nostim,NA,01,dm_R57C10xGC6s_181214b_01_nostim_SEZ_volreg_transformed_gauss.nii,7277.6533,7266.3037,7405.713,7703.672,6905.466,7483.5234,7435.156,7197.801,7247.869,7588.456,7873.772,7837.51,7670.6978,8072.144,7583.0215,7842.849,7604.0005,7729.5117,7536.502,7618.182,8299.369,7837.837,8126.069,7780.0107,7547.3677,8408.199,7977.201,7992.879,7800.0723,7826.886,8130.8555,7864.51,8014.3945,7900.8184,7646.0547,8225.158,8381.847,8156.8647,7789.128,7487.162,8177.387,7893.728,7618.5435,7757.764,8202.071,8367.882,8170.3,8325.277,8000.5464,7657.1807,8385.011,7751.469,7673.3516,7895.0503,8335.136,7661.6206,7951.95,7851.612,8330.576,7832.7666
4,mated_ff,dm_R57C10xGC6s_181214b,nostim,NA,01,dm_R57C10xGC6s_181214b_01_nostim_SEZ_volreg_transformed_gauss.nii,5175.0444,5056.25,5209.551,5274.424,4936.4194,4960.2324,4959.5283,5080.388,5272.9424,5191.5405,5253.598,5230.4336,5354.79,5452.78,5373.177,5349.444,5391.7534,5196.6245,5342.323,5227.4067,5717.226,5507.642,5445.0137,5413.4653,5271.1465,5480.2866,5322.1465,5579.546,5701.0474,5400.5464,5539.151,5399.794,5389.4546,5402.3174,5519.742,5511.173,5447.405,5554.3896,5442.701,5284.898,5356.7764,5208.826,5194.981,5386.403,5462.523,5512.367,5481.394,5652.4204,5607.2856,5590.1616,5660.2607,5557.1304,5575.8843,5545.409,5490.942,5365.0996,5465.251,5389.0044,5595.094,5553.557
5,mated_ff,dm_R57C10xGC6s_181214b,nostim,NA,01,dm_R57C10xGC6s_181214b_01_nostim_SEZ_volreg_transformed_gauss.nii,5514.028,5577.4844,5841.312,5852.5195,5614.8105,5493.8745,5566.1387,5447.5283,5634.653,5624.8057,5652.369,5633.4106,5448.4478,5553.438,5624.566,5695.341,5661.781,5462.6567,5508.928,5576.4106,5635.7266,5343.2563,5561.63,5642.94,5605.918,5711.2363,5480.447,5748.4395,5705.178,5369.524,5764.4062,5612.466,5658.2676,5586.8374,5604.1626,5729.3438,5719.9316,5779.474,5552.279,5395.069,5465.625,5422.0786,5385.2734,5579.563,5724.552,5694.5737,5503.393,5590.2373,5817.884,5628.4683,5688.683,5732.8037,5662.285,5476.53,5513.962,5546.28,5471.2886,5599.1787,5717.2036,5742.5894
6,mated_ff,dm_R57C10xGC6s_181214b,nostim,NA,01,dm_R57C10xGC6s_181214b_01_nostim_SEZ_volreg_transformed_gauss.nii,3978.9817,4069.8293,4428.049,4544.0947,4291.2007,4284.94,4223.9326,4540.254,4369.8623,4426.033,4392.8945,4502.12,4294.972,4446.8916,4211.9595,4241.819,4365.3237,4180.502,4204.488,4241.6255,4473.418,4124.0127,4391.8613,4445.089,4358.829,4373.83,4205.959,4462.426,4316.078,4145.735,4392.033,4379.2314,4268.5645,4283.575,4347.9937,4652.924,4597.054,4476.329,4380.3447,4163.6997,4282.921,4093.9434,4132.836,4206.874,4459.952,4183.464,4174.7646,4226.6377,4417.45,4437.223,4376.354,4303.3154,4437.0215,4130.631,4347.2144,4201.836,4214.3276,4299.5806,4436.1035,4448.3364
7,mated_ff,dm_R57C10xGC6s_181214b,nostim,NA,01,dm_R57C10xGC6s_181214b_01_nostim_SEZ_volreg_transformed_gauss.nii,4131.4985,4191.4497,4596.1997,4759.1265,4467.606,4437.9526,4436.682,4339.0767,4572.828,4524.1025,4607.1357,4568.624,4300.629,4356.2495,4386.1084,4491.749,4535.7964,4404.371,4425.1064,4392.119,4419.2876,4223.5063,4332.5723,4358.2847,4288.4497,4531.996,4295.559,4571.195,4556.0215,4234.0566,4556.1934,4376.199,4491.8643,4398.1504,4399.0127,4565.4707,4570.6807,4616.877,4426.2188,4182.043,4292.3594,4142.194,4099.8394,4359.5747,4531.2173,4373.122,4302.9346,4347.934,4434.906,4471.1562,4504.6235,4462.3916,4523.242,4272.9424,4309.982,4337.3633,4315.4717,4267.31,4481.0225,4542.29
8,mated_ff,dm_R57C10xGC6s_181214b,nostim,NA,01,dm_R57C10xGC6s_181214b_01_nostim_SEZ_volreg_transformed_gauss.nii,5571.271,5747.142,6418.3403,6585.121,6518.0405,6377.521,6415.002,6152.692,6272.1143,6301.2485,6270.3057,6268.7427,6023.802,6032.391,6182.158,6087.1953,6066.377,5889.4326,5927.339,6047.8086,6034.2744,5904.192,6007.916,6102.9985,5961.8804,5954.19,5867.7925,6135.1494,6059.585,5764.263,6017.906,5977.293,6016.194,5860.423,5979.3975,6040.211,6038.8794,6043.585,5877.731,5597.038,5770.403,5531.311,5612.0127,5743.383,5894.8716,5874.3784,5844.176,5876.3716,6018.4473,5838.501,5859.0693,5942.8203,5823.71,5606.218,5805.571,5681.6567,5804.9155,5698.228,5785.0815,5884.025
9,mated_ff,dm_R57C10xGC6s_181214b,nostim,NA,01,dm_R57C10xGC6s_181214b_01_nostim_SEZ_volreg_transformed_gauss.nii,3113.74,3154.639,3320.0837,3419.3208,3247.6838,3187.657,3212.4937,3267.1543,3352.829,3313.1797,3327.1633,3283.374,3230.6404,3308.0913,3345.087,3371.6733,3329.5054,3205.9102,3251.667,3299.368,3330.2166,3164.1086,3235.192,3241.1724,3237.75,3311.0503,3170.2332,3383.7551,3333.9321,3195.746,3358.9426,3262.2231,3298.3215,3212.8403,3233.403,3347.246,3342.2585,3402.4316,3264.4854,3210.436,3200.312,3113.0942,3127.446,3301.838,3375.2893,3258.4006,3222.5027,3281.8396,3321.0576,3289.8145,3341.0603,3335.8826,3328.4077,3198.749,3293.4531,3266.4219,3210.3435,3184.2031,3311.5803,3369.811
10,mated_ff,dm_R57C10xGC6s_181214b,nostim,NA,01,dm_R57C10xGC6s_181214b_01_nostim_SEZ_volreg_transformed_gauss.nii,6576.185,6605.3105,6829.9717,7088.6597,6875.1606,6919.741,7086.4307,7009.668,7215.525,6927.604,7083.3423,7090.572,6905.399,6980.459,7170.924,7092.677,7092.826,6818.533,6970.601,6969.072,7007.3726,6808.822,6916.7485,6922.3325,6831.9014,6988.6914,6806.623,7062.54,6916.991,6825.2524,6966.2563,6755.6323,6827.9326,6783.654,6798.357,6898.7944,6847.454,6926.992,6840.72,6721.7944,6684.975,6635.863,6655.599,6817.8647,6876.9937,6763.3687,6777.3286,6876.6323,6954.6406,6790.5874,6761.1406,6809.711,6859.501,6696.8306,6739.1143,6681.8267,6759.525,6754.544,6768.295,6820.022
