region,state,fly,stimulus,concentration,stimulus_nr,recording,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1,mated_ff,dm_R57C10xGC6s_181214b,h2o,NA,02,dm_R57C10xGC6s_181214b_02_h2o_SEZ_volreg_transformed_gauss.nii,4723.282,5032.581,5269.7954,5256.7666,5219.689,5236.349,4897.336,4805.0845,4913.13,4911.525,4983.7607,4989.1523,5084.82,5216.268,5062.9043,4934.395,5151.8486,4928.942,4727.256,4833.483,4732.7427,4878.137,4971.335,4748.9224,5062.654,4910.7026,5011.21,4915.673,4955.0283,4940.1504,4817.8076,4900.5024,4984.5503,4869.947,4984.346,4659.5127,4939.4814,4927.0933,4658.386,4836.683,4876.8164,4841.3384,4833.982,4900.351,4942.987,5010.127,4882.522,4725.436,4762.834,4886.6235,4673.216,4556.2554,4837.2856,4908.2285,4799.6606,4731.236,4625.4766,4626.1904,4978.6704,4885.1978
2,mated_ff,dm_R57C10xGC6s_181214b,h2o,NA,02,dm_R57C10xGC6s_181214b_02_h2o_SEZ_volreg_transformed_gauss.nii,2540.8745,2616.663,2625.9656,2626.5938,2673.48,2580.1912,2596.2202,2620.2764,2577.5098,2590.4712,2700.5098,2559.7632,2691.8337,2648.3901,2667.8262,2644.4119,2684.8552,2631.5298,2587.3179,2610.332,2590.8606,2631.7756,2697.7546,2605.7444,2674.8337,2711.3289,2682.678,2695.0122,2735.4268,2643.018,2653.6533,2719.5999,2736.6816,2694.3147,2717.2102,2546.3608,2698.241,2693.5356,2650.179,2628.6584,2727.1082,2668.6545,2664.9148,2703.512,2694.8547,2721.512,2708.8916,2582.1196,2632.8762,2677.429,2662.5505,2574.1492,2644.4292,2636.988,2726.1736,2672.5518,2616.575,2564.473,2639.386,2646.3628
3,mated_ff,dm_R57C10xGC6s_181214b,h2o,NA,02,dm_R57C10xGC6s_181214b_02_h2o_SEZ_volreg_transformed_gauss.nii,6903.286,7528.713,7525.8013,7482.8296,7264.675,7819.9277,7279.322,7108.4614,7245.637,7348.462,7563.3696,8292.366,8992.746,9326.225,8954.056,9160.833,8654.129,8283.399,7277.0093,7377.251,7119.1895,7585.047,7434.0337,7496.6196,7796.9873,7266.068,7306.8145,7267.176,7966.8887,7839.625,7687.3223,7802.513,7816.0757,7660.015,7815.3877,7368.595,7674.066,8113.9424,6860.258,7811.459,7530.0713,8116.7305,8262.179,8020.554,8630.105,8410.017,7658.9126,8194.093,8408.151,8171.262,8547.754,7904.2925,8105.2534,8147.023,8748.257,8664.06,8225.913,8284.588,8744.97,8898.948
4,mated_ff,dm_R57C10xGC6s_181214b,h2o,NA,02,dm_R57C10xGC6s_181214b_02_h2o_SEZ_volreg_transformed_gauss.nii,5005.7056,5269.1963,5221.589,5145.872,5107.1665,5171.9604,4992.0527,5061.0117,4851.2925,4912.629,5257.584,6350.467,7169.4424,7331.3145,7205.4233,6959.3237,6547.617,5940.7803,5442.965,5385.0234,5305.5303,5731.272,6066.567,5512.1055,5710.92,5656.6323,5654.886,5579.5093,5935.8867,5745.988,5649.249,5755.1294,5664.641,5424.726,5495.435,5326.5273,5436.89,5502.1455,5189.5977,5435.2783,5506.519,5541.392,5553.644,5519.189,5612.719,5558.1465,5637.624,5820.626,5894.19,5741.16,5621.9814,5633.2197,6052.5728,6146.386,5954.009,6187.645,6232.8584,6076.914,6500.6147,6567.7593
5,mated_ff,dm_R57C10xGC6s_181214b,h2o,NA,02,dm_R57C10xGC6s_181214b_02_h2o_SEZ_volreg_transformed_gauss.nii,5728.084,6084.076,6075.339,6048.725,6005.103,5826.1406,5631.1226,5631.126,5557.1523,5589.7964,6002.221,6127.163,6399.3555,6337.7725,6203.163,6068.7236,5987.293,5764.5513,5484.2104,5618.8584,5766.225,5880.5166,6034.122,5782.3037,6043.5435,5990.9497,6036.52,6062.6416,6054.7417,5950.4976,5836.554,5883.746,5907.4917,5928.4883,5865.2983,5499.0474,5766.035,5723.6436,5562.774,5748.34,5704.094,5654.75,5670.78,5773.529,5784.047,5725.2773,5803.1616,5515.5073,5591.841,5676.462,5541.84,5421.2764,5646.1846,5630.38,5638.599,5613.6787,5442.483,5423.8325,5790.994,5777.846
6,mated_ff,dm_R57C10xGC6s_181214b,h2o,NA,02,dm_R57C10xGC6s_181214b_02_h2o_SEZ_volreg_transformed_gauss.nii,4119.294,4583.9487,4504.3833,4728.0376,4744.603,4577.8184,4295.1567,4260.5156,4166.8633,4127.5938,4488.552,4789.3267,4979.889,4984.4067,4757.4805,4607.6807,4595.8716,4423.6636,4119.8267,4152.6255,4488.7314,4459.478,4548.44,4352.606,4661.668,4561.5757,4867.5767,4602.7183,4582.3145,4538.4287,4494.299,4666.5444,4567.876,4564.851,4503.1763,4170.157,4378.0356,4398.907,4364.368,4369.491,4335.24,4377.2466,4357.371,4559.341,4502.105,4562.406,4490.724,4170.14,4306.412,4338.6655,4336.0947,4115.585,4375.126,4226.4775,4331.425,4367.5234,4107.2393,4091.0605,4541.9854,4342.2197
7,mated_ff,dm_R57C10xGC6s_181214b,h2o,NA,02,dm_R57C10xGC6s_181214b_02_h2o_SEZ_volreg_transformed_gauss.nii,4150.4536,4377.7485,4695.985,4641.998,4612.9663,4510.6406,4349.189,4389.324,4278.102,4293.5425,4565.7373,4477.44,4557.961,4514.3096,4499.14,4357.532,4508.981,4298.3994,4155.9165,4308.6577,4272.7485,4275.962,4451.17,4266.0605,4535.8716,4386.4575,4486.583,4537.605,4551.685,4522.9272,4412.793,4452.723,4455.72,4542.203,4497.519,4179.414,4428.1836,4358.836,4315.8984,4420.5615,4444.844,4461.413,4370.069,4417.745,4433.8584,4412.8477,4472.3633,4240.766,4281.066,4393.7017,4304.9546,4136.787,4398.3115,4330.603,4346.322,4474.1577,4220.713,4089.576,4406.3076,4378.142
8,mated_ff,dm_R57C10xGC6s_181214b,h2o,NA,02,dm_R57C10xGC6s_181214b_02_h2o_SEZ_volreg_transformed_gauss.nii,5455.253,6021.829,6410.7544,6395.9893,6412.6206,6332.7964,6202.7617,6082.0317,6167.1216,6146.788,6028.408,6172.365,6258.109,6204.812,6125.6206,5929.2944,6147.157,5913.016,5828.1533,5831.5454,5866.193,5918.0605,6028.618,5899.01,6029.222,5958.3604,6015.7393,5964.878,5933.3965,5834.702,5721.95,5716.483,5817.663,5850.78,5811.8496,5562.386,5904.629,5775.1694,5526.939,5708.215,5733.8223,5690.5234,5642.322,5696.097,5798.472,5742.6836,5713.017,5441.608,5611.6216,5622.6265,5586.3906,5582.5723,5591.9355,5706.674,5607.72,5636.575,5465.072,5546.71,5788.381,5725.238
9,mated_ff,dm_R57C10xGC6s_181214b,h2o,NA,02,dm_R57C10xGC6s_181214b_02_h2o_SEZ_volreg_transformed_gauss.nii,3176.899,3354.508,3402.9402,3382.9148,3365.8381,3303.723,3262.303,3321.3096,3187.4084,3230.7385,3490.3384,3499.556,3700.638,3668.728,3562.702,3456.9517,3536.1594,3322.964,3206.9563,3253.9207,3354.1218,3371.9224,3470.4028,3258.1555,3462.5474,3395.3154,3457.8455,3429.485,3448.531,3338.2651,3313.554,3379.324,3394.8618,3417.033,3435.7551,3149.0115,3369.9885,3346.3647,3209.546,3278.1882,3315.7402,3258.0256,3299.6128,3329.6892,3341.3623,3330.7532,3307.803,3174.6982,3273.7148,3307.8213,3242.7002,3149.9348,3260.7654,3298.0618,3298.1484,3238.9219,3146.8057,3140.5986,3317.7278,3312.0366
10,mated_ff,dm_R57C10xGC6s_181214b,h2o,NA,02,dm_R57C10xGC6s_181214b_02_h2o_SEZ_volreg_transformed_gauss.nii,6852.9565,7193.222,7278.7173,7295.725,7085.3022,7228.6353,7228.81,7285.8125,7302.9575,7222.4966,7590.604,8173.662,8072.7783,8041.74,7832.1074,7687.7397,7606.2373,7567.2207,7186.0796,7201.0195,7221.048,7368.6113,7518.686,7289.397,7441.8223,7320.2954,7388.4346,7435.7295,7361.0513,7285.084,7350.4897,7436.7,7273.842,7201.8145,7293.7686,7026.5713,7163.867,7065.9575,6861.522,6856.5864,7005.27,6956.09,6925.534,6901.784,6925.4224,6785.7197,6974.415,6728.2236,6899.7617,6792.4507,6822.085,6729.3696,6889.5264,6954.3667,6789.5005,6978.754,6653.0923,6828.7705,6854.5547,7081.5557
