region,state,fly,stimulus,concentration,stimulus_nr,recording,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1,mated_ff,dm_R57C10xGC6s_181214d,nostim,NA,01,dm_R57C10xGC6s_181214d_01_nostim_SEZ_volreg_transformed_gauss.nii,6468.381,6754.3276,6984.9253,6593.106,6998.2515,6988.3286,7030.111,6680.952,6909.95,6805.611,7206.3213,6871.985,7046.4136,7087.5137,6870.802,6947.2554,6968.3457,6778.231,7071.58,6656.2183,7183.207,6772.972,6900.8955,6958.1577,7055.732,7008.214,7077.3477,6929.568,6953.497,6850.3057,6886.759,6929.689,7012.313,6967.9316,6963.7227,6884.0293,6808.8896,6790.7173,6860.098,6942.711,6750.3657,6574.069,6637.5693,6700.274,6687.2,6638.1606,6643.743,6568.6113,6401.761,6710.061,6544.7563,6784.13,6653.6597,6232.384,6724.673,6727.4204,6593.57,6569.7866,6542.494,6436.5093
2,mated_ff,dm_R57C10xGC6s_181214d,nostim,NA,01,dm_R57C10xGC6s_181214d_01_nostim_SEZ_volreg_transformed_gauss.nii,2864.9668,2989.2595,2940.5774,2811.8284,3005.1682,3022.4805,3005.8657,2905.799,2992.2769,3127.148,3103.2593,3104.9116,3022.7349,3037.5723,3025.0718,3090.1152,2987.5334,3026.7007,3058.0205,2876.5552,3164.2131,3040.2197,3029.0767,2980.932,3126.4111,3066.9758,3088.352,2956.362,3030.7498,2972.0078,2961.6755,3036.5369,3026.9712,3028.0164,3080.0366,3049.7769,2976.9731,3027.0146,3046.8384,2978.6797,2978.593,2944.1663,2931.4148,2897.696,2933.6904,2812.5332,2904.8499,2945.2864,2876.8774,2902.0825,2900.9644,2923.8762,2910.4856,2754.753,2996.8682,2910.4597,2898.341,2905.2625,2922.494,2866.398
3,mated_ff,dm_R57C10xGC6s_181214d,nostim,NA,01,dm_R57C10xGC6s_181214d_01_nostim_SEZ_volreg_transformed_gauss.nii,8074.1206,8374.717,7764.4165,6943.169,8374.989,8765.875,8590.057,8452.242,8917.607,8407.314,8808.782,8436.941,8965.173,9664.615,9137.307,9165.424,8497.83,8815.757,9284.064,8821.938,8775.814,8148.8813,8983.346,9324.897,9533.235,9043.358,9496.106,8735.384,8573.976,8849.072,9083.585,9008.01,8972.416,9394.648,8836.556,9218.708,8529.19,9155.688,9489.048,8748.471,8586.143,8495.672,8755.635,8701.655,9059.493,8652.356,9195.492,8986.858,8611.516,8636.486,9314.197,9261.526,8915.309,8770.376,8970.435,9073.763,9104.962,8702.753,8735.828,8203.251
4,mated_ff,dm_R57C10xGC6s_181214d,nostim,NA,01,dm_R57C10xGC6s_181214d_01_nostim_SEZ_volreg_transformed_gauss.nii,7580.4473,7726.1675,7508.1387,7375.0825,7474.96,7681.034,7863.212,7513.0728,7832.536,8056.675,8097.9414,8114.038,8099.207,8387.126,8252.922,8223.249,8382.981,8337.913,8567.134,8190.141,8571.041,8338.246,8368.349,8179.6133,8607.824,8531.262,8568.737,8282.586,8407.453,8444.136,8341.634,8321.849,8494.089,8546.275,8430.695,8474.764,8384.4375,8335.561,8402.601,8385.757,8351.405,8200.62,8191.631,8189.329,8238.992,8143.613,8146.7314,8108.01,7941.7944,8181.099,8314.278,8253.306,8083.138,7614.7026,8291.483,8139.9766,8029.287,8199.294,7959.5044,7954.5815
5,mated_ff,dm_R57C10xGC6s_181214d,nostim,NA,01,dm_R57C10xGC6s_181214d_01_nostim_SEZ_volreg_transformed_gauss.nii,7157.4263,7433.474,7442.131,6960.438,7405.0566,7447.971,7211.737,6968.2954,7254.5938,7292.2866,7533.7188,7215.4233,7353.673,7492.5938,7252.272,7487.626,7462.3374,7372.4883,7504.633,6959.7363,7480.856,7152.9956,7194.6157,7301.2583,7371.59,7432.1836,7346.3516,7066.0107,7277.0757,7152.4526,7210.7534,7286.573,7280.5815,7234.0835,7245.878,7104.5557,6994.6973,7056.446,7035.1724,6942.8105,6974.9565,6939.719,6949.56,6986.7334,6962.03,6827.381,6839.141,6813.4707,6642.9707,6907.5913,6895.544,7037.333,6870.8486,6439.8403,6949.139,6816.6953,6616.1294,6717.0117,6775.7695,6680.4546
6,mated_ff,dm_R57C10xGC6s_181214d,nostim,NA,01,dm_R57C10xGC6s_181214d_01_nostim_SEZ_volreg_transformed_gauss.nii,5720.099,6414.676,6258.051,6124.101,6311.506,6475.625,6445.2095,6123.0576,6458.3574,6284.9697,6524.1655,6407.7925,6380.484,6524.3267,6207.051,6326.6094,6273.1084,6463.069,6436.354,6055.4253,6233.3936,6160.231,6109.591,6165.4023,6324.403,6260.4663,6134.657,6069.5034,6058.698,6013.756,5951.507,5997.615,6261.7153,6199.026,6065.8286,6114.106,5799.6436,5974.13,6000.6704,6145.2695,6072.657,5686.783,5813.511,5804.8716,5774.8335,5693.9624,5881.409,5937.851,5679.5073,5788.985,6008.4224,5919.671,5845.587,5406.1694,5954.7446,5789.1084,5774.3945,5858.289,5745.521,5741.8022
7,mated_ff,dm_R57C10xGC6s_181214d,nostim,NA,01,dm_R57C10xGC6s_181214d_01_nostim_SEZ_volreg_transformed_gauss.nii,5142.174,5424.803,5512.3486,5315.3643,5627.3896,5556.812,5608.9746,5358.0396,5485.187,5481.9766,5575.6274,5608.5293,5455.1426,5506.327,5491.462,5596.1235,5530.6636,5587.744,5576.491,5269.7373,5556.3877,5382.643,5463.897,5467.3584,5566.972,5542.299,5604.601,5408.6157,5557.561,5405.0127,5429.2764,5492.987,5527.9004,5499.8213,5475.5493,5486.4863,5437.259,5352.4097,5475.662,5398.108,5486.118,5340.591,5396.273,5406.279,5478.0444,5337.519,5381.573,5406.6973,5279.543,5439.3306,5364.7275,5509.1416,5346.1904,5001.4917,5382.251,5383.9165,5291.2397,5294.923,5262.3105,5298.0156
8,mated_ff,dm_R57C10xGC6s_181214d,nostim,NA,01,dm_R57C10xGC6s_181214d_01_nostim_SEZ_volreg_transformed_gauss.nii,1895.3607,2034.812,2079.5168,1965.6849,2064.8867,2072.2024,2107.209,1966.999,2149.9958,2076.44,2154.8818,2027.3424,2102.494,2143.707,2028.7571,2112.6316,2156.9485,2048.7554,2136.3298,2018.2157,2137.3877,2030.5319,2024.0309,2133.6248,2115.8223,2112.867,2183.172,2028.6991,2104.1355,2065.834,2084.4373,2051.8633,2053.9785,2098.536,2180.6147,2082.6636,2050.3826,2076.3135,2091.7715,2079.5469,2055.613,1993.0697,2016.8109,2082.268,2010.509,2017.6426,2053.564,2017.8931,1974.2327,2037.7784,2064.932,2123.4019,2097.216,2000.2146,2037.7534,2098.7815,1946.6818,2066.9956,1982.1184,1999.6775
9,mated_ff,dm_R57C10xGC6s_181214d,nostim,NA,01,dm_R57C10xGC6s_181214d_01_nostim_SEZ_volreg_transformed_gauss.nii,3387.3945,3661.9248,3715.4995,3540.6562,3684.1685,3723.3345,3624.6743,3517.4836,3680.6428,3761.6719,3749.1309,3722.068,3634.7761,3695.1548,3574.3325,3731.9907,3690.0417,3685.3845,3693.3606,3454.9841,3674.6204,3615.9153,3588.072,3514.7952,3703.2285,3659.6658,3683.964,3536.8362,3669.387,3561.8523,3544.317,3656.5557,3658.7112,3650.119,3669.6663,3651.9583,3551.41,3526.6597,3544.3088,3588.4412,3646.41,3547.6514,3458.6873,3502.6228,3495.0525,3464.1228,3500.7988,3481.7847,3368.2976,3548.7297,3503.522,3564.54,3459.1294,3259.3503,3559.0347,3528.0967,3504.4297,3503.5276,3460.6733,3428.8682
10,mated_ff,dm_R57C10xGC6s_181214d,nostim,NA,01,dm_R57C10xGC6s_181214d_01_nostim_SEZ_volreg_transformed_gauss.nii,3522.6328,3608.8193,3616.7893,3275.8762,3623.9863,3579.951,3458.2512,3526.3699,3641.093,3542.0862,3721.7446,3484.7412,3610.3997,3637.8787,3340.7324,3563.3435,3607.769,3462.4468,3593.0447,3242.9612,3708.4568,3422.3845,3352.284,3417.9475,3596.7385,3651.8079,3618.718,3446.8606,3611.8403,3415.114,3410.346,3579.4683,3623.8962,3550.7515,3532.6062,3492.4648,3410.4712,3510.4487,3500.6096,3513.9644,3425.2666,3352.878,3363.4314,3494.6567,3491.0283,3457.208,3461.0913,3388.9382,3303.3135,3438.5437,3456.8823,3547.4353,3412.1548,3259.2559,3510.418,3474.5273,3235.7231,3364.1062,3374.2905,3266.6182
11,mated_ff,dm_R57C10xGC6s_181214d,nostim,NA,01,dm_R57C10xGC6s_181214d_01_nostim_SEZ_volreg_transformed_gauss.nii,4888.7954,5057.939,5168.148,5041.3687,5118.5317,5237.7227,5294.7466,5153.129,5363.0737,5494.7,5376.5557,5524.126,5311.1143,5445.724,5356.257,5485.6807,5448.7886,5481.9995,5413.1978,5249.705,5412.228,5415.295,5367.105,5280.091,5449.7725,5366.31,5414.83,5258.4033,5460.2017,5314.033,5234.4805,5310.4536,5280.3657,5295.3765,5303.505,5294.974,5229.755,5226.291,5183.739,5203.3823,5248.5864,5203.149,5181.5723,5177.6934,5115.3696,5077.3525,5102.0503,5115.7754,5022.4126,5135.559,5036.6016,5079.539,5016.2734,4753.7827,5083.0996,5077.242,5072.622,5019.3047,4988.1724,5009.1045
12,mated_ff,dm_R57C10xGC6s_181214d,nostim,NA,01,dm_R57C10xGC6s_181214d_01_nostim_SEZ_volreg_transformed_gauss.nii,4525.996,4942.0806,5040.349,4728.674,5085.379,5034.1396,4845.717,4727.403,4871.0503,4925.8022,4993.4385,4804.3154,4907.1772,4894.654,4653.503,4840.266,4714.75,4689.1646,4829.514,4499.28,4858.188,4528.036,4690.256,4763.426,4864.6963,4869.1865,4843.6333,4751.922,4795.2856,4663.459,4732.5503,4924.3394,4865.8853,4854.2915,4935.4346,4837.3486,4681.8755,4684.2754,4791.149,4926.5024,4881.475,4597.1865,4685.495,4756.61,4791.5273,4833.839,4772.579,4636.845,4591.815,4791.652,4850.4097,4889.2534,4711.6685,4394.984,4819.57,4882.9546,4725.067,4803.4976,4681.6743,4602.225
13,mated_ff,dm_R57C10xGC6s_181214d,nostim,NA,01,dm_R57C10xGC6s_181214d_01_nostim_SEZ_volreg_transformed_gauss.nii,3706.547,3786.3845,4082.071,3806.7258,3809.5522,3940.4414,4187.7764,3586.4941,3956.8826,3960.1768,4055.9326,3809.8528,3922.488,3893.7722,3750.5774,3957.0347,3807.2852,3997.6575,4064.4302,3862.7278,3870.9314,3726.3213,3867.2778,3789.3494,3894.2095,3878.2073,4077.8884,3758.6394,3774.2468,3866.1406,3551.5266,3755.4993,3881.873,3782.2368,3899.7598,4218.006,4044.1162,4079.693,3686.6816,3855.3708,3970.186,3649.32,3851.21,3752.7126,3935.1135,3837.993,3875.1904,3931.1091,3627.8206,3777.5884,3820.207,3921.6345,3855.1328,3472.9312,3904.8223,3874.2883,3889.991,3797.0044,3706.387,3842.8916
14,mated_ff,dm_R57C10xGC6s_181214d,nostim,NA,01,dm_R57C10xGC6s_181214d_01_nostim_SEZ_volreg_transformed_gauss.nii,9570.753,9444.281,8814.73,8461.829,8672.562,8888.62,8859.167,8752.206,9015.948,9074.243,9139.562,9065.409,9203.84,9393.703,9158.243,9303.064,9200.306,9321.94,9151.922,8713.965,9240.287,8814.396,8928.112,8974.728,9033.824,9313.312,9215.27,8901.251,9140.45,8956.658,8910.755,8715.569,8813.945,9060.96,8911.057,8878.518,8981.396,8834.516,8867.816,9122.19,8740.217,8672.085,8902.366,8944.944,8938.235,8767.743,8808.548,8673.071,8578.066,8822.559,8698.917,8690.898,8578.666,7953.8413,8714.455,8487.839,8246.103,8486.467,8393.375,8225.7295
15,mated_ff,dm_R57C10xGC6s_181214d,nostim,NA,01,dm_R57C10xGC6s_181214d_01_nostim_SEZ_volreg_transformed_gauss.nii,4699.2744,4905.2124,4840.301,4455.032,5049.138,5050.1133,5017.852,4891.7,4993.2837,5259.8286,4934.103,4905.2427,5085.747,5385.645,4953.39,5317.914,5103.269,4918.322,5095.516,4964.574,5242.7056,5003.6562,4989.4004,4860.7725,5143.566,5095.9463,5194.217,4810.269,5222.5273,5150.0273,4831.468,5216.0024,5109.274,5010.57,5357.9395,4966.4126,5062.32,5003.037,4799.7803,4981.1978,5133.187,4832.091,4872.9077,4937.8477,4780.8267,4868.253,5091.992,5205.7236,4936.4087,5002.897,5242.5347,4889.346,4960.821,4744.9097,4910.2515,4968.5586,5022.992,4962.377,4723.1885,4780.748
