region,state,fly,stimulus,concentration,stimulus_nr,recording,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1,mated_ff,dm_R57C10xGC6s_181214d,h2o,NA,02,dm_R57C10xGC6s_181214d_02_h2o_SEZ_volreg_transformed_gauss.nii,5991.8037,6440.7534,6540.2363,6676.7505,6356.175,6638.2036,6550.9526,6587.6333,6363.673,6615.159,6419.5674,6607.979,6618.0537,6665.918,6731.4185,6317.056,6573.693,6682.0386,6574.0264,6613.0234,6294.667,6550.3887,6549.537,6666.952,6585.7046,6578.854,6589.852,6728.799,6670.5547,6423.365,6451.401,6508.1333,6535.901,6616.872,6543.6475,6420.912,6390.19,6385.2173,6313.7046,6327.637,6317.4873,6472.913,6339.326,6437.847,6296.6143,6203.888,6320.281,6207.213,6278.896,6391.298,6282.8257,6281.2446,6279.734,6296.65,6141.1123,6241.3936,6319.4243,6105.1543,6312.674,6293.2104
2,mated_ff,dm_R57C10xGC6s_181214d,h2o,NA,02,dm_R57C10xGC6s_181214d_02_h2o_SEZ_volreg_transformed_gauss.nii,2704.015,2862.8928,2899.5046,2934.9497,2889.961,2945.1633,2905.677,2963.0312,2860.5664,3012.496,2995.0408,3043.9814,2935.0227,3037.6226,3040.8206,3031.872,3030.9905,3075.1194,3063.9072,3110.3586,3003.9468,2998.1846,2974.5232,3016.337,3063.5918,2984.2698,2989.078,2932.094,2935.6375,3010.9746,2977.6724,3002.1812,2969.3838,2997.235,2981.9763,2944.4395,2972.6958,2911.0923,2965.6077,2884.2874,2865.1274,2861.398,2960.513,2972.5522,2963.8042,2916.2727,2908.641,2894.7048,2913.3767,2869.6914,2881.0957,2928.3245,2870.169,2914.1057,2876.0178,2867.9548,2947.0942,2872.3384,2849.276,2917.3533
3,mated_ff,dm_R57C10xGC6s_181214d,h2o,NA,02,dm_R57C10xGC6s_181214d_02_h2o_SEZ_volreg_transformed_gauss.nii,7725.168,8288.157,8125.392,8415.669,7829.2,8719.872,8894.067,8475.206,9222.778,8964.053,9237.755,8971.9795,10081.116,9362.585,9491.5625,9403.846,8930.555,9200.508,8894.77,9978.849,9580.437,9242.258,9511.306,9187.621,9227.043,9665.01,9042.785,9665.601,9246.495,9084.706,9560.142,9088.608,9613.911,9282.907,9382.36,9279.789,8616.207,9352.477,9648.31,8898.794,8882.254,9013.218,9282.541,8944.15,9089.868,9023.327,9067.543,8976.064,9700.322,9347.161,9047.97,9064.681,9273.921,9323.093,9608.132,9477.788,9236.812,8352.099,9221.026,9228.1875
4,mated_ff,dm_R57C10xGC6s_181214d,h2o,NA,02,dm_R57C10xGC6s_181214d_02_h2o_SEZ_volreg_transformed_gauss.nii,7615.0684,7674.7627,7736.1016,7774.507,7842.178,7727.588,7919.059,8004.014,7937.013,8049.199,8361.228,8446.942,8418.718,8406.622,8521.922,8602.236,8544.767,8590.186,8499.344,8348.429,8455.35,8437.831,8462.16,8419.444,8487.573,8551.969,8405.966,8237.683,8236.213,8397.951,8580.8955,8555.173,8612.947,8381.926,8391.881,8212.03,8307.84,8292.503,8344.733,8282.323,8205.777,8229.999,8382.433,8453.8545,8353.369,8196.4,8284.482,8407.944,8307.102,8297.487,8310.204,8317.741,8324.953,8191.0757,8227.486,8224.372,8210.839,8171.804,8095.571,8143.6255
5,mated_ff,dm_R57C10xGC6s_181214d,h2o,NA,02,dm_R57C10xGC6s_181214d_02_h2o_SEZ_volreg_transformed_gauss.nii,6104.132,6519.1045,6365.378,6488.737,6296.016,6384.17,6400.8003,6410.754,6233.203,6560.6475,6775.601,7211.609,6935.352,6995.4053,7014.1777,6948.656,7031.2363,6878.761,6790.111,6806.652,6495.5664,6724.063,6667.1562,6719.9478,6741.3374,6698.282,6690.429,6645.037,6589.5874,6493.1035,6546.752,6637.1978,6687.4365,6540.6406,6519.1104,6433.857,6400.8623,6464.28,6371.9937,6327.3096,6318.878,6412.538,6492.19,6393.61,6304.782,6279.966,6259.8735,6305.551,6247.84,6349.616,6227.9214,6330.324,6304.971,6241.727,6251.226,6259.7383,6351.004,6105.5986,6209.753,6293.1587
6,mated_ff,dm_R57C10xGC6s_181214d,h2o,NA,02,dm_R57C10xGC6s_181214d_02_h2o_SEZ_volreg_transformed_gauss.nii,5244.44,5753.336,5943.528,6031.585,5760.0356,5883.4595,5955.9585,6020.6187,5717.8223,5714.8184,6264.372,6729.6167,6442.6665,6378.487,6476.958,6362.416,6329.4575,6317.452,6186.47,6172.4575,5972.924,6167.778,5968.536,6008.9253,5785.84,5913.0337,5880.1978,5808.3296,5867.563,5406.9653,6001.2944,6095.155,6092.1064,5847.5586,5865.747,5647.022,5712.295,5750.719,5691.875,5588.197,5725.9937,5564.1206,5609.822,5651.467,5589.482,5506.616,5439.792,5362.695,5565.4395,5458.6924,5703.5034,5373.287,5549.7866,5538.9365,5385.7344,5435.4404,5531.4263,5301.306,5527.9927,5657.3867
7,mated_ff,dm_R57C10xGC6s_181214d,h2o,NA,02,dm_R57C10xGC6s_181214d_02_h2o_SEZ_volreg_transformed_gauss.nii,4811.392,5183.2993,5214.6577,5294.9077,5219.781,5213.715,5393.8867,5305.546,5069.7446,5270.34,5338.594,5471.0303,5408.6123,5401.3413,5483.4116,5337.6895,5336.2026,5356.3623,5321.264,5346.1714,5403.253,5340.9663,5286.9473,5397.8135,5331.1997,5317.979,5331.3145,5342.1553,5264.1147,5157.3706,5284.6694,5292.597,5310.5396,5294.224,5234.4946,5237.9854,5250.847,5270.3345,5247.731,5112.063,5154.0166,5149.036,5190.7754,5091.0376,5157.1777,5160.054,5121.8325,5147.0273,5108.073,5049.0723,5160.026,5211.2847,5219.4976,5205.887,5158.2607,5168.8247,5201.738,4950.9556,4986.379,5276.337
8,mated_ff,dm_R57C10xGC6s_181214d,h2o,NA,02,dm_R57C10xGC6s_181214d_02_h2o_SEZ_volreg_transformed_gauss.nii,1815.1438,1901.5457,1912.779,1990.7386,1878.0453,1915.6415,1880.3226,1954.2416,1939.7401,1990.27,2019.5852,1981.4224,2026.2671,1983.5502,2034.448,1875.8984,2069.032,2082.1653,2007.6638,2025.9955,1981.5714,1974.2739,1958.112,2034.3563,2029.3842,1978.482,1963.2329,1978.1482,1947.7266,1953.2582,2023.5875,1980.6781,1942.47,1954.2842,1956.1792,1992.2236,1884.6208,1925.8898,1890.3339,1904.4596,1943.7832,1895.7222,1899.2366,1994.5718,1896.0996,1937.6764,1874.1656,1915.3639,1877.0354,1889.126,1870.1055,1913.623,1914.3839,1934.2727,1942.4674,1920.8588,1881.8281,1873.092,1927.8782,1917.0914
9,mated_ff,dm_R57C10xGC6s_181214d,h2o,NA,02,dm_R57C10xGC6s_181214d_02_h2o_SEZ_volreg_transformed_gauss.nii,3250.588,3446.281,3525.5232,3616.0847,3592.5017,3576.185,3559.6445,3605.2825,3518.6814,3613.469,3690.6074,3844.636,3681.1353,3727.7422,3690.6484,3783.5676,3833.3955,3737.0164,3699.6997,3672.3281,3582.1074,3612.7566,3584.8472,3610.711,3539.7886,3523.1711,3591.7544,3570.583,3468.5798,3512.6543,3644.7788,3741.4482,3683.4668,3614.755,3641.2766,3550.6367,3523.5156,3510.5347,3475.9146,3403.1714,3396.7542,3454.549,3541.334,3495.787,3437.7808,3410.9458,3380.4246,3363.4893,3393.9832,3445.8303,3396.2668,3408.656,3398.7734,3387.723,3355.4438,3389.904,3448.6,3407.5396,3362.182,3427.1802
10,mated_ff,dm_R57C10xGC6s_181214d,h2o,NA,02,dm_R57C10xGC6s_181214d_02_h2o_SEZ_volreg_transformed_gauss.nii,3150.6145,3437.56,3295.809,3460.343,3306.5125,3305.913,3300.8157,3318.5205,3305.4482,3426.4995,3086.8584,3386.645,3352.401,3445.5046,3500.3184,3198.8994,3432.0923,3400.815,3346.3684,3428.414,3008.6882,3346.3425,3345.9922,3443.2146,3365.5596,3292.801,3327.8213,3303.1777,3249.7512,3202.209,3205.5217,3312.3428,3298.474,3332.8188,3291.2454,3203.5923,3164.4524,3255.7507,3239.813,3200.6257,3228.008,3187.2458,3169.837,3239.8691,3112.8386,3223.2205,3248.4453,3160.2485,3213.4343,3215.7007,3111.4678,3192.3474,3170.249,3096.1572,3149.5828,3121.2725,3214.4658,3040.6943,3128.0957,3215.3083
