region,state,fly,stimulus,concentration,stimulus_nr,recording,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1,mated_ff,dm_R57C10xGC6s_181214d,yeast,10%,04,dm_R57C10xGC6s_181214d_04_yeast_10%_SEZ_volreg_transformed_gauss.nii,6648.7954,7175.9604,7180.9185,7164.1587,7079.482,7066.354,6979.9805,7191.5874,6833.3647,6901.6025,6663.2935,6909.0073,6764.874,7024.9233,6886.94,6873.939,7066.0723,6923.802,7028.9517,6887.073,6708.315,6726.534,6708.2153,5073.494,5786.876,5820.1504,6016.454,6405.8486,5969.7554,6124.268,6057.911,6099.918,6141.538,5940.526,5602.7734,6015.2793,6177.737,6242.8394,6090.7065,6022.314,5906.241,5756.875,5995.1934,6043.008,5800.6445,6047.796,6059.016,5990.604,6068.8726,6115.6494,6163.9233,5810.941,6031.099,5945.9937,5957.9067,5989.292,5729.8125,5999.988,6048.3833,5987.154
2,mated_ff,dm_R57C10xGC6s_181214d,yeast,10%,04,dm_R57C10xGC6s_181214d_04_yeast_10%_SEZ_volreg_transformed_gauss.nii,2752.8547,2824.4346,2907.4893,3037.0244,2854.471,2957.8682,3003.8274,3082.479,2902.495,2938.0317,3012.008,2997.1245,3084.286,2898.6553,3021.524,2951.15,3007.8604,3050.2505,2869.3948,2959.478,2979.9885,2941.414,2991.336,3027.2888,3188.3665,2963.8438,3106.3809,3067.7422,3084.8508,3106.2224,3106.7935,3147.4893,3164.658,3156.3667,3038.9333,3196.473,3140.9583,3151.8325,3052.5547,3090.0378,3020.0256,3139.7632,3086.9265,3034.879,3081.8267,3051.3286,3040.2593,3081.1882,3049.4236,3097.5796,3082.4058,3044.9106,2972.1814,3140.951,2999.0093,3019.223,2999.8516,3018.3877,3130.5564,3056.486
3,mated_ff,dm_R57C10xGC6s_181214d,yeast,10%,04,dm_R57C10xGC6s_181214d_04_yeast_10%_SEZ_volreg_transformed_gauss.nii,9417.002,10031.418,9859.154,10164.069,10381.389,10512.16,9830.484,10922.225,10862.898,10716.959,11000.888,11090.814,10334.005,10822.732,10373.413,10713.12,9470.592,10869.061,11720.503,11402.151,10965.643,11298.822,10603.116,6766.2324,8554.099,9871.097,10871.553,11256.313,9095.841,10491.889,10204.83,10796.563,10916.531,10678.314,10950.329,10845.429,11287.674,11266.683,11328.472,11162.088,10908.744,10930.218,10505.599,10771.788,10320.769,10990.046,11188.678,11237.661,11601.907,11023.613,10571.091,10519.765,10354.539,11040.453,11907.845,10871.493,11105.336,10786.964,10878.088,10256.999
4,mated_ff,dm_R57C10xGC6s_181214d,yeast,10%,04,dm_R57C10xGC6s_181214d_04_yeast_10%_SEZ_volreg_transformed_gauss.nii,8567.499,8454.892,8547.565,8697.645,8456.012,8692.693,8796.609,8814.76,8748.328,8898.57,8995.772,9227.052,9164.5625,9000.39,9087.165,9046.554,8912.562,9201.176,9248.306,9537.21,9393.712,9350.293,9183.392,9184.884,9584.909,9400.534,9149.421,8989.405,9282.658,9171.011,9272.719,8861.661,8857.632,9009.426,9007.068,9252.9375,9184.917,9054.457,9055.688,9087.467,8834.02,9082.233,8990.9,8815.247,8973.747,9054.741,9012.976,8985.33,9061.557,9030.005,8815.207,8948.736,8979.081,9048.793,9003.593,9069.688,8989.016,8699.256,8642.149,8575.537
5,mated_ff,dm_R57C10xGC6s_181214d,yeast,10%,04,dm_R57C10xGC6s_181214d_04_yeast_10%_SEZ_volreg_transformed_gauss.nii,6724.4434,6992.3735,6968.765,6805.4824,6604.2646,6765.012,6586.4443,6731.61,6485.8955,6437.4663,6902.1104,7198.0215,7022.531,7009.8467,6979.675,6850.494,6717.964,7018.0425,6795.7207,6744.3813,6775.2065,6739.4814,6412.4346,5951.9116,6917.5146,6747.9873,6872.307,6837.6685,6750.4404,6640.4355,6680.284,6504.266,6487.0044,6382.7935,6213.3037,6537.891,6693.3345,6742.2295,6593.8174,6493.005,6300.7397,6569.9526,6489.7817,6445.476,6585.7075,6483.0854,6508.4927,6499.707,6625.7563,6553.9814,6469.623,6553.0757,6685.551,6647.445,6631.2104,6516.5757,6503.219,6326.036,6412.5093,6446.225
6,mated_ff,dm_R57C10xGC6s_181214d,yeast,10%,04,dm_R57C10xGC6s_181214d_04_yeast_10%_SEZ_volreg_transformed_gauss.nii,5854.4014,5911.8774,6272.089,6200.561,6131.515,6239.2295,6112.9795,6315.3525,5967.477,5882.692,6658.1187,6466.6826,6438.0547,6165.4517,6520.314,6399.787,6063.7886,6424.8354,6246.988,6490.7026,6271.7344,6195.5513,6019.428,5969.284,6444.9463,6118.4497,6327.544,6048.526,6179.835,5977.505,5821.044,5783.4863,5874.5176,5774.6084,5814.141,5973.6143,6177.5874,5948.7896,6066.375,5856.1245,5749.6606,6022.2188,5829.3374,5645.0723,5695.673,5824.2515,5815.817,5715.6143,5946.8916,5794.0674,5722.14,5940.0845,5850.486,6127.4854,5822.075,5790.1494,5623.6616,5537.3755,5578.3013,5806.5195
7,mated_ff,dm_R57C10xGC6s_181214d,yeast,10%,04,dm_R57C10xGC6s_181214d_04_yeast_10%_SEZ_volreg_transformed_gauss.nii,4933.812,5241.817,5469.971,5549.7305,5225.8105,5542.286,5392.897,5528.6724,5296.7773,5276.0796,5287.0996,5387.5454,5417.968,5345.87,5431.918,5353.603,5374.8926,5343.7,5327.8823,5310.133,5308.3354,5297.5195,5115.896,5090.226,5413.738,5042.347,5175.5537,5180.189,5134.124,5136.9507,5238.2227,5057.5723,5025.9487,5109.902,4962.8657,5124.642,5159.2314,5118.902,5064.519,4962.861,4986.086,5081.7646,5034.825,4924.2866,5069.0835,5100.407,5026.3467,5195.017,5237.0034,5125.206,4930.4146,5009.929,5044.7817,5153.2354,5156.1797,5237.8623,4873.709,5025.182,4932.136,4833.2134
8,mated_ff,dm_R57C10xGC6s_181214d,yeast,10%,04,dm_R57C10xGC6s_181214d_04_yeast_10%_SEZ_volreg_transformed_gauss.nii,1756.0387,1839.9288,1871.4897,1913.4788,1892.225,1867.7347,1927.0084,1936.7495,1824.7454,1843.9211,1889.4623,1958.3259,1947.5563,1954.1104,1874.522,1919.7762,2000.5013,1986.2328,1965.071,1998.758,1918.5653,1861.4442,1955.8617,1616.8588,1862.8695,1832.3811,1842.4814,1830.0762,1876.1338,1883.897,1900.8364,1775.8818,1854.1272,1795.457,1712.3894,1802.6615,1835.7167,1916.6691,1877.5,1820.8824,1766.582,1815.3444,1846.3699,1849.8315,1806.125,1847.1892,1775.4724,1767.8287,1830.3156,1814.126,1853.0911,1835.0619,1831.3347,1842.0195,1828.8438,1829.4666,1781.8689,1856.2544,1827.4714,1768.1663
9,mated_ff,dm_R57C10xGC6s_181214d,yeast,10%,04,dm_R57C10xGC6s_181214d_04_yeast_10%_SEZ_volreg_transformed_gauss.nii,3274.1301,3552.107,3662.1692,3652.2625,3547.6511,3710.4033,3681.078,3754.114,3523.477,3549.512,3782.5344,3794.602,3788.82,3612.138,3708.162,3597.7202,3568.5178,3880.397,3752.6692,3732.9707,3734.3528,3636.59,3564.646,3673.6729,3991.6086,3712.5505,3700.7065,3696.9417,3843.9136,3629.4834,3786.754,3696.3262,3724.9175,3708.2131,3656.3406,3915.41,3795.5977,3828.612,3828.8462,3766.9534,3663.6843,3785.0703,3775.4585,3633.9702,3728.1743,3674.6118,3599.1055,3648.6035,3777.3438,3733.237,3624.6982,3711.3213,3750.3943,3837.903,3695.3086,3654.065,3662.0679,3679.6272,3679.5903,3682.154
10,mated_ff,dm_R57C10xGC6s_181214d,yeast,10%,04,dm_R57C10xGC6s_181214d_04_yeast_10%_SEZ_volreg_transformed_gauss.nii,2907.3557,3232.7092,3186.1274,3167.2058,3077.11,3164.1182,3065.4502,3167.1526,3134.9448,3019.71,3014.63,3188.796,3054.455,3157.4482,3076.6987,3022.8713,2850.211,3334.09,3363.1157,3126.0334,3146.781,3052.5417,3026.3909,2518.8586,2816.669,2813.59,2864.5327,3019.9175,2828.519,2840.585,2803.6687,2914.89,2916.8472,2835.3865,2636.8965,2887.6726,2838.2996,2826.0132,2806.3271,2821.6602,2737.7446,2704.1143,2753.4866,2815.8213,2712.7988,2712.255,2717.6943,2672.939,2695.0186,2724.6338,2779.3923,2706.586,2734.4072,2686.0312,2671.8333,2723.0686,2733.114,2757.6167,2803.3694,2776.9744
11,mated_ff,dm_R57C10xGC6s_181214d,yeast,10%,04,dm_R57C10xGC6s_181214d_04_yeast_10%_SEZ_volreg_transformed_gauss.nii,5212.471,5350.4463,5522.4727,5583.2783,5451.8916,5673.7446,5718.016,5743.561,5618.1587,5682.8545,5820.1523,5905.2856,5948.486,5679.179,5868.898,5802.4,5933.8057,5946.877,5738.227,5849.208,5899.5107,5794.3345,5807.7407,5761.3164,6210.743,5900.711,5925.389,5873.2017,5937.2983,5957.995,5892.288,5832.9644,5869.008,5831.839,5750.0405,5849.3965,5881.016,5882.168,5738.4863,5740.9395,5652.642,5698.659,5623.198,5670.166,5555.13,5602.6685,5513.25,5559.2905,5557.826,5543.3716,5607.6963,5463.395,5414.991,5537.548,5401.13,5437.171,5437.7207,5469.0786,5381.8706,5361.3916
12,mated_ff,dm_R57C10xGC6s_181214d,yeast,10%,04,dm_R57C10xGC6s_181214d_04_yeast_10%_SEZ_volreg_transformed_gauss.nii,4368.151,4734.145,4779.453,4764.3677,4653.5415,4743.455,4793.3286,4808.701,4557.7686,4475.5464,4572.2134,4683.0786,4665.51,4593.2344,4573.53,4485.008,4507.752,4497.55,4377.598,4337.347,4305.085,4308.5327,4281.5117,4109.325,4273.815,4191.293,4376.535,4249.395,4368.1167,4316.551,4364.349,4258.9043,4155.195,4198.3413,4232.004,4263.446,4467.755,4428.3228,4130.471,4180.0874,4213.6587,4190.712,4166.02,4255.1943,4179.268,4167.4243,4237.8003,4307.5747,4339.5586,4242.278,4250.233,4189.1025,4288.7686,4284.6997,4234.156,4168.045,4119.4634,4293.1123,4359.241,4298.449
13,mated_ff,dm_R57C10xGC6s_181214d,yeast,10%,04,dm_R57C10xGC6s_181214d_04_yeast_10%_SEZ_volreg_transformed_gauss.nii,3796.9622,3818.0027,3959.2825,3924.2778,4036.4683,4055.095,4099.996,3995.9458,3712.8022,3859.3696,3942.335,3908.704,3870.6628,3915.8953,3870.5737,3771.1604,4210.4053,3868.8955,3891.35,3735.4092,3741.072,3974.5251,3775.3457,4224.8535,3961.5305,3993.2383,3864.5176,3614.3735,3935.1577,3976.194,3933.0747,3859.5984,3551.6826,3661.0745,3562.9653,3524.8442,3847.2625,3856.7473,3863.7234,3502.9348,3670.6887,3630.3904,3711.297,3784.9255,3546.013,3558.7305,3433.011,3748.777,3462.7268,3555.958,3717.4438,3405.0566,3775.908,3487.3733,3888.4565,3637.551,3816.4233,3877.7317,3686.7754,3779.6138
14,mated_ff,dm_R57C10xGC6s_181214d,yeast,10%,04,dm_R57C10xGC6s_181214d_04_yeast_10%_SEZ_volreg_transformed_gauss.nii,10682.784,10661.749,10583.841,10376.888,10147.597,10213.641,10209.878,10198.1045,10000.227,10145.497,10129.898,10641.3125,10475.578,10024.096,10057.179,9884.497,9581.461,10167.849,10488.401,10455.29,10485.691,10463.947,10091.8,8667.96,10384.421,10340.169,10447.631,10125.3,9914.803,10148.026,9843.189,9902.53,9952.392,9684.438,9674.188,10116.293,10140.928,10078.464,9731.217,9843.545,9538.802,9320.819,9340.853,9325.615,9576.999,9538.324,9299.554,9298.624,9374.13,9295.956,9333.933,9396.045,9214.001,9078.953,9199.1,9523.358,9267.479,8827.407,8977.588,8866.499
15,mated_ff,dm_R57C10xGC6s_181214d,yeast,10%,04,dm_R57C10xGC6s_181214d_04_yeast_10%_SEZ_volreg_transformed_gauss.nii,4300.3794,4579.6733,4538.3354,4707.5513,4411.917,4567.8765,4855.4727,5053.8643,4569.772,4421.916,4624.6367,4663.4126,4698.675,4715.5576,4561.466,4606.1743,4770.8823,4856.1455,4819.5537,4559.7075,4612.363,4712.2354,4653.219,4059.152,4345.02,4572.1504,4548.1865,4396.7207,4628.7397,4579.899,4314.1597,4377.3735,4423.1562,4429.815,4322.6665,4402.776,4609.0,4579.33,4335.5176,4296.1377,4402.855,4366.3677,4411.444,4585.172,4093.1243,4265.2515,4186.9043,4238.0737,4291.379,4678.1016,4611.5845,4233.1616,4576.598,4484.741,4446.48,4457.429,4423.076,4563.317,4508.879,4550.1797
16,mated_ff,dm_R57C10xGC6s_181214d,yeast,10%,04,dm_R57C10xGC6s_181214d_04_yeast_10%_SEZ_volreg_transformed_gauss.nii,8965.566,9107.268,9104.943,8895.693,8727.147,8834.32,8367.324,8729.536,8565.56,8586.619,8086.3296,8673.188,8517.53,8579.564,8564.717,8695.531,8437.042,8650.591,8865.654,8546.467,8710.164,8542.393,8485.802,6183.7446,7298.752,7314.8037,7604.6143,7863.4917,7343.4883,7859.6587,7612.5625,7528.3936,7734.226,7499.0015,7133.0957,7658.717,7713.93,7741.857,7711.0083,7541.271,7326.2812,7353.122,7491.9478,7535.5312,7364.124,7545.2354,7627.928,7618.9463,7496.735,7530.477,7533.7036,7328.0903,7402.0474,7352.121,7511.241,7755.1616,7619.921,7518.832,7434.92,7338.276
17,mated_ff,dm_R57C10xGC6s_181214d,yeast,10%,04,dm_R57C10xGC6s_181214d_04_yeast_10%_SEZ_volreg_transformed_gauss.nii,3292.5571,3316.002,3404.0454,3473.1785,3476.4033,3633.3105,3681.086,3757.5854,3487.094,3539.2913,3914.951,4148.0103,3912.787,3568.9329,3614.8032,3529.9822,3719.313,4233.516,4380.6436,4291.6665,4257.743,4312.1304,4096.9873,3769.0212,4269.77,3889.883,3807.0183,3841.1404,3825.156,3788.6602,3748.0762,3650.2642,3743.5073,3684.578,3540.4915,3961.7085,3945.2615,3993.266,3873.9854,3849.4802,3548.2173,3836.567,3786.3718,3841.6812,3719.7786,3754.7944,3593.824,3601.279,3613.069,3570.3616,3799.7085,3658.0154,3747.4658,3713.137,3645.2026,3717.2122,3855.3208,3531.386,3301.4697,3179.1733
18,mated_ff,dm_R57C10xGC6s_181214d,yeast,10%,04,dm_R57C10xGC6s_181214d_04_yeast_10%_SEZ_volreg_transformed_gauss.nii,3963.3774,4221.256,4179.6055,4096.5464,4070.1797,4205.6074,4231.0586,4246.8687,4062.2373,3999.5835,4383.083,4545.512,4499.8955,4404.3896,4329.4565,4204.2656,4362.334,4723.102,4554.226,4346.29,4321.508,4253.519,4140.604,4012.252,4268.7393,4080.7166,4259.944,4161.424,4276.9004,4057.783,4169.4795,4142.882,4161.4233,4204.085,4197.333,4273.16,4258.428,4157.8667,4112.1094,4093.6838,4074.279,4017.6367,4021.4338,4007.0671,4063.3342,4085.138,4022.4507,4023.6606,4113.627,4048.3958,4090.775,4006.6523,4036.75,4012.9712,3967.4558,3932.9587,4009.912,4110.3794,4109.1074,4096.0244
19,mated_ff,dm_R57C10xGC6s_181214d,yeast,10%,04,dm_R57C10xGC6s_181214d_04_yeast_10%_SEZ_volreg_transformed_gauss.nii,5076.8633,5257.4116,5129.6133,5035.8716,4936.307,5011.3613,4856.6772,5000.6997,4943.8447,4958.0854,4672.3687,5213.369,5028.8022,5030.616,4751.9297,5172.539,4337.927,5388.106,5884.2295,5845.6714,5773.792,5699.2207,5676.713,4580.262,5682.4414,5514.4414,5929.19,5873.82,5363.3813,6102.8506,5556.165,5572.5894,5994.772,5876.9814,5971.8813,6164.357,6015.203,6061.374,5798.8706,5790.4644,5630.664,5472.7266,5757.1953,5643.155,5689.634,5756.2847,5601.094,5690.5806,5649.5664,5635.022,5839.1055,5479.1665,5614.8906,5522.9717,5707.7227,5932.9546,6060.2344,5774.561,5896.165,5671.36
20,mated_ff,dm_R57C10xGC6s_181214d,yeast,10%,04,dm_R57C10xGC6s_181214d_04_yeast_10%_SEZ_volreg_transformed_gauss.nii,3118.0671,3363.8857,3531.0813,3524.5127,3388.0264,3511.3833,3558.4792,3522.2117,3323.6377,3312.0493,3341.6882,3355.9932,3462.8733,3296.469,3466.83,3322.5374,3207.8784,3383.779,3166.3694,3206.3005,3336.7585,3212.7734,3175.5752,3301.834,3309.2896,3148.9006,3244.2285,3119.294,3400.8762,3288.7163,3349.9421,3170.3743,3198.983,3175.2976,3284.6926,3387.1233,3406.6602,3336.9104,3350.761,3348.5847,3299.0056,3424.8325,3360.699,3224.4712,3408.3728,3238.0315,3285.3157,3278.1965,3466.3103,3346.4065,3238.3396,3376.9248,3456.34,3453.623,3393.8398,3290.3367,3333.232,3326.0737,3368.0178,3375.0452
21,mated_ff,dm_R57C10xGC6s_181214d,yeast,10%,04,dm_R57C10xGC6s_181214d_04_yeast_10%_SEZ_volreg_transformed_gauss.nii,3128.99,3479.0728,3434.8264,3449.1987,3428.113,3486.768,3534.718,3496.05,3396.233,3298.3984,3520.2295,3569.4016,3564.2075,3479.7727,3451.0337,3402.502,3451.1455,3756.576,3631.7122,3498.0686,3522.603,3326.2297,3353.0415,3134.4578,3311.558,3129.1074,3249.6128,3065.6765,3254.07,3176.77,3287.8098,3063.9478,3033.9177,3045.4934,3102.1272,3251.6704,3239.041,3184.631,3076.5022,3074.1384,3032.423,3196.3442,3132.6648,3036.4602,3134.649,3055.5774,3025.0293,3090.321,3220.223,3108.1914,3035.7515,3134.7603,3187.2307,3188.0552,3170.0178,3073.17,3065.355,3059.2573,3080.7463,3130.951
