region,state,fly,stimulus,concentration,stimulus_nr,recording,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1,mated_ff,dm_R57C10xGC6s_181214d,sucrose,200mM,05,dm_R57C10xGC6s_181214d_05_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,5495.4946,6038.8887,6131.4937,6259.3794,6327.982,6238.729,6198.333,6118.8823,6081.321,6034.09,5715.1484,6081.2227,6028.122,6104.327,5958.201,5489.8145,6015.595,6184.3057,6114.0356,6021.524,6069.265,6118.1733,6291.3984,6199.929,6231.944,6222.8784,6106.983,6186.3003,6218.783,6250.171,6137.7915,6264.5293,6119.563,6118.649,6051.123,6082.3364,6122.6016,6216.2266,6245.229,6265.9033,6199.993,6110.9673,6060.568,6045.7144,6235.1255,6029.5547,6215.737,6185.0073,6320.1704,6040.6455,5954.5815,5996.233,6047.8716,6012.627,5926.331,6116.4478,6120.8354,6015.5093,5861.439,5902.618
2,mated_ff,dm_R57C10xGC6s_181214d,sucrose,200mM,05,dm_R57C10xGC6s_181214d_05_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,2695.72,2787.4587,2883.5107,2981.5713,2917.8865,2992.695,3027.826,2984.8484,2925.3274,2967.1035,3016.1523,3102.397,3011.9932,2959.0493,2906.1511,3022.1958,3049.8015,3011.4277,3079.1753,3018.839,3060.235,3059.8816,3081.3591,2970.9214,2910.4634,2969.0566,2929.6755,2980.4016,3019.5557,3022.9348,2911.205,2996.5876,3054.1646,2924.9668,2950.9504,2993.0117,2873.327,2956.7898,3010.0935,3013.4902,2924.4016,2939.6826,2913.3994,2883.176,2984.293,2904.1572,3015.2725,2962.9111,2972.1792,2901.8052,2863.2017,2935.5583,2831.352,2888.7417,2823.8406,2888.5337,2959.8762,2920.6414,2898.129,2888.5898
3,mated_ff,dm_R57C10xGC6s_181214d,sucrose,200mM,05,dm_R57C10xGC6s_181214d_05_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,8352.329,9338.422,9203.313,9728.323,9382.032,9665.307,10123.408,9848.103,10153.438,9949.711,9539.366,10422.964,10011.753,10652.157,10075.917,9686.579,9605.646,10180.241,9746.465,10318.468,9951.973,10320.59,10235.951,10250.999,10252.434,10266.406,10170.67,10365.262,10059.898,9765.111,10276.083,9767.096,10559.586,10522.502,10610.564,10294.87,10220.846,10282.147,10291.485,10711.634,10244.392,10769.579,10938.244,11546.953,10679.408,10889.027,10289.126,10165.616,10222.706,10976.783,10483.339,10357.917,10585.439,10396.364,10095.224,10890.444,10757.13,9975.74,10954.408,10492.142
4,mated_ff,dm_R57C10xGC6s_181214d,sucrose,200mM,05,dm_R57C10xGC6s_181214d_05_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,7264.877,7322.0586,7459.883,7675.845,7771.124,7751.382,7825.2793,7928.75,7955.4683,7814.5684,8233.1875,8484.814,8347.47,8234.4375,8264.36,8566.448,8680.916,8644.136,8622.858,8671.617,8729.967,8675.33,8819.258,8590.664,8425.601,8486.479,8492.815,8420.54,8541.283,8651.106,8586.837,8628.861,8549.298,8537.822,8658.921,8586.161,8444.019,8705.327,8637.846,8636.916,8725.651,8633.914,8486.937,8529.661,8585.813,8597.564,8683.996,8776.554,8718.069,8531.027,8332.277,8519.342,8313.626,8410.989,8376.113,8516.62,8375.299,8411.222,8497.109,8630.147
5,mated_ff,dm_R57C10xGC6s_181214d,sucrose,200mM,05,dm_R57C10xGC6s_181214d_05_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,5864.8755,6235.282,6234.056,6307.0015,6287.4175,6252.8887,6182.566,6190.6997,6082.813,6104.6943,6473.0103,6780.3784,6564.9565,6386.4663,6225.977,6227.673,6525.8784,6441.872,6441.551,6354.891,6577.443,6498.0,6600.499,6374.1733,6368.915,6278.6504,6205.707,6290.927,6362.9414,6263.922,6379.9053,6257.5493,6233.1777,6148.051,6174.2524,6109.102,6141.53,6366.71,6428.425,6296.457,6314.149,6233.4463,6127.58,6167.4146,6255.23,6182.0996,6416.955,6411.8096,6474.878,6122.8833,6129.589,6205.033,6063.003,6064.8403,6056.6655,6220.089,6200.2627,6233.388,6112.317,6065.948
6,mated_ff,dm_R57C10xGC6s_181214d,sucrose,200mM,05,dm_R57C10xGC6s_181214d_05_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,5002.5293,5568.308,5487.8364,5659.5435,5744.4893,5851.2236,5933.831,5661.0215,5583.8833,5667.2095,6068.67,6409.336,6187.6465,5858.218,5674.6274,5794.8267,6286.4976,5934.961,6060.591,5967.683,6112.6914,5896.0063,5817.9927,5945.15,5830.0117,5502.9214,5598.7754,5771.2373,5714.212,5640.374,5832.021,5921.6377,5541.807,5528.0283,5417.858,5597.9224,5534.8296,5648.666,5937.774,5752.6226,5645.9473,5569.1685,5347.576,5425.4165,5587.854,5351.3843,5599.3457,5592.2544,5845.449,5494.021,5250.5317,5589.5645,5231.6777,5450.5215,5380.938,5540.8506,5654.4536,5635.6133,5337.8374,5456.7905
7,mated_ff,dm_R57C10xGC6s_181214d,sucrose,200mM,05,dm_R57C10xGC6s_181214d_05_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,4567.56,4899.615,4973.5576,5135.5493,5078.1733,5131.615,5162.0493,5123.5376,5048.6167,5006.949,5201.4272,5283.813,5171.332,4978.743,4996.3086,5152.9165,5083.8975,5014.6826,5138.437,5113.7344,5072.5117,5101.524,5182.558,5158.6772,5073.7173,4920.839,4965.976,5007.4165,5039.447,5153.011,5144.9507,5082.7646,4987.7856,4948.838,4914.732,4986.7383,4898.6343,5038.0386,5053.5205,5082.095,5050.2104,4968.4595,4924.415,4957.637,4978.4355,4927.7,5048.221,5061.333,5115.759,4834.2075,4988.1387,5023.151,4803.022,4913.2266,4895.126,5058.2344,5065.2104,5002.1265,4923.0527,4968.5444
8,mated_ff,dm_R57C10xGC6s_181214d,sucrose,200mM,05,dm_R57C10xGC6s_181214d_05_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,1698.162,1834.8739,1816.0765,1929.3102,1898.441,1868.0692,1860.7535,1870.747,1876.8357,1891.5818,1782.4672,1904.6658,1913.6165,1867.5857,1862.4955,1748.4775,1887.812,1966.1285,1970.0695,1974.4537,1939.7979,1912.7184,1920.3658,1878.1573,1914.4662,1887.1805,1861.2568,1938.119,1924.0618,1927.2407,1887.6713,1863.768,1904.1798,1836.4163,1846.009,1813.9105,1834.637,1875.9227,1900.2277,1851.5986,1864.321,1796.714,1778.9517,1839.4691,1806.8584,1787.9214,1863.6182,1835.2675,1876.0856,1763.7129,1811.721,1789.5768,1777.7733,1803.8058,1765.7385,1772.6294,1821.2783,1852.5524,1797.6814,1795.4646
9,mated_ff,dm_R57C10xGC6s_181214d,sucrose,200mM,05,dm_R57C10xGC6s_181214d_05_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,3114.58,3372.853,3537.7185,3645.6938,3583.3652,3626.535,3593.756,3523.7021,3501.7803,3429.8706,3608.2656,3733.5408,3646.4932,3497.1587,3459.1672,3618.1697,3714.0876,3597.81,3655.3423,3557.3171,3600.8335,3573.1514,3575.7969,3446.4355,3486.5178,3441.425,3474.7827,3570.7744,3558.1125,3520.9636,3653.206,3555.6655,3472.8533,3409.0063,3375.8315,3448.3308,3404.655,3537.8662,3540.3154,3491.4482,3477.608,3496.9106,3406.8005,3357.329,3403.7473,3409.6624,3502.4702,3550.9792,3569.022,3389.5261,3378.2825,3375.936,3241.975,3323.996,3287.5562,3473.5454,3447.2378,3456.6707,3355.139,3383.1462
10,mated_ff,dm_R57C10xGC6s_181214d,sucrose,200mM,05,dm_R57C10xGC6s_181214d_05_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,2667.1375,2806.5203,2805.9282,2812.9954,2827.2295,2827.185,2868.0215,2809.061,2828.2554,2762.666,2689.1948,2829.3328,2892.4824,2856.5925,2856.5518,2729.575,2935.7175,2920.1824,2942.1494,2820.2998,2765.7585,2827.8965,2788.0605,2869.9116,2867.915,2878.62,2897.3586,2937.7515,2926.8499,2889.948,2877.3965,2864.6003,2821.994,2766.105,2788.6604,2786.922,2754.6758,2814.4966,2861.7705,2838.5664,2821.1545,2767.7136,2749.2715,2759.2808,2859.1484,2795.131,2885.8616,2873.7134,2856.583,2763.8408,2765.712,2769.325,2766.2385,2741.4404,2730.084,2775.339,2764.1567,2771.0312,2725.3228,2758.3113
11,mated_ff,dm_R57C10xGC6s_181214d,sucrose,200mM,05,dm_R57C10xGC6s_181214d_05_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,4571.6733,4747.5767,4857.9067,5099.7944,4983.0522,5125.4297,5232.5264,5156.1597,5178.197,5100.0986,5158.8936,5316.522,5294.164,5166.1357,5154.4487,5266.898,5345.3936,5297.555,5402.4824,5379.4536,5344.325,5291.433,5322.081,5268.111,5202.869,5104.867,5293.8438,5270.1543,5288.797,5305.2007,5303.01,5276.0615,5197.3086,5133.935,5173.59,5139.0635,5097.5083,5167.2793,5264.322,5171.894,5172.183,5157.609,5045.827,5018.202,5095.811,5071.738,5282.676,5201.0327,5161.862,5013.244,4976.288,4948.079,4859.791,4986.295,4976.052,4995.306,5009.4253,5006.317,5081.797,4984.3677
12,mated_ff,dm_R57C10xGC6s_181214d,sucrose,200mM,05,dm_R57C10xGC6s_181214d_05_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,3976.3132,4432.11,4477.9673,4687.164,4622.703,4549.086,4551.5283,4377.3867,4303.0015,4321.7676,4535.9883,4574.112,4411.343,4233.7563,4177.541,4212.4146,4374.4136,4370.938,4326.9604,4291.674,4427.6655,4303.9453,4285.2056,4185.892,4332.256,4245.867,4087.3198,4329.822,4355.412,4240.4106,4346.969,4248.5493,4180.5854,4071.839,4080.4019,4070.444,4164.6206,4349.1797,4255.8975,4198.278,4253.577,4204.9653,4052.3762,4012.8164,4090.3855,4029.0852,4336.7188,4298.2715,4353.938,4106.2188,4114.702,4088.068,4076.1885,4040.8115,4137.6235,4294.9956,4157.6567,4186.2354,4013.7883,4066.6802
13,mated_ff,dm_R57C10xGC6s_181214d,sucrose,200mM,05,dm_R57C10xGC6s_181214d_05_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,3516.8232,3928.6409,3931.5657,4290.887,4162.1855,4024.1218,4072.8064,3774.5261,3934.8396,3862.0684,3958.676,3723.51,3924.5833,3702.4058,3607.6567,3851.6868,4082.6047,3771.9556,3753.685,3598.34,3870.2493,3761.693,4114.5366,3892.838,3940.7947,3855.641,3630.4902,3847.9976,3824.3032,3765.9417,3937.8948,3903.9978,3683.9321,3701.8403,3720.9314,3646.2134,3628.5232,3908.8167,3720.7297,3788.932,3818.567,3617.647,3497.1746,3884.9744,3841.0154,3752.5996,3915.354,3925.7712,3780.6245,3465.7239,3519.7483,3732.0747,3623.5488,3684.2083,3751.1868,3912.5825,3834.3801,3921.171,3716.3096,3687.6406
14,mated_ff,dm_R57C10xGC6s_181214d,sucrose,200mM,05,dm_R57C10xGC6s_181214d_05_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,8591.541,8351.23,8326.8125,8396.469,8254.148,8309.765,8309.555,8350.393,8391.918,8414.025,8666.343,8866.942,8711.763,8590.972,8615.246,8379.196,9011.743,9195.378,9312.821,9151.149,9230.566,9298.428,9237.034,9071.964,9131.68,8876.899,9025.307,8894.767,9096.63,9185.015,9278.494,9205.362,9281.832,9031.402,9112.109,8960.189,8945.478,9153.176,9114.876,8998.882,9008.229,8915.59,8683.205,8788.253,9058.588,8901.981,9135.547,8902.324,8866.225,8718.475,8901.058,8956.672,8767.969,8596.132,8714.537,8814.362,8830.077,8867.638,8924.448,8922.59
15,mated_ff,dm_R57C10xGC6s_181214d,sucrose,200mM,05,dm_R57C10xGC6s_181214d_05_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,4252.439,4764.5503,4581.6377,4891.063,4566.1553,4917.89,4913.3955,4791.5264,4739.147,4619.527,4573.8735,4541.683,4562.0137,4578.415,4438.932,4559.268,4629.664,4553.8154,4621.2793,4657.9595,4684.7505,4770.55,4890.1406,4762.0474,4746.117,4545.655,4571.407,4501.6094,4697.347,4629.9297,4891.7,4636.63,4636.413,4578.774,4502.996,4488.8276,4365.53,4876.4185,4520.142,4553.109,4590.8315,4597.8345,4268.01,4419.3647,4637.8154,4582.5137,4886.546,4678.7837,4754.512,4244.881,4320.704,4219.5884,4305.5425,4485.874,4692.233,4680.7817,4674.596,4534.2188,4739.914,4614.821
16,mated_ff,dm_R57C10xGC6s_181214d,sucrose,200mM,05,dm_R57C10xGC6s_181214d_05_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,6961.7256,7182.2417,7133.311,7221.53,7159.7783,7134.627,7140.157,7180.4707,7092.908,6961.2603,6626.006,7053.5103,7027.1123,7062.1567,7085.6006,6563.597,7111.442,7298.903,7406.046,7400.894,7204.4497,7423.4785,7573.461,7581.697,7574.075,7486.164,7636.272,7718.3896,7767.9263,7821.2744,7546.8223,7653.8213,7615.148,7493.059,7483.5464,7545.011,7521.1655,7586.493,7614.6465,7591.3037,7536.8564,7476.7314,7354.307,7485.694,7700.7617,7630.044,7662.8267,7616.8643,7593.437,7370.335,7349.9067,7352.936,7348.6597,7350.1597,7379.3877,7483.832,7507.0737,7342.686,7354.2793,7362.6274
17,mated_ff,dm_R57C10xGC6s_181214d,sucrose,200mM,05,dm_R57C10xGC6s_181214d_05_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,2754.717,2879.377,3148.4731,3581.1685,3591.0352,3658.9312,3414.1465,3704.5056,3483.9482,3237.9202,3585.6418,3966.912,3727.8208,3669.013,3704.0542,3899.0874,4114.16,3903.8481,3948.5605,3827.106,3731.7944,3575.1538,3716.0464,3442.3718,3237.687,3343.3286,3610.5125,3530.8994,3361.4714,3676.4062,3913.3142,3969.452,3759.116,3381.426,3614.3171,3720.192,3585.1736,3681.817,3929.9548,3834.5564,3952.3374,3822.601,3876.5676,3771.6921,3545.6672,3832.9207,4056.722,3917.803,3935.1362,3718.3083,3359.2466,3251.5542,3055.41,3585.558,3296.12,3225.4714,3441.8936,3371.2112,3630.9163,3286.2588
18,mated_ff,dm_R57C10xGC6s_181214d,sucrose,200mM,05,dm_R57C10xGC6s_181214d_05_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,3723.0603,4059.3396,4021.2703,4123.6777,4075.5488,4064.5269,4119.5415,4012.4866,4020.8394,3952.217,4247.8726,4291.8364,4200.0337,4121.099,4041.743,4126.5376,4236.5723,4196.8965,4190.6826,4097.0186,4275.2305,4140.44,4147.842,4132.866,4135.302,4123.7236,4026.9243,4143.747,4161.957,3979.618,4209.0474,4103.828,4024.2148,3969.5657,3952.499,3945.3162,3985.133,4050.7786,4068.852,4003.3945,4004.069,3976.5437,3867.9573,3858.8174,3969.8445,3993.589,4157.375,4119.8555,4137.9487,3962.3083,3923.68,3954.9492,3946.2378,3871.1362,3930.0898,3976.5916,3893.3044,3969.3677,3882.5222,3905.2676
19,mated_ff,dm_R57C10xGC6s_181214d,sucrose,200mM,05,dm_R57C10xGC6s_181214d_05_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,4444.619,4572.199,4749.229,5057.523,4987.9263,4997.9546,5006.8237,4868.8574,4853.756,4775.577,4789.6304,4832.6396,4806.2764,4873.085,4898.8813,4675.475,4991.011,5219.4863,5218.6357,5166.3745,4881.6206,4989.2915,5125.615,4986.7607,4884.843,4914.3413,5054.6553,4922.482,4917.239,5195.688,5047.6514,5347.664,5069.7905,4917.428,5042.764,4935.8403,4997.2563,4972.265,5064.5117,5143.6216,5215.2837,4977.5005,4859.84,4965.5596,5069.8145,5177.828,5444.1743,5249.8423,5271.6675,5183.0938,4930.2905,5164.499,4925.804,4875.9277,4826.847,4925.067,4957.2593,4904.6353,5076.055,4967.663
20,mated_ff,dm_R57C10xGC6s_181214d,sucrose,200mM,05,dm_R57C10xGC6s_181214d_05_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,2990.3325,3285.7651,3396.7498,3619.3445,3418.7725,3455.0159,3460.484,3296.0088,3248.4004,3243.547,3490.1287,3480.2188,3415.9214,3185.0635,3165.2666,3337.9756,3429.9644,3267.5574,3271.9585,3318.671,3375.1594,3262.9863,3271.169,3244.2305,3185.4211,3213.607,3181.395,3329.9182,3335.8027,3205.0796,3300.204,3287.9148,3169.3816,3102.7803,3091.4292,3081.0083,3155.4714,3302.3171,3268.555,3220.4749,3257.1477,3247.59,3116.8604,3122.2163,3127.9126,3111.639,3308.355,3337.3594,3302.4902,3143.4373,3182.0452,3146.3125,3061.0835,3056.2036,3152.8896,3244.8064,3181.7954,3239.1946,3096.759,3044.2896
21,mated_ff,dm_R57C10xGC6s_181214d,sucrose,200mM,05,dm_R57C10xGC6s_181214d_05_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,2895.5017,3248.1729,3318.6006,3437.053,3429.0308,3337.5222,3355.2183,3174.2832,3133.6487,3136.3428,3407.038,3454.759,3346.0898,3166.9863,3064.5066,3213.8972,3262.7136,3235.1694,3228.732,3146.509,3309.4126,3158.7644,3114.8872,3058.3984,3154.2825,3105.2893,3011.3467,3111.3257,3145.2644,3095.6152,3184.5962,3159.2922,3053.7766,2985.669,2963.9182,2962.2383,3021.5278,3176.767,3112.7397,3036.8577,3081.8152,3061.4272,2947.1897,2917.8452,2966.7998,2925.5027,3105.0647,3176.8586,3176.1755,2987.0676,2962.2625,2946.8435,2943.8718,2911.2693,3000.7886,3161.178,3052.907,3058.3533,2941.105,2958.0852
22,mated_ff,dm_R57C10xGC6s_181214d,sucrose,200mM,05,dm_R57C10xGC6s_181214d_05_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,2264.2627,2332.0994,2322.6907,2378.0698,2366.1416,2375.0183,2384.0515,2330.5571,2338.0227,2332.6614,2442.6836,2420.995,2443.5425,2387.075,2384.9946,2433.717,2466.7622,2440.1877,2440.7388,2378.1355,2445.2578,2398.2837,2389.043,2380.9968,2406.4937,2399.0957,2390.7666,2408.5679,2386.2102,2363.975,2426.2861,2412.9233,2388.9277,2338.8328,2351.5837,2347.7468,2321.8955,2372.7385,2380.0347,2371.1655,2355.7751,2330.1094,2328.956,2317.7246,2342.8264,2349.8025,2390.2798,2396.079,2394.0835,2331.323,2316.0789,2329.0408,2314.9253,2304.1187,2304.3018,2347.9924,2307.1912,2351.0796,2312.2898,2327.9385
23,mated_ff,dm_R57C10xGC6s_181214d,sucrose,200mM,05,dm_R57C10xGC6s_181214d_05_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,4237.7793,4471.022,4397.273,4439.3687,4336.894,4366.982,4385.6626,4333.0337,4395.228,4380.1035,4440.8813,4573.3174,4508.928,4354.7974,4281.11,4341.323,4477.948,4426.4756,4490.297,4483.014,4587.6953,4442.374,4506.9946,4527.3105,4498.4883,4445.7705,4429.1914,4507.9937,4495.176,4425.6807,4506.856,4448.4,4545.87,4503.8457,4412.5933,4583.5537,4473.9106,4500.75,4456.3594,4456.6665,4389.2285,4386.6255,4362.4443,4483.554,4444.929,4343.1904,4449.1094,4494.7983,4446.8496,4256.714,4373.5254,4413.3486,4326.1924,4318.4453,4303.4097,4447.3594,4465.5,4450.6895,4529.7334,4480.717
24,mated_ff,dm_R57C10xGC6s_181214d,sucrose,200mM,05,dm_R57C10xGC6s_181214d_05_sucrose_200mM_SEZ_volreg_transformed_gauss.nii,11245.996,11181.506,11264.634,11560.566,10861.223,11477.254,10756.935,10538.328,11085.243,10470.616,10428.28,9949.082,10109.425,10354.773,10294.145,9863.662,10165.343,10914.974,11319.496,11520.692,10635.118,11112.267,11393.619,11147.135,11137.809,11471.947,11994.329,12318.363,12246.737,12943.496,11363.24,11423.01,11643.191,11137.7295,11036.663,11086.898,11042.981,11249.153,10692.447,10888.032,11100.8,11382.446,10547.033,10846.895,11265.124,11145.13,11624.021,11558.593,11052.573,11904.663,10947.783,11262.859,11089.419,10767.382,11128.812,11032.077,11159.754,10998.823,11756.102,11401.481
