region,state,fly,stimulus,concentration,stimulus_nr,recording,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1,virgin_10d_sucrose,dm_R57C10xGC6s_190307a,nostim,NA,01,dm_R57C10xGC6s_190307a_01_nostim_volreg_transfor_gauss.nii,5090.3936,5495.9224,5627.2954,5706.9517,5691.8765,5760.2993,5550.257,5741.398,5877.7354,5834.244,5822.8594,5303.764,5439.62,5515.7114,5477.0596,5246.172,5226.5073,5249.168,5368.9673,5463.5107,5503.6167,5555.3623,5549.7466,5566.4326,5548.517,5321.9243,5623.683,5757.082,5755.4204,5804.1733,5736.3643,5090.397,5636.252,6052.496,6337.68,6154.188,6100.689,5684.346,5902.0625,5843.6426,5973.7705,5811.2197,5772.7183,5820.4463,5632.12,5826.5703,5544.433,5679.939,5725.8647,5515.97,5490.8657,5568.585,5698.6455,5499.6562,5248.1245,5175.4346,5539.802,5555.142,5591.1494,5572.8467
2,virgin_10d_sucrose,dm_R57C10xGC6s_190307a,nostim,NA,01,dm_R57C10xGC6s_190307a_01_nostim_volreg_transfor_gauss.nii,3812.3962,4117.1772,4301.1143,4257.249,4359.993,4223.3345,4022.5498,4076.2063,4144.8657,4174.573,3884.2332,2909.0938,2958.7778,2746.2844,2826.5205,2785.2637,2784.4294,2698.0393,2830.028,2741.2048,2729.7756,2829.8555,2821.76,2741.3643,2823.2546,2933.1616,2743.9033,2865.5076,2868.364,2823.5583,2805.13,2778.5686,2853.5193,2821.3945,2992.5068,3025.4045,3002.2754,2896.9504,3029.2554,3061.1582,2929.3652,2995.222,2967.0242,2926.393,2865.009,2879.2446,2870.3843,2974.7334,2840.9602,2856.0767,2787.7039,2887.6455,2886.8643,2854.0781,2893.4465,2802.6245,2951.3389,2818.0308,2834.621,2879.9165
3,virgin_10d_sucrose,dm_R57C10xGC6s_190307a,nostim,NA,01,dm_R57C10xGC6s_190307a_01_nostim_volreg_transfor_gauss.nii,8730.407,7918.7295,7964.055,7600.404,7661.1245,7534.3804,7313.591,6831.6567,7746.992,7761.2744,7602.939,7225.9917,6827.34,6881.8716,7008.4385,7690.6646,6870.0767,6633.544,6982.6533,7062.7407,6522.289,6627.612,6701.686,6630.2373,7146.2603,6606.537,6787.661,6768.686,7084.78,6716.9,7161.7974,6516.171,5422.905,7193.087,7641.0923,7365.2026,7182.1313,6825.7397,7260.064,6931.4155,7396.834,6391.624,7000.7534,7242.1177,7053.289,6553.402,7273.714,7749.086,7233.5547,6894.6772,6975.354,7722.5874,7001.5127,7114.017,7151.126,6560.2627,6777.16,6806.7227,7084.235,7100.435
4,virgin_10d_sucrose,dm_R57C10xGC6s_190307a,nostim,NA,01,dm_R57C10xGC6s_190307a_01_nostim_volreg_transfor_gauss.nii,5726.4707,5788.3867,5737.5845,5885.7344,5825.667,5891.0586,5744.1396,5685.431,5914.216,5783.9365,6081.6646,5969.1636,4431.6445,4826.7705,4975.961,4881.69,4768.515,4514.542,5298.2314,5526.702,5506.0654,5193.239,5063.8496,5304.92,5431.0337,5281.818,4111.536,5578.8076,5447.7876,5415.063,5429.1143,5412.629,5317.3916,5685.8438,5889.762,5931.147,5791.984,5625.1562,5692.635,5597.2046,5635.224,5655.844,5623.668,5524.747,5513.8447,5392.2036,5165.731,5764.3735,5314.4375,5308.8677,5568.178,5289.9536,5375.116,5471.2017,5516.0083,5349.5244,5498.067,5468.794,5692.631,5796.099
5,virgin_10d_sucrose,dm_R57C10xGC6s_190307a,nostim,NA,01,dm_R57C10xGC6s_190307a_01_nostim_volreg_transfor_gauss.nii,8154.0874,8202.046,8238.562,8220.449,8218.926,8218.455,7707.5186,8184.812,8175.8716,8277.738,7814.9624,6493.444,5509.399,5911.551,5670.569,5634.6567,5901.814,6124.5093,6590.026,6535.516,6546.05,6589.805,6745.5244,6828.515,6686.632,6229.7646,6495.756,7126.633,7088.5283,7253.6343,6825.646,6884.5747,7311.897,7641.5884,7686.4824,7656.8145,7728.0283,7467.619,7502.9424,7394.312,7464.2417,7475.953,7336.7646,7376.8423,7187.762,7189.325,6962.5176,7249.4375,6834.304,7398.4746,6731.7773,7123.935,7101.572,7183.253,6979.9814,7153.3623,7156.255,6990.5605,7283.0713,7228.8364
6,virgin_10d_sucrose,dm_R57C10xGC6s_190307a,nostim,NA,01,dm_R57C10xGC6s_190307a_01_nostim_volreg_transfor_gauss.nii,6591.7993,7090.407,7012.618,7167.162,6790.6826,7241.9683,6900.671,7229.6807,7623.5376,7426.205,7015.9746,5916.7446,4827.596,5137.571,5051.2607,4780.1895,5187.1265,4956.8325,5387.2456,5517.5615,5590.43,5683.992,5582.3584,5852.8896,5820.403,4980.1655,5343.469,5847.4253,6116.016,6176.842,6317.1685,5662.6724,5780.8706,6201.6416,6269.052,6402.9526,6571.6333,6368.2236,6740.6323,6742.141,6380.4316,6134.487,6245.406,6162.7344,5993.198,6025.1406,5844.25,6307.787,6075.257,5958.559,5884.591,5955.0864,5915.3735,6029.2925,6152.7583,5832.041,5995.893,5935.8813,6033.045,6248.3364
7,virgin_10d_sucrose,dm_R57C10xGC6s_190307a,nostim,NA,01,dm_R57C10xGC6s_190307a_01_nostim_volreg_transfor_gauss.nii,4268.652,4477.8516,4634.428,4769.1875,4677.05,4694.356,4771.581,4721.519,5011.718,4896.7656,4903.135,4247.457,3888.6528,4108.937,4082.8264,3946.3862,3804.0647,3727.1384,4036.3135,4088.5347,4022.0574,4010.438,4086.0642,4283.117,4215.419,3957.5925,3850.53,4265.4033,4334.2017,4373.2915,4395.08,4268.803,4253.271,4510.563,4571.0522,4646.659,4642.671,4558.17,4557.1787,4697.197,4556.6816,4454.6343,4403.858,4483.335,4272.825,4360.856,4204.498,4411.9263,4232.441,4195.2305,4338.1865,4269.445,4295.6255,4344.102,4400.7075,4212.5596,4244.4297,4297.785,4430.4556,4398.713
8,virgin_10d_sucrose,dm_R57C10xGC6s_190307a,nostim,NA,01,dm_R57C10xGC6s_190307a_01_nostim_volreg_transfor_gauss.nii,5230.5947,5451.3916,5350.7686,5470.401,5588.9404,5606.4355,5535.218,5580.343,5735.1055,5558.918,5622.844,5469.2886,5820.7563,5793.486,5796.2983,5676.9897,5660.073,5725.6724,5754.3057,5759.596,5759.789,5739.9126,5608.762,5690.3228,5823.7686,5850.478,5737.654,5753.69,5808.206,5813.1567,5666.379,5033.8335,5598.3774,5817.106,5907.3896,5844.6685,5882.052,5770.4927,5932.0073,5702.8784,5776.335,5751.3145,5753.6157,5710.3916,5663.3438,5691.839,5443.289,5765.848,5535.0684,5419.97,5548.952,5611.3047,5654.093,5571.2686,5535.4443,5486.638,5497.367,5609.358,5561.961,5754.134
9,virgin_10d_sucrose,dm_R57C10xGC6s_190307a,nostim,NA,01,dm_R57C10xGC6s_190307a_01_nostim_volreg_transfor_gauss.nii,4698.246,5195.6646,5565.102,5624.6343,5529.5117,5662.687,5638.6445,5847.003,5841.849,5593.0938,4820.4287,3572.6467,3322.1895,3259.882,3142.2944,3185.0474,3377.0327,3301.63,3465.4272,3446.372,3414.974,3561.304,3464.4563,3546.8308,3500.8604,3460.4233,3569.7073,3679.271,3683.0886,3772.5378,3725.9802,3498.5156,3674.9187,3781.0972,4056.7163,4269.3506,4128.603,3843.833,4026.969,4067.339,3956.0232,3912.9727,3806.233,3888.5747,3762.691,3825.1768,3651.5723,3863.996,3725.0496,3720.177,3653.2393,3651.7014,3683.955,3682.4507,3725.9805,3479.1838,3713.9023,3536.0237,3643.1025,3708.8933
10,virgin_10d_sucrose,dm_R57C10xGC6s_190307a,nostim,NA,01,dm_R57C10xGC6s_190307a_01_nostim_volreg_transfor_gauss.nii,6311.707,6092.7056,5983.175,6595.988,6399.014,6795.9585,6412.6694,6990.772,7104.121,7293.668,6731.2393,5331.7065,4359.7305,4673.5444,4399.486,4475.823,4966.874,5091.1943,5688.6523,5733.7505,5728.807,5926.3677,5416.438,5909.5894,5972.964,5387.222,5673.9766,6191.6675,6401.913,6520.9355,6233.5166,5454.1123,6244.2354,6466.631,6629.552,6773.958,6812.3384,6719.565,6846.173,6585.885,6618.3354,6674.1743,6583.8564,6716.37,6387.575,6354.359,6095.5093,6691.0757,6369.799,6086.7354,6262.0933,6372.7285,6487.3545,6540.2954,6263.2095,5632.765,6424.966,6380.565,6529.4404,6438.148
