region,state,fly,stimulus,concentration,stimulus_nr,recording,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1,virgin_10d_sucrose,dm_R57C10xGC6s_190311a,sucrose,200mM,05,dm_R57C10xGC6s_190311a_05_sucrose_200mM_SEZ_volreg_transfor_gauss.nii,5776.1963,6166.817,6968.1807,6980.293,6602.153,6378.763,6190.6416,6394.2583,6454.3853,6491.378,6393.773,6164.339,6199.7607,6152.1157,6188.5693,6014.115,6146.996,6358.6274,6324.6953,6145.999,5822.4624,5759.089,5812.38,6054.4624,6224.7915,6211.6187,6058.1074,5849.7705,5746.1123,5741.204,5792.9175,6280.4014,6341.367,6249.428,5918.9434,5783.7764,5664.0845,5738.9717,5544.6904,5494.3057,5442.001,5579.1177,5591.137,5489.0015,5436.177,5375.0317,5321.8813,5388.497,5883.828,6334.684,6250.158,5883.798,5702.641,5444.101,5603.534,5853.3735,5905.7295,5898.5327,5562.7383,5544.1733
2,virgin_10d_sucrose,dm_R57C10xGC6s_190311a,sucrose,200mM,05,dm_R57C10xGC6s_190311a_05_sucrose_200mM_SEZ_volreg_transfor_gauss.nii,3148.4873,3226.2725,3406.4255,3395.8013,3261.7178,3205.8987,3232.2986,3289.6123,3388.9482,3352.952,3302.7542,3200.588,3303.0286,3273.1064,3327.4758,3281.551,3275.3152,3410.054,3328.0706,3328.5393,3295.0312,3250.4321,3299.8477,3336.1118,3431.945,3354.374,3268.469,3243.9392,3206.8591,3251.5796,3120.3013,3272.2751,3220.832,3192.0098,3154.9016,3205.6,3214.8042,3238.6226,3168.101,3131.5195,3146.4575,3206.9404,3146.0974,3117.6575,3124.7485,3113.959,3135.0723,3228.22,3258.4216,3309.6855,3155.8193,3137.8406,3159.6492,3146.9473,3103.8123,3223.5725,3110.3262,3143.759,3105.887,3086.2427
3,virgin_10d_sucrose,dm_R57C10xGC6s_190311a,sucrose,200mM,05,dm_R57C10xGC6s_190311a_05_sucrose_200mM_SEZ_volreg_transfor_gauss.nii,6753.9478,6670.831,6566.988,6494.122,6161.6704,6141.485,6329.298,6321.378,5886.816,6041.792,6132.713,5468.556,6522.861,6353.4307,7066.8135,6586.841,6862.6064,6249.7407,6678.78,6680.7153,6697.305,6096.7056,6086.6436,6438.9106,6229.81,6154.577,6067.8945,5836.9893,5700.5923,5782.8022,5642.7363,6021.9067,6169.139,6048.037,5760.024,5981.6255,5958.718,5958.772,5846.557,6025.4614,6030.99,6068.318,6046.648,5893.3677,5829.3066,6403.973,6392.0757,6232.3047,6173.376,5917.985,6009.126,5469.9976,5671.235,5797.0303,5722.6514,5880.488,5731.6978,5769.21,5891.6016,5767.977
4,virgin_10d_sucrose,dm_R57C10xGC6s_190311a,sucrose,200mM,05,dm_R57C10xGC6s_190311a_05_sucrose_200mM_SEZ_volreg_transfor_gauss.nii,5192.039,5234.5176,5298.9395,5275.0747,5038.5054,5001.095,5005.8794,5052.3813,5020.728,4915.1216,4964.5664,5006.011,5883.9185,6137.881,6435.213,6245.5244,6093.705,5996.8276,5768.749,6081.24,6008.8955,5451.6396,5480.73,5466.0864,5583.793,5568.065,5324.292,5175.417,5061.2983,5139.496,4949.721,5135.085,5051.707,4973.357,4858.9863,4963.195,5057.1475,5055.216,5016.641,4946.642,4977.1235,4988.6304,4950.4487,4909.9717,4989.281,5159.1387,5047.689,5177.4507,4974.413,4987.86,5016.18,4843.3,4843.1,4935.7056,4895.2437,4963.2275,4928.823,4930.8257,4796.379,4889.658
5,virgin_10d_sucrose,dm_R57C10xGC6s_190311a,sucrose,200mM,05,dm_R57C10xGC6s_190311a_05_sucrose_200mM_SEZ_volreg_transfor_gauss.nii,6468.1387,6793.8267,7160.163,7142.038,6857.4746,6747.4614,6580.3345,6822.554,6889.487,6827.794,6791.425,6843.989,7133.5264,7166.6675,7187.231,7114.9697,7266.9214,7254.868,7188.7183,7039.7983,6638.299,6408.005,6617.0522,7122.5894,7431.575,7263.5825,7237.7725,6961.504,6743.2944,6799.8696,6812.35,7193.934,6991.2563,7141.1055,6896.3203,6722.397,6601.1704,6598.432,6490.2896,6409.7056,6268.381,6405.439,6478.0547,6280.7876,6207.1064,6215.894,6150.3164,6403.881,6907.223,7014.243,6830.968,6521.3735,6390.684,6239.206,6333.336,6789.079,6689.917,6618.4336,6326.9297,6351.5825
6,virgin_10d_sucrose,dm_R57C10xGC6s_190311a,sucrose,200mM,05,dm_R57C10xGC6s_190311a_05_sucrose_200mM_SEZ_volreg_transfor_gauss.nii,5419.5234,5966.0967,6135.997,6340.616,6226.516,6140.056,6015.026,6114.9062,6203.614,6309.748,6285.866,5958.4824,6517.6216,6374.9277,6409.7515,6407.9565,6445.036,6397.0625,6510.1523,6188.567,5830.634,5881.9253,5902.116,6138.6924,6397.922,6548.082,6196.8027,6135.3955,5893.1885,6035.421,5823.3574,6192.986,6183.667,6180.2437,5886.6504,5918.728,5744.6025,5800.917,5813.2188,5572.5444,5567.518,5676.4253,5819.8022,5656.56,5615.732,5449.2437,5695.15,5685.7285,6099.606,6340.729,6174.1006,5892.6553,5733.005,5704.6377,5695.669,5907.5513,5953.9355,6010.853,5479.097,5679.268
7,virgin_10d_sucrose,dm_R57C10xGC6s_190311a,sucrose,200mM,05,dm_R57C10xGC6s_190311a_05_sucrose_200mM_SEZ_volreg_transfor_gauss.nii,4751.4053,5097.39,5335.0044,5486.816,5166.707,5181.574,5144.251,5251.9263,5235.6,5306.393,5242.1885,5098.8022,5156.0786,5081.6396,5286.764,5146.4863,5162.773,5286.4263,5256.024,5185.594,4951.0317,4947.9863,4982.5366,5131.1914,5264.3906,5237.4346,5163.3926,5104.762,4985.422,5062.07,5032.64,5235.1685,5222.9224,5232.0176,5102.374,5046.361,4946.2236,5005.702,4924.2373,4903.7295,4851.28,4962.9736,4940.7383,4863.8936,4823.9834,4751.309,4826.412,4862.673,5135.706,5318.538,5239.477,5027.232,4963.5635,4833.2896,4803.7256,5071.852,5041.662,5054.343,4806.299,4801.476
8,virgin_10d_sucrose,dm_R57C10xGC6s_190311a,sucrose,200mM,05,dm_R57C10xGC6s_190311a_05_sucrose_200mM_SEZ_volreg_transfor_gauss.nii,6383.1963,6629.8276,6998.8813,6887.0273,6706.0776,6698.1353,6659.3833,6735.4346,6661.845,6599.494,6688.37,6543.6416,6616.4624,6547.4287,6530.6787,6559.9,6441.4795,6511.7163,6488.556,6509.859,6255.186,6303.761,6322.0835,6571.2954,6605.716,6426.644,6507.282,6437.2656,6332.204,6398.357,6324.2925,6574.676,6549.677,6380.3423,6414.2856,6457.433,6383.897,6473.742,6360.4478,6349.4844,6367.1763,6497.4927,6533.046,6459.882,6446.0166,6351.977,6330.4727,6176.2153,6623.9263,6501.718,6591.8003,6532.328,6489.018,6291.1465,6352.246,6325.8154,6438.883,6539.935,6368.804,6257.0747
9,virgin_10d_sucrose,dm_R57C10xGC6s_190311a,sucrose,200mM,05,dm_R57C10xGC6s_190311a_05_sucrose_200mM_SEZ_volreg_transfor_gauss.nii,3739.2524,4063.8105,4403.966,4307.325,4067.4229,4017.3376,3974.6648,4182.7334,4384.133,4188.9424,4072.6611,4150.4004,4539.0737,4773.083,4851.5054,4585.543,4724.5083,4670.7944,4437.583,4275.762,4117.751,3930.6428,4080.8296,4688.673,5046.855,4774.4062,4537.8096,4228.267,4089.3142,4118.9126,4136.724,4553.676,4387.7476,4296.1606,4037.557,3956.152,3835.7896,3872.4507,3759.684,3746.723,3720.979,3790.3396,3737.4417,3620.4421,3630.4773,3644.0706,3661.8584,3735.8174,4035.3582,4124.552,3907.344,3770.5317,3711.976,3701.758,3756.2573,4013.9832,3831.2734,3816.818,3712.8484,3764.793
10,virgin_10d_sucrose,dm_R57C10xGC6s_190311a,sucrose,200mM,05,dm_R57C10xGC6s_190311a_05_sucrose_200mM_SEZ_volreg_transfor_gauss.nii,3842.9553,3935.9543,4136.2656,4139.346,3952.2266,3954.543,3999.506,4122.4126,4089.3066,4028.391,4049.1208,4083.77,4346.756,4406.4004,4500.6816,4339.579,4169.4927,4082.7905,4001.3225,4110.55,3925.6804,3756.7605,3935.2825,4309.4043,4429.461,4234.431,4187.9175,4025.8975,3908.4976,3983.1667,3995.276,4105.6777,3971.9321,3968.727,3881.2058,3992.7354,3893.393,3903.124,3759.9966,3758.823,3732.6975,3826.4011,3813.548,3696.9185,3678.4648,3697.6482,3701.7927,3655.551,3805.7063,3722.046,3753.163,3717.8367,3701.1897,3659.334,3649.0903,3761.0227,3824.4993,3819.403,3797.314,3718.384
