region,state,fly,stimulus,concentration,stimulus_nr,recording,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1,virgin_10d_sucrose,dm_R57C10xGC6s_190426a,nostim,NA,02,dm_R57C10xGC6s_190426a_02_nostim_SEZ_volreg_transfor_gauss.nii,6388.772,7017.01,6656.333,6805.4946,6832.321,6852.9556,6843.732,7061.4062,7025.7144,7024.1016,7051.5713,7161.2646,7005.989,6840.883,7025.4355,7008.0645,7105.601,7106.59,7050.529,6970.797,6960.616,6910.272,7134.863,6970.6655,7049.8027,6951.357,7053.7896,6894.975,6949.017,6935.971,7184.129,6813.237,7063.865,7028.588,6999.2866,7217.903,6917.852,6849.6484,6763.2075,7068.208,7098.876,7005.248,6866.5527,7021.1963,6991.031,6922.9824,6918.3877,7013.042,7109.375,6974.699,6782.151,6039.5303,6959.1113,7017.849,6837.8354,6763.5303,6991.4097,7188.9956,6984.528,7109.039
2,virgin_10d_sucrose,dm_R57C10xGC6s_190426a,nostim,NA,02,dm_R57C10xGC6s_190426a_02_nostim_SEZ_volreg_transfor_gauss.nii,3190.4888,3503.6306,3094.596,3275.791,3263.7234,2990.8208,3370.5747,3356.7717,3420.1125,3321.934,3342.0342,3397.4753,3403.5928,3360.5405,3409.2075,3443.51,3580.519,3441.8398,3460.1736,3453.3088,3433.4023,3314.9006,3379.7698,3326.6677,3494.2961,3354.3599,3511.8188,3403.803,3398.5737,3356.912,3350.222,3546.299,3413.1616,3520.2844,3387.1956,3514.4497,3453.5925,3461.2266,3287.474,3492.1978,3429.912,3459.2227,3417.5315,3550.9802,3391.0193,3453.5608,3474.8323,3558.6084,3434.81,3487.7168,3614.276,3162.451,3371.6497,3444.3186,3439.7917,3336.5989,3439.101,3519.9902,3404.0508,3486.955
3,virgin_10d_sucrose,dm_R57C10xGC6s_190426a,nostim,NA,02,dm_R57C10xGC6s_190426a_02_nostim_SEZ_volreg_transfor_gauss.nii,6368.3267,7118.349,6076.8213,6418.1353,6097.058,6139.308,6473.2734,6926.5767,6644.0703,6576.9253,6742.753,6459.012,6902.0938,6846.2866,7016.963,6705.356,6282.3696,6677.7046,6699.715,7121.2896,6545.2993,6532.147,7085.187,6945.6216,6742.7144,6586.772,6732.18,6424.347,6801.5615,6603.8223,6829.422,6695.726,6979.2026,6836.2104,6428.194,7097.2354,7281.2925,7048.862,6943.305,6671.5796,7090.249,6848.37,6799.512,6816.044,6581.549,6925.227,6930.415,7364.3086,6525.681,6766.149,6997.376,5893.1147,6900.257,6672.6836,6633.1123,6210.053,6769.0283,7513.2983,6410.3135,6822.758
4,virgin_10d_sucrose,dm_R57C10xGC6s_190426a,nostim,NA,02,dm_R57C10xGC6s_190426a_02_nostim_SEZ_volreg_transfor_gauss.nii,6746.276,6745.32,6184.1973,6303.76,6501.8086,6181.5244,6689.8267,6992.31,6719.1826,6553.9307,6645.988,6814.1953,7058.3315,6512.0864,6778.8003,6714.6567,7108.766,6841.722,6756.5176,6564.0303,6868.849,6817.1875,6770.2847,6567.2295,6865.081,6987.791,6839.1943,6765.2905,6618.1426,6642.767,6709.48,6845.3926,6705.3604,6741.551,7082.5713,6942.2417,6730.1455,6577.5454,6756.6245,6810.0093,6649.912,6517.9253,6812.9756,6780.9116,6767.8965,6804.493,7090.172,6654.1245,6712.2393,6774.612,6818.7065,6088.483,6967.0127,6893.224,6705.957,6631.8213,6681.909,6778.0537,6810.1523,6849.807
5,virgin_10d_sucrose,dm_R57C10xGC6s_190426a,nostim,NA,02,dm_R57C10xGC6s_190426a_02_nostim_SEZ_volreg_transfor_gauss.nii,8886.754,9659.67,9125.352,9399.544,9255.606,9165.307,9595.521,9515.24,9697.169,9487.633,9514.657,9662.899,9748.793,9282.625,9638.472,9494.262,9773.962,9517.704,9526.7705,9392.667,9484.167,9414.399,9589.178,9546.327,9566.706,9605.36,9534.182,9407.934,9502.506,9479.895,9581.277,9174.15,9532.041,9530.011,9483.434,9590.601,9435.709,9452.395,9328.949,9444.469,9446.281,9366.924,9447.261,9533.959,9399.109,9285.884,9565.253,9360.056,9363.99,9408.423,9440.651,8814.429,9572.098,9437.676,9409.855,9181.164,9413.649,9447.028,9449.29,9368.843
6,virgin_10d_sucrose,dm_R57C10xGC6s_190426a,nostim,NA,02,dm_R57C10xGC6s_190426a_02_nostim_SEZ_volreg_transfor_gauss.nii,9507.797,10147.186,9428.469,9638.561,10058.226,9468.19,9928.415,9704.343,10081.06,10193.861,9909.532,10085.281,9856.49,9444.436,9938.153,9935.538,9887.879,9832.751,9881.696,10175.997,9682.64,9694.911,9939.5,9946.356,10071.747,9704.324,9531.353,9893.897,9983.839,9613.501,9856.65,9772.295,9809.884,10047.063,9910.641,10092.713,9803.241,9648.719,9564.166,10207.203,9725.413,9905.823,9835.432,9998.083,9983.921,9805.051,9957.362,9735.771,9826.805,9694.208,9827.51,8884.754,9953.046,10057.553,9568.161,9413.825,9838.986,9884.13,9694.669,9919.87
7,virgin_10d_sucrose,dm_R57C10xGC6s_190426a,nostim,NA,02,dm_R57C10xGC6s_190426a_02_nostim_SEZ_volreg_transfor_gauss.nii,6119.658,6919.0522,6546.368,6911.859,6855.847,6780.004,6453.5356,6990.15,6812.557,6635.3164,6583.972,6800.2812,6980.9185,6693.022,6672.696,6851.285,6973.2173,6786.2007,6711.0317,6654.0728,6849.1763,6861.097,6821.425,6603.7954,7023.2935,6697.785,6987.412,6524.631,6704.8696,6662.4204,6756.923,6523.295,6902.288,6822.2744,6776.6123,6991.711,6803.8823,6698.622,6559.7866,6787.6187,6644.2817,6726.203,6699.125,6739.462,6617.571,6646.818,6816.643,6734.883,6619.457,6673.975,6682.1855,5987.809,6685.4883,6850.2173,6477.7544,6639.2744,6726.278,6866.094,6769.356,6806.1997
8,virgin_10d_sucrose,dm_R57C10xGC6s_190426a,nostim,NA,02,dm_R57C10xGC6s_190426a_02_nostim_SEZ_volreg_transfor_gauss.nii,5173.6655,5673.311,5310.677,5239.4155,5342.973,5350.3843,5414.227,5569.807,5421.383,5477.1216,5474.993,5532.805,5549.538,5353.5723,5540.768,5617.572,5565.0566,5350.04,5575.812,5420.9463,5592.1606,5597.327,5453.9497,5449.827,5644.463,5476.759,5618.4424,5458.4595,5529.0586,5430.0483,5651.7305,5554.458,5582.441,5613.1987,5660.728,5712.885,5414.3135,5517.3193,5526.615,5610.9463,5336.5146,5565.3,5703.507,5577.7896,5611.4834,5643.159,5447.507,5400.4375,5524.135,5658.168,5502.1855,4917.4385,5686.6177,5621.019,5485.0635,5188.6113,5610.616,5661.7227,5738.333,5728.675
9,virgin_10d_sucrose,dm_R57C10xGC6s_190426a,nostim,NA,02,dm_R57C10xGC6s_190426a_02_nostim_SEZ_volreg_transfor_gauss.nii,3953.3223,4367.586,4100.5674,4228.6836,4155.5874,3881.339,4128.383,4099.1045,4298.0854,4222.574,4151.29,4288.695,4174.699,3969.0344,4332.019,4257.7466,4445.3765,4243.647,4249.9067,4252.848,4233.374,4166.0513,4311.0996,4172.0884,4324.345,4137.593,4230.737,4217.987,4219.2417,4175.8774,4264.8037,4320.8813,4238.8037,4299.2046,4235.5825,4326.02,4280.747,4155.5767,4045.0015,4305.554,4296.4785,4246.119,4216.925,4266.2485,4239.743,4257.724,4234.9663,4289.8774,4185.9297,4223.4233,4286.567,3824.8967,4233.9673,4288.2646,4239.3564,4121.439,4265.976,4289.374,4176.4795,4222.9546
10,virgin_10d_sucrose,dm_R57C10xGC6s_190426a,nostim,NA,02,dm_R57C10xGC6s_190426a_02_nostim_SEZ_volreg_transfor_gauss.nii,5350.9473,5715.2744,5247.5215,5523.0273,5550.721,5671.463,5133.7817,5465.618,5730.7954,5429.6074,5630.8076,5512.978,5507.274,5419.722,5804.399,5437.0913,5538.5903,5482.786,5488.961,5554.514,5702.233,5564.1274,5272.5254,5214.2017,5431.146,5650.05,5638.481,5357.481,5408.4507,5567.937,5824.873,5831.5244,5448.504,5459.799,5584.9478,5643.1426,5658.3296,5314.371,5382.329,5633.0127,5382.624,5401.0513,5531.6187,5665.7607,5803.167,5869.923,5455.9097,5332.832,5360.186,5620.9,5907.783,4935.4517,5564.053,5685.2036,5887.1963,5387.769,5497.4053,5496.055,5643.949,6063.0127
