region,state,fly,stimulus,concentration,stimulus_nr,recording,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1,virgin_10d_sucrose,dm_R57C10xGC6s_190429a,h2o,NA,03,dm_R57C10xGC6s_190429a_03_h2o_SEZ_volreg_transfor_gauss.nii,6064.433,6796.055,6613.6562,6345.806,6547.773,6679.8545,6482.1685,6497.05,6600.471,6633.5537,6958.15,6781.203,6630.5845,6272.8193,6402.642,6526.9106,6475.5244,6334.472,6330.888,6254.225,6756.1777,6371.547,6464.321,6314.7134,6574.035,6577.707,6683.302,6832.8853,6757.216,6661.898,6713.245,6523.283,6370.911,6416.4976,6366.663,6172.351,6317.634,6064.197,6288.5913,6401.7705,6433.462,6361.258,6057.467,6283.7266,6080.2627,6272.7637,6489.608,6241.63,6310.5596,6362.3774,6305.3345,6416.1543,6354.3315,6467.1196,6233.8696,6489.1626,6461.572,6695.5117,6785.082,6503.657
2,virgin_10d_sucrose,dm_R57C10xGC6s_190429a,h2o,NA,03,dm_R57C10xGC6s_190429a_03_h2o_SEZ_volreg_transfor_gauss.nii,3099.6143,3324.8687,3208.3098,3163.5977,3168.7634,3191.0242,3299.2642,3339.8213,3360.7476,3385.9038,3488.4749,3402.05,3348.8083,3245.862,3363.3625,3357.4592,3346.2866,3261.516,3215.2473,3394.2012,3408.113,3303.4355,3369.5115,3366.1033,3379.077,3448.6895,3600.3064,3466.0393,3460.9028,3460.9475,3490.2085,3397.9255,3233.1416,3296.6384,3343.756,3298.3396,3310.256,3207.013,3157.6133,3222.6091,3241.669,3118.7354,3247.6719,3087.5183,3147.701,3281.5376,3259.4956,3339.8606,3287.1328,3316.2444,3234.4553,3260.7869,3314.3499,3280.9028,3220.3472,3242.255,3290.099,3369.342,3359.7332,3143.659
3,virgin_10d_sucrose,dm_R57C10xGC6s_190429a,h2o,NA,03,dm_R57C10xGC6s_190429a_03_h2o_SEZ_volreg_transfor_gauss.nii,7562.338,7942.538,7039.86,7270.3027,6842.24,7517.204,7348.5576,7492.2524,7254.065,7370.1772,7344.8037,7820.386,8262.607,8322.356,8592.325,8109.245,7426.639,7290.7036,7578.5894,7533.8994,7541.7866,7732.937,7597.1924,7143.446,6879.3647,7280.877,7623.7964,7115.7207,7020.936,7314.5015,6969.9814,7033.1846,6929.7637,7439.702,7087.545,7153.519,8073.0586,7197.4766,6634.416,7301.5684,7651.5864,7126.6064,6565.693,7476.451,6757.4175,7576.1465,7449.8,7066.029,7593.713,7349.814,6939.8564,7233.885,6998.739,7181.947,7178.064,6969.662,7242.9487,7675.7983,7315.166,7426.978
4,virgin_10d_sucrose,dm_R57C10xGC6s_190429a,h2o,NA,03,dm_R57C10xGC6s_190429a_03_h2o_SEZ_volreg_transfor_gauss.nii,7635.51,7816.9375,7353.2266,7233.832,7280.142,7648.1797,7649.86,7422.7397,7485.4775,7388.7837,7436.918,8232.878,8705.893,8423.513,8479.641,8369.952,7800.926,7525.2236,7370.6426,7097.312,7444.8716,7376.875,7653.386,7375.8306,7281.549,7386.9087,7466.9814,7505.3794,7352.8145,7366.145,7325.1016,7120.0625,6838.84,7116.997,7505.845,7228.7866,7431.9478,7182.387,7148.41,7158.0967,6960.871,6855.0303,6828.328,7063.536,6993.93,7141.9014,6999.0337,6873.47,7055.82,7031.031,7152.6396,7042.8433,6898.7515,6815.2617,6552.848,6798.496,6913.094,7018.913,7305.158,7184.769
5,virgin_10d_sucrose,dm_R57C10xGC6s_190429a,h2o,NA,03,dm_R57C10xGC6s_190429a_03_h2o_SEZ_volreg_transfor_gauss.nii,8028.3706,8669.003,8514.609,8277.373,8517.992,8483.887,8365.894,8320.987,8492.199,8538.139,9006.936,8984.115,8730.284,8606.876,8696.027,8775.781,8610.767,8361.943,8267.038,8469.898,8704.332,8517.681,8575.949,8483.064,8624.95,8813.505,8891.956,8948.55,8873.916,8826.26,8764.754,8623.721,8059.1973,8237.546,8328.513,8105.4746,8310.232,8127.5015,8115.47,8206.457,8169.8906,8058.524,7783.0464,8054.7207,8048.0605,8106.5483,8276.935,8059.659,8117.946,8289.759,8362.451,8378.012,8220.483,8322.601,7944.166,8257.77,8397.066,8463.393,8442.204,8224.742
6,virgin_10d_sucrose,dm_R57C10xGC6s_190429a,h2o,NA,03,dm_R57C10xGC6s_190429a_03_h2o_SEZ_volreg_transfor_gauss.nii,6834.0728,7523.975,7319.673,7097.475,7528.6255,7357.072,7347.0254,7446.9785,7471.328,7485.4473,8004.79,7923.432,7567.995,7529.9663,7666.1074,7535.754,7527.7847,7143.8403,7348.0015,7478.8994,7753.266,7255.872,7390.3604,7328.1523,7452.8457,7568.7827,7864.079,7781.959,7578.0415,7574.094,7586.9834,7437.2437,6947.8955,7439.5576,7324.829,7063.2603,7299.4995,7295.907,7081.382,7214.734,7128.8022,6859.244,6684.3936,7060.6533,7077.2236,7212.5537,7177.397,7074.616,7215.6436,7276.4976,7320.968,7302.3433,7249.3403,7094.7363,6861.7,7179.4824,7259.946,7461.9385,7396.0806,7053.757
7,virgin_10d_sucrose,dm_R57C10xGC6s_190429a,h2o,NA,03,dm_R57C10xGC6s_190429a_03_h2o_SEZ_volreg_transfor_gauss.nii,6185.077,6821.415,6740.5503,6558.662,6833.2227,6797.0356,6801.481,6723.3853,6907.0264,6971.281,7169.0615,7104.147,7048.249,6605.2217,6835.564,6829.2993,6884.27,6744.7314,6766.219,6846.8447,6951.05,6724.2705,6891.7397,6749.975,7016.153,6853.5854,7015.4736,7096.0933,7161.312,7028.869,7272.531,6817.719,6558.9253,6918.1714,6799.248,6578.724,6569.0005,6588.376,6602.122,6792.894,6508.6416,6603.334,6506.885,6514.1777,6467.4604,6684.895,6651.658,6614.934,6664.3335,6658.8027,6717.2476,6787.6943,6652.4233,6601.474,6481.5513,6791.434,6755.5093,6977.025,6915.2817,6602.637
8,virgin_10d_sucrose,dm_R57C10xGC6s_190429a,h2o,NA,03,dm_R57C10xGC6s_190429a_03_h2o_SEZ_volreg_transfor_gauss.nii,6478.806,7084.166,6925.1934,6817.517,6896.062,7043.78,6998.606,7005.815,7014.9165,7120.331,7249.465,7177.806,7105.366,6742.368,6927.8975,6741.526,6798.171,6816.0396,6887.758,6909.333,7216.03,6839.088,6823.682,6659.421,6670.638,6997.4062,7113.6216,7112.249,7064.8853,7068.1733,7166.104,7000.908,6804.54,6858.8984,6728.048,6801.203,6752.9546,6576.856,6781.467,6820.2837,6649.262,6790.6924,6532.289,6783.285,6654.615,6791.0615,6843.046,6774.4453,6773.847,6727.7793,6819.8804,6696.4604,6861.41,6739.069,6806.711,6697.9043,6858.0503,6930.0596,7065.38,6768.1025
9,virgin_10d_sucrose,dm_R57C10xGC6s_190429a,h2o,NA,03,dm_R57C10xGC6s_190429a_03_h2o_SEZ_volreg_transfor_gauss.nii,4296.8545,4674.913,4609.038,4517.757,4655.01,4640.08,4670.633,4659.878,4774.607,5054.985,5667.8696,5512.8105,5134.1104,5114.9224,5143.4165,5058.048,4890.788,4659.734,4682.7334,5140.6304,5378.4707,4937.371,5101.255,4990.2153,5043.036,5437.3174,5654.215,5523.8086,5493.857,5507.222,5392.874,5244.1284,4812.668,4816.859,4810.4966,4550.1187,4690.0703,4533.9824,4453.0176,4505.0073,4538.2544,4463.5894,4379.711,4386.5825,4433.969,4537.968,4611.0796,4501.6895,4495.864,4767.0054,5174.352,5246.5146,5206.482,5115.7285,4738.3154,5019.569,5138.335,5002.049,4909.5737,4573.28
10,virgin_10d_sucrose,dm_R57C10xGC6s_190429a,h2o,NA,03,dm_R57C10xGC6s_190429a_03_h2o_SEZ_volreg_transfor_gauss.nii,4653.2417,4897.544,4667.615,4825.4497,4552.4673,4671.4546,4846.133,4605.484,4858.394,5229.948,5375.7144,5564.8374,5493.0903,4822.8867,4789.497,4656.5034,4804.318,4661.4424,4909.2173,5006.009,5145.6206,4688.8677,4870.0244,4383.994,4594.9146,5047.1523,5119.718,5276.326,5359.6787,5336.634,5358.3867,4920.043,4887.1978,4533.9717,4459.122,4414.448,4211.022,4303.954,4443.185,4591.7227,4458.4795,4430.6465,4429.19,4453.731,4355.987,4337.014,4205.514,4237.0635,4275.81,4499.5107,4863.1445,4972.4424,5060.1816,4935.6313,4895.8604,4651.816,4985.3374,5070.5186,5059.706,4510.946
11,virgin_10d_sucrose,dm_R57C10xGC6s_190429a,h2o,NA,03,dm_R57C10xGC6s_190429a_03_h2o_SEZ_volreg_transfor_gauss.nii,4093.0989,4351.8105,4185.02,4145.952,4171.473,4289.217,4372.3276,4440.3047,4546.0537,4467.9985,4711.494,4706.0815,4677.7856,4606.1426,4766.1025,4794.618,4695.3374,4554.8555,4525.641,4686.66,4844.451,4612.875,4749.853,4669.266,4701.976,4819.683,5018.13,5002.4194,4961.6953,4968.793,5045.6006,4862.3667,4653.009,4783.779,4778.4507,4768.189,4818.4062,4710.026,4607.946,4727.0317,4710.3496,4507.3486,4588.9683,4515.6587,4575.974,4739.4214,4694.451,4759.6973,4748.2686,4765.174,4730.4087,4813.4907,4752.726,4757.7173,4591.528,4548.349,4759.6304,4798.8413,4789.048,4511.072
12,virgin_10d_sucrose,dm_R57C10xGC6s_190429a,h2o,NA,03,dm_R57C10xGC6s_190429a_03_h2o_SEZ_volreg_transfor_gauss.nii,4130.475,4466.627,4530.1895,4342.5176,4566.007,4510.6816,4484.0054,4538.414,4586.148,4618.114,4553.0557,4515.419,4420.845,4272.0396,4493.0977,4536.143,4405.111,4358.189,4457.187,4465.7944,4553.114,4356.182,4512.9624,4578.796,4594.7446,4628.507,4639.3203,4751.5312,4786.9463,4728.918,4744.449,4696.572,4458.5376,4636.556,4650.75,4490.2036,4610.4604,4345.2607,4411.2925,4445.013,4647.175,4519.821,4294.5024,4360.979,4318.2607,4526.032,4644.389,4505.335,4449.459,4626.148,4555.273,4561.373,4483.8438,4605.1045,4450.463,4741.6455,4591.01,4580.95,4527.888,4485.0693
13,virgin_10d_sucrose,dm_R57C10xGC6s_190429a,h2o,NA,03,dm_R57C10xGC6s_190429a_03_h2o_SEZ_volreg_transfor_gauss.nii,2780.6172,2963.1099,2864.3777,2720.3362,3041.7793,2947.0767,2958.385,2803.3713,2948.4583,3031.9302,3200.427,3042.5347,2780.7502,2848.5115,2934.1384,3020.3906,2928.426,2761.5415,2874.1492,2767.7417,2883.1082,2676.9683,2906.0457,2931.5996,2937.617,3028.1633,3001.0254,3112.6023,3167.326,3056.4365,3135.8123,2892.7158,3019.428,3096.8965,3021.246,2876.963,3122.5593,2996.2686,2951.756,2793.1755,3016.1003,2799.311,2944.293,2934.4744,2797.733,3046.2449,3047.177,2913.7224,2944.3682,2872.3262,2844.3005,2899.2634,2895.3691,2893.413,2906.5828,3054.5215,3038.2183,3109.296,3119.9697,2872.5454
14,virgin_10d_sucrose,dm_R57C10xGC6s_190429a,h2o,NA,03,dm_R57C10xGC6s_190429a_03_h2o_SEZ_volreg_transfor_gauss.nii,9334.793,9582.511,8836.173,8499.599,8677.219,8850.319,8777.999,8695.838,8762.177,8924.269,9392.433,10647.712,10728.067,10223.112,10042.454,10026.628,9801.848,9248.499,9144.254,9081.093,9533.684,9269.093,9446.564,8884.065,9127.2,9568.187,9840.729,10040.343,9704.877,9546.681,9658.646,9307.083,8963.029,8822.797,8778.332,8871.962,8838.61,8676.908,8687.251,8683.857,8355.46,8255.531,8250.858,8466.851,8633.419,8775.888,8523.362,8475.951,8467.599,8525.106,8729.896,8530.175,8687.883,8656.007,8122.912,8242.241,8456.316,8672.879,8900.441,8792.074
15,virgin_10d_sucrose,dm_R57C10xGC6s_190429a,h2o,NA,03,dm_R57C10xGC6s_190429a_03_h2o_SEZ_volreg_transfor_gauss.nii,4099.9385,4275.9995,4094.8896,3951.542,4335.3174,4358.336,4146.9336,4159.87,4054.3447,4193.9434,4350.8813,4313.1045,4222.7515,4003.0623,4159.939,4391.3154,4232.2246,4050.2202,4066.8047,3856.9546,4333.08,4125.1978,4120.5103,3940.4583,4421.7563,4171.214,4143.205,4482.291,4276.801,4151.3765,4082.0347,4136.6235,3892.9714,4202.2173,3892.0132,4105.603,4026.2214,4065.9778,4118.588,4092.5776,4232.6274,3993.649,4073.8547,4069.483,4007.2979,4020.1392,4313.973,4071.6345,4208.025,4205.9214,4135.1777,4121.805,4118.0728,4092.8457,4145.1714,4235.791,4242.841,4440.6978,4701.559,4050.292
16,virgin_10d_sucrose,dm_R57C10xGC6s_190429a,h2o,NA,03,dm_R57C10xGC6s_190429a_03_h2o_SEZ_volreg_transfor_gauss.nii,9448.249,9916.387,9155.516,8804.547,8824.711,8971.3,8622.907,8469.825,8625.082,8715.264,9349.959,9599.178,9538.448,9227.902,9295.562,9603.076,9474.876,9108.336,8825.47,8768.705,9416.099,8916.372,9044.767,8720.939,8955.428,8962.767,9271.03,9310.687,9176.383,8982.208,9153.545,9173.92,8761.849,8790.066,8462.425,8546.007,8697.911,8597.979,8696.574,8764.756,8656.595,8507.751,8330.637,8617.968,8519.374,8461.219,8549.355,8318.413,8463.035,8486.736,8597.815,8562.757,8701.56,8678.013,8455.452,8484.584,8729.354,9212.855,9404.551,8927.785
17,virgin_10d_sucrose,dm_R57C10xGC6s_190429a,h2o,NA,03,dm_R57C10xGC6s_190429a_03_h2o_SEZ_volreg_transfor_gauss.nii,4041.076,4115.588,3910.1252,3790.1313,4188.111,5085.9243,5459.035,5322.1094,5163.275,4498.8145,4718.2295,5827.3115,6170.611,5940.8433,6226.905,5575.15,5011.083,4510.317,4326.8105,4565.5347,4662.748,4717.3486,5206.0127,5036.9473,4581.0483,4771.14,5006.1123,4768.5205,4721.9185,4683.916,4522.864,4457.412,4285.8657,4185.5083,4827.721,5813.8164,5652.112,4998.559,4507.037,4482.6357,4172.333,4173.8286,3978.004,4923.7637,4361.558,4492.311,4402.5674,4366.1606,4277.359,4891.23,4505.1577,4469.079,4414.247,4294.971,4068.0283,4028.4822,4268.567,4264.4497,5027.376,5392.719
18,virgin_10d_sucrose,dm_R57C10xGC6s_190429a,h2o,NA,03,dm_R57C10xGC6s_190429a_03_h2o_SEZ_volreg_transfor_gauss.nii,6849.269,7611.3955,7742.535,7709.806,7776.039,7893.1416,7793.208,7815.001,8006.499,8032.6978,8182.3306,8298.148,8153.138,7996.203,8252.475,8160.2065,7856.8857,7638.3384,7679.308,7679.2383,7939.6836,7678.8237,7938.919,7677.6816,7787.471,8083.2783,8142.37,8081.486,8052.6787,8013.202,8016.016,8001.451,7684.665,7622.886,7843.006,7670.015,7762.2275,7467.0425,7600.534,7537.8115,7626.3823,7439.8613,7283.224,7490.0854,7386.2393,7526.961,7574.59,7413.033,7401.239,7669.6074,7741.9297,7690.5728,7678.939,7659.35,7473.6147,7725.388,7749.354,7861.4116,7760.672,7608.9683
19,virgin_10d_sucrose,dm_R57C10xGC6s_190429a,h2o,NA,03,dm_R57C10xGC6s_190429a_03_h2o_SEZ_volreg_transfor_gauss.nii,8759.081,8706.522,8596.35,8329.62,9137.017,11847.202,12404.186,10847.605,10403.497,9755.381,9673.335,13084.367,14639.687,15134.771,14371.5625,12532.658,10638.554,9837.236,9079.087,9049.305,9088.428,10296.866,11665.328,10157.889,9530.067,9404.821,9777.768,9328.135,9011.746,8663.736,8920.774,8910.037,8635.013,8612.201,10808.542,11429.416,11754.156,10192.559,9614.691,9134.554,8714.8,8470.162,8563.555,10453.907,9497.967,9216.287,8693.408,8581.941,8358.8,9481.981,9395.97,8898.308,8771.661,8527.176,8253.753,8133.093,8483.566,8682.527,11190.646,12177.49
